composite_ID,UID,test,TSVR_hours
A078_3,A078,3,72.3
A078_4,A078,4,140.08
A079_1,A079,1,1.0
A079_2,A079,2,26.11
A079_3,A079,3,74.0
A079_4,A079,4,194.42
A080_1,A080,1,1.0
A080_2,A080,2,29.03
A080_3,A080,3,72.87
A080_4,A080,4,145.77
A081_1,A081,1,1.0
A081_2,A081,2,31.39
A081_3,A081,3,80.13
A081_4,A081,4,154.53
A082_1,A082,1,1.0
A082_2,A082,2,27.97
A082_3,A082,3,75.71
A082_4,A082,4,170.25
A083_1,A083,1,1.0
A083_2,A083,2,25.15
A083_3,A083,3,74.3
A083_4,A083,4,144.91
A084_1,A084,1,1.0
A084_2,A084,2,27.25
A084_3,A084,3,91.97
A084_4,A084,4,162.51
A085_1,A085,1,1.0
A085_2,A085,2,24.51
A085_3,A085,3,71.4
A085_4,A085,4,170.65
A086_1,A086,1,1.0
A086_2,A086,2,23.47
A086_3,A086,3,145.29
A086_4,A086,4,169.55
A087_1,A087,1,1.0
A087_2,A087,2,31.07
A087_3,A087,3,72.8
A087_4,A087,4,144.2
A088_1,A088,1,1.0
A088_2,A088,2,24.25
A088_3,A088,3,74.91
A088_4,A088,4,149.93
A089_1,A089,1,1.0
A089_2,A089,2,32.14
A089_3,A089,3,79.34
A089_4,A089,4,146.96
A090_1,A090,1,1.0
A090_2,A090,2,23.54
A090_3,A090,3,95.42
A090_4,A090,4,144.07
A091_1,A091,1,1.0
A091_2,A091,2,22.2
A091_3,A091,3,73.64
A091_4,A091,4,142.61
A092_1,A092,1,1.0
A092_2,A092,2,22.83
A092_3,A092,3,71.31
A092_4,A092,4,146.16
A093_1,A093,1,1.0
A093_2,A093,2,22.09
A093_3,A093,3,70.22
A093_4,A093,4,140.95
A094_1,A094,1,1.0
A094_2,A094,2,22.98
A094_3,A094,3,76.21
A094_4,A094,4,149.99
A095_1,A095,1,1.0
A095_2,A095,2,29.71
A095_3,A095,3,78.76
A095_4,A095,4,148.79
A096_1,A096,1,1.0
A096_2,A096,2,24.49
A096_3,A096,3,71.19
A096_4,A096,4,143.66
A097_1,A097,1,1.0
A097_2,A097,2,24.37
A097_3,A097,3,70.83
A097_4,A097,4,144.85
A098_1,A098,1,1.0
A098_2,A098,2,25.77
A098_3,A098,3,78.84
A098_4,A098,4,146.29
A099_1,A099,1,1.0
A099_2,A099,2,28.75
A099_3,A099,3,78.57
A099_4,A099,4,143.51
A100_1,A100,1,1.0
A100_2,A100,2,31.14
A100_3,A100,3,75.34
A100_4,A100,4,146.8
A101_1,A101,1,1.0
A101_2,A101,2,29.12
A101_3,A101,3,75.21
A101_4,A101,4,150.22
A102_1,A102,1,1.0
A102_2,A102,2,29.13
A102_3,A102,3,75.27
A102_4,A102,4,150.41
A103_1,A103,1,1.0
A103_2,A103,2,27.26
A103_3,A103,3,80.24
A103_4,A103,4,149.72
A104_1,A104,1,1.0
A104_2,A104,2,22.6
A104_3,A104,3,72.62
A104_4,A104,4,145.78
A105_1,A105,1,1.0
A105_2,A105,2,22.77
A105_3,A105,3,69.46
A105_4,A105,4,146.2
A106_1,A106,1,1.0
A106_2,A106,2,22.64
A106_3,A106,3,66.08
A106_4,A106,4,147.13
A107_1,A107,1,1.0
A107_2,A107,2,26.22
A107_3,A107,3,71.45
A107_4,A107,4,145.95
A108_1,A108,1,1.0
A108_2,A108,2,27.61
A108_3,A108,3,68.96
A108_4,A108,4,152.12
A109_1,A109,1,1.0
A109_2,A109,2,24.65
A109_3,A109,3,71.17
A109_4,A109,4,149.87
