composite_ID,UID,test,TSVR_hours,log_TSVR,Age,Age_c,LocationType,theta,se
A021_2_Destination,A021,2,30.21,3.440738556282688,28.0,-16.57,Destination,0.47721207,0.5
A021_3_Source,A021,3,74.19,4.320018243389936,28.0,-16.57,Source,0.36036015,0.5
A021_3_Destination,A021,3,74.19,4.320018243389936,28.0,-16.57,Destination,-0.59433186,0.5
A021_4_Source,A021,4,140.39,4.951522029603749,28.0,-16.57,Source,1.0062183,0.5
A021_4_Destination,A021,4,140.39,4.951522029603749,28.0,-16.57,Destination,-0.99789435,0.5
A022_1_Source,A022,1,1.0,0.6931471805599453,28.0,-16.57,Source,0.1581856,0.5
A022_1_Destination,A022,1,1.0,0.6931471805599453,28.0,-16.57,Destination,-0.42679092,0.5
A022_2_Source,A022,2,24.15,3.224857896545748,28.0,-16.57,Source,0.90218073,0.5
A022_2_Destination,A022,2,24.15,3.224857896545748,28.0,-16.57,Destination,-0.60329264,0.5
A022_3_Source,A022,3,74.46,4.323602714536165,28.0,-16.57,Source,0.64592147,0.5
A022_3_Destination,A022,3,74.46,4.323602714536165,28.0,-16.57,Destination,-0.09910751,0.5
A022_4_Source,A022,4,141.71,4.9608145991123,28.0,-16.57,Source,0.74378496,0.5
A022_4_Destination,A022,4,141.71,4.9608145991123,28.0,-16.57,Destination,-0.08970222,0.5
A023_1_Source,A023,1,1.0,0.6931471805599453,26.0,-18.57,Source,0.8170031,0.5
A023_1_Destination,A023,1,1.0,0.6931471805599453,26.0,-18.57,Destination,0.1930206,0.5
A023_2_Source,A023,2,25.63,3.282038399825841,26.0,-18.57,Source,0.5076978,0.5
A023_2_Destination,A023,2,25.63,3.282038399825841,26.0,-18.57,Destination,0.101476,0.5
A023_3_Source,A023,3,72.2,4.293195420967266,26.0,-18.57,Source,0.6582759,0.5
A023_3_Destination,A023,3,72.2,4.293195420967266,26.0,-18.57,Destination,-0.27825373,0.5
A023_4_Source,A023,4,145.07,4.984085958862719,26.0,-18.57,Source,-0.32591987,0.5
A023_4_Destination,A023,4,145.07,4.984085958862719,26.0,-18.57,Destination,0.92574984,0.5
A024_1_Source,A024,1,1.0,0.6931471805599453,29.0,-15.57,Source,0.31113845,0.5
A024_1_Destination,A024,1,1.0,0.6931471805599453,29.0,-15.57,Destination,-0.26954484,0.5
A024_2_Source,A024,2,29.57,3.420019135902743,29.0,-15.57,Source,0.54446435,0.5
A024_2_Destination,A024,2,29.57,3.420019135902743,29.0,-15.57,Destination,-0.57454836,0.5
A024_3_Source,A024,3,91.47,4.526884267589547,29.0,-15.57,Source,-0.2945651,0.5
A024_3_Destination,A024,3,91.47,4.526884267589547,29.0,-15.57,Destination,0.0074428213,0.5
A024_4_Source,A024,4,145.65,4.9880487954234605,29.0,-15.57,Source,-1.4681152,0.5
A024_4_Destination,A024,4,145.65,4.9880487954234605,29.0,-15.57,Destination,-0.940981,0.5
A025_1_Source,A025,1,1.0,0.6931471805599453,26.0,-18.57,Source,1.0412298,0.5
A025_1_Destination,A025,1,1.0,0.6931471805599453,26.0,-18.57,Destination,0.05380287,0.5
A025_2_Source,A025,2,23.33,3.1917101567954314,26.0,-18.57,Source,1.480383,0.5
A025_2_Destination,A025,2,23.33,3.1917101567954314,26.0,-18.57,Destination,1.5041252,0.5
A025_3_Source,A025,3,72.94,4.303253953508486,26.0,-18.57,Source,0.13729797,0.5
A025_3_Destination,A025,3,72.94,4.303253953508486,26.0,-18.57,Destination,-0.27671874,0.5
A025_4_Source,A025,4,137.74,4.932601677957155,26.0,-18.57,Source,-0.3094319,0.5
A025_4_Destination,A025,4,137.74,4.932601677957155,26.0,-18.57,Destination,-0.14176248,0.5
