composite_ID,theta_source,theta_destination,se_source,se_destination
A064_1,0.73301834,0.37014112,0.5,0.5
A064_2,1.187793,0.15088972,0.5,0.5
A064_3,-0.08421605,0.4945773,0.5,0.5
A064_4,-1.2915661,-1.064075,0.5,0.5
A065_1,-1.3585184,-0.9370374,0.5,0.5
A065_2,-0.18607779,-0.42273253,0.5,0.5
A065_3,-1.534947,0.12489203,0.5,0.5
A065_4,-1.4947524,-1.0915083,0.5,0.5
A066_1,-0.03744735,0.03757501,0.5,0.5
A066_2,-0.48925865,-0.42152458,0.5,0.5
A066_3,-0.78109145,-0.91012734,0.5,0.5
A066_4,-1.5672717,-1.2444345,0.5,0.5
A067_1,0.33184186,-0.3772701,0.5,0.5
A067_2,-1.4980056,-0.75470644,0.5,0.5
A067_3,-1.2921559,-0.75410956,0.5,0.5
A067_4,-1.626856,-1.4940736,0.5,0.5
A068_1,1.1554995,1.4733075,0.5,0.5
A068_2,-0.113646984,-0.34633532,0.5,0.5
A068_3,1.1442444,-0.3125315,0.5,0.5
A068_4,-0.48383042,-0.21757181,0.5,0.5
A069_1,-1.0576996,-0.18573126,0.5,0.5
A069_2,-0.9050108,-0.75497293,0.5,0.5
A069_3,-0.53834414,-0.45664144,0.5,0.5
A069_4,-1.7287896,-0.621072,0.5,0.5
A070_1,-0.16930422,-0.025029317,0.5,0.5
A070_2,0.23320425,-0.7115501,0.5,0.5
A070_3,-0.75356513,-0.60091597,0.5,0.5
A070_4,-1.1904025,-0.9432329,0.5,0.5
A071_1,0.5082413,-0.09704123,0.5,0.5
A071_2,0.83159643,-0.43790084,0.5,0.5
A071_3,-0.4841799,-0.8310883,0.5,0.5
A071_4,0.43548703,-0.20154567,0.5,0.5
A072_1,1.1708913,0.6814234,0.5,0.5
A072_2,1.1662811,1.7074885,0.5,0.5
A072_3,-0.9678977,0.09480323,0.5,0.5
A072_4,-0.172895,0.58196443,0.5,0.5
A073_1,1.1209983,0.30522674,0.5,0.5
