item_name,factor,a,b
TQ_RFR-N-OBJ1,what,0.9990432858467102,-4.4829816818237305
TQ_RFR-N-OBJ2,what,0.9866769313812256,-3.045273780822754
TQ_RFR-N-OBJ3,what,0.9067416787147522,-2.236111879348755
TQ_RFR-N-OBJ4,what,1.046775460243225,-2.5945241451263428
TQ_RFR-N-PORT,what,1.4992659091949463,-0.8181961178779602
TQ_RFR-N-STRA,what,0.7286298274993896,-1.4170498847961426
TQ_RFR-N-WEAT,what,0.3444889187812805,-0.9478760957717896
TQ_RFR-O-RORD,when,0.3377491533756256,-3.4711573123931885
TQ_RFR-O-TMOD,when,0.25397324562072754,-0.9069673418998718
TQ_RRE-L-DOOR,where,0.4531201720237732,1.7794045209884644
TQ_RRE-L-LAND,where,0.8942499160766602,0.7820225358009338
TQ_RRE-L-PORT,where,1.2015243768692017,-0.4730004072189331
TQ_RRE-L-STRA,where,1.7109136581420898,-1.6880406141281128
TQ_RRE-L-WIND,where,0.714267909526825,1.689573884010315
TQ_RRE-N-LAND,what,1.0401915311813354,-0.6988018155097961
TQ_RRE-N-PORT,what,1.9563679695129395,-1.077425241470337
TQ_RRE-N-STRA,what,0.2668500244617462,-5.467251777648926
TQ_TCR-O-TSK1,when,0.07262042909860611,16.4771671295166
TQ_TCR-O-TSK2,when,0.38609644770622253,2.0509250164031982
TQ_TCR-O-TSK3,when,0.14829790592193604,8.602812767028809
TQ_TCR-O-TSK4,when,0.24644050002098083,5.387630939483643
TQ_TCR-O-TSK5,when,0.36632317304611206,3.907822608947754
TQ_TCR-O-TSK6,when,0.18257659673690796,-20.789840698242188
