composite_ID,theta_what,theta_where,theta_when
A057_2,-0.2911225,-0.84788024,-1.5215507
A057_3,0.32230306,-1.600934,-0.7314936
A057_4,-0.7368877,-1.0194659,-0.108115286
A058_1,1.0082282,1.3889409,0.16207498
A058_2,-0.28605863,-0.88973856,-0.13146615
A058_3,-1.1315931,0.096722186,0.09282848
A058_4,-0.34124562,-0.97862947,-0.92608744
A059_1,1.4106033,0.86884,0.14032716
A059_2,1.98615,0.6638776,1.4075334
A059_3,1.6070946,0.65150285,-1.286766
A059_4,1.309689,0.15500197,-0.024331395
A060_1,1.0823122,-0.9213429,-0.54133993
A060_2,1.2492827,0.848397,0.92184967
A060_3,0.42360604,-1.2611945,-0.9087922
A060_4,1.4843326,0.4478816,-0.34990364
A061_1,2.7480264,1.5088699,2.9339523
A061_2,1.6826942,0.7527534,0.52831215
A061_3,0.24725243,-0.09035355,-1.6390991
A061_4,-0.91733104,0.40255883,-1.1290357
A062_1,1.3736821,1.4746131,0.6169554
A062_2,0.78208303,0.3647364,1.6517359
A062_3,-1.2158902,-0.83246124,-1.2021052
A062_4,-0.077979,-0.70446044,-0.5453789
A063_1,1.33144,0.15638357,-0.96673197
A063_2,0.35027844,1.2024311,1.1146128
A063_3,-0.13273582,0.32136106,0.7902258
A063_4,-0.44012666,-0.12200451,-0.29040685
A064_1,1.498669,0.09203929,2.9099464
A064_2,1.8768673,0.17920041,0.67331994
A064_3,1.1681349,-0.13421023,2.1957707
A064_4,0.0956281,-1.2296401,0.752774
A065_1,-1.352577,-2.0038521,-1.3984194
A065_2,-0.9420039,-0.52187115,-0.013020761
A065_3,-2.352478,-2.5345762,-0.18252286
A065_4,-2.2539253,-1.7274545,-1.0604968
A066_1,0.036327362,0.3210196,-0.69738936
A066_2,0.41444588,-0.36495912,-0.24926735
A066_3,-0.22337288,-0.83911455,-0.62255275
A066_4,-1.0395149,-1.156171,-1.544332
A067_1,1.2266667,-0.079853,0.7551237
A067_2,-0.71006894,-1.5254982,0.22749422
A067_3,-1.0378662,-2.1725771,-0.83967316
A067_4,-0.2360853,-1.2244252,0.13379236
A068_1,1.724911,1.4578604,0.1316995
A068_2,0.4395764,0.17839925,0.15669343
A068_3,0.87810576,-0.11945957,-0.8652784
A068_4,0.0046357214,-0.6992868,-1.4279181
A069_1,-0.43025374,-1.271389,-0.35214317
A069_2,-1.0505203,-0.7203212,-0.82972425
A069_3,-0.042158574,-0.6650896,1.139315
A069_4,-1.6992061,-1.8685844,-1.4051249
A070_1,0.52078944,1.0869534,1.0110222
A070_2,-0.7274196,-0.07141454,-0.5807912
A070_3,-0.67652905,-0.7383345,-0.12690271
A070_4,-0.9067827,-1.5412791,0.5072244
A071_1,0.57267606,0.80348366,-0.20777372
A071_2,-0.17728907,0.66333854,0.43520096
A071_3,-1.6873957,-0.44548362,0.37121192
A071_4,-0.9935233,0.6350241,-0.08762139
A072_1,0.9506296,0.7241628,-0.8799402
A072_2,-1.0138884,0.92411035,1.8297421
A072_3,-0.8847091,-0.36281037,-1.9534346
A072_4,-0.06853312,0.6434618,-0.7314298
A073_1,0.6724451,0.3628143,-0.26776943
A073_2,-1.7158053,-0.31067353,1.3043059
A073_3,-0.15253365,-0.33375287,0.33894578
A073_4,1.3360803,0.4932348,1.0267595
A074_1,1.3878671,0.9895302,1.3181233
A074_2,-1.0456097,0.2708792,-0.3882978
A074_3,-1.5422057,-0.22607137,-0.19260943
A074_4,-0.91587245,-1.5591562,-1.2064223
A075_1,-0.5176311,0.8572035,-0.91953003
A075_2,-0.11007331,0.94888663,0.40877098
A075_3,-1.5260687,-1.1088693,1.0075706
A075_4,-0.9567335,-0.5353417,-0.864665
A076_1,-0.9927993,-0.85179067,1.2653983
A076_2,-0.38653526,-1.2708969,-0.33442992
A076_3,-0.8383869,-1.1466372,-0.71797484
A076_4,-1.8813362,-1.9117151,1.9025776
A077_1,0.8459794,1.580137,2.400984
A077_2,1.1525592,-0.5317451,-0.57035196
A077_3,0.122687764,0.381307,-1.8711017
A077_4,0.5734171,0.66265225,0.79201066
A078_1,0.2597122,0.30610946,-0.0014688075
A078_2,0.46216014,0.24528608,-0.08781411
A078_3,0.03959012,-0.85770524,-1.8258251
A078_4,-0.5503709,-1.1044614,0.91449016
A079_1,0.84546274,0.7306681,0.33421135
A079_2,-0.26753846,-0.41246876,-1.0496505
A079_3,-0.83087873,-0.56471944,-0.96348214
A079_4,-0.91477764,-1.1636276,-0.41760677
A080_1,0.11590737,0.23457286,0.4941229
A080_2,0.98668677,-0.22167176,-0.00805116
A080_3,-0.53805625,0.93708205,0.31496882
A080_4,-1.0429628,-0.70305395,-1.2720133
A081_1,0.8164005,0.18936116,0.2582531
A081_2,0.5851602,-0.76897305,-0.32146144
A081_3,0.80707943,1.7318159,-0.7910664
A081_4,-0.9546084,0.32308617,-0.4941926
A082_1,0.71108556,0.8114623,1.4943869
A082_2,1.4864972,1.144547,-0.6528301
A082_3,0.33454955,0.73956543,1.2049669
A082_4,-0.10421777,-0.50902617,-1.3976842
A083_1,1.3052175,1.1701088,0.76042616
A083_2,0.9378821,0.83008826,-0.114466906
A083_3,0.31423873,-0.43493629,0.20713174
A083_4,0.05169414,0.053566497,1.1242995
A084_1,-0.014073223,0.5823544,0.88658553
A084_2,-1.1100628,-0.30796075,0.79341745
A084_3,0.23245406,-0.20583516,-1.3374774
A084_4,-0.61098725,0.105566755,-1.1239351
A085_1,0.2396093,1.4565065,-0.27560246
A085_2,1.7362897,1.3521578,0.48603857
A085_3,-0.16875282,-0.01754786,-1.0377216
A085_4,-0.9340806,-0.63805246,0.38609952
A086_1,0.50294673,1.165657,-0.6833178
A086_2,-0.37999302,0.21743035,-1.5518167
A086_3,-1.2519797,-0.6963492,-0.13495675
A086_4,-0.6256691,-1.1350375,1.0702804
A087_1,2.5109987,0.7064933,1.6928127
A087_2,1.3199956,1.1072899,-0.31764996
A087_3,0.73358023,-0.29083735,-0.13843009
A087_4,0.20917875,0.25541794,-1.3529404
A088_1,1.7335621,2.09971,-0.5713621
A088_2,1.4218274,3.2019873,0.15825815
A088_3,0.172905,0.26237673,-2.0685248
A088_4,1.2910581,1.1857795,0.5925428
A089_1,1.8064579,2.2580276,1.6418421
A089_2,0.80122024,1.2048185,-1.3101794
A089_3,0.15469685,1.0004264,0.1603244
A089_4,0.56818974,0.3846366,-0.54197454
A090_1,-0.10830046,-0.05711931,1.0179108
A090_2,-1.0879488,-0.06594187,-1.4593139
A090_3,-1.8001423,-0.7112714,-0.5493084
A090_4,-0.73858917,-1.634071,0.23530626
A091_1,0.022632718,1.0971456,0.4205917
A091_2,0.5907153,0.07997146,0.81196284
A091_3,-0.34651244,-0.99559593,-1.5662233
A091_4,-0.50502235,-1.0223899,0.62739843
A092_1,-0.27603737,0.017861843,-1.2395502
A092_2,-1.0506958,-0.5601059,-0.74338084
A092_3,-0.0074974,-0.016139954,-0.14636885
A092_4,-1.5666966,-0.46991932,-0.7494961
A093_1,0.42911655,0.8587179,0.23341739
A093_2,-0.11849056,-0.3672808,-0.3203646
A093_3,1.0472174,0.30863005,1.8318987
A093_4,0.011837235,-0.12587887,-0.71434236
A094_1,0.57691514,-0.8380821,1.8290378
A094_2,0.26559532,0.575656,0.50078034
A094_3,-0.83755475,-2.0294476,-0.4922534
A094_4,-1.3639693,-0.6378444,0.9420711
A095_1,1.0528775,1.1494669,0.80465287
