UID,Day0_confidence,se_confidence,forgetting_slope,se_slope
A074,0.4057072,0.07339282,0.0769646177813064,0.002241981382843223
A075,0.21868351,0.07339282,0.0785891232892467,0.002241981382843223
A076,-0.25764796,0.07339282,0.0831255246257147,0.002241981382843223
A077,1.0828195,0.07339282,0.074097294646832,0.002241981382843223
A078,-0.9361496,0.07339282,0.0797670297544932,0.002241981382843223
A079,0.3822094,0.07339282,0.0794188274754092,0.002241981382843223
A080,1.1243324,0.07339282,0.0762720875867827,0.002241981382843223
A081,1.2758523,0.07339282,0.0760117538742082,0.002241981382843223
A082,0.1739859,0.07339282,0.0739222607168015,0.002241981382843223
A083,1.2734162,0.07339282,0.0709547057378899,0.002241981382843223
A084,-0.42285675,0.07339282,0.0784148295090884,0.002241981382843223
A085,0.8677166,0.07339282,0.0739594929423644,0.002241981382843223
A086,1.277961,0.07339282,0.0777521959777947,0.002241981382843223
A087,1.4973053,0.07339282,0.0729870231991134,0.002241981382843223
A088,0.25304648,0.07339282,0.0664249529845539,0.002241981382843223
A089,1.3327537,0.07339282,0.0709506867979725,0.002241981382843223
A090,-0.65424925,0.07339282,0.0811003626009767,0.002241981382843223
A091,0.9867957,0.07339282,0.0790137906259887,0.002241981382843223
A092,0.22590114,0.07339282,0.081902951702273,0.002241981382843223
A093,1.615065,0.07339282,0.0755841464728495,0.002241981382843223
A094,-0.15748604,0.07339282,0.0832924895457688,0.002241981382843223
A095,1.0626495,0.07339282,0.0755691502821386,0.002241981382843223
A096,1.2504172,0.07339282,0.0857835750897643,0.002241981382843223
A097,-0.40680176,0.07339282,0.0779421754758125,0.002241981382843223
A098,0.7665425,0.07339282,0.0745537771594479,0.002241981382843223
A099,1.5797538,0.07339282,0.0726217461313157,0.002241981382843223
A100,0.9444509,0.07339282,0.0763622075480461,0.002241981382843223
A101,-0.32381263,0.07339282,0.0849973063195877,0.002241981382843223
A102,0.7623854,0.07339282,0.0768187168061965,0.002241981382843223
A103,-1.8178651,0.07339282,0.0782809524634402,0.002241981382843223
A104,1.6208797,0.07339282,0.0736390557673233,0.002241981382843223
A105,2.0030143,0.07339282,0.0761690666565461,0.002241981382843223
A106,0.900686,0.07339282,0.0745405962298753,0.002241981382843223
A107,-1.6444446,0.07339282,0.0856299189311926,0.002241981382843223
A108,-0.31995967,0.07339282,0.0828337378660087,0.002241981382843223
A109,0.48572227,0.07339282,0.082115020105365,0.002241981382843223
