UID,baseline_accuracy,abs_calibration,mean_gamma,tertile_label,tertile_color
A053,1.401935,0.5859741222825883,0.7005693107528803,High,#2CA02C
A054,0.52522403,0.0725679237712751,0.7723439488524464,Med,#FF7F0E
A055,0.28537354,0.298174973530257,0.736928104668205,Low,#D62728
A056,0.5282342,0.0218997931526115,0.6550707395921289,Med,#FF7F0E
A057,0.4946756,0.0467488261152363,0.8082931244650196,Med,#FF7F0E
A058,1.0215306,0.6564337948156191,0.833005614584562,Med,#FF7F0E
A059,0.99710035,1.3354611150362674,0.7691846929882166,Med,#FF7F0E
A060,-0.051358394,0.778056911771453,0.6023058985819659,Low,#D62728
A061,2.529091,0.8428761533541376,0.6078002330594396,High,#2CA02C
A062,1.5359104,0.4804075537267943,0.736853481855767,High,#2CA02C
A063,0.86206603,1.2822826061346455,0.7599357468306607,Med,#FF7F0E
A064,0.83211017,0.0650216967131829,0.585837698124944,Med,#FF7F0E
A065,-2.2385516,0.9203333955359398,0.297010063379006,Low,#D62728
A066,0.46571386,0.1911237582918608,0.7324170759998266,Med,#FF7F0E
A067,0.6627066,0.3794763370916433,0.6766461217765645,Med,#FF7F0E
A068,1.3038205,0.698093797276095,0.6801482444371946,High,#2CA02C
A069,-0.7867887,0.221400707315231,0.3408370524298823,Low,#D62728
A070,0.5967721,0.7840872902111757,0.7117797860717998,Med,#FF7F0E
A071,1.1001538,0.1407369046440378,0.7373708395655261,High,#2CA02C
A072,0.9622242,0.472817915837803,0.6491989643504047,Med,#FF7F0E
A073,0.8751058,0.6016409079556096,0.6679855193804154,Med,#FF7F0E
A074,1.1391835,0.2142576491882236,0.7832767322566275,High,#2CA02C
A075,0.4822121,0.3668780463465145,0.7884717707090892,Med,#FF7F0E
A076,-0.39436588,0.3014328928107419,0.4988664023337186,Low,#D62728
A077,1.257486,0.2912257316627467,0.7233950227814212,High,#2CA02C
A078,0.05510661,0.8509536454103706,0.6630470364226448,Low,#D62728
A079,0.49688977,0.272594453878811,0.5684512297105119,Med,#FF7F0E
A080,0.35685366,0.3199426752053673,0.7208965952897388,Med,#FF7F0E
A081,0.56923956,0.4756125745392973,0.6902217545942357,Med,#FF7F0E
A082,0.47511065,0.8339160497082869,0.8187685353568426,Med,#FF7F0E
A083,1.9135383,0.1062383483148201,0.7557912012916498,High,#2CA02C
A084,0.37614724,1.0069158400566829,0.6233029912786641,Med,#FF7F0E
A085,0.29977113,0.1520667672062224,0.6328605882541591,Low,#D62728
A086,0.9054527,0.8950519079727701,0.7223284191222752,Med,#FF7F0E
A087,1.164813,0.0079753102506024,0.8086148795777226,High,#2CA02C
A088,2.00997,1.3253421337460438,0.8076611833740169,High,#2CA02C
A089,1.6034564,0.330271098181208,0.8047951660071659,High,#2CA02C
A090,0.20163605,0.3790626180989624,0.6472351338896731,Low,#D62728
A091,0.64397514,0.6245843863890304,0.6560964812964831,Med,#FF7F0E
A092,-0.28513366,0.6097082355439829,0.6440855528124697,Low,#D62728
A093,0.56161565,0.0766563029001108,0.7881310533842599,Med,#FF7F0E
A094,-0.70889944,0.1933584893175145,0.7005570812359225,Low,#D62728
A095,1.5409168,0.1031132903240218,0.696706799840189,High,#2CA02C
A096,-0.45961466,2.234041390045598,0.4155755279436409,Low,#D62728
A097,0.24293853,0.949991454717815,0.6199112419471241,Low,#D62728
A098,0.6008492,0.1773461049900238,0.7323231785334345,Med,#FF7F0E
A099,1.1219946,0.4533968290835696,0.693225067213473,High,#2CA02C
A100,-0.06985861,0.3446516830659821,0.5530034761954834,Low,#D62728
A101,-1.0356112,0.1004845749012249,0.624462156811646,Low,#D62728
A102,-0.044223346,0.0825391804929465,0.74393027630936,Low,#D62728
A103,1.7611793,2.1310327574628856,0.7464600379090032,High,#2CA02C
A104,1.7474676,0.0440954578721144,0.7297822478273606,High,#2CA02C
A105,0.61165696,0.7414529163442467,0.7104160571982462,Med,#FF7F0E
A106,1.1972102,0.379203643878817,0.8081471922788894,High,#2CA02C
A107,-0.71622896,0.1968299151596459,0.6431560976301838,Low,#D62728
A108,-0.4913459,0.0638948067070833,0.6092874414487084,Low,#D62728
A109,-0.25337747,1.006902887424669,0.5870910087466111,Low,#D62728
