UID,baseline_accuracy,baseline_confidence,mean_calibration,mean_gamma
A077,1.257486,1.0828195,-0.29122573166274673,0.7233950227814212
A078,0.05510661,-0.9361496,-0.8509536454103706,0.6630470364226448
A079,0.49688977,0.3822094,0.272594453878811,0.5684512297105119
A080,0.35685366,1.1243324,0.3199426752053673,0.7208965952897388
A081,0.56923956,1.2758523,0.47561257453929734,0.6902217545942357
A082,0.47511065,0.1739859,-0.8339160497082869,0.8187685353568426
A083,1.9135383,1.2734162,-0.1062383483148201,0.7557912012916498
A084,0.37614724,-0.42285675,-1.0069158400566829,0.6233029912786641
A085,0.29977113,0.8677166,0.15206676720622245,0.6328605882541591
A086,0.9054527,1.277961,0.8950519079727701,0.7223284191222752
A087,1.164813,1.4973053,0.00797531025060243,0.8086148795777226
A088,2.00997,0.25304648,-1.3253421337460438,0.8076611833740169
A089,1.6034564,1.3327537,-0.330271098181208,0.8047951660071659
A090,0.20163605,-0.65424925,-0.3790626180989624,0.6472351338896731
A091,0.64397514,0.9867957,0.6245843863890304,0.6560964812964831
A092,-0.28513366,0.22590114,0.6097082355439829,0.6440855528124697
A093,0.56161565,1.615065,-0.07665630290011083,0.7881310533842599
A094,-0.70889944,-0.15748604,0.1933584893175145,0.7005570812359225
A095,1.5409168,1.0626495,0.10311329032402188,0.696706799840189
A096,-0.45961466,1.2504172,2.234041390045598,0.4155755279436409
A097,0.24293853,-0.40680176,-0.949991454717815,0.6199112419471241
A098,0.6008492,0.7665425,0.1773461049900238,0.7323231785334345
A099,1.1219946,1.5797538,0.4533968290835696,0.693225067213473
A100,-0.06985861,0.9444509,0.34465168306598215,0.5530034761954834
A101,-1.0356112,-0.32381263,-0.10048457490122498,0.624462156811646
A102,-0.044223346,0.7623854,0.08253918049294659,0.74393027630936
A103,1.7611793,-1.8178651,-2.1310327574628856,0.7464600379090032
A104,1.7474676,1.6208797,-0.04409545787211448,0.7297822478273606
A105,0.61165696,2.0030143,0.7414529163442467,0.7104160571982462
A106,1.1972102,0.900686,-0.379203643878817,0.8081471922788894
A107,-0.71622896,-1.6444446,-0.19682991515964593,0.6431560976301838
A108,-0.4913459,-0.31995967,-0.06389480670708336,0.6092874414487084
A109,-0.25337747,0.48572227,1.006902887424669,0.5870910087466111
