UID,test,schema_condition,theta_accuracy,theta_confidence
A068,T2,Common,-0.06428234,0.080111355
A068,T3,Common,0.9597233,-0.28311488
A068,T4,Common,-0.6880742,-0.4871188
A069,T1,Common,-0.8337596,-0.7077817
A069,T2,Common,-1.1064484,-1.1501611
A069,T3,Common,0.24429336,-1.4126319
A069,T4,Common,-0.91262,-0.9163562
A070,T1,Common,0.56656337,-0.32718143
A070,T2,Common,0.67100656,-0.40496716
A070,T3,Common,-0.3166986,-1.0397756
A070,T4,Common,-0.90343934,-1.4467779
A071,T1,Common,0.70789874,-0.06925742
A071,T2,Common,0.873699,-0.49979705
A071,T3,Common,0.14909524,-1.1988554
A071,T4,Common,0.23359789,-1.1189433
A072,T1,Common,0.87721634,-0.083747596
A072,T2,Common,1.1064863,-0.06379211
A072,T3,Common,-0.6392919,-0.38732404
A072,T4,Common,0.11632397,-0.8807154
A073,T1,Common,0.54635656,-1.177983
A073,T2,Common,0.29271653,-1.0593116
A073,T3,Common,0.8597459,-0.5370971
A073,T4,Common,1.1421618,-0.92751175
A074,T1,Common,1.0982429,-0.18202838
A074,T2,Common,-0.03720683,-0.77025694
A074,T3,Common,-1.5277796,-1.1052237
A074,T4,Common,-1.2861127,-0.81961036
A075,T1,Common,0.6850163,-0.5596117
A075,T2,Common,0.12656468,-0.48084557
A075,T3,Common,-0.48466563,-1.4214578
A075,T4,Common,-0.8273441,-0.6418508
A076,T1,Common,0.4877052,-0.8254861
A076,T2,Common,-1.0494858,-0.9957881
A076,T3,Common,-1.029358,-0.944209
A076,T4,Common,-1.714471,-1.2952833
A077,T1,Common,1.1772299,-0.13130742
A077,T2,Common,-0.79948527,-0.7624806
A077,T3,Common,0.18209952,-0.7224819
A077,T4,Common,-0.8510503,-0.6117213
A078,T1,Common,-1.0481057,-1.0662726
A078,T2,Common,-0.51313215,-1.1601207
A078,T3,Common,-0.97640496,-0.96351194
A078,T4,Common,-1.0365397,-1.2656175
A079,T1,Common,-0.6625905,-0.70993716
A079,T2,Common,0.35112518,-0.39511335
A079,T3,Common,-1.1069062,-0.7403131
A079,T4,Common,-0.49610496,-0.44207504
A080,T1,Common,0.33154324,-0.16256416
A080,T2,Common,0.82862,-0.29740527
A080,T3,Common,-0.1077804,-0.8341305
A080,T4,Common,0.41689837,-0.829931
A081,T1,Common,0.00010118604,-0.36934307
A081,T2,Common,-0.7071566,-0.34199077
A081,T3,Common,0.545228,-0.82623285
A081,T4,Common,-0.08591507,-0.41083512
A082,T1,Common,-0.4003049,-0.55978227
A082,T2,Common,0.8779047,-0.60476476
A082,T3,Common,0.6359619,-0.6372438
A082,T4,Common,-0.3586941,-1.1702459
A083,T1,Common,1.3698004,-0.04717919
A083,T2,Common,0.124128915,-0.3105881
A083,T3,Common,-0.5477029,-0.58761007
A083,T4,Common,-0.37580958,-0.87011266
A084,T1,Common,0.9561993,-1.179172
A084,T2,Common,0.013109359,-1.189129
A084,T3,Common,0.44351754,-1.1784703
A084,T4,Common,-0.88956237,-2.3108773
A085,T1,Common,0.0077195168,-0.30055732
A085,T2,Common,0.49905202,-0.2620576
A085,T3,Common,0.48035803,-0.0462701
A085,T4,Common,-0.238934,-0.46926987
A086,T1,Common,0.6558563,-0.16026516
A086,T2,Common,-0.6139667,-0.23810352
A086,T3,Common,-0.9025494,-0.88882124
A086,T4,Common,0.24756022,-0.36776915
A087,T1,Common,0.3166234,0.28499898
A087,T2,Common,1.0431534,-0.13051467
A087,T3,Common,0.6456617,-0.32740983
A087,T4,Common,0.8111409,-0.27486774
A088,T1,Common,1.3131995,-0.5690354
A088,T2,Common,1.6465031,-0.17235278
A088,T3,Common,1.5184398,-0.21806228
A088,T4,Common,2.0324988,-0.09416215
A089,T1,Common,1.0534189,-0.18788767
A089,T2,Common,1.2110171,-0.009715847
A089,T3,Common,-0.28256452,-0.4190693
A089,T4,Common,-0.5580171,-0.5672468
A090,T1,Common,-0.20894425,-1.2956766
A090,T2,Common,0.027675819,-1.3156582
A090,T3,Common,-1.7316093,-2.0494192
A090,T4,Common,-0.28820184,-2.2607956
A091,T1,Common,0.3393673,-0.3547222
A091,T2,Common,0.5239488,-0.5238492
A091,T3,Common,-1.0404031,-0.9250692
A091,T4,Common,-0.8533299,-0.66503096
A092,T1,Common,-0.16856669,-0.47387627
A092,T2,Common,-1.4215541,-0.50957394
A092,T3,Common,-1.2575935,-0.64542097
A092,T4,Common,-0.93595916,-1.5038719
A093,T1,Common,0.9076474,0.1706706
A093,T2,Common,1.034495,-1.877145
A093,T3,Common,-0.40955505,-2.3342147
A093,T4,Common,0.45432508,-2.3192465
A094,T1,Common,-0.50477767,-0.9282739
A094,T2,Common,0.18280746,-0.60290366
A094,T3,Common,-1.3660945,-1.0056866
A094,T4,Common,-1.0502908,-1.0722305
A095,T1,Common,1.4516914,-0.27295217
A095,T2,Common,0.27010867,-0.9054048
A095,T3,Common,0.15615472,-0.48455513
A095,T4,Common,-0.3831034,-0.7702368
A096,T1,Common,-0.035375316,-0.17199293
A096,T2,Common,-0.36524564,-0.6014457
A096,T3,Common,-1.8691895,-0.94371307
A096,T4,Common,-1.9366536,-0.41385162
A097,T1,Common,0.16170047,-1.0816407
A097,T2,Common,-0.33125505,-2.2613146
A097,T3,Common,0.5222428,-1.5564256
A097,T4,Common,0.06591846,-1.9700977
A098,T1,Common,-0.115731314,-0.37680024
A098,T2,Common,0.3379284,-0.64977807
A098,T3,Common,0.88451827,-0.16594763
A098,T4,Common,-0.7708392,-0.51632476
A099,T1,Common,-0.055051994,-0.24798575
A099,T2,Common,0.69390166,-0.51312137
A099,T3,Common,0.45280594,-0.40274915
A099,T4,Common,0.5266211,0.15093826
A100,T1,Common,0.57920873,-1.2875018
A100,T2,Common,1.6019025,-1.4704013
A100,T3,Common,-0.6404879,-0.7611448
A100,T4,Common,0.20585074,-2.1010146
A101,T1,Common,-0.68739074,-0.8380914
A101,T2,Common,-0.8576899,-1.5315744
A101,T3,Common,-1.2362001,-2.680961
A101,T4,Common,-0.65415436,-2.3853638
A102,T1,Common,-0.7212032,-0.44222814
A102,T2,Common,0.753909,-0.6857153
A102,T3,Common,-1.0468884,-0.9119386
A102,T4,Common,-0.22491981,-0.4048722
A103,T1,Common,1.0644679,-1.8785391
A103,T2,Common,-1.095788,-2.0777555
A103,T3,Common,-1.6128502,-2.2492719
A103,T4,Common,-0.07195855,-2.2040555
A104,T1,Common,2.1952074,0.095333226
A104,T2,Common,0.42920163,-0.17972529
A104,T3,Common,-0.43959793,-0.69555944
A104,T4,Common,-0.8763166,-1.1881423
A105,T1,Common,0.44473863,0.1890984
A105,T2,Common,0.78645724,-0.16809995
A105,T3,Common,-0.6449184,-0.6783302
A105,T4,Common,-0.025722215,-0.6882864
A106,T1,Common,0.96928626,-0.0798332
A106,T2,Common,0.28924912,-0.68068576
A106,T3,Common,0.18992153,-0.30701622
A106,T4,Common,0.8632189,-0.34886494
A107,T1,Common,-0.6073473,-2.2520385
A107,T2,Common,-1.3971989,-2.5321162
A107,T3,Common,-0.32358083,-2.030288
A107,T4,Common,-0.6526746,-2.057475
A108,T1,Common,-1.000375,-0.6933517
A108,T2,Common,-0.10793777,-0.9501563
A108,T3,Common,0.21636847,-1.2867302
A108,T4,Common,-1.3989251,-1.1365656
A109,T1,Common,-0.3117028,-1.2552799
A109,T2,Common,-1.0503262,-1.5442495
A109,T3,Common,0.14444596,-0.7288072
A109,T4,Common,-1.5979277,-2.5846982
A010,T1,Congruent,2.3352752,-0.14645109
A010,T2,Congruent,0.42396438,-0.49018624
A010,T3,Congruent,-0.40273643,-0.7472929
A010,T4,Congruent,0.304145,-0.7211194
A011,T1,Congruent,0.73472494,0.092816524
A011,T2,Congruent,-0.6467364,-0.30347845
A011,T3,Congruent,0.063042305,-0.53213114
A011,T4,Congruent,-0.5131098,-1.2624987
A012,T1,Congruent,0.5804523,-0.07631704
A012,T2,Congruent,-0.22893,-0.5825451
A012,T3,Congruent,-0.01893545,-0.66364026
A012,T4,Congruent,-1.0322822,-0.8607189
A013,T1,Congruent,0.5701073,-0.27973455
A013,T2,Congruent,-1.0367917,-0.8179554
A013,T3,Congruent,1.4323087,-0.2663049
A013,T4,Congruent,-1.1159241,-1.0938703
A014,T1,Congruent,0.53654695,-0.20850998
A014,T2,Congruent,-0.2694951,-0.46776143
A014,T3,Congruent,0.38656035,-0.61916596
A014,T4,Congruent,-0.7313914,-1.1417136
A015,T1,Congruent,1.073113,0.080849946
A015,T2,Congruent,1.3152177,-0.2513115
A015,T3,Congruent,1.4822278,-0.30403167
A015,T4,Congruent,-0.32867005,-0.4556535
A016,T1,Congruent,1.291089,-0.32729107
A016,T2,Congruent,1.5499188,-0.47805068
A016,T3,Congruent,-1.2432284,-1.0141622
A016,T4,Congruent,-1.4394764,-1.9602563
A017,T1,Congruent,-0.758377,-0.15210493
A017,T2,Congruent,0.2569686,0.22161458
A017,T3,Congruent,-0.52562934,0.18487115
A017,T4,Congruent,0.04020235,-0.003696698
A018,T1,Congruent,1.5102456,-0.08675025
A018,T2,Congruent,-0.21597247,-0.59518427
A018,T3,Congruent,0.060849763,-0.76017225
A018,T4,Congruent,-0.17055476,-0.9158059
A019,T1,Congruent,-1.0139009,-2.1664224
A019,T2,Congruent,-0.52953434,-2.009122
A019,T3,Congruent,-0.8048507,-2.1491692
A019,T4,Congruent,-1.1073892,-2.5337958
A020,T1,Congruent,0.5093016,-0.26701468
A020,T2,Congruent,-0.5068383,-0.51464427
A020,T3,Congruent,-1.5806824,-1.3487837
A020,T4,Congruent,-2.0976696,-1.2898188
A021,T1,Congruent,2.0377793,-0.44721925
A021,T2,Congruent,0.26171365,-0.48956826
A021,T3,Congruent,-0.1410835,-0.5939567
A021,T4,Congruent,0.18201117,-0.35563362
A022,T1,Congruent,0.49725094,-0.64802283
A022,T2,Congruent,0.19156887,-1.492753
A022,T3,Congruent,1.4768845,-0.8369283
A022,T4,Congruent,0.73934454,-1.9266484
A023,T1,Congruent,-0.6562507,-0.53677994
A023,T2,Congruent,-0.058118515,-0.60698503
A023,T3,Congruent,0.4286228,-0.45389134
A023,T4,Congruent,0.59801745,-0.5553943
A024,T1,Congruent,0.45857278,-0.5529413
A024,T2,Congruent,0.1918723,-0.52084565
A024,T3,Congruent,0.4113518,-0.5644715
A024,T4,Congruent,-1.0682684,-0.51859456
A025,T1,Congruent,0.78151184,-0.38930637
A025,T2,Congruent,1.5787265,-0.31195822
A025,T3,Congruent,0.42811912,-0.5638975
A025,T4,Congruent,-0.46808136,-1.0112624
A026,T1,Congruent,0.8863477,-0.3819697
A026,T2,Congruent,0.90089154,-0.47930023
A026,T3,Congruent,0.34505966,-0.44024467
A026,T4,Congruent,0.16592842,-0.27736092
A027,T1,Congruent,-0.20171066,-0.2076202
A027,T2,Congruent,1.3977581,-0.46383077
A027,T3,Congruent,-1.3093231,-0.91895676
A027,T4,Congruent,-0.176613,-1.7252904
A028,T1,Congruent,1.7031448,0.19452086
A028,T2,Congruent,-1.2437313,-0.57829607
A028,T3,Congruent,0.33955434,-0.7359198
A028,T4,Congruent,-0.26649505,-0.8922511
A029,T1,Congruent,2.0094688,0.08558736
A029,T2,Congruent,-1.0400926,-0.24591371
A029,T3,Congruent,1.1122811,-0.21559593
A029,T4,Congruent,0.76615715,-0.23756483
A030,T1,Congruent,-0.06886573,-0.7866119
A030,T2,Congruent,1.0834099,-0.33011407
A030,T3,Congruent,0.44725955,-0.7536597
A030,T4,Congruent,0.5109756,-0.54322547
A031,T1,Congruent,0.50127923,0.2692753
A031,T2,Congruent,-0.14592373,-0.017567897
A031,T3,Congruent,-0.8554333,-0.59132695
A031,T4,Congruent,-0.5366472,-1.4007759
A032,T1,Congruent,-0.35136977,-0.24172722
A032,T2,Congruent,0.803311,-0.61153746
A032,T3,Congruent,0.8270539,-0.4454148
A032,T4,Congruent,1.7046412,-0.17751563
A033,T1,Congruent,-0.43331796,-0.45722213
A033,T2,Congruent,0.6877826,-0.52812696
A033,T3,Congruent,0.84835505,-0.31753787
A033,T4,Congruent,-0.1874351,-0.80483
A034,T1,Congruent,1.1752179,0.16399635
A034,T2,Congruent,0.8730519,0.0878398
A034,T3,Congruent,-0.32315242,-0.38711584
A034,T4,Congruent,0.09952562,-0.73347974
A035,T1,Congruent,-0.9139977,-0.6873689
A035,T2,Congruent,0.81915426,-0.35464787
A035,T3,Congruent,0.21742025,-0.8606771
A035,T4,Congruent,-0.7487059,-1.0819523
A036,T1,Congruent,0.8550636,-0.8050126
A036,T2,Congruent,-0.12540075,-2.5525463
A036,T3,Congruent,0.28238106,-1.1878074
A036,T4,Congruent,-1.0393022,-2.115074
A037,T1,Congruent,0.22852391,-0.21583825
A037,T2,Congruent,0.30562398,-0.8647373
A037,T3,Congruent,0.815768,-0.54054016
A037,T4,Congruent,-0.58786523,-0.8579481
A038,T1,Congruent,0.9585948,-0.13964333
A038,T2,Congruent,-0.8893782,-0.2690671
A038,T3,Congruent,-0.29861468,-0.42256626
A038,T4,Congruent,-0.17653099,-0.31882823
A039,T1,Congruent,1.5005066,-0.076283954
A039,T2,Congruent,0.20797212,0.17347847
A039,T3,Congruent,0.2044791,-0.42052573
A039,T4,Congruent,0.56958055,-0.64879227
A040,T1,Congruent,-0.48951146,-0.27086848
A040,T2,Congruent,-0.74336016,-0.61941487
A040,T3,Congruent,-1.1314414,-0.73856413
A040,T4,Congruent,-0.48939034,-1.094913
A041,T1,Congruent,1.5223323,0.026328545
A041,T2,Congruent,-1.1600494,-0.45549294
A041,T3,Congruent,1.2294152,-0.32686973
A041,T4,Congruent,-0.07053544,-0.6809643
A042,T1,Congruent,-0.94992256,-0.6882061
A042,T2,Congruent,-0.5381136,-1.3154353
A042,T3,Congruent,-1.0232941,-0.9923472
A042,T4,Congruent,-0.9369889,-1.1589196
A043,T1,Congruent,-0.15874355,0.12849581
A043,T2,Congruent,0.34835568,0.107447416
A043,T3,Congruent,-0.17773217,-0.022465402
A043,T4,Congruent,0.36557552,-0.1728015
A044,T1,Congruent,-0.42967826,-1.0854299
A044,T2,Congruent,0.29979682,-1.0949403
A044,T3,Congruent,-1.0432105,-1.2463167
A044,T4,Congruent,-0.95710677,-2.41895
A045,T1,Congruent,0.5991259,-0.5244013
A045,T2,Congruent,-0.7401306,-0.7538953
A045,T3,Congruent,-1.3838344,-0.7975714
A045,T4,Congruent,-0.50810874,-1.0863767
A046,T1,Congruent,-0.8820126,-1.0043232
A046,T2,Congruent,-1.3599145,-0.77635866
A046,T3,Congruent,-1.5709262,-2.1562538
A046,T4,Congruent,-0.717223,-0.71030354
A047,T1,Congruent,-1.0092126,-0.84956115
A047,T2,Congruent,-0.5068236,-0.48030975
A047,T3,Congruent,-0.5343058,-1.1750782
A047,T4,Congruent,-1.0075923,-2.5276344
A048,T1,Congruent,1.693677,-0.3538722
A048,T2,Congruent,0.7271685,-0.66625273
A048,T3,Congruent,0.8357988,-0.50338846
A048,T4,Congruent,-0.4917495,-0.6405863
A049,T1,Congruent,2.279931,0.011668183
A049,T2,Congruent,-0.3166686,-0.45121825
A049,T3,Congruent,0.49153835,-0.25443503
A049,T4,Congruent,1.0439023,-0.4042595
A050,T1,Congruent,-0.65952903,-0.53834146
A050,T2,Congruent,-0.23185472,-0.51334876
A050,T3,Congruent,-0.99920005,-1.048395
A050,T4,Congruent,-0.44994792,-1.0606136
A051,T1,Congruent,1.9709882,-0.07600792
A051,T2,Congruent,-0.11904877,-0.26526073
A051,T3,Congruent,-0.5767097,-0.574192
A051,T4,Congruent,0.17635673,-0.7457136
A052,T1,Congruent,0.70940566,-0.48109597
A052,T2,Congruent,-0.63751054,-0.8777536
A052,T3,Congruent,0.012148218,-0.8479793
A052,T4,Congruent,-0.5512451,-0.78419584
A053,T1,Congruent,1.3026041,-0.44445914
A053,T2,Congruent,0.30480924,-1.2639779
A053,T3,Congruent,0.0602048,-1.3980162
A053,T4,Congruent,-0.9437242,-1.4724555
A054,T1,Congruent,0.054836024,0.13166262
A054,T2,Congruent,0.6558441,-0.118331835
A054,T3,Congruent,0.8645091,-0.26880553
A054,T4,Congruent,1.0623502,-0.099199735
A055,T1,Congruent,-0.48899728,-0.31538782
A055,T2,Congruent,0.6668252,-1.0363679
A055,T3,Congruent,0.23135751,-0.77419794
A055,T4,Congruent,-1.3891442,-1.188435
A056,T1,Congruent,1.474186,-0.5355634
A056,T2,Congruent,-0.084054,-0.9403539
A056,T3,Congruent,-0.08848558,-0.7880958
A056,T4,Congruent,-1.1969587,-0.7892585
A057,T1,Congruent,0.15659064,-0.3896469
A057,T2,Congruent,-1.1784263,-0.81025416
A057,T3,Congruent,0.18975516,-0.8444249
A057,T4,Congruent,-0.96282315,-1.278879
A058,T1,Congruent,1.9888922,-0.054483853
A058,T2,Congruent,-0.28160018,-0.5182321
A058,T3,Congruent,-1.0928406,-1.0639265
A058,T4,Congruent,-0.57762057,-1.3924044
A059,T1,Congruent,0.41310668,-0.7449472
A059,T2,Congruent,-0.16240932,-0.73166466
A059,T3,Congruent,1.0853677,-0.90465754
A059,T4,Congruent,0.24016263,-0.52323824
A060,T1,Congruent,0.14170144,-0.51184183
A060,T2,Congruent,0.03884568,-0.53777605
A060,T3,Congruent,0.5968047,-0.29484802
A060,T4,Congruent,0.2312482,-0.18825707
A061,T1,Congruent,2.2994933,0.41440436
A061,T2,Congruent,-0.5375559,0.10480783
