UID,test,TSVR_hours,theta_value,measure_type
A055,3,74.48,-0.119812906,accuracy
A055,4,149.21,-0.62007034,accuracy
A056,1,1.0,0.5282342,accuracy
A056,2,33.61,0.54977185,accuracy
A056,3,71.46,-0.4118956,accuracy
A056,4,147.84,-0.9539059,accuracy
A057,1,1.0,0.4946756,accuracy
A057,2,24.78,-0.77376056,accuracy
A057,3,73.83,-0.68134856,accuracy
A057,4,145.06,-1.0877718,accuracy
A058,1,1.0,1.0215306,accuracy
A058,2,22.96,-0.8427394,accuracy
A058,3,66.28,-0.121771336,accuracy
A058,4,143.48,-1.0669552,accuracy
A059,1,1.0,0.99710035,accuracy
A059,2,30.4,1.2424322,accuracy
A059,3,79.78,1.3356622,accuracy
A059,4,151.93,0.38432297,accuracy
A060,1,1.0,-0.051358394,accuracy
A060,2,24.87,1.310061,accuracy
A060,3,94.68,-0.5090028,accuracy
A060,4,143.91,0.19280487,accuracy
A061,1,1.0,2.529091,accuracy
A061,2,35.16,0.94611883,accuracy
A061,3,82.55,0.27741587,accuracy
A061,4,146.56,-0.2929151,accuracy
A062,1,1.0,1.5359104,accuracy
A062,2,44.69,0.14121151,accuracy
A062,3,92.72,-0.59946907,accuracy
A062,4,149.18,-0.7168849,accuracy
A063,1,1.0,0.86206603,accuracy
A063,2,21.98,0.7186035,accuracy
A063,3,69.99,0.17484958,accuracy
A063,4,141.09,-0.58241045,accuracy
A064,1,1.0,0.83211017,accuracy
A064,2,37.65,0.56187433,accuracy
A064,3,82.99,0.17636402,accuracy
A064,4,156.21,-0.33321425,accuracy
A065,1,1.0,-2.2385516,accuracy
A065,2,32.31,-0.9801161,accuracy
A065,3,106.41,-2.2205753,accuracy
A065,4,187.43,-2.3754525,accuracy
A066,1,1.0,0.46571386,accuracy
A066,2,23.35,-0.45289963,accuracy
A066,3,73.79,-0.92944336,accuracy
A066,4,164.93,-1.2830758,accuracy
A067,1,1.0,0.6627066,accuracy
A067,2,29.91,-1.312235,accuracy
A067,3,73.19,-1.4752139,accuracy
A067,4,144.19,-1.1757759,accuracy
A068,1,1.0,1.3038205,accuracy
A068,2,30.49,0.163223,accuracy
A068,3,82.98,0.4192529,accuracy
A068,4,155.59,-0.3906647,accuracy
A069,1,1.0,-0.7867887,accuracy
A069,2,24.96,-1.5067587,accuracy
A069,3,79.75,-0.71302193,accuracy
A069,4,140.22,-1.7110198,accuracy
A070,1,1.0,0.5967721,accuracy
A070,2,24.25,0.042192243,accuracy
A070,3,81.92,-0.4347659,accuracy
A070,4,149.2,-1.0469787,accuracy
A071,1,1.0,1.1001538,accuracy
A071,2,30.92,0.40058818,accuracy
A071,3,79.96,-0.86193055,accuracy
A071,4,153.27,0.1462163,accuracy
A072,1,1.0,0.9622242,accuracy
A072,2,33.76,0.37431285,accuracy
A072,3,83.54,-0.88631296,accuracy
A072,4,154.89,-0.13873519,accuracy
A073,1,1.0,0.8751058,accuracy
A073,2,66.66,-0.48682293,accuracy
A073,3,66.9,-0.018863132,accuracy
A073,4,140.12,0.9759681,accuracy
A074,1,1.0,1.1391835,accuracy
A074,2,29.33,-0.16370372,accuracy
A074,3,73.02,-0.85258937,accuracy
A074,4,147.21,-1.1428367,accuracy
A075,1,1.0,0.4822121,accuracy
A075,2,28.68,0.49708104,accuracy
A075,3,71.37,-1.5457226,accuracy
A075,4,244.53,-0.5980336,accuracy
A076,1,1.0,-0.39436588,accuracy
A076,2,27.3,-0.7679121,accuracy
A076,3,74.88,-1.2046329,accuracy
A076,4,149.28,-2.5163941,accuracy
A077,1,1.0,1.257486,accuracy
A077,2,53.88,-0.15718071,accuracy
A077,3,78.36,0.254887,accuracy
A077,4,149.75,0.58986604,accuracy
A078,1,1.0,0.05510661,accuracy
A078,2,26.17,0.07325087,accuracy
A078,3,72.3,-1.0537938,accuracy
A078,4,140.08,-1.0697036,accuracy
A079,1,1.0,0.49688977,accuracy
A079,2,26.11,-0.40158516,accuracy
A079,3,74.0,-0.94553256,accuracy
A079,4,194.42,-0.9119565,accuracy
A080,1,1.0,0.35685366,accuracy
A080,2,29.03,0.34285796,accuracy
A080,3,72.87,0.31786218,accuracy
A080,4,145.77,-0.8033879,accuracy
A081,1,1.0,0.56923956,accuracy
A081,2,31.39,-0.24241331,accuracy
A081,3,80.13,0.93472326,accuracy
A081,4,154.53,0.18450806,accuracy
A082,1,1.0,0.47511065,accuracy
A082,2,27.97,1.1720833,accuracy
A082,3,75.71,0.4018064,accuracy
A082,4,170.25,-0.08527875,accuracy
A083,1,1.0,1.9135383,accuracy
A083,2,25.15,0.9028967,accuracy
A083,3,74.3,0.21852846,accuracy
A083,4,144.91,-0.03377411,accuracy
A084,1,1.0,0.37614724,accuracy
A084,2,27.25,-0.4066572,accuracy
A084,3,91.97,0.011830099,accuracy
A084,4,162.51,-0.024996497,accuracy
A085,1,1.0,0.29977113,accuracy
A085,2,24.51,1.7130281,accuracy
A085,3,71.4,-0.14947924,accuracy
A085,4,170.65,-0.5059031,accuracy
A086,1,1.0,0.9054527,accuracy
A086,2,23.47,-0.35819164,accuracy
A086,3,145.29,-1.1229844,accuracy
A086,4,169.55,-1.1456217,accuracy
A087,1,1.0,1.164813,accuracy
A087,2,31.07,1.112516,accuracy
A087,3,72.8,-0.23325346,accuracy
A087,4,144.2,0.27864328,accuracy
A088,1,1.0,2.00997,accuracy
A088,2,24.25,2.599694,accuracy
A088,3,74.91,0.43418288,accuracy
A088,4,149.93,1.1879628,accuracy
A089,1,1.0,1.6034564,accuracy
A089,2,32.14,0.9674698,accuracy
A089,3,79.34,0.524776,accuracy
A089,4,146.96,0.3647498,accuracy
A090,1,1.0,0.20163605,accuracy
A090,2,23.54,-0.51139903,accuracy
A090,3,95.42,-1.5578265,accuracy
A090,4,144.07,-1.1440647,accuracy
A091,1,1.0,0.64397514,accuracy
A091,2,22.2,-0.25296763,accuracy
A091,3,73.64,-1.0806334,accuracy
A091,4,142.61,-0.80276793,accuracy
A092,1,1.0,-0.28513366,accuracy
A092,2,22.83,-0.78696686,accuracy
A092,3,71.31,-0.45482323,accuracy
A092,4,146.16,-1.3833519,accuracy
A093,1,1.0,0.56161565,accuracy
A093,2,22.09,0.19028424,accuracy
A093,3,70.22,0.67098945,accuracy
A093,4,140.95,0.5149613,accuracy
A094,1,1.0,-0.70889944,accuracy
A094,2,22.98,-0.17624284,accuracy
A094,3,76.21,-1.6861137,accuracy
A094,4,149.99,-1.1788263,accuracy
A095,1,1.0,1.5409168,accuracy
A095,2,29.71,-0.27584857,accuracy
A095,3,78.76,-0.5608494,accuracy
A095,4,148.79,-0.7580661,accuracy
A096,1,1.0,-0.45961466,accuracy
A096,2,24.49,-1.2598481,accuracy
A096,3,71.19,-2.12857,accuracy
A096,4,143.66,-1.4557325,accuracy
A097,1,1.0,0.24293853,accuracy
A097,2,24.37,-0.5491651,accuracy
A097,3,70.83,0.7895957,accuracy
A097,4,144.85,0.086306766,accuracy
A098,1,1.0,0.6008492,accuracy
A098,2,25.77,0.3483601,accuracy
A098,3,78.84,1.1610224,accuracy
A098,4,146.29,-0.6924288,accuracy
A099,1,1.0,1.1219946,accuracy
A099,2,28.75,1.2483166,accuracy
A099,3,78.57,-0.21441267,accuracy
A099,4,143.51,0.8498486,accuracy
A100,1,1.0,-0.06985861,accuracy
A100,2,31.14,0.79101294,accuracy
A100,3,75.34,0.2661362,accuracy
A100,4,146.8,0.06164612,accuracy
A101,1,1.0,-1.0356112,accuracy
A101,2,29.12,-0.70036155,accuracy
A101,3,75.21,-1.5118189,accuracy
A101,4,150.22,-1.1640573,accuracy
A102,1,1.0,-0.044223346,accuracy
A102,2,29.13,1.0700971,accuracy
A102,3,75.27,-0.4782194,accuracy
A102,4,150.41,-0.5023084,accuracy
A103,1,1.0,1.7611793,accuracy
A103,2,27.26,-1.0142955,accuracy
A103,3,80.24,-1.7227138,accuracy
A103,4,149.72,-0.96813315,accuracy
A104,1,1.0,1.7474676,accuracy
A104,2,22.6,0.04523211,accuracy
A104,3,72.62,0.22338806,accuracy
A104,4,145.78,-1.7777252,accuracy
A105,1,1.0,0.61165696,accuracy
A105,2,22.77,0.47426346,accuracy
A105,3,69.46,-0.23769371,accuracy
A105,4,146.2,0.29649377,accuracy
A106,1,1.0,1.1972102,accuracy
A106,2,22.64,0.124567874,accuracy
A106,3,66.08,0.3480307,accuracy
A106,4,147.13,1.0106606,accuracy
A107,1,1.0,-0.71622896,accuracy
A107,2,26.22,-1.6166046,accuracy
A107,3,71.45,-1.0414004,accuracy
A107,4,145.95,-1.2497748,accuracy
A108,1,1.0,-0.4913459,accuracy
A108,2,27.61,-1.1094757,accuracy
A108,3,68.96,-0.358304,accuracy
A108,4,152.12,-1.1333818,accuracy
A109,1,1.0,-0.25337747,accuracy
A109,2,24.65,-1.0994496,accuracy
A109,3,71.17,-0.23198725,accuracy
A109,4,149.87,-1.2962439,accuracy
A010,1,1.0,0.9966144,confidence
A010,2,21.9,0.15345456,confidence
A010,3,80.88,-0.33591253,confidence
A010,4,145.31,-0.29618156,confidence
A011,1,1.0,2.008585,confidence
A011,2,24.57,0.74341935,confidence
A011,3,72.55,0.42186868,confidence
A011,4,148.85,-0.1016792,confidence
A012,1,1.0,1.096769,confidence
A012,2,25.6,0.21001981,confidence
A012,3,166.33,0.28759786,confidence
A012,4,166.87,0.20642641,confidence
A013,1,1.0,0.14108829,confidence
A013,2,24.77,-0.5918755,confidence
A013,3,79.66,-0.03260356,confidence
A013,4,147.13,-0.68100774,confidence
A014,1,1.0,1.5729513,confidence
A014,2,25.66,1.2684107,confidence
A014,3,70.56,1.0899367,confidence
A014,4,148.87,0.5533023,confidence
A015,1,1.0,1.4229563,confidence
A015,2,23.69,0.4972281,confidence
A015,3,70.59,0.28848577,confidence
A015,4,146.54,0.38678306,confidence
A016,1,1.0,0.6762369,confidence
A016,2,32.85,0.21624197,confidence
A016,3,80.64,-0.04119006,confidence
A016,4,150.8,-0.40759152,confidence
A017,1,1.0,1.2367781,confidence
A017,2,20.61,2.2045667,confidence
A017,3,61.28,2.0331683,confidence
A017,4,140.49,1.1423697,confidence
A018,1,1.0,0.4011214,confidence
A018,2,34.03,-0.6122024,confidence
A018,3,83.64,-0.9603171,confidence
A018,4,150.87,-1.4447218,confidence
A019,1,1.0,-0.13678566,confidence
A019,2,28.69,-0.41609767,confidence
A019,3,83.68,-0.15715945,confidence
A019,4,154.76,-0.49642876,confidence
A020,1,1.0,0.4385481,confidence
A020,2,26.85,0.025535457,confidence
A020,3,78.25,-0.6426598,confidence
A020,4,145.78,-1.0779264,confidence
A021,1,1.0,1.2973111,confidence
A021,2,30.21,0.85418165,confidence
A021,3,74.19,0.71108764,confidence
A021,4,140.39,0.59444976,confidence
A022,1,1.0,-1.0273978,confidence
A022,2,24.15,-1.6089394,confidence
A022,3,74.46,-1.41758,confidence
A022,4,141.71,-2.2419448,confidence
A023,1,1.0,0.8757261,confidence
A023,2,25.63,0.7151295,confidence
A023,3,72.2,0.6461154,confidence
A023,4,145.07,0.7143073,confidence
A024,1,1.0,0.5364075,confidence
A024,2,29.57,0.20124167,confidence
A024,3,91.47,0.3713352,confidence
A024,4,145.65,0.009039989,confidence
A025,1,1.0,0.7685537,confidence
A025,2,23.33,0.37906578,confidence
A025,3,72.94,-0.37838924,confidence
A025,4,137.74,-2.0631132,confidence
A026,1,1.0,0.56117547,confidence
A026,2,26.48,0.14260052,confidence
A026,3,75.46,0.47051916,confidence
A026,4,147.65,0.6031819,confidence
A027,1,1.0,1.0715036,confidence
A027,2,28.26,0.56911445,confidence
A027,3,74.58,-0.28420392,confidence
A027,4,145.92,-0.9887715,confidence
A028,1,1.0,1.2547947,confidence
A028,2,22.82,0.59293026,confidence
A028,3,72.26,-0.35394546,confidence
A028,4,138.91,-0.23738918,confidence
A029,1,1.0,1.6053915,confidence
A029,2,28.43,1.1294532,confidence
A029,3,93.26,0.56202656,confidence
A029,4,143.14,0.8559158,confidence
A030,1,1.0,0.23597223,confidence
A030,2,32.95,0.64555764,confidence
A030,3,71.93,-0.12588719,confidence
A030,4,150.46,-0.024427809,confidence
A031,1,1.0,2.0878112,confidence
A031,2,32.41,0.40126973,confidence
A031,3,71.56,-0.27508643,confidence
A031,4,143.85,-0.800131,confidence
A032,1,1.0,0.3052368,confidence
A032,2,57.18,-0.49530542,confidence
A032,3,80.16,-0.23620081,confidence
A032,4,144.51,0.30469647,confidence
A033,1,1.0,0.77137077,confidence
A033,2,29.16,0.4549792,confidence
A033,3,72.6,0.41117167,confidence
A033,4,168.33,-0.64959884,confidence
A034,1,1.0,2.0106363,confidence
A034,2,26.08,1.7898816,confidence
A034,3,74.28,1.2632637,confidence
A034,4,145.38,0.6997216,confidence
A035,1,1.0,0.8264408,confidence
A035,2,44.76,0.7271903,confidence
A035,3,79.98,0.063205935,confidence
A035,4,152.47,-0.33424705,confidence
A036,1,1.0,-0.8724763,confidence
A036,2,21.63,-1.4847412,confidence
A036,3,71.47,-1.3907819,confidence
A036,4,143.85,-1.6291748,confidence
A037,1,1.0,0.981827,confidence
A037,2,23.7,0.40132684,confidence
A037,3,72.08,-0.5773718,confidence
A037,4,143.66,-0.9496738,confidence
A038,1,1.0,1.2398889,confidence
A038,2,71.85,0.9916787,confidence
A038,3,72.86,1.0252008,confidence
A038,4,152.89,0.66296256,confidence
A039,1,1.0,2.2039258,confidence
A039,2,28.65,1.7605134,confidence
A039,3,98.84,0.9264932,confidence
A039,4,246.24,0.4581183,confidence
A040,1,1.0,0.10722337,confidence
A040,2,26.26,0.08675729,confidence
A040,3,71.28,-1.4581342,confidence
A040,4,143.53,-2.264335,confidence
A041,1,1.0,1.1639924,confidence
A041,2,31.78,-0.3599962,confidence
A041,3,75.74,0.55802584,confidence
A041,4,141.84,0.12782939,confidence
A042,1,1.0,-0.26355729,confidence
A042,2,28.93,-0.74814,confidence
A042,3,72.17,-0.6204812,confidence
A042,4,146.02,-1.0438489,confidence
A043,1,1.0,2.2976968,confidence
A043,2,25.62,1.9961102,confidence
A043,3,64.94,1.3940244,confidence
A043,4,149.33,0.8008104,confidence
A044,1,1.0,-0.48998752,confidence
A044,2,47.66,-0.78027636,confidence
A044,3,91.63,-1.2760453,confidence
A044,4,155.27,-1.6953964,confidence
A045,1,1.0,-0.1593461,confidence
A045,2,24.66,-0.27718532,confidence
A045,3,72.23,-0.045916285,confidence
A045,4,151.52,-1.021972,confidence
A046,1,1.0,0.676205,confidence
A046,2,24.32,-0.12228983,confidence
A046,3,73.05,-0.17526035,confidence
A046,4,147.94,-0.0935051,confidence
A047,1,1.0,0.3895279,confidence
A047,2,23.46,0.2769776,confidence
A047,3,76.85,-0.20571186,confidence
A047,4,144.22,-1.0360394,confidence
A048,1,1.0,0.724293,confidence
A048,2,23.91,0.52653074,confidence
A048,3,81.15,-0.118984975,confidence
A048,4,146.3,-0.5066172,confidence
A049,1,1.0,1.5637307,confidence
A049,2,27.12,-0.2571439,confidence
A049,3,111.38,-0.15933253,confidence
A049,4,168.86,-0.10835778,confidence
A050,1,1.0,0.035831243,confidence
A050,2,24.73,-0.56609553,confidence
A050,3,93.39,-1.4636116,confidence
A050,4,148.69,-1.8676877,confidence
A051,1,1.0,1.7638129,confidence
A051,2,17.16,1.4229454,confidence
A051,3,65.63,0.2748946,confidence
A051,4,146.99,0.112219095,confidence
A052,1,1.0,1.0086244,confidence
A052,2,31.76,0.23544133,confidence
A052,3,80.98,-0.10714758,confidence
A052,4,153.27,0.06826525,confidence
A053,1,1.0,0.7935923,confidence
A053,2,32.71,-0.35076645,confidence
A053,3,78.28,-0.35888958,confidence
A053,4,148.9,-0.38389128,confidence
A054,1,1.0,1.6660749,confidence
A054,2,16.9,0.7989242,confidence
A054,3,72.83,0.90146124,confidence
A054,4,136.83,0.721319,confidence
A055,1,1.0,0.8933571,confidence
A055,2,23.24,-0.30982408,confidence
A055,3,74.48,-0.7091042,confidence
A055,4,149.21,-0.52702236,confidence
A056,1,1.0,0.35512546,confidence
A056,2,33.61,-0.11481737,confidence
A056,3,71.46,-0.09799757,confidence
A056,4,147.84,-0.4329056,confidence
A057,1,1.0,0.7148236,confidence
A057,2,24.78,0.027630882,confidence
A057,3,73.83,-0.79511607,confidence
A057,4,145.06,-1.8122908,confidence
A058,1,1.0,0.6129219,confidence
A058,2,22.96,-1.2515614,confidence
A058,3,66.28,-1.0903395,confidence
A058,4,143.48,-1.8317188,confidence
A059,1,1.0,0.35930577,confidence
A059,2,30.4,-0.2759761,confidence
A059,3,79.78,-0.64548576,confidence
A059,4,151.93,-0.47585383,confidence
A060,1,1.0,1.1899056,confidence
A060,2,24.87,1.1297755,confidence
A060,3,94.68,0.7342384,confidence
A060,4,143.91,1.113592,confidence
A061,1,1.0,3.035337,confidence
A061,2,35.16,2.2201235,confidence
A061,3,82.55,0.58240455,confidence
A061,4,146.56,1.2262194,confidence
A062,1,1.0,0.8056381,confidence
A062,2,44.69,-0.1124377,confidence
A062,3,92.72,-0.80934817,confidence
A062,4,149.18,-1.309975,confidence
A063,1,1.0,-0.22373737,confidence
A063,2,21.98,-0.5303791,confidence
A063,3,69.99,-1.2802118,confidence
A063,4,141.09,-1.7153044,confidence
A064,1,1.0,0.97024375,confidence
A064,2,37.65,0.085474685,confidence
A064,3,82.99,0.11236071,confidence
A064,4,156.21,-0.03018738,confidence
A065,1,1.0,-0.13690929,confidence
A065,2,32.31,-1.1207016,confidence
A065,3,106.41,-1.3502693,confidence
A065,4,187.43,-1.8451918,confidence
A066,1,1.0,0.46811906,confidence
A066,2,23.35,-0.1757307,confidence
A066,3,73.79,-0.5405086,confidence
A066,4,164.93,-1.2039877,confidence
A067,1,1.0,0.24262358,confidence
A067,2,29.91,-1.4350314,confidence
A067,3,73.19,-1.9365375,confidence
A067,4,144.19,-1.7372146,confidence
A068,1,1.0,2.2656133,confidence
A068,2,30.49,1.3492081,confidence
A068,3,82.98,0.6539339,confidence
A068,4,155.59,0.16218548,confidence
A069,1,1.0,0.25422466,confidence
A069,2,24.96,-1.0452298,confidence
A069,3,79.75,-1.6103827,confidence
A069,4,140.22,-1.5714215,confidence
A070,1,1.0,0.26595566,confidence
A070,2,24.25,-0.2891156,confidence
A070,3,81.92,-1.5362434,confidence
A070,4,149.2,-2.3315032,confidence
A071,1,1.0,1.4062483,confidence
A071,2,30.92,0.008745952,confidence
A071,3,79.96,-0.64396226,confidence
A071,4,153.27,-0.40711495,confidence
A072,1,1.0,1.1476082,confidence
A072,2,33.76,0.8802795,confidence
A072,3,83.54,0.34604254,confidence
A072,4,154.89,-0.07694118,confidence
A073,1,1.0,0.005702734,confidence
A073,2,66.66,-0.51583505,confidence
A073,3,66.9,0.010290367,confidence
A073,4,140.12,-0.37375993,confidence
A074,1,1.0,0.4057072,confidence
A074,2,29.33,-0.26989007,confidence
A074,3,73.02,-1.2212816,confidence
A074,4,147.21,-0.7347055,confidence
A075,1,1.0,0.21868351,confidence
A075,2,28.68,-0.06407137,confidence
A075,3,71.37,-1.966908,confidence
A075,4,244.53,-0.76381415,confidence
A076,1,1.0,-0.25764796,confidence
A076,2,27.3,-0.64143974,confidence
A076,3,74.88,-0.8713531,confidence
A076,4,149.28,-2.0592318,confidence
A077,1,1.0,1.0828195,confidence
A077,2,53.88,-0.061775867,confidence
A077,3,78.36,-0.057523195,confidence
A077,4,149.75,0.02102494,confidence
A078,1,1.0,-0.9361496,confidence
A078,2,26.17,-0.96595,confidence
A078,3,72.3,-1.7301757,confidence
A078,4,140.08,-1.7319458,confidence
A079,1,1.0,0.3822094,confidence
A079,2,26.11,0.10216686,confidence
A079,3,74.0,-0.4006794,confidence
A079,4,194.42,-0.75433517,confidence
A080,1,1.0,1.1243324,confidence
A080,2,29.03,0.6892572,confidence
A080,3,72.87,0.62320197,confidence
A080,4,145.77,-0.8472369,confidence
A081,1,1.0,1.2758523,confidence
A081,2,31.39,0.6858867,confidence
A081,3,80.13,0.8307492,confidence
A081,4,154.53,0.7054321,confidence
A082,1,1.0,0.1739859,confidence
A082,2,27.97,-0.04442855,confidence
A082,3,75.71,-0.4148056,confidence
A082,4,170.25,-0.8596984,confidence
A083,1,1.0,1.2734162,confidence
A083,2,25.15,0.3070551,confidence
A083,3,74.3,0.6661916,confidence
A083,4,144.91,0.5780402,confidence
A084,1,1.0,-0.42285675,confidence
