UID,test,day_label,TSVR_hours,theta_acc,theta_conf,se_conf
A046,4,Day6,147.94,-1.154563,-0.0935051,0.07339282
A047,1,Day0,1.0,-0.7466336,0.3895279,0.07339282
A047,2,Day1,23.46,-0.5145792,0.2769776,0.07339282
A047,3,Day3,76.85,-1.2429395,-0.20571186,0.07339282
A047,4,Day6,144.22,-1.600209,-1.0360394,0.07339282
A048,1,Day0,1.0,1.0764405,0.724293,0.07339282
A048,2,Day1,23.91,-0.06019045,0.52653074,0.07339282
A048,3,Day3,81.15,0.14282681,-0.118984975,0.07339282
A048,4,Day6,146.3,0.09614354,-0.5066172,0.07339282
A049,1,Day0,1.0,2.1010969,1.5637307,0.07339282
A049,2,Day1,27.12,-0.5321013,-0.2571439,0.07339282
A049,3,Day3,111.38,0.37812865,-0.15933253,0.07339282
A049,4,Day6,168.86,0.034191336,-0.10835778,0.07339282
A050,1,Day0,1.0,-0.39878848,0.035831243,0.07339282
A050,2,Day1,24.73,-0.71372736,-0.56609553,0.07339282
A050,3,Day3,93.39,-0.9261868,-1.4636116,0.07339282
A050,4,Day6,148.69,-1.1381246,-1.8676877,0.07339282
A051,1,Day0,1.0,1.5230782,1.7638129,0.07339282
A051,2,Day1,17.16,-0.30774206,1.4229454,0.07339282
A051,3,Day3,65.63,-0.6520249,0.2748946,0.07339282
A051,4,Day6,146.99,-0.72000563,0.112219095,0.07339282
A052,1,Day0,1.0,0.58457315,1.0086244,0.07339282
A052,2,Day1,31.76,0.3844317,0.23544133,0.07339282
A052,3,Day3,80.98,0.116021834,-0.10714758,0.07339282
A052,4,Day6,153.27,-0.8312764,0.06826525,0.07339282
A053,1,Day0,1.0,1.401935,0.7935923,0.07339282
A053,2,Day1,32.71,0.97594434,-0.35076645,0.07339282
A053,3,Day3,78.28,-0.40916884,-0.35888958,0.07339282
A053,4,Day6,148.9,-0.13549207,-0.38389128,0.07339282
A054,1,Day0,1.0,0.52522403,1.6660749,0.07339282
A054,2,Day1,16.9,1.1258696,0.7989242,0.07339282
A054,3,Day3,72.83,1.191061,0.90146124,0.07339282
A054,4,Day6,136.83,1.2362738,0.721319,0.07339282
A055,1,Day0,1.0,0.28537354,0.8933571,0.07339282
A055,2,Day1,23.24,0.8647509,-0.30982408,0.07339282
A055,3,Day3,74.48,-0.119812906,-0.7091042,0.07339282
A055,4,Day6,149.21,-0.62007034,-0.52702236,0.07339282
A056,1,Day0,1.0,0.5282342,0.35512546,0.07339282
A056,2,Day1,33.61,0.54977185,-0.11481737,0.07339282
A056,3,Day3,71.46,-0.4118956,-0.09799757,0.07339282
A056,4,Day6,147.84,-0.9539059,-0.4329056,0.07339282
A057,1,Day0,1.0,0.4946756,0.7148236,0.07339282
A057,2,Day1,24.78,-0.77376056,0.027630882,0.07339282
A057,3,Day3,73.83,-0.68134856,-0.79511607,0.07339282
A057,4,Day6,145.06,-1.0877718,-1.8122908,0.07339282
A058,1,Day0,1.0,1.0215306,0.6129219,0.07339282
A058,2,Day1,22.96,-0.8427394,-1.2515614,0.07339282
A058,3,Day3,66.28,-0.121771336,-1.0903395,0.07339282
A058,4,Day6,143.48,-1.0669552,-1.8317188,0.07339282
A059,1,Day0,1.0,0.99710035,0.35930577,0.07339282
A059,2,Day1,30.4,1.2424322,-0.2759761,0.07339282
A059,3,Day3,79.78,1.3356622,-0.64548576,0.07339282
A059,4,Day6,151.93,0.38432297,-0.47585383,0.07339282
A060,1,Day0,1.0,-0.051358394,1.1899056,0.07339282
A060,2,Day1,24.87,1.310061,1.1297755,0.07339282
A060,3,Day3,94.68,-0.5090028,0.7342384,0.07339282
A060,4,Day6,143.91,0.19280487,1.113592,0.07339282
A061,1,Day0,1.0,2.529091,3.035337,0.07339282
A061,2,Day1,35.16,0.94611883,2.2201235,0.07339282
A061,3,Day3,82.55,0.27741587,0.58240455,0.07339282
A061,4,Day6,146.56,-0.2929151,1.2262194,0.07339282
A062,1,Day0,1.0,1.5359104,0.8056381,0.07339282
A062,2,Day1,44.69,0.14121151,-0.1124377,0.07339282
A062,3,Day3,92.72,-0.59946907,-0.80934817,0.07339282
A062,4,Day6,149.18,-0.7168849,-1.309975,0.07339282
A063,1,Day0,1.0,0.86206603,-0.22373737,0.07339282
A063,2,Day1,21.98,0.7186035,-0.5303791,0.07339282
A063,3,Day3,69.99,0.17484958,-1.2802118,0.07339282
A063,4,Day6,141.09,-0.58241045,-1.7153044,0.07339282
A064,1,Day0,1.0,0.83211017,0.97024375,0.07339282
A064,2,Day1,37.65,0.56187433,0.085474685,0.07339282
A064,3,Day3,82.99,0.17636402,0.11236071,0.07339282
A064,4,Day6,156.21,-0.33321425,-0.03018738,0.07339282
A065,1,Day0,1.0,-2.2385516,-0.13690929,0.07339282
A065,2,Day1,32.31,-0.9801161,-1.1207016,0.07339282
A065,3,Day3,106.41,-2.2205753,-1.3502693,0.07339282
A065,4,Day6,187.43,-2.3754525,-1.8451918,0.07339282
A066,1,Day0,1.0,0.46571386,0.46811906,0.07339282
A066,2,Day1,23.35,-0.45289963,-0.1757307,0.07339282
A066,3,Day3,73.79,-0.92944336,-0.5405086,0.07339282
A066,4,Day6,164.93,-1.2830758,-1.2039877,0.07339282
A067,1,Day0,1.0,0.6627066,0.24262358,0.07339282
A067,2,Day1,29.91,-1.312235,-1.4350314,0.07339282
A067,3,Day3,73.19,-1.4752139,-1.9365375,0.07339282
A067,4,Day6,144.19,-1.1757759,-1.7372146,0.07339282
A068,1,Day0,1.0,1.3038205,2.2656133,0.07339282
A068,2,Day1,30.49,0.163223,1.3492081,0.07339282
A068,3,Day3,82.98,0.4192529,0.6539339,0.07339282
A068,4,Day6,155.59,-0.3906647,0.16218548,0.07339282
A069,1,Day0,1.0,-0.7867887,0.25422466,0.07339282
A069,2,Day1,24.96,-1.5067587,-1.0452298,0.07339282
A069,3,Day3,79.75,-0.71302193,-1.6103827,0.07339282
A069,4,Day6,140.22,-1.7110198,-1.5714215,0.07339282
A070,1,Day0,1.0,0.5967721,0.26595566,0.07339282
A070,2,Day1,24.25,0.042192243,-0.2891156,0.07339282
A070,3,Day3,81.92,-0.4347659,-1.5362434,0.07339282
A070,4,Day6,149.2,-1.0469787,-2.3315032,0.07339282
A071,1,Day0,1.0,1.1001538,1.4062483,0.07339282
A071,2,Day1,30.92,0.40058818,0.008745952,0.07339282
A071,3,Day3,79.96,-0.86193055,-0.64396226,0.07339282
A071,4,Day6,153.27,0.1462163,-0.40711495,0.07339282
A072,1,Day0,1.0,0.9622242,1.1476082,0.07339282
A072,2,Day1,33.76,0.37431285,0.8802795,0.07339282
A072,3,Day3,83.54,-0.88631296,0.34604254,0.07339282
A072,4,Day6,154.89,-0.13873519,-0.07694118,0.07339282
A073,1,Day0,1.0,0.8751058,0.005702734,0.07339282
A073,2,Day1,66.66,-0.48682293,-0.51583505,0.07339282
A073,3,Day3,66.9,-0.018863132,0.010290367,0.07339282
A073,4,Day6,140.12,0.9759681,-0.37375993,0.07339282
A074,1,Day0,1.0,1.1391835,0.4057072,0.07339282
A074,2,Day1,29.33,-0.16370372,-0.26989007,0.07339282
A074,3,Day3,73.02,-0.85258937,-1.2212816,0.07339282
A074,4,Day6,147.21,-1.1428367,-0.7347055,0.07339282
A075,1,Day0,1.0,0.4822121,0.21868351,0.07339282
A075,2,Day1,28.68,0.49708104,-0.06407137,0.07339282
A075,3,Day3,71.37,-1.5457226,-1.966908,0.07339282
A075,4,Day6,244.53,-0.5980336,-0.76381415,0.07339282
A076,1,Day0,1.0,-0.39436588,-0.25764796,0.07339282
A076,2,Day1,27.3,-0.7679121,-0.64143974,0.07339282
