composite_ID,UID,test,paradigm,theta,Age
A102_4,A102,4,IFR,0.35073677,68.0
A103_1,A103,1,IFR,1.6094108,68.0
A103_2,A103,2,IFR,-0.4749365,68.0
A103_3,A103,3,IFR,-1.2749491,68.0
A103_4,A103,4,IFR,-0.7590711,68.0
A104_1,A104,1,IFR,1.8006684,66.0
A104_2,A104,2,IFR,0.63661397,66.0
A104_3,A104,3,IFR,-0.25256342,66.0
A104_4,A104,4,IFR,-1.6931355,66.0
A105_1,A105,1,IFR,0.6124308,68.0
A105_2,A105,2,IFR,0.6128357,68.0
A105_3,A105,3,IFR,-0.43068558,68.0
A105_4,A105,4,IFR,-0.08775301,68.0
A106_1,A106,1,IFR,1.270947,66.0
A106_2,A106,2,IFR,-0.42703262,66.0
A106_3,A106,3,IFR,0.37435147,66.0
A106_4,A106,4,IFR,1.085603,66.0
A107_1,A107,1,IFR,-0.8262498,70.0
A107_2,A107,2,IFR,-1.2923126,70.0
A107_3,A107,3,IFR,-0.8783097,70.0
A107_4,A107,4,IFR,-0.54525477,70.0
A108_1,A108,1,IFR,-0.5137304,69.0
A108_2,A108,2,IFR,-0.843856,69.0
A108_3,A108,3,IFR,-0.07909426,69.0
A108_4,A108,4,IFR,-1.6712129,69.0
A109_1,A109,1,IFR,-0.14437068,68.0
A109_2,A109,2,IFR,-1.270778,68.0
A109_3,A109,3,IFR,0.009080338,68.0
A109_4,A109,4,IFR,-1.5646012,68.0
A010_1,A010,1,ICR,2.3076186,22.0
A010_2,A010,2,ICR,0.50561595,22.0
A010_3,A010,3,ICR,-0.34386626,22.0
A010_4,A010,4,ICR,0.39210933,22.0
A011_1,A011,1,ICR,0.5639205,21.0
A011_2,A011,2,ICR,-0.21693763,21.0
A011_3,A011,3,ICR,-0.11885676,21.0
A011_4,A011,4,ICR,-0.40435803,21.0
A012_1,A012,1,ICR,0.84081537,21.0
A012_2,A012,2,ICR,-0.011747679,21.0
A012_3,A012,3,ICR,0.46904305,21.0
A012_4,A012,4,ICR,-1.1657566,21.0
A013_1,A013,1,ICR,-0.06196794,22.0
