composite_ID,UID,test,paradigm,theta,Age,Age_c,TSVR_hours,log_TSVR
A043_1,A043,1,IFR,0.9052307,38.0,-6.57,1.0,0.6931471805599453
A043_2,A043,2,IFR,0.115137,38.0,-6.57,25.62,3.2816628129669656
A043_3,A043,3,IFR,0.2997891,38.0,-6.57,64.94,4.188745237643585
A043_4,A043,4,IFR,0.048738178,38.0,-6.57,149.33,5.012832877639743
A044_1,A044,1,IFR,-0.8060287,38.0,-6.57,1.0,0.6931471805599453
A044_2,A044,2,IFR,-0.19541748,38.0,-6.57,47.66,3.8848573373553763
A044_3,A044,3,IFR,-1.4959046,38.0,-6.57,91.63,4.5286130632659365
A044_4,A044,4,IFR,-1.0974785,38.0,-6.57,155.27,5.0515852804252095
A045_1,A045,1,IFR,-0.76336116,37.0,-7.57,1.0,0.6931471805599453
A045_2,A045,2,IFR,-0.47526395,37.0,-7.57,24.66,3.2449333591874905
A045_3,A045,3,IFR,-0.4236594,37.0,-7.57,72.23,4.2936051730729785
A045_4,A045,4,IFR,-1.2165346,37.0,-7.57,151.52,5.027295734989363
A046_1,A046,1,IFR,-0.77469015,38.0,-6.57,1.0,0.6931471805599453
A046_2,A046,2,IFR,-1.245836,38.0,-6.57,24.32,3.2315945972759756
A046_3,A046,3,IFR,-1.6056858,38.0,-6.57,73.05,4.304740540713808
A046_4,A046,4,IFR,-1.0504586,38.0,-6.57,147.94,5.003543540282499
A047_1,A047,1,IFR,-0.5218471,36.0,-8.57,1.0,0.6931471805599453
A047_2,A047,2,IFR,-0.38599724,36.0,-8.57,23.46,3.1970391302590264
A047_3,A047,3,IFR,-1.1630286,36.0,-8.57,76.85,4.354783898280007
A047_4,A047,4,IFR,-0.8443499,36.0,-8.57,144.22,4.978249833952101
A048_1,A048,1,IFR,1.4464241,38.0,-6.57,1.0,0.6931471805599453
A048_2,A048,2,IFR,-0.24025916,38.0,-6.57,23.91,3.215269329274089
A048_3,A048,3,IFR,0.37180644,38.0,-6.57,81.15,4.408546844483277
A048_4,A048,4,IFR,0.32747135,38.0,-6.57,146.3,4.9924713234685845
A049_1,A049,1,IFR,1.9369724,35.0,-9.57,1.0,0.6931471805599453
A049_2,A049,2,IFR,-0.40477413,35.0,-9.57,27.12,3.336481066942464
A049_3,A049,3,IFR,0.5799155,35.0,-9.57,111.38,4.721885985684052
A049_4,A049,4,IFR,0.29279515,35.0,-9.57,168.86,5.134974568351863
A050_1,A050,1,IFR,0.10375316,41.0,-3.5700000000000003,1.0,0.6931471805599453
A050_2,A050,2,IFR,-0.20866837,41.0,-3.5700000000000003,24.73,3.2476576262936527
A050_3,A050,3,IFR,-0.78698945,41.0,-3.5700000000000003,93.39,4.547435135336853
A050_4,A050,4,IFR,-0.7662721,41.0,-3.5700000000000003,148.69,5.008566488927144
A051_1,A051,1,IFR,1.1308651,41.0,-3.5700000000000003,1.0,0.6931471805599453
A051_2,A051,2,IFR,-0.1484353,41.0,-3.5700000000000003,17.16,2.8992213731731473
A051_3,A051,3,IFR,-0.51630783,41.0,-3.5700000000000003,65.63,4.199154926574446
A051_4,A051,4,IFR,-0.24947512,41.0,-3.5700000000000003,146.99,4.997144703913756
A052_1,A052,1,IFR,0.8560208,43.0,-1.5700000000000003,1.0,0.6931471805599453
A052_2,A052,2,IFR,0.514484,43.0,-1.5700000000000003,31.76,3.4892082589848687
A052_3,A052,3,IFR,0.336497,43.0,-1.5700000000000003,80.98,4.406475315076191
A052_4,A052,4,IFR,-0.45561698,43.0,-1.5700000000000003,153.27,5.038704314023848
A053_1,A053,1,IFR,1.4144037,44.0,-0.5700000000000003,1.0,0.6931471805599453
A053_2,A053,2,IFR,0.28295353,44.0,-0.5700000000000003,32.71,3.5177945292459696
A053_3,A053,3,IFR,-0.83496577,44.0,-0.5700000000000003,78.28,4.372985890021733
A053_4,A053,4,IFR,-0.19286156,44.0,-0.5700000000000003,148.9,5.009968405108552
A054_1,A054,1,IFR,0.06454673,43.0,-1.5700000000000003,1.0,0.6931471805599453
A054_2,A054,2,IFR,0.59928095,43.0,-1.5700000000000003,16.9,2.884800712846709
A054_3,A054,3,IFR,0.76526284,43.0,-1.5700000000000003,72.83,4.3017651530710745
A054_4,A054,4,IFR,1.2983474,43.0,-1.5700000000000003,136.83,4.926021041706347
A055_1,A055,1,IFR,-0.3203487,44.0,-0.5700000000000003,1.0,0.6931471805599453
A055_2,A055,2,IFR,0.5494155,44.0,-0.5700000000000003,23.24,3.1880041612011136
A055_3,A055,3,IFR,-0.9620779,44.0,-0.5700000000000003,74.48,4.32386772050035
A055_4,A055,4,IFR,-0.9730982,44.0,-0.5700000000000003,149.21,5.012034315009963
A056_1,A056,1,IFR,0.8824607,42.0,-2.5700000000000003,1.0,0.6931471805599453
A056_2,A056,2,IFR,0.3381003,42.0,-2.5700000000000003,33.61,3.544142657647253
A056_3,A056,3,IFR,-0.26972502,42.0,-2.5700000000000003,71.46,4.283034685466931
A056_4,A056,4,IFR,-1.5637758,42.0,-2.5700000000000003,147.84,5.002871903478422
A057_1,A057,1,IFR,0.009936852,40.0,-4.57,1.0,0.6931471805599453
A057_2,A057,2,IFR,-0.7343016,40.0,-4.57,24.78,3.2495989975110415
A057_3,A057,3,IFR,-0.6061695,40.0,-4.57,73.83,4.315218874092267
A057_4,A057,4,IFR,-1.3534855,40.0,-4.57,145.06,4.984017496191964
A058_1,A058,1,IFR,1.2909634,42.0,-2.5700000000000003,1.0,0.6931471805599453
A058_2,A058,2,IFR,-1.1071848,42.0,-2.5700000000000003,22.96,3.1763857732472487
A058_3,A058,3,IFR,-0.0076611126,42.0,-2.5700000000000003,66.28,4.208863015664693
A058_4,A058,4,IFR,-0.8837645,42.0,-2.5700000000000003,143.48,4.973141089668675
A059_1,A059,1,IFR,0.98924613,43.0,-1.5700000000000003,1.0,0.6931471805599453
A059_2,A059,2,IFR,1.1210508,43.0,-1.5700000000000003,30.4,3.4468078929142076
A059_3,A059,3,IFR,1.5913445,43.0,-1.5700000000000003,79.78,4.391729410135267
A059_4,A059,4,IFR,0.5147332,43.0,-1.5700000000000003,151.93,5.029980300360032
A060_1,A060,1,IFR,0.089007095,48.0,3.4299999999999997,1.0,0.6931471805599453
A060_2,A060,2,IFR,0.9243096,48.0,3.4299999999999997,24.87,3.2530839961979376
A060_3,A060,3,IFR,-0.42468035,48.0,3.4299999999999997,94.68,4.561009290202322
A060_4,A060,4,IFR,0.6639469,48.0,3.4299999999999997,143.91,4.976112860057833
A061_1,A061,1,IFR,2.6159682,47.0,2.4299999999999997,1.0,0.6931471805599453
A061_2,A061,2,IFR,0.83355284,47.0,2.4299999999999997,35.16,3.5879535355239756
A061_3,A061,3,IFR,0.720659,47.0,2.4299999999999997,82.55,4.425445255041403
A061_4,A061,4,IFR,-0.44061255,47.0,2.4299999999999997,146.56,4.994234872728475
