TSVR_hours,theta,UID,data_type,prediction_se,theta_lower,theta_upper
44.76,0.7425775,A035,observed,,,
79.98,-0.4961729,A035,observed,,,
152.47,-0.98961914,A035,observed,,,
1.0,1.3283472,A036,observed,,,
21.63,-0.15242939,A036,observed,,,
71.47,-0.39740184,A036,observed,,,
143.85,-1.0100961,A036,observed,,,
1.0,1.1801162,A037,observed,,,
23.7,1.2522094,A037,observed,,,
72.08,0.29365978,A037,observed,,,
143.66,-0.16601759,A037,observed,,,
1.0,1.2059275,A038,observed,,,
71.85,-0.16850944,A038,observed,,,
72.86,0.9667946,A038,observed,,,
152.89,-0.017467948,A038,observed,,,
1.0,2.174663,A039,observed,,,
28.65,1.3026897,A039,observed,,,
98.84,0.567675,A039,observed,,,
246.24,0.72307914,A039,observed,,,
1.0,-0.5069201,A040,observed,,,
26.26,0.14172223,A040,observed,,,
71.28,-1.6828778,A040,observed,,,
143.53,-1.6119773,A040,observed,,,
1.0,1.1962991,A041,observed,,,
31.78,-1.1736511,A041,observed,,,
75.74,0.2872409,A041,observed,,,
141.84,0.1290578,A041,observed,,,
1.0,-0.8806226,A042,observed,,,
28.93,-0.99250966,A042,observed,,,
72.17,-0.17139933,A042,observed,,,
146.02,-1.260689,A042,observed,,,
1.0,1.0349586,A043,observed,,,
25.62,0.5667534,A043,observed,,,
64.94,0.56906503,A043,observed,,,
149.33,-0.36708274,A043,observed,,,
1.0,-0.0888245,A044,observed,,,
47.66,-0.37333766,A044,observed,,,
91.63,-1.308094,A044,observed,,,
155.27,-1.7971689,A044,observed,,,
1.0,-0.9017756,A045,observed,,,
24.66,-1.0143217,A045,observed,,,
72.23,-1.1242429,A045,observed,,,
151.52,-1.2476392,A045,observed,,,
1.0,-0.7687857,A046,observed,,,
24.32,-1.3034526,A046,observed,,,
73.05,-1.624248,A046,observed,,,
147.94,-1.154563,A046,observed,,,
1.0,-0.7466336,A047,observed,,,
23.46,-0.5145792,A047,observed,,,
76.85,-1.2429395,A047,observed,,,
144.22,-1.600209,A047,observed,,,
1.0,1.0764405,A048,observed,,,
23.91,-0.06019045,A048,observed,,,
81.15,0.14282681,A048,observed,,,
146.3,0.09614354,A048,observed,,,
1.0,2.1010969,A049,observed,,,
27.12,-0.5321013,A049,observed,,,
111.38,0.37812865,A049,observed,,,
168.86,0.034191336,A049,observed,,,
1.0,-0.39878848,A050,observed,,,
24.73,-0.71372736,A050,observed,,,
93.39,-0.9261868,A050,observed,,,
148.69,-1.1381246,A050,observed,,,
1.0,1.5230782,A051,observed,,,
17.16,-0.30774206,A051,observed,,,
65.63,-0.6520249,A051,observed,,,
146.99,-0.72000563,A051,observed,,,
1.0,0.58457315,A052,observed,,,
31.76,0.3844317,A052,observed,,,
80.98,0.116021834,A052,observed,,,
153.27,-0.8312764,A052,observed,,,
1.0,1.401935,A053,observed,,,
32.71,0.97594434,A053,observed,,,
78.28,-0.40916884,A053,observed,,,
148.9,-0.13549207,A053,observed,,,
1.0,0.52522403,A054,observed,,,
16.9,1.1258696,A054,observed,,,
72.83,1.191061,A054,observed,,,
136.83,1.2362738,A054,observed,,,
1.0,0.28537354,A055,observed,,,
23.24,0.8647509,A055,observed,,,
74.48,-0.119812906,A055,observed,,,
149.21,-0.62007034,A055,observed,,,
1.0,0.5282342,A056,observed,,,
33.61,0.54977185,A056,observed,,,
71.46,-0.4118956,A056,observed,,,
147.84,-0.9539059,A056,observed,,,
1.0,0.4946756,A057,observed,,,
24.78,-0.77376056,A057,observed,,,
73.83,-0.68134856,A057,observed,,,
145.06,-1.0877718,A057,observed,,,
1.0,1.0215306,A058,observed,,,
22.96,-0.8427394,A058,observed,,,
66.28,-0.121771336,A058,observed,,,
143.48,-1.0669552,A058,observed,,,
1.0,0.99710035,A059,observed,,,
30.4,1.2424322,A059,observed,,,
79.78,1.3356622,A059,observed,,,
151.93,0.38432297,A059,observed,,,
1.0,-0.051358394,A060,observed,,,
24.87,1.310061,A060,observed,,,
94.68,-0.5090028,A060,observed,,,
143.91,0.19280487,A060,observed,,,
1.0,2.529091,A061,observed,,,
35.16,0.94611883,A061,observed,,,
82.55,0.27741587,A061,observed,,,
146.56,-0.2929151,A061,observed,,,
1.0,1.5359104,A062,observed,,,
44.69,0.14121151,A062,observed,,,
92.72,-0.59946907,A062,observed,,,
149.18,-0.7168849,A062,observed,,,
1.0,0.86206603,A063,observed,,,
21.98,0.7186035,A063,observed,,,
69.99,0.17484958,A063,observed,,,
141.09,-0.58241045,A063,observed,,,
1.0,0.83211017,A064,observed,,,
37.65,0.56187433,A064,observed,,,
82.99,0.17636402,A064,observed,,,
156.21,-0.33321425,A064,observed,,,
1.0,-2.2385516,A065,observed,,,
32.31,-0.9801161,A065,observed,,,
106.41,-2.2205753,A065,observed,,,
187.43,-2.3754525,A065,observed,,,
1.0,0.46571386,A066,observed,,,
23.35,-0.45289963,A066,observed,,,
73.79,-0.92944336,A066,observed,,,
164.93,-1.2830758,A066,observed,,,
1.0,0.6627066,A067,observed,,,
29.91,-1.312235,A067,observed,,,
73.19,-1.4752139,A067,observed,,,
144.19,-1.1757759,A067,observed,,,
1.0,1.3038205,A068,observed,,,
30.49,0.163223,A068,observed,,,
82.98,0.4192529,A068,observed,,,
155.59,-0.3906647,A068,observed,,,
1.0,-0.7867887,A069,observed,,,
24.96,-1.5067587,A069,observed,,,
79.75,-0.71302193,A069,observed,,,
140.22,-1.7110198,A069,observed,,,
1.0,0.5967721,A070,observed,,,
24.25,0.042192243,A070,observed,,,
81.92,-0.4347659,A070,observed,,,
149.2,-1.0469787,A070,observed,,,
1.0,1.1001538,A071,observed,,,
30.92,0.40058818,A071,observed,,,
79.96,-0.86193055,A071,observed,,,
153.27,0.1462163,A071,observed,,,
1.0,0.9622242,A072,observed,,,
33.76,0.37431285,A072,observed,,,
83.54,-0.88631296,A072,observed,,,
154.89,-0.13873519,A072,observed,,,
1.0,0.8751058,A073,observed,,,
66.66,-0.48682293,A073,observed,,,
66.9,-0.018863132,A073,observed,,,
140.12,0.9759681,A073,observed,,,
1.0,1.1391835,A074,observed,,,
29.33,-0.16370372,A074,observed,,,
73.02,-0.85258937,A074,observed,,,
147.21,-1.1428367,A074,observed,,,
1.0,0.4822121,A075,observed,,,
28.68,0.49708104,A075,observed,,,
71.37,-1.5457226,A075,observed,,,
244.53,-0.5980336,A075,observed,,,
1.0,-0.39436588,A076,observed,,,
27.3,-0.7679121,A076,observed,,,
74.88,-1.2046329,A076,observed,,,
149.28,-2.5163941,A076,observed,,,
1.0,1.257486,A077,observed,,,
53.88,-0.15718071,A077,observed,,,
78.36,0.254887,A077,observed,,,
149.75,0.58986604,A077,observed,,,
1.0,0.05510661,A078,observed,,,
26.17,0.07325087,A078,observed,,,
72.3,-1.0537938,A078,observed,,,
140.08,-1.0697036,A078,observed,,,
1.0,0.49688977,A079,observed,,,
26.11,-0.40158516,A079,observed,,,
74.0,-0.94553256,A079,observed,,,
194.42,-0.9119565,A079,observed,,,
1.0,0.35685366,A080,observed,,,
29.03,0.34285796,A080,observed,,,
72.87,0.31786218,A080,observed,,,
145.77,-0.8033879,A080,observed,,,
1.0,0.56923956,A081,observed,,,
31.39,-0.24241331,A081,observed,,,
80.13,0.93472326,A081,observed,,,
154.53,0.18450806,A081,observed,,,
1.0,0.47511065,A082,observed,,,
27.97,1.1720833,A082,observed,,,
75.71,0.4018064,A082,observed,,,
170.25,-0.08527875,A082,observed,,,
1.0,1.9135383,A083,observed,,,
25.15,0.9028967,A083,observed,,,
74.3,0.21852846,A083,observed,,,
144.91,-0.03377411,A083,observed,,,
1.0,0.37614724,A084,observed,,,
27.25,-0.4066572,A084,observed,,,
91.97,0.011830099,A084,observed,,,
162.51,-0.024996497,A084,observed,,,
1.0,0.29977113,A085,observed,,,
24.51,1.7130281,A085,observed,,,
71.4,-0.14947924,A085,observed,,,
170.65,-0.5059031,A085,observed,,,
1.0,0.9054527,A086,observed,,,
23.47,-0.35819164,A086,observed,,,
145.29,-1.1229844,A086,observed,,,
169.55,-1.1456217,A086,observed,,,
1.0,1.164813,A087,observed,,,
31.07,1.112516,A087,observed,,,
72.8,-0.23325346,A087,observed,,,
144.2,0.27864328,A087,observed,,,
1.0,2.00997,A088,observed,,,
24.25,2.599694,A088,observed,,,
74.91,0.43418288,A088,observed,,,
149.93,1.1879628,A088,observed,,,
1.0,1.6034564,A089,observed,,,
32.14,0.9674698,A089,observed,,,
79.34,0.524776,A089,observed,,,
146.96,0.3647498,A089,observed,,,
1.0,0.20163605,A090,observed,,,
23.54,-0.51139903,A090,observed,,,
95.42,-1.5578265,A090,observed,,,
144.07,-1.1440647,A090,observed,,,
1.0,0.64397514,A091,observed,,,
22.2,-0.25296763,A091,observed,,,
73.64,-1.0806334,A091,observed,,,
142.61,-0.80276793,A091,observed,,,
1.0,-0.28513366,A092,observed,,,
22.83,-0.78696686,A092,observed,,,
71.31,-0.45482323,A092,observed,,,
146.16,-1.3833519,A092,observed,,,
1.0,0.56161565,A093,observed,,,
22.09,0.19028424,A093,observed,,,
70.22,0.67098945,A093,observed,,,
140.95,0.5149613,A093,observed,,,
1.0,-0.70889944,A094,observed,,,
22.98,-0.17624284,A094,observed,,,
76.21,-1.6861137,A094,observed,,,
149.99,-1.1788263,A094,observed,,,
1.0,1.5409168,A095,observed,,,
29.71,-0.27584857,A095,observed,,,
78.76,-0.5608494,A095,observed,,,
148.79,-0.7580661,A095,observed,,,
1.0,-0.45961466,A096,observed,,,
24.49,-1.2598481,A096,observed,,,
71.19,-2.12857,A096,observed,,,
143.66,-1.4557325,A096,observed,,,
1.0,0.24293853,A097,observed,,,
24.37,-0.5491651,A097,observed,,,
70.83,0.7895957,A097,observed,,,
144.85,0.086306766,A097,observed,,,
1.0,0.6008492,A098,observed,,,
25.77,0.3483601,A098,observed,,,
78.84,1.1610224,A098,observed,,,
146.29,-0.6924288,A098,observed,,,
1.0,1.1219946,A099,observed,,,
28.75,1.2483166,A099,observed,,,
78.57,-0.21441267,A099,observed,,,
143.51,0.8498486,A099,observed,,,
1.0,-0.06985861,A100,observed,,,
31.14,0.79101294,A100,observed,,,
75.34,0.2661362,A100,observed,,,
146.8,0.06164612,A100,observed,,,
1.0,-1.0356112,A101,observed,,,
29.12,-0.70036155,A101,observed,,,
75.21,-1.5118189,A101,observed,,,
150.22,-1.1640573,A101,observed,,,
1.0,-0.044223346,A102,observed,,,
29.13,1.0700971,A102,observed,,,
75.27,-0.4782194,A102,observed,,,
150.41,-0.5023084,A102,observed,,,
1.0,1.7611793,A103,observed,,,
27.26,-1.0142955,A103,observed,,,
80.24,-1.7227138,A103,observed,,,
149.72,-0.96813315,A103,observed,,,
1.0,1.7474676,A104,observed,,,
22.6,0.04523211,A104,observed,,,
72.62,0.22338806,A104,observed,,,
145.78,-1.7777252,A104,observed,,,
1.0,0.61165696,A105,observed,,,
22.77,0.47426346,A105,observed,,,
69.46,-0.23769371,A105,observed,,,
146.2,0.29649377,A105,observed,,,
1.0,1.1972102,A106,observed,,,
22.64,0.124567874,A106,observed,,,
66.08,0.3480307,A106,observed,,,
147.13,1.0106606,A106,observed,,,
1.0,-0.71622896,A107,observed,,,
26.22,-1.6166046,A107,observed,,,
71.45,-1.0414004,A107,observed,,,
145.95,-1.2497748,A107,observed,,,
1.0,-0.4913459,A108,observed,,,
27.61,-1.1094757,A108,observed,,,
68.96,-0.358304,A108,observed,,,
152.12,-1.1333818,A108,observed,,,
1.0,-0.25337747,A109,observed,,,
24.65,-1.0994496,A109,observed,,,
71.17,-0.23198725,A109,observed,,,
149.87,-1.2962439,A109,observed,,,
1.0,0.6595813033406154,AVERAGED,predicted,0.0136962681266394,0.6327366178124022,0.6864259888688286
3.474747474747475,0.5623047892619542,AVERAGED,predicted,0.0274804653498249,0.5084430771762973,0.616166501347611
5.94949494949495,0.4885143469654651,AVERAGED,predicted,0.0331598990583646,0.4235209448110705,0.5535077491198597
8.424242424242426,0.4261194917246712,AVERAGED,predicted,0.0339285371502687,0.3596195589101445,0.4926194245391978
10.8989898989899,0.3715108968660853,AVERAGED,predicted,0.0329320640084423,0.3069640514095384,0.43605774232263217
13.373737373737374,0.3228130282266346,AVERAGED,predicted,0.0313287160433323,0.2614087447817033,0.3842173116715659
15.84848484848485,0.2788376331015308,AVERAGED,predicted,0.0296099691689031,0.22080209353048075,0.3368731726725809
18.323232323232325,0.2387534746849826,AVERAGED,predicted,0.0279942456269066,0.18388475325624565,0.29362219611371954
20.7979797979798,0.2019441546615532,AVERAGED,predicted,0.0265728367631442,0.14986139460579057,0.2540269147173158
23.272727272727277,0.1679347130909503,AVERAGED,predicted,0.0253728820192961,0.11820386433312993,0.21766556184877064
25.747474747474747,0.1363490153406497,AVERAGED,predicted,0.0243879853234403,0.08854856410670671,0.1841494665745927
28.222222222222225,0.1068829408978265,AVERAGED,predicted,0.0235946916736241,0.06063734521752327,0.15312853657812975
30.6969696969697,0.079286512774652,AVERAGED,predicted,0.0229620640399808,0.03428086725628963,0.12429215829301438
33.17171717171718,0.0533514622911123,AVERAGED,predicted,0.0224574384817717,0.009334882866839776,0.09736804171538482
35.64646464646465,0.0289022834695322,AVERAGED,predicted,0.0220497953327955,-0.014315315382746982,0.07211988232181138
38.121212121212125,0.0057896250456908,AVERAGED,predicted,0.0217115422718058,-0.03676499780704857,0.048344247898430164
40.5959595959596,-0.0161146976188751,AVERAGED,predicted,0.0214192417345117,-0.05809641141851803,0.02586701618076783
43.07070707070707,-0.0369215366216844,AVERAGED,predicted,0.0211536756329886,-0.07838274086234207,0.004539667618973252
45.54545454545455,-0.0567274043867423,AVERAGED,predicted,0.0208995356664446,-0.09769049429297372,-0.015764314480510883
48.02020202020202,-0.0756168412746571,AVERAGED,predicted,0.0206449380549139,-0.11608091986228836,-0.035152762687025864
50.494949494949495,-0.0936643106175422,AVERAGED,predicted,0.0203808885548975,-0.1336108521851413,-0.053717769049943104
52.969696969696976,-0.110935731337336,AVERAGED,predicted,0.0201007694321113,-0.15033323942427415,-0.07153822325039785
55.44444444444445,-0.1274897290380503,AVERAGED,predicted,0.0197998835090326,-0.16629750071575422,-0.08868195736034641
57.91919191919192,-0.1433786658955324,AVERAGED,predicted,0.0194750679168193,-0.1815497990124982,-0.10520753277856656
60.3939393939394,-0.1586494949508172,AVERAGED,predicted,0.0191243776581539,-0.19613327516079884,-0.12116571474083557
62.86868686868687,-0.1733444737109473,AVERAGED,predicted,0.018746832995469,-0.21008826638206654,-0.13660068103982806
65.34343434343435,-0.187501764066559,AVERAGED,predicted,0.0183422224169556,-0.22345252000379195,-0.15155100812932604
67.81818181818183,-0.2011559396366704,AVERAGED,predicted,0.0179109527751303,-0.23626140707592577,-0.166050472197415
70.2929292929293,-0.2143384171918833,AVERAGED,predicted,0.0174539390824523,-0.2485481377934898,-0.18012869659027678
72.76767676767678,-0.2270778254004294,AVERAGED,predicted,0.0169725277834553,-0.2603439798560018,-0.19381167094485702
75.24242424242425,-0.2394003215134217,AVERAGED,predicted,0.0164684487871842,-0.2716784811363027,-0.20712216189054067
77.71717171717172,-0.2513298645601903,AVERAGED,predicted,0.015943792989706,-0.28257969882001405,-0.22008003030036655
80.1919191919192,-0.2628884520193773,AVERAGED,predicted,0.0154010133864983,-0.2930744382569139,-0.23270246578184062
82.66666666666667,-0.2740963256621332,AVERAGED,predicted,0.0148429491485943,-0.30318850599337804,-0.24500414533088838
85.14141414141415,-0.2849721512528571,AVERAGED,predicted,0.014272873190877,-0.312946982706976,-0.25699731979873813
87.61616161616162,-0.2955331759824638,AVERAGED,predicted,0.013694564725241,-0.3223745228439362,-0.26869182912099143
90.0909090909091,-0.3057953668553851,AVERAGED,predicted,0.0131124088873283,-0.33149568827454856,-0.28009504543622166
92.56565656565655,-0.3157735327209872,AVERAGED,predicted,0.0125315253725754,-0.340335322451235,-0.2912117429907394
95.04040404040404,-0.3254814322072508,AVERAGED,predicted,0.0119579263870055,-0.3489189679257816,-0.30204389648872
97.51515151515152,-0.3349318694595575,AVERAGED,predicted,0.0113986998398587,-0.35727332114568056,-0.31259041777343444
99.989898989899,-0.3441367792948354,AVERAGED,predicted,0.0108622045920993,-0.36542670029535,-0.32284685829432075
102.46464646464648,-0.3531073031390377,AVERAGED,predicted,0.0103582481267331,-0.3734094694674346,-0.33280513681064083
104.93939393939397,-0.3618538569144407,AVERAGED,predicted,0.0098981910267135,-0.38125431132679916,-0.3424534025020823
107.41414141414144,-0.370386191874933,AVERAGED,predicted,0.0094948884179082,-0.38899617317403307,-0.3517762105758329
109.8888888888889,-0.3787134492463562,AVERAGED,predicted,0.0091623469870721,-0.3966716493410175,-0.3607552491516949
112.36363636363636,-0.386844209410154,AVERAGED,predicted,0.0089149752139567,-0.40431756082950915,-0.3693708579907989
114.83838383838383,-0.3947865362682332,AVERAGED,predicted,0.0087663771227277,-0.4119686354287795,-0.3776044371076869
117.31313131313132,-0.4025480173418377,AVERAGED,predicted,0.0087278146529324,-0.4196545340615852,-0.3854415006220902
119.7878787878788,-0.410135800084876,AVERAGED,predicted,0.0088066945297889,-0.42739692136326224,-0.39287467880648974
122.26262626262628,-0.4175566248303685,AVERAGED,predicted,0.009005571259441,-0.43520754449887283,-0.39990570516186413
124.73737373737374,-0.4248168547358158,AVERAGED,predicted,0.0093220391406562,-0.443088051451502,-0.40654565802012965
127.21212121212122,-0.4319225030479006,AVERAGED,predicted,0.0097495306864601,-0.4510315831933624,-0.4128134229024388
129.6868686868687,-0.438879257967862,AVERAGED,predicted,0.0102786798389149,-0.4590254704521352,-0.41873304548358875
132.16161616161617,-0.445692505365142,AVERAGED,predicted,0.0108987779138781,-0.46705411007634307,-0.4243309006539409
134.63636363636363,-0.4523673495577091,AVERAGED,predicted,0.0115989677051947,-0.4751013262598907,-0.42963337285552744
137.11111111111111,-0.4589086323521218,AVERAGED,predicted,0.0123690353008584,-0.4831519415418043,-0.43466532316243933
139.5858585858586,-0.4653209505143577,AVERAGED,predicted,0.0131998263781455,-0.49119261021552285,-0.4394492908131925
142.06060606060606,-0.4716086718232092,AVERAGED,predicted,0.0140833882697622,-0.4992121128319431,-0.4440052308144753
144.53535353535355,-0.4777759498412615,AVERAGED,predicted,0.015012944777959,-0.5072013216060611,-0.44835057807646184
147.010101010101,-0.4838267375237463,AVERAGED,predicted,0.0159827860530493,-0.5151529981877229,-0.45250047685976963
149.4848484848485,-0.4897647997726624,AVERAGED,predicted,0.0169881265549619,-0.5230615278203877,-0.4564680717249371
151.95959595959596,-0.4955937250321938,AVERAGED,predicted,0.0180249608653604,-0.5309226483283002,-0.4602648017360874
154.43434343434345,-0.501316936011452,AVERAGED,predicted,0.0190899317722009,-0.5387332022849658,-0.46390066973793825
156.9090909090909,-0.5069376996117274,AVERAGED,predicted,0.0201802160707299,-0.546490923110358,-0.4673844761130968
159.3838383838384,-0.5124591361276263,AVERAGED,predicted,0.021293428790701,-0.5541942565574003,-0.4707240156978523
161.85858585858588,-0.5178842277845287,AVERAGED,predicted,0.0224275443553936,-0.5618422147211002,-0.47392624084795726
164.33333333333334,-0.5232158266686686,AVERAGED,predicted,0.0235808323608426,-0.5694342580959201,-0.47699739524141715
166.80808080808083,-0.5284566621006536,AVERAGED,predicted,0.0247518055465094,-0.576970200971812,-0.47994312322949517
169.2828282828283,-0.5336093474983766,AVERAGED,predicted,0.0259391777272404,-0.5844501358437678,-0.48276855915298544
171.75757575757578,-0.5386763867709239,AVERAGED,predicted,0.0271418297689042,-0.5918743731179761,-0.48547840042387164
174.23232323232324,-0.5436601802811942,AVERAGED,predicted,0.0283587820177972,-0.5992433930360768,-0.4880769675263117
176.70707070707073,-0.5485630304114729,AVERAGED,predicted,0.029589171893341,-0.6065578073224213,-0.4905682535005246
179.1818181818182,-0.5533871467630853,AVERAGED,predicted,0.0308322356096354,-0.6138183285579707,-0.49295596496819993
181.65656565656568,-0.5581346510184534,AVERAGED,predicted,0.0320872932024648,-0.6210257456952843,-0.49524355634162237
184.13131313131316,-0.562807581491369,AVERAGED,predicted,0.0333537362086006,-0.6281809044602262,-0.49743425852251183
186.60606060606065,-0.5674078973890329,AVERAGED,predicted,0.0346310174798158,-0.6352846916494719,-0.4995311031285939
189.08080808080808,-0.5719374828073648,AVERAGED,predicted,0.0359186427212186,-0.6423380225409532,-0.5015369430737764
191.5555555555556,-0.5763981504792554,AVERAGED,predicted,0.0372161634279197,-0.6493418307979779,-0.5034544701605328
194.03030303030303,-0.5807916452937562,AVERAGED,predicted,0.0385231709604317,-0.6562970603762023,-0.50528623021131
196.5050505050505,-0.5851196476027106,AVERAGED,predicted,0.0398392915514132,-0.6632046590434805,-0.5070346361619408
198.979797979798,-0.5893837763299565,AVERAGED,predicted,0.0411641820774976,-0.6700655732018518,-0.5087019794580613
201.45454545454547,-0.5935855918969986,AVERAGED,predicted,0.0424975264624127,-0.6768807437633274,-0.5102904400306697
203.92929292929296,-0.597726598977918,AVERAGED,predicted,0.0438390326032962,-0.6836511028803786,-0.5118020950754575
206.4040404040404,-0.6018082490952844,AVERAGED,predicted,0.0451884297325218,-0.6903775713710272,-0.5132389268195416
208.8787878787879,-0.6058319430678786,AVERAGED,predicted,0.0465454661436121,-0.6970610567093583,-0.5146028294263989
211.35353535353536,-0.6097990333202153,AVERAGED,predicted,0.0479099072228217,-0.7037024514769459,-0.5158956151634848
213.82828282828285,-0.6137108260630694,AVERAGED,predicted,0.0492815337384185,-0.7103026321903696,-0.5171190199357691
216.3030303030303,-0.6175685833534957,AVERAGED,predicted,0.0506601403481022,-0.716862458435776,-0.5182747082712155
218.7777777777778,-0.621373525042223,AVERAGED,predicted,0.0520455342918121,-0.7233827722541747,-0.5193642778302713
221.2525252525253,-0.6251268306156637,AVERAGED,predicted,0.0534375342427011,-0.7298643977313578,-0.5203892634999695
223.72727272727275,-0.6288296409392926,AVERAGED,predicted,0.0548359692935652,-0.7363081407546804,-0.5213511411239048
226.2020202020202,-0.6324830599086152,AVERAGED,predicted,0.0562406780597048,-0.7427147889056366,-0.5222513309115938
228.6767676767677,-0.636088156013513,AVERAGED,predicted,0.0576515078822246,-0.7490851114626732,-0.5230912005643528
231.1515151515152,-0.6396459638213352,AVERAGED,predicted,0.0590683141182807,-0.7554198594931654,-0.523872068149505
233.62626262626264,-0.6431574853837174,AVERAGED,predicted,0.0604909595068497,-0.7617197660171429,-0.524595204750292
236.1010101010101,-0.6466236915717598,AVERAGED,predicted,0.0619193136003106,-0.7679855462283686,-0.525261836915151
238.5757575757576,-0.650045523343877,AVERAGED,predicted,0.0633532522535665,-0.7742178977608674,-0.5258731489268866
241.05050505050508,-0.6534238929503277,AVERAGED,predicted,0.0647926571636249,-0.7804175009910325,-0.5264302849096228
243.5252525252525,-0.6567596850781634,AVERAGED,predicted,0.0662374154535635,-0.7865850193671479,-0.5269343507891789
246.0,-0.6600537579400737,AVERAGED,predicted,0.0676874192956522,-0.792721099759552,-0.5273864161205954
