composite_ID,UID,TSVR_hours,domain,z_full_ctt,z_purified_ctt,z_irt_theta
A013_4,A013,147.13,what,0.16928271003889156,0.12731173775714041,-0.6282910302296592
A013_4,A013,147.13,where,-0.45300603357142016,-0.43357773981775594,-0.49972334131178225
A014_1,A014,1.0,what,0.9834680889834548,0.7658659083258738,1.110024260888554
A014_1,A014,1.0,where,0.8357180274507241,0.8326408126410697,0.862893095326013
A014_2,A014,25.66,what,1.25486321529831,1.4044200788946077,2.319687351230456
A014_2,A014,25.66,where,1.4215016915516996,1.5270187285055872,1.8190180292762665
A014_3,A014,70.56,what,1.25486321529831,1.0851429936102408,0.4531090993179521
A014_3,A014,70.56,where,-0.14058807938423412,-0.1068116617638657,0.20361152667706875
A014_4,A014,148.87,what,0.16928271003889156,0.12731173775714041,-0.5300016774312293
A014_4,A014,148.87,where,-0.45300603357142016,-0.18850318127733806,-0.7330542620924282
A015_1,A015,1.0,what,0.9834680889834548,1.4044200788946077,1.9751408479499755
A015_1,A015,1.0,where,1.8510763785590807,1.731247527289269,1.8105817461069729
A015_2,A015,23.69,what,1.526258341613164,1.4044200788946077,2.1486225889674526
A015_2,A015,23.69,where,1.8120241342856824,1.9763220858296868,2.0862335642755467
A015_3,A015,70.59,what,1.797653467928018,1.7236971641789742,1.9076552934511146
A015_3,A015,70.59,where,0.8357180274507241,1.0368696114247513,1.7920790335179442
A015_4,A015,146.54,what,0.9834680889834548,0.7658659083258738,0.5514181271402685
A015_4,A015,146.54,where,0.7576135389039274,0.9960238516680152,0.8631262799617979
A016_1,A016,1.0,what,1.25486321529831,1.0851429936102408,1.206127182143967
A016_1,A016,1.0,where,1.0700314930911143,0.9143323321545429,1.4894525926701638
A016_2,A016,32.85,what,-0.6449026689056717,-0.511242432811593,-0.4260189424944918
A016_2,A016,32.85,where,0.7966657831773257,0.7101035333708612,0.5166939644472491
A016_3,A016,80.64,what,-0.3735075425908176,0.12731173775714041,0.11577767657297493
A016_3,A016,80.64,where,-0.33584930075122504,-0.02512014225039252,0.05607195907579815
A016_4,A016,150.8,what,-0.6449026689056717,-1.1497966033803264,-1.279395883487759
A016_4,A016,150.8,where,-0.6873194992118103,-0.5969607788447014,-1.1436904204747933
A017_1,A017,1.0,what,-0.5092051057482451,-0.3516038901694091,-0.44504173043643486
A017_1,A017,1.0,where,0.015620897709359345,0.1382628967765522,-0.023931158019078285
A017_2,A017,20.61,what,0.4406778363537457,0.7658659083258738,1.1897834469454842
A017_2,A017,20.61,where,0.8357180274507241,1.0368696114247513,1.0077180310589369
A017_3,A017,61.28,what,0.16928271003889156,0.7658659083258738,0.753561648387336
A017_3,A017,61.28,where,0.32803885189654625,0.17910865653328836,0.10667174805211509
A017_4,A017,140.49,what,0.16928271003889156,0.44658882304150743,0.23216678270857274
A017_4,A017,140.49,where,-0.3749015450246234,-0.1068116617638657,-0.07892824906808675
A018_1,A018,1.0,what,0.9834680889834548,0.7658659083258738,0.37036683243352364
A018_1,A018,1.0,where,0.2889866076231479,0.5058747345871795,0.3216683149069087
A018_2,A018,34.03,what,-0.6449026689056717,-0.8305195180959593,-0.39532789721642614
A018_2,A018,34.03,where,0.13277763052955444,0.3424916955602339,-0.002960300345417753
A018_3,A018,83.64,what,-0.6449026689056717,-1.1497966033803264,-1.009214794232291
A018_3,A018,83.64,where,-0.7263717434852087,-0.71949805811491,-0.7300750681435181
A018_4,A018,150.87,what,0.16928271003889156,-0.1919653475272259,0.19671769791531082
A018_4,A018,150.87,where,0.1718298748029528,0.09741713701981601,-0.14321201964518604
A019_1,A019,1.0,what,0.7120729626685999,1.0851429936102408,-0.009471965285839356
A019_1,A019,1.0,where,-0.5701627663916152,-0.47442349957449215,-0.7884570750919021
A019_2,A019,28.69,what,-1.1876929215353809,-1.1497966033803264,-1.3201802716616386
A019_2,A019,28.69,where,-1.2340509190393871,-1.291338694709219,-1.3391103055029143
