composite_ID,UID,TEST,CTT_full_what,CTT_full_where
A076_2,A076,2,0.7586206896551724,0.48
A076_3,A076,3,0.5517241379310345,0.44
A076_4,A076,4,0.41379310344827586,0.3
A077_1,A077,1,0.9655172413793104,0.685
A077_2,A077,2,0.8620689655172413,0.585
A077_3,A077,3,0.8275862068965517,0.555
A077_4,A077,4,0.896551724137931,0.705
A078_1,A078,1,0.7931034482758621,0.645
A078_2,A078,2,0.7931034482758621,0.63
A078_3,A078,3,0.6896551724137931,0.52
A078_4,A078,4,0.7586206896551724,0.365
A079_1,A079,1,0.7586206896551724,0.785
A079_2,A079,2,0.6206896551724138,0.545
A079_3,A079,3,0.6551724137931034,0.51
A079_4,A079,4,0.6551724137931034,0.44
A080_1,A080,1,0.8275862068965517,0.69
A080_2,A080,2,0.8275862068965517,0.66
A080_3,A080,3,0.8620689655172413,0.645
A080_4,A080,4,0.6551724137931034,0.505
A081_1,A081,1,0.7931034482758621,0.63
A081_2,A081,2,0.7241379310344828,0.595
A081_3,A081,3,0.896551724137931,0.735
A081_4,A081,4,0.8275862068965517,0.65
A082_1,A082,1,0.896551724137931,0.645
A082_2,A082,2,0.9310344827586207,0.775
A082_3,A082,3,0.8620689655172413,0.56
A082_4,A082,4,0.8275862068965517,0.58
A083_1,A083,1,0.896551724137931,0.825
A083_2,A083,2,0.8620689655172413,0.675
A083_3,A083,3,0.7931034482758621,0.585
A083_4,A083,4,0.6896551724137931,0.64
A084_1,A084,1,0.7931034482758621,0.75
A084_2,A084,2,0.6206896551724138,0.57
A084_3,A084,3,0.7586206896551724,0.64
A084_4,A084,4,0.6896551724137931,0.665
A085_1,A085,1,0.7586206896551724,0.685
A085_2,A085,2,0.8275862068965517,0.8
A085_3,A085,3,0.8275862068965517,0.6
A085_4,A085,4,0.4482758620689655,0.56
A086_1,A086,1,0.8620689655172413,0.695
A086_2,A086,2,0.6551724137931034,0.63
A086_3,A086,3,0.6206896551724138,0.385
A086_4,A086,4,0.7241379310344828,0.345
A087_1,A087,1,0.9655172413793104,0.85
A087_2,A087,2,0.8620689655172413,0.775
A087_3,A087,3,0.7931034482758621,0.59
A087_4,A087,4,0.896551724137931,0.565
A088_1,A088,1,0.8275862068965517,0.87
A088_2,A088,2,0.9655172413793104,0.925
A088_3,A088,3,0.7931034482758621,0.675
A088_4,A088,4,0.8275862068965517,0.78
A089_1,A089,1,0.896551724137931,0.815
A089_2,A089,2,0.8620689655172413,0.715
A089_3,A089,3,0.8620689655172413,0.695
A089_4,A089,4,0.7931034482758621,0.75
A090_1,A090,1,0.7931034482758621,0.68
A090_2,A090,2,0.6206896551724138,0.565
A090_3,A090,3,0.3793103448275862,0.48
A090_4,A090,4,0.6551724137931034,0.38
A091_1,A091,1,0.8275862068965517,0.695
A091_2,A091,2,0.7586206896551724,0.57
A091_3,A091,3,0.6551724137931034,0.465
A091_4,A091,4,0.7931034482758621,0.435
A092_1,A092,1,0.6551724137931034,0.58
A092_2,A092,2,0.6896551724137931,0.49
A092_3,A092,3,0.6896551724137931,0.565
A092_4,A092,4,0.5862068965517241,0.465
A093_1,A093,1,0.8275862068965517,0.68
A093_2,A093,2,0.7931034482758621,0.59
A093_3,A093,3,0.9310344827586207,0.64
A093_4,A093,4,0.7241379310344828,0.67
A094_1,A094,1,0.7586206896551724,0.44
A094_2,A094,2,0.7241379310344828,0.54
A094_3,A094,3,0.6206896551724138,0.4
A094_4,A094,4,0.6551724137931034,0.43
A095_1,A095,1,0.896551724137931,0.74
A095_2,A095,2,0.6896551724137931,0.56
A095_3,A095,3,0.7241379310344828,0.48
A095_4,A095,4,0.7241379310344828,0.45
A096_1,A096,1,0.6206896551724138,0.52
A096_2,A096,2,0.41379310344827586,0.49
A096_3,A096,3,0.3448275862068966,0.35
A096_4,A096,4,0.4482758620689655,0.445
A097_1,A097,1,0.896551724137931,0.565
A097_2,A097,2,0.7241379310344828,0.58
A097_3,A097,3,0.7586206896551724,0.7
A097_4,A097,4,0.8620689655172413,0.655
A098_1,A098,1,0.8275862068965517,0.69
A098_2,A098,2,0.7586206896551724,0.645
A098_3,A098,3,0.8275862068965517,0.745
A098_4,A098,4,0.7931034482758621,0.42
A099_1,A099,1,0.8620689655172413,0.795
A099_2,A099,2,0.8620689655172413,0.78
A099_3,A099,3,0.7241379310344828,0.58
A099_4,A099,4,0.7931034482758621,0.745
A100_1,A100,1,0.6206896551724138,0.575
A100_2,A100,2,1.0,0.65
A100_3,A100,3,0.896551724137931,0.605
A100_4,A100,4,0.7586206896551724,0.535
A101_1,A101,1,0.5862068965517241,0.465
A101_2,A101,2,0.6206896551724138,0.515
A101_3,A101,3,0.6551724137931034,0.375
A101_4,A101,4,0.4827586206896552,0.495
A102_1,A102,1,0.8275862068965517,0.62
A102_2,A102,2,0.9310344827586207,0.705
A102_3,A102,3,0.7586206896551724,0.55
A102_4,A102,4,0.7241379310344828,0.49
A103_1,A103,1,0.9310344827586207,0.82
A103_2,A103,2,0.7241379310344828,0.45
A103_3,A103,3,0.5862068965517241,0.45
A103_4,A103,4,0.6896551724137931,0.49
A104_1,A104,1,0.896551724137931,0.78
A104_2,A104,2,0.7586206896551724,0.615
A104_3,A104,3,0.896551724137931,0.635
A104_4,A104,4,0.5172413793103449,0.33
A105_1,A105,1,0.8275862068965517,0.66
A105_2,A105,2,0.7586206896551724,0.705
A105_3,A105,3,0.7931034482758621,0.52
A105_4,A105,4,0.7586206896551724,0.705
A106_1,A106,1,1.0,0.7
A106_2,A106,2,0.7931034482758621,0.65
A106_3,A106,3,0.896551724137931,0.67
A106_4,A106,4,0.9310344827586207,0.71
A107_1,A107,1,0.7586206896551724,0.485
A107_2,A107,2,0.5862068965517241,0.42
A107_3,A107,3,0.6206896551724138,0.415
A107_4,A107,4,0.5517241379310345,0.36
A108_1,A108,1,0.6896551724137931,0.585
A108_2,A108,2,0.5862068965517241,0.43
A108_3,A108,3,0.5862068965517241,0.62
A108_4,A108,4,0.4482758620689655,0.425
A109_1,A109,1,0.7586206896551724,0.465
A109_2,A109,2,0.6206896551724138,0.455
A109_3,A109,3,0.7241379310344828,0.48
A109_4,A109,4,0.6551724137931034,0.375
