UID,test,theta,TSVR_hours
A087,3,-0.23325346,72.8
A087,4,0.27864328,144.2
A088,1,2.00997,1.0
A088,2,2.599694,24.25
A088,3,0.43418288,74.91
A088,4,1.1879628,149.93
A089,1,1.6034564,1.0
A089,2,0.9674698,32.14
A089,3,0.524776,79.34
A089,4,0.3647498,146.96
A090,1,0.20163605,1.0
A090,2,-0.51139903,23.54
A090,3,-1.5578265,95.42
A090,4,-1.1440647,144.07
A091,1,0.64397514,1.0
A091,2,-0.25296763,22.2
A091,3,-1.0806334,73.64
A091,4,-0.80276793,142.61
A092,1,-0.28513366,1.0
A092,2,-0.78696686,22.83
A092,3,-0.45482323,71.31
A092,4,-1.3833519,146.16
A093,1,0.56161565,1.0
A093,2,0.19028424,22.09
A093,3,0.67098945,70.22
A093,4,0.5149613,140.95
A094,1,-0.70889944,1.0
A094,2,-0.17624284,22.98
A094,3,-1.6861137,76.21
A094,4,-1.1788263,149.99
A095,1,1.5409168,1.0
A095,2,-0.27584857,29.71
A095,3,-0.5608494,78.76
A095,4,-0.7580661,148.79
A096,1,-0.45961466,1.0
A096,2,-1.2598481,24.49
A096,3,-2.12857,71.19
A096,4,-1.4557325,143.66
A097,1,0.24293853,1.0
A097,2,-0.5491651,24.37
A097,3,0.7895957,70.83
A097,4,0.086306766,144.85
A098,1,0.6008492,1.0
A098,2,0.3483601,25.77
A098,3,1.1610224,78.84
A098,4,-0.6924288,146.29
A099,1,1.1219946,1.0
A099,2,1.2483166,28.75
A099,3,-0.21441267,78.57
A099,4,0.8498486,143.51
A100,1,-0.06985861,1.0
A100,2,0.79101294,31.14
A100,3,0.2661362,75.34
A100,4,0.06164612,146.8
A101,1,-1.0356112,1.0
A101,2,-0.70036155,29.12
A101,3,-1.5118189,75.21
A101,4,-1.1640573,150.22
A102,1,-0.044223346,1.0
A102,2,1.0700971,29.13
A102,3,-0.4782194,75.27
A102,4,-0.5023084,150.41
A103,1,1.7611793,1.0
A103,2,-1.0142955,27.26
A103,3,-1.7227138,80.24
A103,4,-0.96813315,149.72
A104,1,1.7474676,1.0
A104,2,0.04523211,22.6
A104,3,0.22338806,72.62
A104,4,-1.7777252,145.78
A105,1,0.61165696,1.0
A105,2,0.47426346,22.77
A105,3,-0.23769371,69.46
A105,4,0.29649377,146.2
A106,1,1.1972102,1.0
A106,2,0.124567874,22.64
A106,3,0.3480307,66.08
A106,4,1.0106606,147.13
A107,1,-0.71622896,1.0
A107,2,-1.6166046,26.22
A107,3,-1.0414004,71.45
A107,4,-1.2497748,145.95
A108,1,-0.4913459,1.0
A108,2,-1.1094757,27.61
A108,3,-0.358304,68.96
A108,4,-1.1333818,152.12
A109,1,-0.25337747,1.0
A109,2,-1.0994496,24.65
A109,3,-0.23198725,71.17
A109,4,-1.2962439,149.87
