composite_ID,UID,test,location_type,ctt_mean_score,n_items,TSVR_hours
A030_3,A030,3,destination,0.55,15,71.93
A030_3,A030,3,source,0.8088235294117647,17,71.93
A030_4,A030,4,destination,0.4166666666666667,15,150.46
A030_4,A030,4,source,0.9411764705882353,17,150.46
A031_1,A031,1,destination,0.7833333333333333,15,1.0
A031_1,A031,1,source,0.9117647058823529,17,1.0
A031_2,A031,2,destination,0.38333333333333336,15,32.41
A031_2,A031,2,source,0.7352941176470589,17,32.41
A031_3,A031,3,destination,0.3,15,71.56
A031_3,A031,3,source,0.6323529411764706,17,71.56
A031_4,A031,4,destination,0.35,15,143.85
A031_4,A031,4,source,0.47058823529411764,17,143.85
A032_1,A032,1,destination,0.23333333333333334,15,1.0
A032_1,A032,1,source,0.9117647058823529,17,1.0
A032_2,A032,2,destination,0.35,15,57.18
A032_2,A032,2,source,0.5588235294117647,17,57.18
A032_3,A032,3,destination,0.5333333333333333,15,80.16
A032_3,A032,3,source,0.6617647058823529,17,80.16
A032_4,A032,4,destination,0.6333333333333333,15,144.51
A032_4,A032,4,source,0.8970588235294118,17,144.51
A033_1,A033,1,destination,0.36666666666666664,15,1.0
A033_1,A033,1,source,0.7794117647058824,17,1.0
A033_2,A033,2,destination,0.55,15,29.16
A033_2,A033,2,source,0.7352941176470589,17,29.16
A033_3,A033,3,destination,0.3333333333333333,15,72.6
A033_3,A033,3,source,0.9117647058823529,17,72.6
A033_4,A033,4,destination,0.2,15,168.33
A033_4,A033,4,source,0.7205882352941176,17,168.33
A034_1,A034,1,destination,0.7166666666666667,15,1.0
A034_1,A034,1,source,0.9558823529411765,17,1.0
A034_2,A034,2,destination,0.5666666666666667,15,26.08
A034_2,A034,2,source,0.9117647058823529,17,26.08
A034_3,A034,3,destination,0.1,15,74.28
A034_3,A034,3,source,0.7941176470588235,17,74.28
A034_4,A034,4,destination,0.26666666666666666,15,145.38
A034_4,A034,4,source,0.7647058823529411,17,145.38
A035_1,A035,1,destination,0.3,15,1.0
A035_1,A035,1,source,0.4117647058823529,17,1.0
A035_2,A035,2,destination,0.45,15,44.76
A035_2,A035,2,source,0.8382352941176471,17,44.76
A035_3,A035,3,destination,0.4166666666666667,15,79.98
A035_3,A035,3,source,0.5882352941176471,17,79.98
A035_4,A035,4,destination,0.18333333333333332,15,152.47
A035_4,A035,4,source,0.47058823529411764,17,152.47
A036_1,A036,1,destination,0.7333333333333333,15,1.0
A036_1,A036,1,source,0.8382352941176471,17,1.0
A036_2,A036,2,destination,0.21666666666666667,15,21.63
A036_2,A036,2,source,0.7941176470588235,17,21.63
A036_3,A036,3,destination,0.38333333333333336,15,71.47
A036_3,A036,3,source,0.5588235294117647,17,71.47
A036_4,A036,4,destination,0.31666666666666665,15,143.85
A036_4,A036,4,source,0.4117647058823529,17,143.85
A037_1,A037,1,destination,0.4166666666666667,15,1.0
A037_1,A037,1,source,0.8823529411764706,17,1.0
A037_2,A037,2,destination,0.6,15,23.7
A037_2,A037,2,source,0.8529411764705882,17,23.7
A037_3,A037,3,destination,0.6,15,72.08
A037_3,A037,3,source,0.6470588235294118,17,72.08
A037_4,A037,4,destination,0.4,15,143.66
A037_4,A037,4,source,0.7058823529411765,17,143.66
A038_1,A038,1,destination,0.5833333333333334,15,1.0
A038_1,A038,1,source,0.8529411764705882,17,1.0
A038_2,A038,2,destination,0.5166666666666667,15,71.85
A038_2,A038,2,source,0.7058823529411765,17,71.85
A038_3,A038,3,destination,0.4,15,72.86
A038_3,A038,3,source,0.9411764705882353,17,72.86
A038_4,A038,4,destination,0.36666666666666664,15,152.89
A038_4,A038,4,source,0.6323529411764706,17,152.89
A039_1,A039,1,destination,0.75,15,1.0
A039_1,A039,1,source,1.0,17,1.0
A039_2,A039,2,destination,0.9,15,28.65
A039_2,A039,2,source,0.7941176470588235,17,28.65
A039_3,A039,3,destination,0.45,15,98.84
A039_3,A039,3,source,0.8382352941176471,17,98.84
A039_4,A039,4,destination,0.6666666666666666,15,246.24
A039_4,A039,4,source,0.8529411764705882,17,246.24
A040_1,A040,1,destination,0.3,15,1.0
A040_1,A040,1,source,0.6029411764705882,17,1.0
A040_2,A040,2,destination,0.55,15,26.26
A040_2,A040,2,source,0.6911764705882353,17,26.26
A040_3,A040,3,destination,0.21666666666666667,15,71.28
A040_3,A040,3,source,0.38235294117647056,17,71.28
A040_4,A040,4,destination,0.3,15,143.53
A040_4,A040,4,source,0.38235294117647056,17,143.53
A041_1,A041,1,destination,0.5666666666666667,15,1.0
A041_1,A041,1,source,0.8970588235294118,17,1.0
A041_2,A041,2,destination,0.31666666666666665,15,31.78
A041_2,A041,2,source,0.5735294117647058,17,31.78
A041_3,A041,3,destination,0.8,15,75.74
A041_3,A041,3,source,0.6470588235294118,17,75.74
A041_4,A041,4,destination,0.26666666666666666,15,141.84
