UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A021,T2,Common,30.21,0.46531308,-0.41855347,0.5546907937671077,0.5385811324298078,-0.016109661337299963
A021,T3,Common,74.19,0.4942931,-0.46029195,0.5846552489951785,0.47092760675633366,-0.11372764223884485
A021,T4,Common,140.39,0.15331583,-0.34437293,0.2320951699923075,0.6588197004697117,0.4267245304774042
A021,T1,Congruent,1.0,1.2699473,-0.44721925,1.3874796189856717,0.516783516663725,-0.8706961023219467
A021,T2,Congruent,30.21,0.7715782,-0.48956826,0.8710663914744977,0.4467422441096673,-0.42432414736483043
A021,T3,Congruent,74.19,0.31695673,-0.5939567,0.39998473609382834,0.2740935994888624,-0.12589113660496593
A021,T4,Congruent,140.39,-0.10094785,-0.35563362,-0.03305064460995459,0.6682575197836349,0.7013081643935895
A021,T1,Incongruent,1.0,1.0008813,-0.15455027,1.114418232166323,0.9949562114265533,-0.11946202073976964
A021,T2,Incongruent,30.21,0.80346143,-0.38272583,0.9089458735931193,0.6182380315942217,-0.29070784199889754
A021,T3,Incongruent,74.19,0.53838366,-0.34876692,0.6330559410993677,0.674304241157989,0.041248300058621346
A021,T4,Incongruent,140.39,0.44634163,-0.2532734,0.5372596416085132,0.8319641808999244,0.29470453929141116
A022,T1,Common,1.0,-1.2636837,-1.2542998,-1.2330390492001653,-0.8160725538847581,0.4169664953154072
A022,T2,Common,24.15,-1.3087242,-1.8677373,-1.279609550038326,-1.810387863290414,-0.530778313252088
A022,T3,Common,74.46,-1.1600952,-1.0122173,-1.12593170523032,-0.42368321366803724,0.7022484915622826
A022,T4,Common,141.71,-1.8277833,-2.1071615,-1.8163008001710963,-2.198468389019933,-0.3821675888488365
A022,T1,Congruent,1.0,-0.53534746,-0.64802283,-0.48317828019108366,0.18467331440372994,0.6678515945948136
A022,T2,Congruent,24.15,-1.2725997,-1.492753,-1.2471237349719735,-1.2124307990479324,0.0346929359240411
A022,T3,Congruent,74.46,-0.3583374,-0.8369283,-0.299759331491121,-0.12775853491747932,0.17200079657364167
A022,T4,Congruent,141.71,-1.6439725,-1.9266484,-1.6319425896278135,-1.9300529104349975,-0.298110320807184
A022,T1,Incongruent,1.0,-0.6728256,-0.97853035,-0.6275569008496451,-0.3654360933220316,0.2621208075276135
A022,T2,Incongruent,24.15,-1.1818743,-1.6442801,-1.1573690064782383,-1.4645898942103908,-0.3072208877321525
A022,T3,Incongruent,74.46,-0.9300377,-0.6643592,-0.89526033333882,0.15326093007447253,1.0485212634132925
A022,T4,Incongruent,141.71,-1.1718539,-1.6971332,-1.1469398879612067,-1.5518504388125216,-0.4049105508513149
A023,T1,Common,1.0,0.7560503,-0.3546272,0.8553041960982223,0.6421986467392518,-0.21310554935897053
A023,T2,Common,25.63,0.62134933,-0.38793874,0.7160275087549183,0.5882042720851445,-0.1278232366697738
A023,T3,Common,72.2,0.5609531,-0.485421,0.6535796522738233,0.43019615632198593,-0.22338349595183737
