item_name,Difficulty,Overall_Discrimination,Discrim_Common,Discrim_Congruent,Discrim_Incongruent
TC_IFR-D-i2,0.583810031414032,1.4840689,1.4840689,0.0,0.0
TC_IFR-D-i3,0.5417798161506653,1.5252343,0.0,1.5252343,0.0
TC_IFR-D-i4,0.8142924904823303,1.4466181,0.0,1.4466181,0.0
TC_IFR-D-i5,1.132866382598877,1.4528391,0.0,0.0,1.4528391
TC_IFR-D-i6,1.4901409149169922,1.3053368,0.0,0.0,1.3053368
TC_IFR-N-i1,-0.12510383129119873,1.2177359,1.2177359,0.0,0.0
TC_IFR-N-i2,0.2047363817691803,1.2179421,1.2179421,0.0,0.0
TC_IFR-N-i3,-0.41289857029914856,1.1025087,0.0,1.1025087,0.0
TC_IFR-N-i4,-0.5162651538848877,0.7694752,0.0,0.7694752,0.0
TC_IFR-N-i5,0.41986995935440063,1.135032,0.0,0.0,1.135032
TC_IFR-N-i6,0.3063887059688568,1.3185784,0.0,0.0,1.3185784
TC_IFR-O-i1,1.1051430702209473,1.2960047,1.2960047,0.0,0.0
TC_IFR-O-i2,1.3774325847625732,1.6357713,1.6357713,0.0,0.0
TC_IFR-O-i3,0.8893622159957886,1.843317,0.0,1.843317,0.0
TC_IFR-O-i4,2.0169923305511475,1.2943659,0.0,1.2943659,0.0
TC_IFR-O-i5,1.8526160717010498,1.7764482,0.0,0.0,1.7764482
TC_IFR-O-i6,1.9814660549163818,1.6545277,0.0,0.0,1.6545277
TC_IFR-U-i1,-0.6913009285926819,1.215841,1.215841,0.0,0.0
TC_IFR-U-i2,0.006238788366317749,1.3390886,1.3390886,0.0,0.0
TC_IFR-U-i3,-0.16943535208702087,1.6121373,0.0,1.6121373,0.0
TC_IFR-U-i4,0.5434401035308838,1.3724843,0.0,1.3724843,0.0
TC_IFR-U-i5,0.6534166932106018,1.536107,0.0,0.0,1.536107
TC_IFR-U-i6,1.4827771186828613,1.3275912,0.0,0.0,1.3275912
TC_IRE-D-i1,0.2753313183784485,1.223919,1.223919,0.0,0.0
TC_IRE-D-i2,0.4554423689842224,1.9179486,1.9179486,0.0,0.0
TC_IRE-D-i3,0.06333601474761963,1.3731813,0.0,1.3731813,0.0
TC_IRE-D-i4,0.23785842955112457,1.6837401,0.0,1.6837401,0.0
TC_IRE-D-i5,0.5242449641227722,1.3540993,0.0,0.0,1.3540993
TC_IRE-D-i6,0.32967105507850647,1.3772343,0.0,0.0,1.3772343
TC_IRE-N-i1,-2.6356186866760254,1.1985766,1.1985766,0.0,0.0
TC_IRE-N-i2,-2.597773313522339,1.3757061,1.3757061,0.0,0.0
TC_IRE-N-i3,-2.424759864807129,1.103205,0.0,1.103205,0.0
TC_IRE-N-i4,-2.4699995517730713,1.317453,0.0,1.317453,0.0
TC_IRE-N-i5,-2.6095025539398193,1.1232233,0.0,0.0,1.1232233
TC_IRE-N-i6,-2.7438619136810303,1.0798088,0.0,0.0,1.0798088
