UID,TEST,composite_ID,n_ratings,mean_rating,sd_rating,full_scale_usage,extremes_only,pct_extremes,restricted_range,scale_type
A015,T4,A015_T4,105,0.6533333333333333,0.36123245824384176,False,False,48.57142857142857,False,0-1
A016,T1,A016_T1,105,0.742857142857143,0.2585148583211207,True,False,38.095238095238095,False,0-1
A016,T2,A016_T2,105,0.6590476190476191,0.3085126340224561,True,False,33.33333333333333,False,0-1
A016,T3,A016_T3,105,0.6114285714285714,0.2730129198806692,True,False,17.142857142857142,False,0-1
A016,T4,A016_T4,105,0.5428571428571428,0.2628985474636621,True,False,7.6190476190476195,False,0-1
A017,T1,A017_T1,105,0.7504761904761904,0.3554001928138956,True,False,64.76190476190476,False,0-1
A017,T2,A017_T2,105,0.8476190476190476,0.3005059980687298,True,False,78.0952380952381,False,0-1
A017,T3,A017_T3,105,0.8476190476190476,0.3141413809994408,False,False,80.95238095238095,False,0-1
A017,T4,A017_T4,105,0.7561904761904761,0.36824521062383464,False,False,69.52380952380952,False,0-1
A018,T1,A018_T1,105,0.6666666666666669,0.3699849846803095,True,False,52.38095238095239,False,0-1
A018,T2,A018_T2,105,0.5428571428571428,0.3617042050803241,False,False,36.19047619047619,False,0-1
A018,T3,A018_T3,105,0.4761904761904763,0.34296294663773796,True,False,26.666666666666668,False,0-1
A018,T4,A018_T4,105,0.40190476190476193,0.2979232730821661,True,False,17.142857142857142,False,0-1
A019,T1,A019_T1,105,0.5809523809523809,0.1598184911497374,False,False,0.0,True,0-1
A019,T2,A019_T2,105,0.5161904761904762,0.1258296728755333,False,False,0.0,True,0-1
A019,T3,A019_T3,105,0.5771428571428572,0.12743412330421128,False,False,0.0,True,0-1
A019,T4,A019_T4,105,0.48571428571428565,0.1376182237576262,False,False,0.0,True,0-1
A020,T1,A020_T1,105,0.6628571428571429,0.3538245846951479,True,False,47.61904761904761,False,0-1
A020,T2,A020_T2,105,0.6019047619047618,0.34640492473705703,True,False,34.285714285714285,False,0-1
A020,T3,A020_T3,105,0.4933333333333333,0.29350644242679197,True,False,13.333333333333334,False,0-1
A020,T4,A020_T4,105,0.43809523809523815,0.27615763351526756,True,False,10.476190476190476,False,0-1
A021,T1,A021_T1,105,0.7904761904761904,0.253555219692095,True,False,53.333333333333336,False,0-1
A021,T2,A021_T2,105,0.7314285714285714,0.2702077809722717,True,False,42.857142857142854,False,0-1
A021,T3,A021_T3,105,0.7104761904761904,0.29078671926305927,True,False,44.761904761904766,False,0-1
A021,T4,A021_T4,105,0.6952380952380952,0.33477240381829065,True,False,48.57142857142857,False,0-1
A022,T1,A022_T1,105,0.48000000000000004,0.3166491223210111,True,False,16.19047619047619,False,0-1
A022,T2,A022_T2,105,0.3980952380952381,0.2697374216603824,True,False,3.8095238095238098,False,0-1
A022,T3,A022_T3,105,0.44,0.31761012338430034,True,False,16.19047619047619,False,0-1
A022,T4,A022_T4,105,0.30476190476190484,0.19730612057262567,True,False,1.9047619047619049,True,0-1
A023,T1,A023_T1,105,0.718095238095238,0.31676368009123657,False,False,46.666666666666664,False,0-1
A023,T2,A023_T2,105,0.7066666666666666,0.28427574362350794,True,False,34.285714285714285,False,0-1
A023,T3,A023_T3,105,0.7047619047619048,0.25611788668909125,True,False,33.33333333333333,False,0-1
A023,T4,A023_T4,105,0.700952380952381,0.2896616213364889,True,False,40.95238095238095,False,0-1
A024,T1,A024_T1,105,0.6723809523809523,0.3112173449980968,True,False,40.0,False,0-1
A024,T2,A024_T2,105,0.6285714285714287,0.3128103900704937,True,False,36.19047619047619,False,0-1
A024,T3,A024_T3,105,0.6571428571428573,0.2969229955832361,True,False,35.23809523809524,False,0-1
A024,T4,A024_T4,105,0.5942857142857143,0.3164772079143326,True,False,28.57142857142857,False,0-1
A025,T1,A025_T1,105,0.7238095238095238,0.2952073716732857,True,False,45.714285714285715,False,0-1
A025,T2,A025_T2,105,0.6647619047619049,0.30424956935633407,True,False,37.142857142857146,False,0-1
A025,T3,A025_T3,105,0.5447619047619049,0.29145969332734006,True,False,19.047619047619047,False,0-1
A025,T4,A025_T4,105,0.32000000000000006,0.2148753791652933,True,False,5.714285714285714,False,0-1
A026,T1,A026_T1,105,0.7047619047619048,0.3172443709976667,True,False,44.761904761904766,False,0-1
A026,T2,A026_T2,105,0.6361904761904762,0.3332734640112515,True,False,39.04761904761905,False,0-1
A026,T3,A026_T3,105,0.6876190476190477,0.30851263402245604,True,False,39.04761904761905,False,0-1
A026,T4,A026_T4,105,0.6952380952380952,0.30872424199659454,True,False,38.095238095238095,False,0-1
A027,T1,A027_T1,105,0.7485714285714287,0.3171643064389679,True,False,54.285714285714285,False,0-1
A027,T2,A027_T2,105,0.7047619047619049,0.3099557425799313,True,False,39.04761904761905,False,0-1
A027,T3,A027_T3,105,0.5523809523809524,0.25823401645839733,True,False,13.333333333333334,False,0-1
A027,T4,A027_T4,105,0.44,0.2580513053454219,True,False,5.714285714285714,False,0-1
A028,T1,A028_T1,105,0.7885714285714287,0.28795313299688385,True,False,62.857142857142854,False,0-1
A028,T2,A028_T2,105,0.6895238095238095,0.31469525985620395,True,False,47.61904761904761,False,0-1
A028,T3,A028_T3,105,0.5447619047619049,0.3153172106160042,True,False,28.57142857142857,False,0-1
A028,T4,A028_T4,105,0.5523809523809524,0.2875496605044698,True,False,23.809523809523807,False,0-1
A029,T1,A029_T1,105,0.8342857142857142,0.23169297065958047,False,False,63.8095238095238,False,0-1
A029,T2,A029_T2,105,0.7638095238095239,0.25564998748244294,False,False,49.523809523809526,False,0-1
A029,T3,A029_T3,105,0.6952380952380952,0.26775288976465644,True,False,38.095238095238095,False,0-1
A029,T4,A029_T4,105,0.721904761904762,0.27808219147478597,True,False,41.904761904761905,False,0-1
A030,T1,A030_T1,105,0.6304761904761905,0.30335389031037646,True,False,32.38095238095238,False,0-1
A030,T2,A030_T2,105,0.72,0.286323160748397,True,False,41.904761904761905,False,0-1
A030,T3,A030_T3,105,0.5847619047619048,0.31069229989721264,True,False,28.57142857142857,False,0-1
A030,T4,A030_T4,105,0.5942857142857143,0.3029469767934635,True,False,29.523809523809526,False,0-1
A031,T1,A031_T1,105,0.897142857142857,0.17482352618032407,False,False,70.47619047619048,True,0-1
A031,T2,A031_T2,105,0.6742857142857143,0.35483827877165763,True,False,49.523809523809526,False,0-1
A031,T3,A031_T3,105,0.5866666666666668,0.31261315411700785,True,False,22.857142857142858,False,0-1
A031,T4,A031_T4,105,0.49523809523809537,0.3012295288064291,True,False,15.238095238095239,False,0-1
A032,T1,A032_T1,105,0.6666666666666669,0.3410534566859868,True,False,43.80952380952381,False,0-1
