UID,TEST,composite_ID,brier_score,n_items
A059,T4,A059_T4,0.16038095238095237,105
A060,T1,A060_T1,0.24000000000000002,105
A060,T2,A060_T2,0.16876190476190478,105
A060,T3,A060_T3,0.31733333333333336,105
A060,T4,A060_T4,0.32,105
A061,T1,A061_T1,0.13333333333333336,105
A061,T2,A061_T2,0.26323809523809527,105
A061,T3,A061_T3,0.18285714285714288,105
A061,T4,A061_T4,0.2872380952380953,105
A062,T1,A062_T1,0.1337142857142857,105
A062,T2,A062_T2,0.19657142857142862,105
A062,T3,A062_T3,0.16114285714285717,105
A062,T4,A062_T4,0.18590476190476193,105
A063,T1,A063_T1,0.15466666666666667,105
A063,T2,A063_T2,0.18895238095238098,105
A063,T3,A063_T3,0.19352380952380957,105
A063,T4,A063_T4,0.21638095238095245,105
A064,T1,A064_T1,0.19771428571428573,105
A064,T2,A064_T2,0.18057142857142858,105
A064,T3,A064_T3,0.19961904761904767,105
A064,T4,A064_T4,0.19542857142857145,105
A065,T1,A065_T1,0.3276190476190477,105
A065,T2,A065_T2,0.2350476190476191,105
A065,T3,A065_T3,0.24495238095238098,105
A065,T4,A065_T4,0.20800000000000005,105
A066,T1,A066_T1,0.184,105
A066,T2,A066_T2,0.13828571428571432,105
A066,T3,A066_T3,0.18209523809523812,105
A066,T4,A066_T4,0.18057142857142866,105
A067,T1,A067_T1,0.17980952380952384,105
A067,T2,A067_T2,0.1790476190476191,105
A067,T3,A067_T3,0.1942857142857143,105
A067,T4,A067_T4,0.1862857142857143,105
A068,T1,A068_T1,0.20533333333333337,105
A068,T2,A068_T2,0.2464761904761905,105
A068,T3,A068_T3,0.1645714285714286,105
A068,T4,A068_T4,0.2537142857142857,105
A069,T1,A069_T1,0.2822857142857143,105
A069,T2,A069_T2,0.2365714285714286,105
A069,T3,A069_T3,0.244952380952381,105
A069,T4,A069_T4,0.24533333333333338,105
A070,T1,A070_T1,0.21752380952380956,105
A070,T2,A070_T2,0.1626666666666667,105
A070,T3,A070_T3,0.22857142857142865,105
A070,T4,A070_T4,0.22400000000000003,105
A071,T1,A071_T1,0.1706666666666667,105
A071,T2,A071_T2,0.16723809523809527,105
A071,T3,A071_T3,0.19238095238095243,105
A071,T4,A071_T4,0.1668571428571429,105
A072,T1,A072_T1,0.1977142857142857,105
A072,T2,A072_T2,0.24914285714285717,105
A072,T3,A072_T3,0.2605714285714286,105
A072,T4,A072_T4,0.2316190476190476,105
A073,T1,A073_T1,0.12228571428571432,105
A073,T2,A073_T2,0.2327619047619048,105
A073,T3,A073_T3,0.18247619047619051,105
A073,T4,A073_T4,0.21409523809523814,105
A074,T1,A074_T1,0.16000000000000003,105
A074,T2,A074_T2,0.1984761904761905,105
A074,T3,A074_T3,0.18171428571428577,105
A074,T4,A074_T4,0.19542857142857145,105
A075,T1,A075_T1,0.14323809523809528,105
A075,T2,A075_T2,0.1740952380952381,105
A075,T3,A075_T3,0.20190476190476198,105
A075,T4,A075_T4,0.17638095238095242,105
A076,T1,A076_T1,0.22476190476190477,105
A076,T2,A076_T2,0.20419047619047623,105
A076,T3,A076_T3,0.21142857142857147,105
A076,T4,A076_T4,0.17942857142857147,105
A077,T1,A077_T1,0.15923809523809526,105
A077,T2,A077_T2,0.17752380952380956,105
A077,T3,A077_T3,0.1668571428571429,105
A077,T4,A077_T4,0.15352380952380953,105
A078,T1,A078_T1,0.16266666666666668,105
A078,T2,A078_T2,0.21561904761904765,105
A078,T3,A078_T3,0.21028571428571433,105
A078,T4,A078_T4,0.2034285714285715,105
A079,T1,A079_T1,0.20761904761904762,105
A079,T2,A079_T2,0.228952380952381,105
A079,T3,A079_T3,0.22476190476190477,105
A079,T4,A079_T4,0.19542857142857145,105
A080,T1,A080_T1,0.2,105
A080,T2,A080_T2,0.19352380952380957,105
A080,T3,A080_T3,0.18933333333333335,105
A080,T4,A080_T4,0.1881904761904762,105
A081,T1,A081_T1,0.20533333333333337,105
A081,T2,A081_T2,0.20228571428571426,105
A081,T3,A081_T3,0.18361904761904763,105
A081,T4,A081_T4,0.2019047619047619,105
A082,T1,A082_T1,0.19466666666666668,105
A082,T2,A082_T2,0.14171428571428574,105
A082,T3,A082_T3,0.11847619047619048,105
A082,T4,A082_T4,0.1683809523809524,105
A083,T1,A083_T1,0.12723809523809526,105
A083,T2,A083_T2,0.16914285714285715,105
A083,T3,A083_T3,0.21942857142857145,105
A083,T4,A083_T4,0.2110476190476191,105
A084,T1,A084_T1,0.19961904761904764,105
A084,T2,A084_T2,0.22590476190476197,105
A084,T3,A084_T3,0.1973333333333334,105
A084,T4,A084_T4,0.22171428571428575,105
A085,T1,A085_T1,0.2266666666666667,105
A085,T2,A085_T2,0.17333333333333337,105
A085,T3,A085_T3,0.18933333333333335,105
A085,T4,A085_T4,0.2868571428571429,105
A086,T1,A086_T1,0.1257142857142857,105
A086,T2,A086_T2,0.26171428571428573,105
A086,T3,A086_T3,0.20723809523809525,105
A086,T4,A086_T4,0.2003809523809524,105
A087,T1,A087_T1,0.14552380952380953,105
A087,T2,A087_T2,0.19809523809523807,105
A087,T3,A087_T3,0.2003809523809524,105
A087,T4,A087_T4,0.1302857142857143,105
A088,T1,A088_T1,0.15314285714285716,105
A088,T2,A088_T2,0.11580952380952383,105
A088,T3,A088_T3,0.13790476190476192,105
A088,T4,A088_T4,0.14476190476190479,105
A089,T1,A089_T1,0.1158095238095238,105
A089,T2,A089_T2,0.14666666666666667,105
A089,T3,A089_T3,0.16076190476190477,105
A089,T4,A089_T4,0.13676190476190478,105
A090,T1,A090_T1,0.20266666666666672,105
A090,T2,A090_T2,0.1813333333333334,105
A090,T3,A090_T3,0.21180952380952386,105
A090,T4,A090_T4,0.1931428571428572,105
A091,T1,A091_T1,0.22285714285714286,105
A091,T2,A091_T2,0.2403809523809524,105
A091,T3,A091_T3,0.19352380952380951,105
A091,T4,A091_T4,0.2026666666666667,105
A092,T1,A092_T1,0.20304761904761906,105
A092,T2,A092_T2,0.18666666666666668,105
A092,T3,A092_T3,0.2384761904761905,105
A092,T4,A092_T4,0.24952380952380956,105
A093,T1,A093_T1,0.22971428571428573,105
A093,T2,A093_T2,0.272,105
A093,T3,A093_T3,0.19276190476190477,105
A093,T4,A093_T4,0.21904761904761907,105
A094,T1,A094_T1,0.18285714285714288,105
A094,T2,A094_T2,0.2064761904761905,105
A094,T3,A094_T3,0.1923809523809524,105
A094,T4,A094_T4,0.17028571428571432,105
A095,T1,A095_T1,0.1596190476190476,105
A095,T2,A095_T2,0.20838095238095242,105
A095,T3,A095_T3,0.2045714285714286,105
A095,T4,A095_T4,0.22247619047619055,105
A096,T1,A096_T1,0.31619047619047624,105
A096,T2,A096_T2,0.35809523809523813,105
A096,T3,A096_T3,0.4426666666666667,105
A096,T4,A096_T4,0.3851428571428572,105
A097,T1,A097_T1,0.17866666666666672,105
A097,T2,A097_T2,0.23390476190476192,105
A097,T3,A097_T3,0.2030476190476191,105
A097,T4,A097_T4,0.20342857142857146,105
A098,T1,A098_T1,0.1740952380952381,105
A098,T2,A098_T2,0.20419047619047623,105
A098,T3,A098_T3,0.152,105
A098,T4,A098_T4,0.2022857142857143,105
A099,T1,A099_T1,0.2026666666666667,105
A099,T2,A099_T2,0.18552380952380956,105
A099,T3,A099_T3,0.25219047619047624,105
A099,T4,A099_T4,0.16152380952380954,105
A100,T1,A100_T1,0.37180952380952387,105
A100,T2,A100_T2,0.2811428571428572,105
A100,T3,A100_T3,0.2712380952380953,105
A100,T4,A100_T4,0.24800000000000003,105
A101,T1,A101_T1,0.2232380952380953,105
A101,T2,A101_T2,0.2041904761904762,105
A101,T3,A101_T3,0.18209523809523814,105
A101,T4,A101_T4,0.2468571428571429,105
A102,T1,A102_T1,0.2022857142857143,105
A102,T2,A102_T2,0.10933333333333334,105
A102,T3,A102_T3,0.1805714285714286,105
A102,T4,A102_T4,0.18704761904761905,105
A103,T1,A103_T1,0.31809523809523815,105
A103,T2,A103_T2,0.26247619047619053,105
A103,T3,A103_T3,0.24000000000000007,105
A103,T4,A103_T4,0.25523809523809526,105
A104,T1,A104_T1,0.1740952380952381,105
A104,T2,A104_T2,0.2388571428571429,105
A104,T3,A104_T3,0.21600000000000003,105
A104,T4,A104_T4,0.17752380952380956,105
A105,T1,A105_T1,0.26666666666666666,105
A105,T2,A105_T2,0.24609523809523812,105
A105,T3,A105_T3,0.18209523809523814,105
A105,T4,A105_T4,0.19009523809523815,105
A106,T1,A106_T1,0.11390476190476191,105
A106,T2,A106_T2,0.20914285714285716,105
A106,T3,A106_T3,0.1420952380952381,105
A106,T4,A106_T4,0.12038095238095241,105
A107,T1,A107_T1,0.22057142857142864,105
A107,T2,A107_T2,0.22247619047619047,105
A107,T3,A107_T3,0.21828571428571433,105
A107,T4,A107_T4,0.2102857142857143,105
A108,T1,A108_T1,0.20419047619047623,105
A108,T2,A108_T2,0.21523809523809528,105
A108,T3,A108_T3,0.20495238095238097,105
A108,T4,A108_T4,0.23923809523809525,105
A109,T1,A109_T1,0.2651428571428572,105
A109,T2,A109_T2,0.256,105
A109,T3,A109_T3,0.23733333333333334,105
A109,T4,A109_T4,0.299047619047619,105
