composite_ID,theta_accuracy,se_accuracy
A088_T1,2.00997,
A088_T2,2.599694,
A088_T3,0.43418288,
A088_T4,1.1879628,
A089_T1,1.6034564,
A089_T2,0.9674698,
A089_T3,0.524776,
A089_T4,0.3647498,
A090_T1,0.20163605,
A090_T2,-0.51139903,
A090_T3,-1.5578265,
A090_T4,-1.1440647,
A091_T1,0.64397514,
A091_T2,-0.25296763,
A091_T3,-1.0806334,
A091_T4,-0.80276793,
A092_T1,-0.28513366,
A092_T2,-0.78696686,
A092_T3,-0.45482323,
A092_T4,-1.3833519,
A093_T1,0.56161565,
A093_T2,0.19028424,
A093_T3,0.67098945,
A093_T4,0.5149613,
A094_T1,-0.70889944,
A094_T2,-0.17624284,
A094_T3,-1.6861137,
A094_T4,-1.1788263,
A095_T1,1.5409168,
A095_T2,-0.27584857,
A095_T3,-0.5608494,
A095_T4,-0.7580661,
A096_T1,-0.45961466,
A096_T2,-1.2598481,
A096_T3,-2.12857,
A096_T4,-1.4557325,
A097_T1,0.24293853,
A097_T2,-0.5491651,
A097_T3,0.7895957,
A097_T4,0.086306766,
A098_T1,0.6008492,
A098_T2,0.3483601,
A098_T3,1.1610224,
A098_T4,-0.6924288,
A099_T1,1.1219946,
A099_T2,1.2483166,
A099_T3,-0.21441267,
A099_T4,0.8498486,
A100_T1,-0.06985861,
A100_T2,0.79101294,
A100_T3,0.2661362,
A100_T4,0.06164612,
A101_T1,-1.0356112,
A101_T2,-0.70036155,
A101_T3,-1.5118189,
A101_T4,-1.1640573,
A102_T1,-0.044223346,
A102_T2,1.0700971,
A102_T3,-0.4782194,
A102_T4,-0.5023084,
A103_T1,1.7611793,
A103_T2,-1.0142955,
A103_T3,-1.7227138,
A103_T4,-0.96813315,
A104_T1,1.7474676,
A104_T2,0.04523211,
A104_T3,0.22338806,
A104_T4,-1.7777252,
A105_T1,0.61165696,
A105_T2,0.47426346,
A105_T3,-0.23769371,
A105_T4,0.29649377,
A106_T1,1.1972102,
A106_T2,0.124567874,
A106_T3,0.3480307,
A106_T4,1.0106606,
A107_T1,-0.71622896,
A107_T2,-1.6166046,
A107_T3,-1.0414004,
A107_T4,-1.2497748,
A108_T1,-0.4913459,
A108_T2,-1.1094757,
A108_T3,-0.358304,
A108_T4,-1.1333818,
A109_T1,-0.25337747,
A109_T2,-1.0994496,
A109_T3,-0.23198725,
A109_T4,-1.2962439,
