UID,test,composite_ID,TSVR_hours,theta_accuracy,se_accuracy,theta_confidence,se_confidence,z_theta_accuracy,z_theta_confidence
A019,T3,A019_T3,83.68,-1.1916012,,-0.15715945,0.07339282,-1.268839234929762,-0.19002726512759605
A019,T4,A019_T4,154.76,-1.652823,,-0.49642876,0.07339282,-1.7574229883717303,-0.5327217465336336
A020,T1,A020_T1,1.0,-0.036810145,,0.4385481,0.07339282,-0.04554027531182843,0.4116943875527221
A020,T2,A020_T2,26.85,-0.4131784,,0.025535457,0.07339282,-0.44423655268706064,-0.005487919644536399
A020,T3,A020_T3,78.25,-0.9177355,,-0.6426598,0.07339282,-0.978726469997549,-0.6804290956547949
A020,T4,A020_T4,145.78,-2.2843106,,-1.0779264,0.07339282,-2.4263735493817697,-1.1200900297969643
A021,T1,A021_T1,1.0,1.366235,,1.2973111,0.07339282,1.440740432132249,1.2791272270739065
A021,T2,A021_T2,30.21,0.648662,,0.85418165,0.07339282,0.6805974603373044,0.8315240617198325
A021,T3,A021_T3,74.19,0.3772473,,0.71108764,0.07339282,0.39308110082150133,0.6869854132070615
A021,T4,A021_T4,140.39,0.77024406,,0.59444976,0.07339282,0.8093923681799229,0.5691699886439037
A022,T1,A022_T1,1.0,0.1020859,,-1.0273978,0.07339282,0.10159576857062584,-1.0690513066858962
A022,T2,A022_T2,24.15,0.4643598,,-1.6089394,0.07339282,0.4853615442474484,-1.6564639937575247
A022,T3,A022_T3,74.46,-0.11233316,,-1.41758,0.07339282,-0.12554368829003995,-1.4631726808911458
A022,T4,A022_T4,141.71,0.0056279004,,-2.2419448,0.07339282,-0.0005845956143972509,-2.295860045467069
A023,T1,A023_T1,1.0,0.8812526,,0.8757261,0.07339282,0.9269864826326936,0.853286018673523
A023,T2,A023_T2,25.63,-0.48242265,,0.7151295,0.07339282,-0.5175887133379102,0.6910680787349744
A023,T3,A023_T3,72.2,0.13040453,,0.6461154,0.07339282,0.13159439946303883,0.6213572310039951
A023,T4,A023_T4,145.07,0.004668119,,0.7143073,0.07339282,-0.0016013159838502715,0.6902375780256351
A024,T1,A024_T1,1.0,0.33348504,,0.5364075,0.07339282,0.34672264757860755,0.5105417496489459
A024,T2,A024_T2,29.57,0.10314593,,0.20124167,0.07339282,0.10271868478178733,0.17199217586971383
A024,T3,A024_T3,91.47,0.1529355,,0.3713352,0.07339282,0.1554620178004383,0.34380292425091075
A024,T4,A024_T4,145.65,-0.7700928,,0.009039989,0.07339282,-0.8223248763731659,-0.02214992143836175
A025,T1,A025_T1,1.0,0.99917114,,0.7685537,0.07339282,1.0519005323883575,0.7450316350422999
A025,T2,A025_T2,23.33,1.6789465,,0.37906578,0.07339282,1.7720035216359715,0.3516115501005872
A025,T3,A025_T3,72.94,-0.15189764,,-0.37838924,0.07339282,-0.16745532850604816,-0.4134905313912513
A025,T4,A025_T4,137.74,-1.1388493,,-2.0631132,0.07339282,-1.2129578318755363,-2.1152230098890143
A026,T1,A026_T1,1.0,1.0569059,,0.56117547,0.07339282,1.1130604032896705,0.5355597703907286
A026,T2,A026_T2,26.48,0.062489662,,0.14260052,0.07339282,0.05965048631332253,0.11275900064291935
A026,T3,A026_T3,75.46,0.7757372,,0.47051916,0.07339282,0.8152113883549932,0.443988218747478
A026,T4,A026_T4,147.65,-0.26765063,,0.6031819,0.07339282,-0.29007535714808247,0.5779902859730812
A027,T1,A027_T1,1.0,0.9770042,,1.0715036,0.07339282,1.0284185401071537,1.051040035485331
A027,T2,A027_T2,28.26,0.3337341,,0.56911445,0.07339282,0.34698648304699226,0.5435789001905708
A027,T3,A027_T3,74.58,-0.7031997,,-0.28420392,0.07339282,-0.7514633475439367,-0.3183543418153014
A027,T4,A027_T4,145.92,-0.8390413,,-0.9887715,0.07339282,-0.8953637416744017,-1.0300350459839362
A028,T1,A028_T1,1.0,1.5710772,,1.2547947,0.07339282,1.6577348823930786,1.2361815929720432
A028,T2,A028_T2,22.82,-0.19436406,,0.59293026,0.07339282,-0.21244106612478836,0.5676351481819223
A028,T3,A028_T3,72.26,-0.0985842,,-0.35394546,0.07339282,-0.1109790721276567,-0.3887999735842298
A028,T4,A028_T4,138.91,-0.7637951,,-0.23738918,0.07339282,-0.815653565728154,-0.2710669728326532
A029,T1,A029_T1,1.0,1.7016916,,1.6053915,0.07339282,1.796097973221766,1.5903179236605345
A029,T2,A029_T2,28.43,0.3401657,,1.1294532,0.07339282,0.35379963730084013,1.109574679009932
A029,T3,A029_T3,93.26,1.2822845,,0.56202656,0.07339282,1.3518095741517069,0.5364194527657121
A029,T4,A029_T4,143.14,0.7683035,,0.8559158,0.07339282,0.8073366845834855,0.8332757192302931
A030,T1,A030_T1,1.0,0.33380765,,0.23597223,0.07339282,0.3470643963959833,0.20707336623185205
A030,T2,A030_T2,32.95,1.2043047,,0.64555764,0.07339282,1.2692036275623348,0.62079384000954
A030,T3,A030_T3,71.93,-0.12868379,,-0.12588719,0.07339282,-0.14286431835683394,-0.15843928882907743
A030,T4,A030_T4,150.46,0.33196774,,-0.024427809,0.07339282,0.34511533385428333,-0.055955601296088994
A031,T1,A031_T1,1.0,2.2557483,,2.0878112,0.07339282,2.383024051099418,2.0776080027766097
A031,T2,A031_T2,32.41,0.018638758,,0.40126973,0.07339282,0.013198130270864373,0.37403966518831966
A031,T3,A031_T3,71.56,-0.04251805,,-0.27508643,0.07339282,-0.051586801406627456,-0.30914480409650585
A031,T4,A031_T4,143.85,-0.57443035,,-0.800131,0.07339282,-0.6150547641871168,-0.839490082398295
A032,T1,A032_T1,1.0,0.8067235,,0.3052368,0.07339282,0.8480359485975465,0.277037212640365
A032,T2,A032_T2,57.18,-0.12246857,,-0.49530542,0.07339282,-0.1362803808324854,-0.5315870655961132
A032,T3,A032_T3,80.16,0.6580906,,-0.23620081,0.07339282,0.6905854114222335,-0.26986660536980045
A032,T4,A032_T4,144.51,1.5530372,,0.30469647,0.07339282,1.638624660560344,0.27649142761448653
A033,T1,A033_T1,1.0,0.43369794,,0.77137077,0.07339282,0.4528806713869024,0.7478771454208675
A033,T2,A033_T2,29.16,0.5100616,,0.4549792,0.07339282,0.5337746005753456,0.42829137150458835
A033,T3,A033_T3,72.6,0.9657034,,0.41117167,0.07339282,1.016447320878364,0.3840415725026408
A033,T4,A033_T4,168.33,-0.40873924,,-0.64959884,0.07339282,-0.4395340398072934,-0.6874381903302189
A034,T1,A034_T1,1.0,2.0359054,,2.0106363,0.07339282,2.1501389852816977,1.9996539658109234
A034,T2,A034_T2,26.08,0.65717703,,1.7898816,0.07339282,0.6896176439410955,1.776670585927711
A034,T3,A034_T3,74.28,-0.10081277,,1.2632637,0.07339282,-0.11333985189870867,1.2447360937107859
A034,T4,A034_T4,145.38,-0.1552254,,0.6997216,0.07339282,-0.1709805076527278,0.67550462473421
A035,T1,A035_T1,1.0,-0.06479133,,0.8264408,0.07339282,-0.07518144230145055,0.8035031475837656
A035,T2,A035_T2,44.76,0.7425775,,0.7271903,0.07339282,0.7800844912980682,0.7032506413173133
A035,T3,A035_T3,79.98,-0.4961729,,0.063205935,0.07339282,-0.53215469602946,0.03256286933642845
A035,T4,A035_T4,152.47,-0.98961914,,-0.33424705,0.07339282,-1.0548746022893687,-0.36890269375224766
A036,T1,A036_T1,1.0,1.3283472,,-0.8724763,0.07339282,1.4006049408487524,-0.9125657610255903
A036,T2,A036_T2,21.63,-0.15242939,,-1.4847412,0.07339282,-0.16801862454039165,-1.5310119222437077
A036,T3,A036_T3,71.47,-0.39740184,,-1.3907819,0.07339282,-0.42752404928587184,-1.4361040345046892
A036,T4,A036_T4,143.85,-1.0100961,,-1.6291748,0.07339282,-1.0765663566164214,-1.6769036848956465
A037,T1,A037_T1,1.0,1.1801162,,0.981827,0.07339282,1.2435801463649347,0.9604580847298777
A037,T2,A037_T2,23.7,1.2522094,,0.40132684,0.07339282,1.319950270790195,0.3740973517554692
A037,T3,A037_T3,72.08,0.29365978,,-0.5773718,0.07339282,0.3045347566059729,-0.6144819656239726
A037,T4,A037_T4,143.66,-0.16601759,,-0.9496738,0.07339282,-0.18241294362617672,-0.9905426261547781
A038,T1,A038_T1,1.0,1.2059275,,1.2398889,0.07339282,1.2709227000673329,1.2211253080373932
A038,T2,A038_T2,71.85,-0.16850944,,0.9916787,0.07339282,-0.18505262246619336,0.9704092448347156
A038,T3,A038_T3,72.86,0.9667946,,1.0252008,0.07339282,1.0176032562477586,1.004269774910782
A038,T4,A038_T4,152.89,-0.017467948,,0.66296256,0.07339282,-0.025050603726326653,0.6383744753853526
A039,T1,A039_T1,1.0,2.174663,,2.2039258,0.07339282,2.2971283709234847,2.1948948644460886
A039,T2,A039_T2,28.65,1.3026897,,1.7605134,0.07339282,1.3734253113214028,1.7470058925051648
A039,T3,A039_T3,98.84,0.567675,,0.9264932,0.07339282,0.5948059118025113,0.9045656496162349
A039,T4,A039_T4,246.24,0.72307914,,0.4581183,0.07339282,0.7594293923526958,0.43146216301114015
A040,T1,A040_T1,1.0,-0.5069201,,0.10722337,0.07339282,-0.5435394729740699,0.07702469248261566
A040,T2,A040_T2,26.26,0.14172223,,0.08675729,0.07339282,0.14358352128323504,0.05635199246145997
A040,T3,A040_T3,71.28,-1.6828778,,-1.4581342,0.07339282,-1.7892607874370556,-1.504136305151285
A040,T4,A040_T4,143.53,-1.6119773,,-2.264335,0.07339282,-1.7141541198621224,-2.318476290884544
A041,T1,A041_T1,1.0,1.1962991,,1.1639924,0.07339282,1.2607230958603317,1.1444625774531463
A041,T2,A041_T2,31.78,-1.1736511,,-0.3599962,0.07339282,-1.2498242464087106,-0.3949118002225508
A041,T3,A041_T3,75.74,0.2872409,,0.55802584,0.07339282,0.29773507696530205,0.5323783425761381
A041,T4,A041_T4,141.84,0.1290578,,0.12782939,0.07339282,0.13016777479292804,0.09783874530025022
A042,T1,A042_T1,1.0,-0.8806226,,-0.26355729,0.07339282,-0.939411849606413,-0.29749926901006496
A042,T2,A042_T2,28.93,-0.99250966,,-0.74814,0.07339282,-1.0579366022013394,-0.786974195291438
A042,T3,A042_T3,72.17,-0.17139933,,-0.6204812,0.07339282,-0.18811395500345504,-0.6580265864938221
A042,T4,A042_T4,146.02,-1.260689,,-1.0438489,0.07339282,-1.3420256641944843,-1.0856684925523656
A043,T1,A043_T1,1.0,1.0349586,,2.2976968,0.07339282,1.089811081137255,2.289612551159118
A043,T2,A043_T2,25.62,0.5667534,,1.9961102,0.07339282,0.5938296379421426,1.984981214225016
A043,T3,A043_T3,64.94,0.56906503,,1.3940244,0.07339282,0.5962784052423202,1.3768169184537915
A043,T4,A043_T4,149.33,-0.36708274,,0.8008104,0.07339282,-0.3954062706401479,0.7776139899814193
A044,T1,A044_T1,1.0,-0.0888245,,-0.48998752,0.07339282,-0.10064037855665124,-0.5262154775126844
A044,T2,A044_T2,47.66,-0.37333766,,-0.78027636,0.07339282,-0.4020322633644277,-0.8194349953103897
A044,T3,A044_T3,91.63,-1.308094,,-1.2760453,0.07339282,-1.3922429627521775,-1.3202090847513739
A044,T4,A044_T4,155.27,-1.7971689,,-1.6953964,0.07339282,-1.9103321995494305,-1.7437938403001483
A045,T1,A045_T1,1.0,-0.9017756,,-0.1593461,0.07339282,-0.961819749962723,-0.19223599095595495
A045,T2,A045_T2,24.66,-1.0143217,,-0.27718532,0.07339282,-1.081042640063007,-0.3112648839235858
A045,T3,A045_T3,72.23,-1.1242429,,-0.045916285,0.07339282,-1.1974849081406334,-0.07766101915137948
A045,T4,A045_T4,151.52,-1.2476392,,-1.021972,0.07339282,-1.3282016856538625,-1.0635707292731829
A046,T1,A046_T1,1.0,-0.7687857,,0.676205,0.07339282,-0.8209402327502409,0.6517506074862802
A046,T2,A046_T2,24.32,-1.3034526,,-0.12228983,0.07339282,-1.3873262119974958,-0.1548056108532215
A046,T3,A046_T3,73.05,-1.624248,,-0.17526035,0.07339282,-1.7271527783456555,-0.20831090692968696
A046,T4,A046_T4,147.94,-1.154563,,-0.0935051,0.07339282,-1.2296037461112925,-0.12573027798635297
A047,T1,A047_T1,1.0,-0.7466336,,0.3895279,0.07339282,-0.7974739608510768,0.36217929284103056
A047,T2,A047_T2,23.46,-0.5145792,,0.2769776,0.07339282,-0.5516529485859933,0.24849271538256856
A047,T3,A047_T3,76.85,-1.2429395,,-0.20571186,0.07339282,-1.3232231762554534,-0.23906984715767507
A047,T4,A047_T4,144.22,-1.600209,,-1.0360394,0.07339282,-1.701687666226082,-1.077780149947665
A048,T1,A048_T1,1.0,1.0764405,,0.724293,0.07339282,1.1337538921706978,0.7003240909583147
A048,T2,A048_T2,23.91,-0.06019045,,0.52653074,0.07339282,-0.07030761539314725,0.5005652765451102
A048,T3,A048_T3,81.15,0.14282681,,-0.118984975,0.07339282,0.14475363042026396,-0.1514673909289167
A048,T4,A048_T4,146.3,0.09614354,,-0.5066172,0.07339282,0.09530087844812206,-0.5430130462746462
A049,T1,A049_T1,1.0,2.1010969,,1.5637307,0.07339282,2.2191979668010275,1.5482365274653977
A049,T2,A049_T2,27.12,-0.5321013,,-0.2571439,0.07339282,-0.5702145460347382,-0.29102113115520073
A049,T3,A049_T3,111.38,0.37812865,,-0.15933253,0.07339282,0.3940147368532242,-0.19222228395689667
A049,T4,A049_T4,168.86,0.034191336,,-0.10835778,0.07339282,0.029673363954395775,-0.1407329066358168
A050,T1,A050_T1,1.0,-0.39878848,,0.035831243,0.07339282,-0.4289929516141503,0.004911809832726195
A050,T2,A050_T2,24.73,-0.71372736,,-0.56609553,0.07339282,-0.762615560292252,-0.6030918534448177
A050,T3,A050_T3,93.39,-0.9261868,,-1.4636116,0.07339282,-0.9876791428232135,-1.5096690035036748
A050,T4,A050_T4,148.69,-1.1381246,,-1.8676877,0.07339282,-1.2121901390949277,-1.9178245467742236
A051,T1,A051_T1,1.0,1.5230782,,1.7638129,0.07339282,1.6068883448238203,1.7503387033668345
A051,T2,A051_T2,17.16,-0.30774206,,1.4229454,0.07339282,-0.33254520863874476,1.4060298970658092
A051,T3,A051_T3,65.63,-0.6520249,,0.2748946,0.07339282,-0.6972526058451661,0.24638868597664093
A051,T4,A051_T4,146.99,-0.72000563,,0.112219095,0.07339282,-0.7692662882537709,0.08207085297417967
A052,T1,A052_T1,1.0,0.58457315,,1.0086244,0.07339282,0.6127065434578783,0.9875260240493232
A052,T2,A052_T2,31.76,0.3844317,,0.23544133,0.07339282,0.40069171488663974,0.20653710640870898
A052,T3,A052_T3,80.98,0.116021834,,-0.10714758,0.07339282,0.11635845095346106,-0.13951048878317465
A052,T4,A052_T4,153.27,-0.8312764,,0.06826525,0.07339282,-0.8871381894843241,0.037673261815473445
A053,T1,A053_T1,1.0,1.401935,,0.7935923,0.07339282,1.4785583323223055,0.7703230179915362
A053,T2,A053_T2,32.71,0.97594434,,-0.35076645,0.07339282,1.0272958039812312,-0.3855888691570873
A053,T3,A053_T3,78.28,-0.40916884,,-0.35888958,0.07339282,-0.4399891257994964,-0.3937940080856388
A053,T4,A053_T4,148.9,-0.13549207,,-0.38389128,0.07339282,-0.150076499127309,-0.4190481185024323
A054,T1,A054_T1,1.0,0.52522403,,1.6660749,0.07339282,0.5498365407540212,1.6516139668922525
A054,T2,A054_T2,16.9,1.1258696,,0.7989242,0.07339282,1.1861153703299228,0.7757087474151875
A054,T3,A054_T3,72.83,1.191061,,0.90146124,0.07339282,1.2551742459167592,0.8792809737026467
A054,T4,A054_T4,136.83,1.2362738,,0.721319,0.07339282,1.3030692923512968,0.6973200662568128
A055,T1,A055_T1,1.0,0.28537354,,0.8933571,0.07339282,0.2957569359541282,0.8710950164920109
A055,T2,A055_T2,23.24,0.8647509,,-0.30982408,0.07339282,0.9095058203479244,-0.3442331560373709
A055,T3,A055_T3,74.48,-0.119812906,,-0.7091042,0.07339282,-0.13346716973751827,-0.7475443003879767
A055,T4,A055_T4,149.21,-0.62007034,,-0.52702236,0.07339282,-0.6634023436407634,-0.5636242112639204
A056,T1,A056_T1,1.0,0.5282342,,0.35512546,0.07339282,0.5530252888945004,0.32742953508987316
A056,T2,A056_T2,33.61,0.54977185,,-0.11481737,0.07339282,0.5758406585871718,-0.14725771091341452
A056,T3,A056_T3,71.46,-0.4118956,,-0.09799757,0.07339282,-0.4428776506600633,-0.13026810275123427
A056,T4,A056_T4,147.84,-0.9539059,,-0.4329056,0.07339282,-1.0170426766371687,-0.46855727385123047
A057,T1,A057_T1,1.0,0.4946756,,0.7148236,0.07339282,0.5174758271208859,0.6907590904511178
A057,T2,A057_T2,24.78,-0.77376056,,0.027630882,0.07339282,-0.826210225997846,-0.003371339799161509
A057,T3,A057_T3,73.83,-0.68134856,,-0.79511607,0.07339282,-0.7283158900772994,-0.8344245230182332
A057,T4,A057_T4,145.06,-1.0877718,,-1.8122908,0.07339282,-1.1588501624929701,-1.8618683746200073
A058,T1,A058_T1,1.0,1.0215306,,0.6129219,0.07339282,1.0755864659061043,0.5878286183848599
A058,T2,A058_T2,22.96,-0.8427394,,-1.2515614,0.07339282,-0.8992812312176188,-1.2954780019036582
A058,T3,A058_T3,66.28,-0.121771336,,-1.0903395,0.07339282,-0.1355417834705494,-1.1326284491050393
A058,T4,A058_T4,143.48,-1.0669552,,-1.8317188,0.07339282,-1.1367986190448935,-1.8814925144655965
A059,T1,A059_T1,1.0,0.99710035,,0.35930577,0.07339282,1.0497068929055964,0.33165204837162704
A059,T2,A059_T2,30.4,1.2424322,,-0.2759761,0.07339282,1.3095930390328219,-0.3100434559647592
A059,T3,A059_T3,79.78,1.3356622,,-0.64548576,0.07339282,1.4083539027504404,-0.6832835857844038
A059,T4,A059_T4,151.93,0.38432297,,-0.47585383,0.07339282,0.40057653448642505,-0.5119390975922498
A060,T1,A060_T1,1.0,-0.051358394,,1.1899056,0.07339282,-0.060951598242419226,1.1706373901279825
A060,T2,A060_T2,24.87,1.310061,,1.1297755,0.07339282,1.381233913216948,1.1099002328637633
A060,T3,A060_T3,94.68,-0.5090028,,0.7342384,0.07339282,-0.5457457290168103,0.7103698970330687
A060,T4,A060_T4,143.91,0.19280487,,1.113592,0.07339282,0.19769663559596878,1.093553348614685
A061,T1,A061_T1,1.0,2.529091,,3.035337,0.07339282,2.672582789090471,3.034699767575026
A061,T2,A061_T2,35.16,0.94611883,,2.2201235,0.07339282,0.9957008975303198,2.211256092054535
A061,T3,A061_T3,82.55,0.27741587,,0.58240455,0.07339282,0.2873271776962737,0.557003173453998
A061,T4,A061_T4,146.56,-0.2929151,,1.2262194,0.07339282,-0.31683864019611274,1.2073178044539425
A062,T1,A062_T1,1.0,1.5359104,,0.8056381,0.07339282,1.6204818142585216,0.7824904291379228
A062,T2,A062_T2,44.69,0.14121151,,-0.1124377,0.07339282,0.14304250285228082,-0.14485401640721973
A062,T3,A062_T3,92.72,-0.59946907,,-0.80934817,0.07339282,-0.6415789046310041,-0.8488003064594731
A062,T4,A062_T4,149.18,-0.7168849,,-1.309975,0.07339282,-0.7659604211484455,-1.3544813298470544
A063,T1,A063_T1,1.0,0.86206603,,-0.22373737,0.07339282,0.906661670608897,-0.25727733784266904
A063,T2,A063_T2,21.98,0.7186035,,-0.5303791,0.07339282,0.7546882352992889,-0.5670148400051847
A063,T3,A063_T3,69.99,0.17484958,,-1.2802118,0.07339282,0.1786761491785032,-1.3244176486110941
A063,T4,A063_T4,141.09,-0.58241045,,-1.7153044,0.07339282,-0.6235082831032701,-1.763902826096215
A064,T1,A064_T1,1.0,0.83211017,,0.97024375,0.07339282,0.8749286811526699,0.9487578933634777
A064,T2,A064_T2,37.65,0.56187433,,0.085474685,0.07339282,0.5886611174300894,0.055056438627475425
A064,T3,A064_T3,82.99,0.17636402,,0.11236071,0.07339282,0.18028043323351242,0.08221389768100656
A064,T4,A064_T4,156.21,-0.33321425,,-0.03018738,0.07339282,-0.35952853466233464,-0.06177331937075437
A065,T1,A065_T1,1.0,-2.2385516,,-0.13690929,0.07339282,-2.3778998996675735,-0.16957266497649695
A065,T2,A065_T2,32.31,-0.9801161,,-1.1207016,0.07339282,-1.0448077950562562,-1.1632970766737936
A065,T3,A065_T3,106.41,-2.2205753,,-1.3502693,0.07339282,-2.3588571568332175,-1.3951824302269245
A065,T4,A065_T4,187.43,-2.3754525,,-1.8451918,0.07339282,-2.5229224367019976,-1.8951015342380704
A066,T1,A066_T1,1.0,0.46571386,,0.46811906,0.07339282,0.48679593376933483,0.44156388798551593
A066,T2,A066_T2,23.35,-0.45289963,,-0.1757307,0.07339282,-0.48631424208667645,-0.2087860054563687
A066,T3,A066_T3,73.79,-0.92944336,,-0.5405086,0.07339282,-0.9911288980345001,-0.5772466047038616
A066,T4,A066_T4,164.93,-1.2830758,,-1.2039877,0.07339282,-1.3657405596559624,-1.2474240106656462
A067,T1,A067_T1,1.0,0.6627066,,0.24262358,0.07339282,0.6954752553235585,0.21379186646666565
A067,T2,A067_T2,29.91,-1.312235,,-1.4350314,0.07339282,-1.396629627309237,-1.4808002655164965
A067,T3,A067_T3,73.19,-1.4752139,,-1.9365375,0.07339282,-1.569277240006302,-1.9873694357767373
A067,T4,A067_T4,144.19,-1.1757759,,-1.7372146,0.07339282,-1.252075100031227,-1.7860342255632125
A068,T1,A068_T1,1.0,1.3038205,,2.2656133,0.07339282,1.3746231959582351,2.257205144800462
A068,T2,A068_T2,30.49,0.163223,,1.3492081,0.07339282,0.16635982307229286,1.3315481651821284
A068,T3,A068_T3,82.98,0.4192529,,0.6539339,0.07339282,0.43757868032355857,0.6292546644702673
A068,T4,A068_T4,155.59,-0.3906647,,0.16218548,0.07339282,-0.4203872288912937,0.13254168511431463
A069,T1,A069_T1,1.0,-0.7867887,,0.25422466,0.07339282,-0.8400112595603694,0.2255100678399344
A069,T2,A069_T2,24.96,-1.5067587,,-1.0452298,0.07339282,-1.6026934332252178,-1.0870633337461466
A069,T3,A069_T3,79.75,-0.71302193,,-1.6103827,0.07339282,-0.7618682807031463,-1.6579218649248677
A069,T4,A069_T4,140.22,-1.7110198,,-1.5714215,0.07339282,-1.8190723097661474,-1.6185673231628765
A070,T1,A070_T1,1.0,0.5967721,,0.26595566,0.07339282,0.6256291953773039,0.23735950085046584
A070,T2,A070_T2,24.25,0.042192243,,-0.2891156,0.07339282,0.03814892424447772,-0.3233156088112239
A070,T3,A070_T3,81.92,-0.4347659,,-1.5362434,0.07339282,-0.4671047297277567,-1.5830340745576617
A070,T4,A070_T4,149.2,-1.0469787,,-2.3315032,0.07339282,-1.1156370144749588,-2.3863226029072173
A071,T1,A071_T1,1.0,1.1001538,,1.4062483,0.07339282,1.1588739821588454,1.3891642276497198
A071,T2,A071_T2,30.92,0.40058818,,0.008745952,0.07339282,0.41780667701724616,-0.022446926956571415
A071,T3,A071_T3,79.96,-0.86193055,,-0.64396226,0.07339282,-0.9196108949496189,-0.6817447049395019
A071,T4,A071_T4,153.27,0.1462163,,-0.40711495,0.07339282,0.14834420169519938,-0.44250624840812564
A072,T1,A072_T1,1.0,0.9622242,,1.1476082,0.07339282,1.012761717563483,1.1279129669910246
A072,T2,A072_T2,33.76,0.37431285,,0.8802795,0.07339282,0.3899725647651228,0.8578853885712432
A072,T3,A072_T3,83.54,-0.88631296,,0.34604254,0.07339282,-0.9454397898452223,0.3182549163804693
A072,T4,A072_T4,154.89,-0.13873519,,-0.07694118,0.07339282,-0.15351201701146522,-0.10899913311960657
A073,T1,A073_T1,1.0,0.8751058,,0.005702734,0.07339282,0.9204750241204179,-0.02552086846432382
A073,T2,A073_T2,66.66,-0.48682293,,-0.51583505,0.07339282,-0.5222500396641933,-0.5523239572009208
