composite_ID,UID,test,theta_source,theta_destination,se_source,se_destination,TSVR_hours
A019_3,A019,3,-0.5290039,-0.34441203,0.5,0.5,83.68
A019_4,A019,4,-1.2386124,-0.9084577,0.5,0.5,154.76
A020_1,A020,1,0.35700476,-0.39048332,0.5,0.5,1.0
A020_2,A020,2,0.35810092,0.15357906,0.5,0.5,26.85
A020_3,A020,3,-0.56137884,-0.33567235,0.5,0.5,78.25
A020_4,A020,4,-1.6343551,-1.1523182,0.5,0.5,145.78
A021_1,A021,1,1.2139407,0.64160866,0.5,0.5,1.0
A021_2,A021,2,-0.017297959,0.47721207,0.5,0.5,30.21
A021_3,A021,3,0.36036015,-0.59433186,0.5,0.5,74.19
A021_4,A021,4,1.0062183,-0.99789435,0.5,0.5,140.39
A022_1,A022,1,0.1581856,-0.42679092,0.5,0.5,1.0
A022_2,A022,2,0.90218073,-0.60329264,0.5,0.5,24.15
A022_3,A022,3,0.64592147,-0.09910751,0.5,0.5,74.46
A022_4,A022,4,0.74378496,-0.08970222,0.5,0.5,141.71
A023_1,A023,1,0.8170031,0.1930206,0.5,0.5,1.0
A023_2,A023,2,0.5076978,0.101476,0.5,0.5,25.63
A023_3,A023,3,0.6582759,-0.27825373,0.5,0.5,72.2
A023_4,A023,4,-0.32591987,0.92574984,0.5,0.5,145.07
A024_1,A024,1,0.31113845,-0.26954484,0.5,0.5,1.0
A024_2,A024,2,0.54446435,-0.57454836,0.5,0.5,29.57
A024_3,A024,3,-0.2945651,0.0074428213,0.5,0.5,91.47
A024_4,A024,4,-1.4681152,-0.940981,0.5,0.5,145.65
A025_1,A025,1,1.0412298,0.05380287,0.5,0.5,1.0
A025_2,A025,2,1.480383,1.5041252,0.5,0.5,23.33
A025_3,A025,3,0.13729797,-0.27671874,0.5,0.5,72.94
A025_4,A025,4,-0.3094319,-0.14176248,0.5,0.5,137.74
A026_1,A026,1,0.8561924,1.0732766,0.5,0.5,1.0
A026_2,A026,2,-0.1953155,0.63977706,0.5,0.5,26.48
A026_3,A026,3,0.7336966,0.61266387,0.5,0.5,75.46
A026_4,A026,4,-0.42854974,-0.2835504,0.5,0.5,147.65
A027_1,A027,1,0.59530455,0.52744526,0.5,0.5,1.0
A027_2,A027,2,0.7602098,1.2530484,0.5,0.5,28.26
A027_3,A027,3,-0.47716057,-0.48801902,0.5,0.5,74.58
A027_4,A027,4,-0.4226555,0.38854283,0.5,0.5,145.92
A028_1,A028,1,1.1920228,1.5729234,0.5,0.5,1.0
A028_2,A028,2,-0.37323314,0.35054204,0.5,0.5,22.82
A028_3,A028,3,0.4525285,0.36001632,0.5,0.5,72.26
A028_4,A028,4,-1.4747403,-0.4464555,0.5,0.5,138.91
A029_1,A029,1,1.4011933,1.7540342,0.5,0.5,1.0
A029_2,A029,2,0.22787775,0.9775655,0.5,0.5,28.43
A029_3,A029,3,1.1538624,0.37505868,0.5,0.5,93.26
A029_4,A029,4,-0.056302976,1.0688435,0.5,0.5,143.14
A030_1,A030,1,0.77168596,-0.5316837,0.5,0.5,1.0
A030_2,A030,2,1.0246594,1.5800109,0.5,0.5,32.95
A030_3,A030,3,0.54660773,0.7544972,0.5,0.5,71.93
A030_4,A030,4,1.3088306,0.12028915,0.5,0.5,150.46
A031_1,A031,1,1.2707294,1.4608339,0.5,0.5,1.0
A031_2,A031,2,-0.06876846,-0.6116699,0.5,0.5,32.41
A031_3,A031,3,-0.23774107,-0.31054813,0.5,0.5,71.56
A031_4,A031,4,-1.0014096,-0.8304748,0.5,0.5,143.85
A032_1,A032,1,0.95065767,-0.66399795,0.5,0.5,1.0
A032_2,A032,2,-0.558087,-0.2995187,0.5,0.5,57.18
A032_3,A032,3,0.03167592,0.80790555,0.5,0.5,80.16
A032_4,A032,4,1.2263699,1.2733109,0.5,0.5,144.51
A033_1,A033,1,0.01302593,-0.8207058,0.5,0.5,1.0
A033_2,A033,2,0.11565804,0.05391906,0.5,0.5,29.16
A033_3,A033,3,1.0797325,0.01400444,0.5,0.5,72.6
A033_4,A033,4,-0.57237154,-1.3077472,0.5,0.5,168.33
A034_1,A034,1,1.4213097,1.5448427,0.5,0.5,1.0
A034_2,A034,2,1.3198788,1.3082612,0.5,0.5,26.08
A034_3,A034,3,0.29753846,-1.1147809,0.5,0.5,74.28
A034_4,A034,4,0.2194541,-0.6969951,0.5,0.5,145.38
A035_1,A035,1,-0.58022076,0.30524516,0.5,0.5,1.0
A035_2,A035,2,0.94498247,-0.05189664,0.5,0.5,44.76
A035_3,A035,3,-0.67052317,-0.003024264,0.5,0.5,79.98
A035_4,A035,4,-1.0736576,-1.0853919,0.5,0.5,152.47
A036_1,A036,1,0.56033707,1.3103865,0.5,0.5,1.0
A036_2,A036,2,0.11009441,-0.8839064,0.5,0.5,21.63
A036_3,A036,3,-0.44275582,-0.5670363,0.5,0.5,71.47
A036_4,A036,4,-1.2420775,-0.9257591,0.5,0.5,143.85
A037_1,A037,1,0.971286,-0.37298724,0.5,0.5,1.0
A037_2,A037,2,0.94823486,0.8601754,0.5,0.5,23.7
A037_3,A037,3,0.0045165215,0.52264977,0.5,0.5,72.08
A037_4,A037,4,-0.5205274,-0.7062983,0.5,0.5,143.66
A038_1,A038,1,0.71647024,1.0395416,0.5,0.5,1.0
A038_2,A038,2,-0.52280927,-0.28525016,0.5,0.5,71.85
A038_3,A038,3,1.3734354,0.56079465,0.5,0.5,72.86
A038_4,A038,4,-0.27067098,-0.17457396,0.5,0.5,152.89
A039_1,A039,1,1.3928413,1.7322454,0.5,0.5,1.0
A039_2,A039,2,0.31963685,1.3414384,0.5,0.5,28.65
A039_3,A039,3,1.0655857,0.9721396,0.5,0.5,98.84
A039_4,A039,4,0.74151385,1.2233254,0.5,0.5,246.24
A040_1,A040,1,-0.46198902,-0.9852747,0.5,0.5,1.0
A040_2,A040,2,-0.335709,0.88222194,0.5,0.5,26.26
A040_3,A040,3,-1.4675875,-0.9794845,0.5,0.5,71.28
A040_4,A040,4,-1.0677122,-1.104057,0.5,0.5,143.53
A041_1,A041,1,1.079175,0.22410686,0.5,0.5,1.0
A041_2,A041,2,-1.0853513,-0.6096121,0.5,0.5,31.78
A041_3,A041,3,-0.1782166,1.0298018,0.5,0.5,75.74
A041_4,A041,4,0.9023358,-0.39342585,0.5,0.5,141.84
A042_1,A042,1,-0.5589121,-1.0510693,0.5,0.5,1.0
A042_2,A042,2,-1.3708228,-0.29213598,0.5,0.5,28.93
A042_3,A042,3,-0.8300745,0.27557984,0.5,0.5,72.17
A042_4,A042,4,-1.5882493,-0.4915242,0.5,0.5,146.02
A043_1,A043,1,0.66669923,0.49942693,0.5,0.5,1.0
A043_2,A043,2,0.21157885,0.4424877,0.5,0.5,25.62
A043_3,A043,3,-0.3631573,0.3511134,0.5,0.5,64.94
A043_4,A043,4,-0.15410642,-0.25678244,0.5,0.5,149.33
A044_1,A044,1,-0.77502024,1.1713588,0.5,0.5,1.0
A044_2,A044,2,-0.4404797,0.16294117,0.5,0.5,47.66
A044_3,A044,3,-1.4569299,-1.3014706,0.5,0.5,91.63
A044_4,A044,4,-1.2631737,-1.0086085,0.5,0.5,155.27
A045_1,A045,1,-0.5580017,0.16803594,0.5,0.5,1.0
A045_2,A045,2,-0.8744425,-0.48629287,0.5,0.5,24.66
A045_3,A045,3,-0.7973534,-0.9015519,0.5,0.5,72.23
A045_4,A045,4,-0.57261163,-0.6140947,0.5,0.5,151.52
A046_1,A046,1,-0.6971506,-0.82893044,0.5,0.5,1.0
A046_2,A046,2,-1.4928403,-1.229845,0.5,0.5,24.32
A046_3,A046,3,-1.7452676,-0.9712328,0.5,0.5,73.05
A046_4,A046,4,-0.63528097,-0.8551873,0.5,0.5,147.94
A047_1,A047,1,-0.35001668,-0.9314449,0.5,0.5,1.0
A047_2,A047,2,-0.16671039,0.0011731267,0.5,0.5,23.46
A047_3,A047,3,-1.3709793,-0.31743395,0.5,0.5,76.85
A047_4,A047,4,-1.6715268,0.5841509,0.5,0.5,144.22
A048_1,A048,1,1.1008136,1.7055423,0.5,0.5,1.0
A048_2,A048,2,0.42243886,-0.21394376,0.5,0.5,23.91
A048_3,A048,3,-0.026019838,0.59561753,0.5,0.5,81.15
A048_4,A048,4,-0.17341782,0.05674492,0.5,0.5,146.3
A049_1,A049,1,1.1971763,0.7261273,0.5,0.5,1.0
A049_2,A049,2,-1.2098973,-0.3937213,0.5,0.5,27.12
A049_3,A049,3,0.85623467,0.6229021,0.5,0.5,111.38
A049_4,A049,4,-0.14212708,1.4647734,0.5,0.5,168.86
A050_1,A050,1,0.004513393,-0.91308653,0.5,0.5,1.0
A050_2,A050,2,-0.64157915,-0.0066963215,0.5,0.5,24.73
A050_3,A050,3,-0.91331995,-0.35299146,0.5,0.5,93.39
A050_4,A050,4,-0.3250553,0.8914575,0.5,0.5,148.69
A051_1,A051,1,1.209352,1.8028108,0.5,0.5,1.0
A051_2,A051,2,-0.22324474,0.049381785,0.5,0.5,17.16
A051_3,A051,3,-0.78436285,0.1110302,0.5,0.5,65.63
A051_4,A051,4,-0.21998222,0.03827322,0.5,0.5,146.99
A052_1,A052,1,0.78120226,-0.4868811,0.5,0.5,1.0
A052_2,A052,2,-0.19870977,0.9826763,0.5,0.5,31.76
A052_3,A052,3,0.39233577,-0.23479229,0.5,0.5,80.98
A052_4,A052,4,-0.8431323,0.060775243,0.5,0.5,153.27
A053_1,A053,1,1.0110499,0.830601,0.5,0.5,1.0
A053_2,A053,2,0.9028614,0.35691914,0.5,0.5,32.71
A053_3,A053,3,-0.8095616,-0.111180075,0.5,0.5,78.28
A053_4,A053,4,-0.7212973,-0.24006987,0.5,0.5,148.9
A054_1,A054,1,-0.009010122,0.4994956,0.5,0.5,1.0
A054_2,A054,2,1.0112917,-0.12840416,0.5,0.5,16.9
A054_3,A054,3,1.1221242,-0.02643241,0.5,0.5,72.83
A054_4,A054,4,1.0953832,0.17176248,0.5,0.5,136.83
A055_1,A055,1,-0.104547046,-0.5361741,0.5,0.5,1.0
A055_2,A055,2,0.97470355,0.75660616,0.5,0.5,23.24
A055_3,A055,3,-1.0984837,0.83208466,0.5,0.5,74.48
A055_4,A055,4,-1.8678097,0.1528813,0.5,0.5,149.21
A056_1,A056,1,0.7685593,0.7468591,0.5,0.5,1.0
A056_2,A056,2,-0.08752507,-0.7365116,0.5,0.5,33.61
A056_3,A056,3,0.2292436,-0.72254777,0.5,0.5,71.46
A056_4,A056,4,-1.4955524,-0.8596302,0.5,0.5,147.84
A057_1,A057,1,0.12942022,-1.0518757,0.5,0.5,1.0
A057_2,A057,2,-1.3945471,-0.60083723,0.5,0.5,24.78
A057_3,A057,3,-0.56744486,-0.51274824,0.5,0.5,73.83
A057_4,A057,4,-1.7203946,-0.13473281,0.5,0.5,145.06
A058_1,A058,1,1.3013333,1.7332748,0.5,0.5,1.0
A058_2,A058,2,-0.7516616,-0.17271782,0.5,0.5,22.96
A058_3,A058,3,0.24483971,0.67109835,0.5,0.5,66.28
A058_4,A058,4,-0.613019,-0.9756075,0.5,0.5,143.48
A059_1,A059,1,0.78058815,1.5626048,0.5,0.5,1.0
A059_2,A059,2,0.78051406,0.07206453,0.5,0.5,30.4
A059_3,A059,3,1.2624742,2.0409064,0.5,0.5,79.78
A059_4,A059,4,0.8706269,-0.5772869,0.5,0.5,151.93
A060_1,A060,1,-0.73423666,-0.1530542,0.5,0.5,1.0
A060_2,A060,2,0.89305395,0.33590585,0.5,0.5,24.87
A060_3,A060,3,-0.4122879,0.16965349,0.5,0.5,94.68
A060_4,A060,4,0.5975928,-0.7229297,0.5,0.5,143.91
A061_1,A061,1,1.7025199,2.0403898,0.5,0.5,1.0
A061_2,A061,2,0.41044217,0.77201295,0.5,0.5,35.16
A061_3,A061,3,0.69539714,1.5962133,0.5,0.5,82.55
A061_4,A061,4,-0.7289813,0.7794881,0.5,0.5,146.56
A062_1,A062,1,0.62293416,0.75087893,0.5,0.5,1.0
A062_2,A062,2,-0.07864903,1.0081036,0.5,0.5,44.69
A062_3,A062,3,-0.71697104,-0.41625023,0.5,0.5,92.72
A062_4,A062,4,-0.91934156,-0.7022192,0.5,0.5,149.18
A063_1,A063,1,1.103137,0.42942187,0.5,0.5,1.0
A063_2,A063,2,1.1051809,0.9230828,0.5,0.5,21.98
A063_3,A063,3,0.2864874,-1.0528466,0.5,0.5,69.99
A063_4,A063,4,-0.9610751,-0.95782745,0.5,0.5,141.09
A064_1,A064,1,0.73301834,0.37014112,0.5,0.5,1.0
A064_2,A064,2,1.187793,0.15088972,0.5,0.5,37.65
A064_3,A064,3,-0.08421605,0.4945773,0.5,0.5,82.99
A064_4,A064,4,-1.2915661,-1.064075,0.5,0.5,156.21
A065_1,A065,1,-1.3585184,-0.9370374,0.5,0.5,1.0
A065_2,A065,2,-0.18607779,-0.42273253,0.5,0.5,32.31
A065_3,A065,3,-1.534947,0.12489203,0.5,0.5,106.41
A065_4,A065,4,-1.4947524,-1.0915083,0.5,0.5,187.43
A066_1,A066,1,-0.03744735,0.03757501,0.5,0.5,1.0
A066_2,A066,2,-0.48925865,-0.42152458,0.5,0.5,23.35
A066_3,A066,3,-0.78109145,-0.91012734,0.5,0.5,73.79
A066_4,A066,4,-1.5672717,-1.2444345,0.5,0.5,164.93
A067_1,A067,1,0.33184186,-0.3772701,0.5,0.5,1.0
A067_2,A067,2,-1.4980056,-0.75470644,0.5,0.5,29.91
A067_3,A067,3,-1.2921559,-0.75410956,0.5,0.5,73.19
A067_4,A067,4,-1.626856,-1.4940736,0.5,0.5,144.19
A068_1,A068,1,1.1554995,1.4733075,0.5,0.5,1.0
A068_2,A068,2,-0.113646984,-0.34633532,0.5,0.5,30.49
A068_3,A068,3,1.1442444,-0.3125315,0.5,0.5,82.98
A068_4,A068,4,-0.48383042,-0.21757181,0.5,0.5,155.59
A069_1,A069,1,-1.0576996,-0.18573126,0.5,0.5,1.0
A069_2,A069,2,-0.9050108,-0.75497293,0.5,0.5,24.96
A069_3,A069,3,-0.53834414,-0.45664144,0.5,0.5,79.75
A069_4,A069,4,-1.7287896,-0.621072,0.5,0.5,140.22
A070_1,A070,1,-0.16930422,-0.025029317,0.5,0.5,1.0
A070_2,A070,2,0.23320425,-0.7115501,0.5,0.5,24.25
A070_3,A070,3,-0.75356513,-0.60091597,0.5,0.5,81.92
A070_4,A070,4,-1.1904025,-0.9432329,0.5,0.5,149.2
A071_1,A071,1,0.5082413,-0.09704123,0.5,0.5,1.0
A071_2,A071,2,0.83159643,-0.43790084,0.5,0.5,30.92
A071_3,A071,3,-0.4841799,-0.8310883,0.5,0.5,79.96
A071_4,A071,4,0.43548703,-0.20154567,0.5,0.5,153.27
A072_1,A072,1,1.1708913,0.6814234,0.5,0.5,1.0
A072_2,A072,2,1.1662811,1.7074885,0.5,0.5,33.76
A072_3,A072,3,-0.9678977,0.09480323,0.5,0.5,83.54
A072_4,A072,4,-0.172895,0.58196443,0.5,0.5,154.89
A073_1,A073,1,1.1209983,0.30522674,0.5,0.5,1.0
A073_2,A073,2,0.3522422,-0.94399035,0.5,0.5,66.66
A073_3,A073,3,1.3783715,-0.27342725,0.5,0.5,66.9
A073_4,A073,4,1.4486346,1.1537054,0.5,0.5,140.12
A074_1,A074,1,1.0531274,0.39766553,0.5,0.5,1.0
A074_2,A074,2,0.28312021,-0.40341347,0.5,0.5,29.33
A074_3,A074,3,-0.56265223,1.1376537,0.5,0.5,73.02
A074_4,A074,4,-0.6709876,0.26247647,0.5,0.5,147.21
A075_1,A075,1,1.2248234,0.07384318,0.5,0.5,1.0
A075_2,A075,2,0.43895453,0.8610925,0.5,0.5,28.68
A075_3,A075,3,-1.422566,-1.4018217,0.5,0.5,71.37
A075_4,A075,4,-0.6957722,-0.09748435,0.5,0.5,244.53
A076_1,A076,1,0.15540236,-0.5232532,0.5,0.5,1.0
A076_2,A076,2,-1.0829679,-1.1163836,0.5,0.5,27.3
A076_3,A076,3,-1.1610296,-0.5196874,0.5,0.5,74.88
A076_4,A076,4,-1.1055614,-1.266146,0.5,0.5,149.28
A077_1,A077,1,0.5334684,-0.5821275,0.5,0.5,1.0
A077_2,A077,2,-0.17786074,-0.5422168,0.5,0.5,53.88
A077_3,A077,3,-0.0657532,-0.26786017,0.5,0.5,78.36
A077_4,A077,4,-0.39172974,0.8029541,0.5,0.5,149.75
A078_1,A078,1,-0.5279406,-0.27483156,0.5,0.5,1.0
A078_2,A078,2,0.1811822,0.06392656,0.5,0.5,26.17
A078_3,A078,3,-0.7775617,0.34884748,0.5,0.5,72.3
A078_4,A078,4,-1.4361522,-1.3704203,0.5,0.5,140.08
A079_1,A079,1,0.019097133,1.3273735,0.5,0.5,1.0
A079_2,A079,2,0.19691332,-0.2008887,0.5,0.5,26.11
A079_3,A079,3,-0.70234376,-0.19927017,0.5,0.5,74.0
A079_4,A079,4,-0.62206274,-0.95253634,0.5,0.5,194.42
A080_1,A080,1,0.10537331,-0.1154154,0.5,0.5,1.0
A080_2,A080,2,0.5328905,0.10268697,0.5,0.5,29.03
A080_3,A080,3,0.045848988,1.1151272,0.5,0.5,72.87
A080_4,A080,4,-0.66487795,-0.40745336,0.5,0.5,145.77
A081_1,A081,1,0.37206882,0.6662004,0.5,0.5,1.0
A081_2,A081,2,-0.42201942,-0.9717388,0.5,0.5,31.39
A081_3,A081,3,0.83210707,1.2064252,0.5,0.5,80.13
A081_4,A081,4,-0.09271791,1.4606197,0.5,0.5,154.53
A082_1,A082,1,0.071322605,-0.6594405,0.5,0.5,1.0
A082_2,A082,2,1.181799,1.5764099,0.5,0.5,27.97
A082_3,A082,3,1.0123066,-0.7732746,0.5,0.5,75.71
A082_4,A082,4,-0.5707041,0.112550795,0.5,0.5,170.25
A083_1,A083,1,1.2475034,1.6751546,0.5,0.5,1.0
A083_2,A083,2,0.6259196,-0.3237374,0.5,0.5,25.15
A083_3,A083,3,0.113821276,-0.8224563,0.5,0.5,74.3
A083_4,A083,4,0.19219941,0.76563764,0.5,0.5,144.91
A084_1,A084,1,0.8040474,0.089948215,0.5,0.5,1.0
A084_2,A084,2,0.14113443,-0.3887303,0.5,0.5,27.25
A084_3,A084,3,-0.11596396,0.41099674,0.5,0.5,91.97
A084_4,A084,4,-0.59100777,1.1264467,0.5,0.5,162.51
A085_1,A085,1,-0.11570579,-0.025167516,0.5,0.5,1.0
A085_2,A085,2,1.1474876,0.58357966,0.5,0.5,24.51
A085_3,A085,3,-0.103653476,-0.9434278,0.5,0.5,71.4
A085_4,A085,4,-0.4273231,0.36916238,0.5,0.5,170.65
A086_1,A086,1,0.7650894,1.2463102,0.5,0.5,1.0
A086_2,A086,2,0.30255273,0.35159728,0.5,0.5,23.47
A086_3,A086,3,-1.0298048,-0.7232066,0.5,0.5,145.29
A086_4,A086,4,-0.8856172,-1.2129464,0.5,0.5,169.55
A087_1,A087,1,-0.14446898,1.1479511,0.5,0.5,1.0
A087_2,A087,2,0.79339594,0.62924254,0.5,0.5,31.07
A087_3,A087,3,0.07429415,0.6483832,0.5,0.5,72.8
A087_4,A087,4,0.63730603,-0.5654962,0.5,0.5,144.2
A088_1,A088,1,1.3610681,1.5717645,0.5,0.5,1.0
A088_2,A088,2,1.6403587,2.250928,0.5,0.5,24.25
A088_3,A088,3,1.0740212,-0.11962351,0.5,0.5,74.91
A088_4,A088,4,1.2408419,1.3004314,0.5,0.5,149.93
A089_1,A089,1,0.95078164,1.5398204,0.5,0.5,1.0
A089_2,A089,2,1.0349191,0.37108445,0.5,0.5,32.14
A089_3,A089,3,0.30402267,-0.0014881843,0.5,0.5,79.34
A089_4,A089,4,-0.14708613,0.8214839,0.5,0.5,146.96
A090_1,A090,1,-0.23930658,-0.3088941,0.5,0.5,1.0
A090_2,A090,2,0.0107415775,-0.2992866,0.5,0.5,23.54
A090_3,A090,3,-0.9169951,-0.48725727,0.5,0.5,95.42
A090_4,A090,4,-0.89684373,0.14262137,0.5,0.5,144.07
A091_1,A091,1,0.61024165,1.1371102,0.5,0.5,1.0
A091_2,A091,2,-0.23226447,0.2593088,0.5,0.5,22.2
A091_3,A091,3,-1.0321478,-0.6923325,0.5,0.5,73.64
A091_4,A091,4,-1.0876396,0.056037232,0.5,0.5,142.61
A092_1,A092,1,0.23328507,-0.4201831,0.5,0.5,1.0
A092_2,A092,2,-0.8227533,-0.90574074,0.5,0.5,22.83
A092_3,A092,3,-0.70078677,-1.0292109,0.5,0.5,71.31
A092_4,A092,4,-0.77845037,-0.44239357,0.5,0.5,146.16
A093_1,A093,1,0.17902495,0.97299176,0.5,0.5,1.0
A093_2,A093,2,1.032644,-0.6046585,0.5,0.5,22.09
A093_3,A093,3,-0.19266124,-0.8998102,0.5,0.5,70.22
A093_4,A093,4,0.2726866,-0.7954494,0.5,0.5,140.95
A094_1,A094,1,-1.0644217,-1.036037,0.5,0.5,1.0
A094_2,A094,2,0.04552735,-0.29982325,0.5,0.5,22.98
A094_3,A094,3,-0.8497856,-1.0888739,0.5,0.5,76.21
A094_4,A094,4,-1.2777404,-1.2646453,0.5,0.5,149.99
A095_1,A095,1,1.0975536,1.3578781,0.5,0.5,1.0
A095_2,A095,2,0.2966555,-0.8642308,0.5,0.5,29.71
A095_3,A095,3,0.022464879,-0.6406247,0.5,0.5,78.76
A095_4,A095,4,-0.32706589,-0.86643106,0.5,0.5,148.79
A096_1,A096,1,-0.277075,-0.46724647,0.5,0.5,1.0
A096_2,A096,2,0.10875838,-0.4302919,0.5,0.5,24.49
A096_3,A096,3,-1.7827787,-0.7520156,0.5,0.5,71.19
A096_4,A096,4,-1.7271752,0.013857826,0.5,0.5,143.66
A097_1,A097,1,0.1794386,-0.12557247,0.5,0.5,1.0
A097_2,A097,2,-0.54056513,0.08058321,0.5,0.5,24.37
A097_3,A097,3,0.7713108,-0.33748123,0.5,0.5,70.83
A097_4,A097,4,-1.0911156,-0.29173175,0.5,0.5,144.85
A098_1,A098,1,0.7291178,0.36816895,0.5,0.5,1.0
A098_2,A098,2,0.0246297,1.0905981,0.5,0.5,25.77
A098_3,A098,3,1.1876998,0.41594142,0.5,0.5,78.84
A098_4,A098,4,-0.93667495,-0.75626916,0.5,0.5,146.29
A099_1,A099,1,0.5694854,1.5832982,0.5,0.5,1.0
A099_2,A099,2,1.1351792,-0.39603183,0.5,0.5,28.75
A099_3,A099,3,0.34919107,-0.024725638,0.5,0.5,78.57
A099_4,A099,4,1.2946471,1.3247222,0.5,0.5,143.51
A100_1,A100,1,-0.06639828,-0.6996861,0.5,0.5,1.0
A100_2,A100,2,1.3288726,1.1456058,0.5,0.5,31.14
A100_3,A100,3,0.2789706,0.24805592,0.5,0.5,75.34
A100_4,A100,4,0.11508391,-1.136643,0.5,0.5,146.8
A101_1,A101,1,-0.39517584,0.8865688,0.5,0.5,1.0
A101_2,A101,2,-0.64429396,-0.23393802,0.5,0.5,29.12
A101_3,A101,3,-1.402536,-0.978317,0.5,0.5,75.21
A101_4,A101,4,-1.0298448,0.17299545,0.5,0.5,150.22
A102_1,A102,1,-0.4269469,0.20968845,0.5,0.5,1.0
A102_2,A102,2,1.3623424,0.24436091,0.5,0.5,29.13
A102_3,A102,3,-0.3569574,0.012451167,0.5,0.5,75.27
A102_4,A102,4,-0.13239342,-1.0560108,0.5,0.5,150.41
A103_1,A103,1,1.1801236,1.2595557,0.5,0.5,1.0
A103_2,A103,2,-0.6768038,-0.42329043,0.5,0.5,27.26
A103_3,A103,3,-0.973742,0.97105753,0.5,0.5,80.24
A103_4,A103,4,-0.9487724,-0.8396413,0.5,0.5,149.72
A104_1,A104,1,1.2842352,0.06332143,0.5,0.5,1.0
A104_2,A104,2,0.9625718,0.2064909,0.5,0.5,22.6
A104_3,A104,3,-0.589731,1.1526464,0.5,0.5,72.62
A104_4,A104,4,-1.3339353,-1.420157,0.5,0.5,145.78
A105_1,A105,1,0.53870964,1.0632366,0.5,0.5,1.0
A105_2,A105,2,0.46811488,0.89520895,0.5,0.5,22.77
A105_3,A105,3,-1.190793,0.023725206,0.5,0.5,69.46
A105_4,A105,4,-0.1631536,0.6975893,0.5,0.5,146.2
A106_1,A106,1,0.7179772,1.2047487,0.5,0.5,1.0
A106_2,A106,2,-0.1352828,0.13819233,0.5,0.5,22.64
A106_3,A106,3,-0.20217995,0.28499973,0.5,0.5,66.08
A106_4,A106,4,0.47873917,0.24336678,0.5,0.5,147.13
A107_1,A107,1,-0.89261144,-0.26651132,0.5,0.5,1.0
A107_2,A107,2,-1.3602527,-1.135201,0.5,0.5,26.22
A107_3,A107,3,-0.8110506,-1.1414355,0.5,0.5,71.45
A107_4,A107,4,-1.0200406,-1.0968966,0.5,0.5,145.95
A108_1,A108,1,-0.8011535,-0.17483757,0.5,0.5,1.0
A108_2,A108,2,-0.5113533,-0.8555178,0.5,0.5,27.61
A108_3,A108,3,0.030380113,0.98977315,0.5,0.5,68.96
A108_4,A108,4,-1.5837336,-0.94147485,0.5,0.5,152.12
A109_1,A109,1,-0.121756904,-0.8293198,0.5,0.5,1.0
A109_2,A109,2,-0.9755655,-1.0111979,0.5,0.5,24.65
