UID,test,LocationType,theta,se,TSVR_hours,Segment,Days_within,theta_model_averaged
A055,3,Source,-1.0984837,0.5,74.48,Late,0.8583333333333334,-0.1395479453218513
A055,4,Source,-1.8678097,0.5,149.21,Late,3.972083333333334,-0.3849135198781439
A056,1,Source,0.7685593,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A056,2,Source,-0.08752507,0.5,33.61,Early,1.4004166666666666,0.08398093563659059
A056,3,Source,0.2292436,0.5,71.46,Late,0.7324999999999996,-0.126095282991007
A056,4,Source,-1.4955524,0.5,147.84,Late,3.915000000000001,-0.38159854444234015
A057,1,Source,0.12942022,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A057,2,Source,-1.3945471,0.5,24.78,Early,1.0325,0.15009668807350923
A057,3,Source,-0.56744486,0.5,73.83,Late,0.8312499999999998,-0.13668079322401752
A057,4,Source,-1.7203946,0.5,145.06,Late,3.799166666666667,-0.37477491578589184
A058,1,Source,1.3013333,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A058,2,Source,-0.7516616,0.5,22.96,Early,0.9566666666666668,0.1649729713527008
A058,3,Source,0.24483971,0.5,66.28,Late,0.5166666666666666,-0.10213658953429355
A058,4,Source,-0.613019,0.5,143.48,Late,3.733333333333333,-0.37082020907410557
A059,1,Source,0.78058815,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A059,2,Source,0.78051406,0.5,30.4,Early,1.2666666666666666,0.10688311310525536
A059,3,Source,1.2624742,0.5,79.78,Late,1.0791666666666666,-0.16229656888325433
A059,4,Source,0.8706269,0.5,151.93,Late,4.085416666666667,-0.3913750530726586
A060,1,Source,-0.73423666,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A060,2,Source,0.89305395,0.5,24.87,Early,1.03625,0.14936717276217262
A060,3,Source,-0.4122879,0.5,94.68,Late,1.7000000000000002,-0.22097563926200833
A060,4,Source,0.5975928,0.5,143.91,Late,3.75125,-0.3719036734128683
A061,1,Source,1.7025199,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A061,2,Source,0.41044217,0.5,35.16,Early,1.465,0.07331695480530372
A061,3,Source,0.69539714,0.5,82.55,Late,1.194583333333333,-0.17377923087076086
A061,4,Source,-0.7289813,0.5,146.56,Late,3.861666666666667,-0.37847897798244307
A062,1,Source,0.62293416,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A062,2,Source,-0.07864903,0.5,44.69,Early,1.862083333333333,0.012566751697243984
A062,3,Source,-0.71697104,0.5,92.72,Late,1.6183333333333332,-0.21367070897130225
A062,4,Source,-0.91934156,0.5,149.18,Late,3.9708333333333337,-0.3848409291751701
A063,1,Source,1.103137,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A063,2,Source,1.1051809,0.5,21.98,Early,0.9158333333333334,0.17330473315098782
A063,3,Source,0.2864874,0.5,69.99,Late,0.6712499999999997,-0.11943160885352064
A063,4,Source,-0.9610751,0.5,141.09,Late,3.633750000000001,-0.3647486972296215
A064,1,Source,0.73301834,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A064,2,Source,1.187793,0.5,37.65,Early,1.56875,0.056671059658517445
A064,3,Source,-0.08421605,0.5,82.99,Late,1.2129166666666664,-0.1755694006787918
A064,4,Source,-1.2915661,0.5,156.21,Late,4.263750000000001,-0.40122987404322485
A065,1,Source,-1.3585184,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A065,2,Source,-0.18607779,0.5,32.31,Early,1.3462500000000002,0.09315235376104808
A065,3,Source,-1.534947,0.5,106.41,Late,2.18875,-0.2623986575058513
A065,4,Source,-1.4947524,0.5,187.43,Late,5.564583333333334,-0.4629308506450353
A066,1,Source,-0.03744735,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A066,2,Source,-0.48925865,0.5,23.35,Early,0.9729166666666668,0.16168787579808006
A066,3,Source,-0.78109145,0.5,73.79,Late,0.8295833333333335,-0.1365043530949201
A066,4,Source,-1.5672717,0.5,164.93,Late,4.627083333333334,-0.42024961650454473
A067,1,Source,0.33184186,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A067,2,Source,-1.4980056,0.5,29.91,Early,1.24625,0.11052532557251377
A067,3,Source,-1.2921559,0.5,73.19,Late,0.8045833333333331,-0.13385775115845816
A067,4,Source,-1.626856,0.5,144.19,Late,3.762916666666667,-0.3726091850753185
A068,1,Source,1.1554995,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A068,2,Source,-0.113646984,0.5,30.49,Early,1.2704166666666663,0.10621413530514667
A068,3,Source,1.1442444,0.5,82.98,Late,1.2125,-0.17552894407470243
A068,4,Source,-0.48383042,0.5,155.59,Late,4.237916666666667,-0.39981991397540584
A069,1,Source,-1.0576996,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A069,2,Source,-0.9050108,0.5,24.96,Early,1.04,0.148637657450836
A069,3,Source,-0.53834414,0.5,79.75,Late,1.0779166666666666,-0.1621699218168946
A069,4,Source,-1.7287896,0.5,140.22,Late,3.5975,-0.36251223311548025
A070,1,Source,-0.16930422,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A070,2,Source,0.23320425,0.5,24.25,Early,1.0104166666666667,0.15439272268471382
A070,3,Source,-0.75356513,0.5,81.92,Late,1.1683333333333332,-0.1711760369813986
A070,4,Source,-1.1904025,0.5,149.2,Late,3.971666666666666,-0.38488932297715256
A071,1,Source,0.5082413,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A071,2,Source,0.83159643,0.5,30.92,Early,1.288333333333333,0.10308240118785632
A071,3,Source,-0.4841799,0.5,79.96,Late,1.0866666666666662,-0.16305645128141275
A071,4,Source,0.43548703,0.5,153.27,Late,4.14125,-0.3944880905263749
A072,1,Source,1.1708913,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A072,2,Source,1.1662811,0.5,33.76,Early,1.4066666666666665,0.08294893749162736
A072,3,Source,-0.9678977,0.5,83.54,Late,1.2358333333333336,-0.17779451390370737
A072,4,Source,-0.172895,0.5,154.89,Late,4.208749999999999,-0.39822802357625536
A073,1,Source,1.1209983,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
