UID,test,item,correct,TSVR_hours,age,congruence,log_TSVR,Age_c
A010,4,TQ_IFR-N-i2,1,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i3,1,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i4,0,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i5,1,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_IFR-N-i6,1,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i1,0,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i2,1,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i3,1,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i4,0,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i5,1,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_IFR-U-i6,1,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i1,0,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i2,0,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i3,0,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i4,0,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i5,0,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_IFR-D-i6,0,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i1,1,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i2,0,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i3,0,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i4,0,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i5,0,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_IFR-O-i6,0,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_ICR-N-i1,1,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_ICR-N-i2,1,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_ICR-N-i3,1,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_ICR-N-i4,1,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_ICR-N-i5,1,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_ICR-N-i6,1,145.31,22,incongruent,4.978869391332604,-22.57
A010,4,TQ_ICR-U-i1,0,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_ICR-U-i2,1,145.31,22,common,4.978869391332604,-22.57
A010,4,TQ_ICR-U-i3,1,145.31,22,congruent,4.978869391332604,-22.57
A010,4,TQ_ICR-U-i4,1,145.31,22,congruent,4.978869391332604,-22.57
