UID,TEST,LocationType,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A022,T2,Destination,24.15,-0.60329264,-2.0526927,-0.762168837338488,-2.1559217566950344,-1.0427777648354577
A022,T3,Destination,74.46,-0.09910751,-1.2207271,-0.1477850226395157,-1.2789599152387485,-0.7055442653039511
A022,T4,Destination,141.71,-0.08970222,-1.8666716,-0.1363240381623454,-1.9598398436859819,-1.1069015332274388
A023,T1,Destination,1.0,0.1930206,0.74832267,0.20819291467609086,0.7965844488771173,0.40626360712188414
A023,T2,Destination,25.63,0.101476,0.74359155,0.0966396037660854,0.7915974497663961,0.4352117801064809
A023,T3,Destination,72.2,-0.27825373,0.6376191,-0.36608685560412796,0.6798935585290251,0.5020752314373255
A023,T4,Destination,145.07,0.92574984,0.5440481,1.1010732453845329,0.5812618405025755,0.025332362681939335
A024,T1,Destination,1.0,-0.26954484,0.049735814,-0.3554744818119978,0.06021504171062307,0.1367424047085028
A024,T2,Destination,29.57,-0.57454836,-0.18637812,-0.7271419804433323,-0.18866893901421436,0.09739217415545683
A024,T3,Destination,91.47,0.0074428213,0.28000638,-0.01794620926250617,0.30293962021788473,0.18224293949784257
A024,T4,Destination,145.65,-0.940981,-0.030641675,-1.1736650327860605,-0.02450960407409725,0.32091363687824515
A025,T1,Destination,1.0,0.05380287,0.38545078,0.038546657891144566,0.41408690226326395,0.2310898464510187
A025,T2,Destination,23.33,1.5041252,0.3494011,1.8058628927997418,0.37608750209971176,-0.2959397268027394
A025,T3,Destination,72.94,-0.27671874,-0.031346235,-0.3642163660644528,-0.025252269678319877,0.08927006193936654
A025,T4,Destination,137.74,-0.14176248,-1.6843072,-0.19976299982513843,-1.7676124005800762,-0.9763931637527574
A026,T1,Destination,1.0,1.0732766,0.8554834,1.2808446194014138,0.9095408873555831,0.1659145910713538
A026,T2,Destination,26.48,0.63977706,0.50777274,0.7525959956162385,0.5430245546038679,0.1025149079738634
A026,T3,Destination,75.46,0.61266387,0.67689455,0.7195567326358764,0.7212931920667871,0.21617880393670372
A026,T4,Destination,147.65,-0.2835504,1.133408,-0.3725412076390672,1.2024968328922754,0.8094643125849361
A027,T1,Destination,1.0,0.52744526,1.0038637,0.6157120700708698,1.065946225657835,0.44734579678847813
A027,T2,Destination,28.26,1.2530484,0.89208364,1.499908764072441,0.9481206241477557,0.1258975748959305
A027,T3,Destination,74.58,-0.48801902,0.34410724,-0.6217001043757373,0.37050732761411787,0.3942022134919245
A027,T4,Destination,145.92,0.38854283,-0.15685867,0.44645002774455805,-0.15755295148927734,-0.2196381129088135
A028,T1,Destination,1.0,1.5729234,1.2559813,1.8896981708461666,1.3316994187700733,0.23882223056140428
A028,T2,Destination,22.82,0.35054204,0.76746184,0.4001434849042832,0.8167587466691714,0.3632303279610671
A028,T3,Destination,72.26,0.36001632,-0.1562987,0.411688538380823,-0.15696269592779707,-0.20936380853719433
A028,T4,Destination,138.91,-0.4464555,-0.045433797,-0.5710521331237548,-0.040101747004244875,0.1396683322293603
A029,T1,Destination,1.0,1.7540342,2.2294068,2.110393977934294,2.35777191383538,0.7756871227793445
A029,T2,Destination,28.43,0.9775655,0.77878493,1.1642141453391683,0.8286942375805448,0.15196085673493337
A029,T3,Destination,93.26,0.37505868,0.2685156,0.43001867540583844,0.2908273699174288,0.04720555346224063
A029,T4,Destination,143.14,1.0688435,0.69974846,1.275442586047233,0.745383138812273,0.07148107225948225
A030,T1,Destination,1.0,-0.5316837,-0.0077323057,-0.6749084817549151,-0.00036119855356841053,0.1925683883109838
A030,T2,Destination,32.95,1.5800109,0.5231934,1.898334770832126,0.5592792295448407,-0.21524825683775617
A030,T3,Destination,71.93,0.7544972,-0.023180155,0.8923902756181102,-0.01664453330763419,-0.2646320506730103
A030,T4,Destination,150.46,0.12028915,-0.12728706,0.1195647044399271,-0.126381982929487,-0.10804278196882622
A031,T1,Destination,1.0,1.4608339,1.9325812,1.753109504302787,2.0448927217541613,0.6948130825918017
A031,T2,Destination,32.41,-0.6116699,0.42165378,-0.7723770974581885,0.4522479146251235,0.4850317908242736
A031,T3,Destination,71.56,-0.31054813,-0.65397453,-0.4054397747697814,-0.6815549534984048,-0.2826691935389663
A031,T4,Destination,143.85,-0.8304748,-0.53339005,-1.039005724797569,-0.5544487514729259,-0.02738465740508378
A032,T1,Destination,1.0,-0.66399795,0.31224978,-0.8361423794187226,0.3369268805551049,0.4358219347243091
A032,T2,Destination,57.18,-0.2995187,-1.2805831,-0.39199966542471754,-1.3420531825351458,-0.6726754010859558
A032,T3,Destination,80.16,0.80790555,-0.61835086,0.957471976480208,-0.644004603769244,-0.6500144924314675
A032,T4,Destination,144.51,1.2733109,0.32567814,1.524599996131066,0.35108150343054345,-0.2302203501505288
A033,T1,Destination,1.0,-0.8207058,-0.16518727,-1.0271015349897614,-0.1663319976334362,0.19613157362723369
A033,T2,Destination,29.16,0.05391906,-0.47338432,0.03868824329535884,-0.4911976561407048,-0.29823468485264604
A033,T3,Destination,72.6,0.01400444,-0.11000837,-0.009950431347544437,-0.10816878781618867,-0.06039979141044187
A033,T4,Destination,168.33,-1.3077472,-1.2210691,-1.6205945506372637,-1.2793204120546964,-0.2850645392011153
A034,T1,Destination,1.0,1.5448427,1.6428461,1.8554799312375978,1.7394875140983148,0.4870138396689401
A034,T2,Destination,26.08,1.3082612,1.6413245,1.5671893097803467,1.7378836194926244,0.5684228871757409
A034,T3,Destination,74.28,-1.1147809,1.2023969,-1.3854520118195355,1.275216946300863,1.141306790965482
A034,T4,Destination,145.38,-0.6969951,0.6421228,-0.8763516471755766,0.6846408377979837,0.6506018362530765
A035,T1,Destination,1.0,0.30524516,0.76337385,0.3449461609999436,0.8124496607667556,0.3764774337437861
A035,T2,Destination,44.76,-0.05189664,0.4686343,-0.09025537196168382,0.5017693411501791,0.3191450670285396
A035,T3,Destination,79.98,-0.003024264,0.32487682,-0.030701063407834763,0.3502368446335983,0.21353902874914787
A035,T4,Destination,152.47,-1.0853919,-0.19872285,-1.3496395198283735,-0.2016813245660697,0.26759335236376736
A036,T1,Destination,1.0,1.3103865,-0.34990805,1.5697791321366301,-0.3610432638012217,-0.6594764282456753
A036,T2,Destination,21.63,-0.8839064,-1.3774467,-1.1041157573633245,-1.4441555783867108,-0.5289631577493672
A036,T3,Destination,71.47,-0.5670363,-1.0355872,-0.7179880252700659,-1.0838068612771032,-0.4285742962128699
A036,T4,Destination,143.85,-0.9257591,-1.7324836,-1.155116114080413,-1.8183943853865807,-0.7331981476776486
A037,T1,Destination,1.0,-0.37298724,0.36804277,-0.481526069873742,0.3957373929738301,0.36891419229299083
A037,T2,Destination,23.7,0.8601754,0.39995757,1.0211663377890057,0.4293782812241484,-0.04064349328888783
A037,T3,Destination,72.08,0.52264977,0.02613512,0.6098684398956785,0.03533792170724036,-0.15354096809795392
A037,T4,Destination,143.66,-0.7062983,-1.3213162,-0.8876882280559122,-1.3849893019903528,-0.5561909203814752
A038,T1,Destination,1.0,1.0395416,0.93066376,1.2397362313200955,0.9887873212789886,0.22398896910729799
A038,T2,Destination,71.85,-0.28525016,0.57185614,-0.3746124806115024,0.6105738576889711,0.46398198625225284
A038,T3,Destination,72.86,0.56079465,0.5378632,0.6563505661845567,0.5747424347804843,0.14855045871599365
A038,T4,Destination,152.89,-0.17457396,0.396789,-0.23974601608013793,0.426038341469448,0.3175683671193286
A039,T1,Destination,1.0,1.7322454,1.7810454,2.0838428456910387,1.8851612205784498,0.5069543506014611
A039,T2,Destination,28.65,1.3414384,2.0131736,1.607617980687461,2.129843901840671,0.786038599185771
A039,T3,Destination,98.84,0.9721396,0.94956374,1.1576023177746086,1.0087094926575733,0.2590972488958275
A039,T4,Destination,246.24,1.2233254,0.5343449,1.463689270402928,0.5710338501385284,-0.08422448617033951
A040,T1,Destination,1.0,-0.9852747,-0.31461167,-1.227639913745227,-0.3238379053085859,0.16132549534969923
A040,T2,Destination,26.26,0.88222194,-0.61962616,1.0480315437226146,-0.6453488774223965,-0.6766676975267931
A040,T3,Destination,71.28,-0.9794845,-1.6644305,-1.220584161894969,-1.746660684025841,-0.6725581207635027
A040,T4,Destination,143.53,-1.104057,-2.0150275,-1.3723842115247307,-2.116219462332359,-0.8452646516150961
A041,T1,Destination,1.0,0.22410686,0.7602327,0.24607363321994016,0.8091386240023866,0.4027833610300667
A041,T2,Destination,31.78,-0.6096121,-1.5549716,-0.7698695284351046,-1.6312817807301045,-0.7338419028824427
A041,T3,Destination,75.74,1.0298018,0.08509895,1.227867623694946,0.09749076665192961,-0.29372676088373706
A041,T4,Destination,141.84,-0.39342585,-0.5902207,-0.5064319039251044,-0.6143530449619329,-0.21453169612166897
A042,T1,Destination,1.0,-1.0510693,-0.647247,-1.3078151012494539,-0.6744635700358524,-0.020770381063287657
A042,T2,Destination,28.93,-0.29213598,-1.0236869,-0.3830033198235404,-1.0712629423916564,-0.5169247528276426
A042,T3,Destination,72.17,0.27557984,-0.21056157,0.3087969543268596,-0.2141603329429609,-0.21341525036555747
A042,T4,Destination,146.02,-0.4915242,-0.22162849,-0.6259714042048428,-0.2258257990901783,0.046769857400562526
A043,T1,Destination,1.0,0.49942693,2.09703,0.5815698325421773,2.2182356129425425,1.1307961669133233
A043,T2,Destination,25.62,0.4424877,2.0776703,0.5121855146559633,2.1978288579492573,1.1386839478355102
A043,T3,Destination,64.94,0.3511134,1.4074724,0.4008397258592007,1.4913838023794896,0.7574580524926257
A043,T4,Destination,149.33,-0.25678244,0.9365929,-0.3399226308545645,0.9950371344114692,0.6788537213698027
