UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A033,T1,Source,0.01302593,1.0,0.32084683,0.041391122575427666,0.35668544242520384,0.3152943198497762
A033,T2,Source,0.11565804,29.16,0.22721334,0.1606423287869741,0.25685287899620396,0.09621055020922986
A033,T3,Source,1.0797325,72.6,0.77439886,1.2808282260928492,0.8402652150399665,-0.44056301105288265
A033,T4,Source,-0.57237154,168.33,-0.099368066,-0.6387990675189548,-0.0913500869428736,0.5474489805760812
A034,T1,Source,1.4213097,1.0,1.8211368,1.677716618179523,1.9563032030354013,0.2785865848558784
A034,T2,Source,1.3198788,26.08,1.6283642,1.5598611324828657,1.7507679525937783,0.19090682011091253
A034,T3,Source,0.29753846,74.28,1.0441364,0.37197443012701936,1.1278609254127443,0.7558864952857249
A034,T4,Source,0.2194541,145.38,0.6053154,0.28124596204566915,0.6599874613725044,0.37874149932683526
A035,T1,Source,-0.58022076,1.0,0.1447713,-0.6479193024319834,0.1689527036688062,0.8168720061007896
A035,T2,Source,0.94498247,44.76,0.8905213,1.124258283074606,0.9640756257896911,-0.16018265728491488
A035,T3,Source,-0.67052317,79.98,0.07136492,-0.7528442749021937,0.09068640079530157,0.8435306756974953
A035,T4,Source,-1.0736576,152.47,-0.3635215,-1.2212577864523726,-0.3729919915092113,0.8482657949431613
A036,T1,Source,0.56033707,1.0,-0.7466725,0.6773277082893584,-0.7815097826369876,-1.458837490926346
A036,T2,Source,0.11009441,21.63,-0.86961955,0.15417778675997354,-0.9125966316643326,-1.0667744184243062
A036,T3,Source,-0.44275582,71.47,-0.918497,-0.48819482724777585,-0.9647100488548354,-0.4765152216070595
A036,T4,Source,-1.2420775,143.85,-1.3507532,-1.4169497217056577,-1.4255840855278084,-0.008634363822150659
A037,T1,Source,0.971286,1.0,1.1950513,1.1548211125840218,1.2887672563273689,0.13394614374334712
A037,T2,Source,0.94823486,23.7,0.5215914,1.1280373287414092,0.5707204529492408,-0.5573168757921684
A037,T3,Source,0.0045165215,72.08,-0.6600132,0.0315037956192559,-0.6891131405384956,-0.7206169361577515
A037,T4,Source,-0.5205274,143.66,-1.3404595,-0.5785598672335831,-1.4146088836190778,-0.8360490163854947
A038,T1,Source,0.71647024,1.0,0.67471296,0.8587433378825962,0.7339795373969892,-0.12476380048560698
A038,T2,Source,-0.52280927,71.85,0.57769156,-0.5812112377444101,0.6305347649179288,1.211746002662339
A038,T3,Source,1.3734354,72.86,0.50586396,1.6220900893910821,0.5539517663246603,-1.0681383230664219
A038,T4,Source,-0.27067098,152.89,0.68775254,-0.2882444925940211,0.7478824122918319,1.036126904885853
A039,T1,Source,1.3928413,1.0,1.0134212,1.6446383638309299,1.0951122032169316,-0.5495261606139983
A039,T2,Source,0.31963685,28.65,1.1536825,0.3976511862887428,1.2446596047810938,0.847008418492351
A039,T3,Source,1.0655857,98.84,0.9467811,1.2643906514972036,1.0240601468408967,-0.2403305046563069
A039,T4,Source,0.74151385,246.24,0.33422208,0.8878422300362462,0.37094621059697364,-0.5168960194392725
A040,T1,Source,-0.46198902,1.0,0.037014283,-0.5105424365808384,0.054061554844039364,0.5646039914248778
A040,T2,Source,-0.335709,26.26,-0.13419348,-0.36381404226625014,-0.12848114285135442,0.2353328994148957
A040,T3,Source,-1.4675875,71.28,-1.6159647,-1.6789762893438545,-1.7083541061246075,-0.02937781678075302
A040,T4,Source,-1.0677122,143.53,-1.7481036,-1.2143496548607087,-1.8492413582785996,-0.6348917034178909
A041,T1,Source,1.079175,1.0,1.5926738,1.2801804507770835,1.7127146436569183,0.43253419287983474
A041,T2,Source,-1.0853513,31.78,-0.4118361,-1.234845033465768,-0.42450529480535837,0.8103397386604095
A041,T3,Source,-0.1782166,75.74,0.4543916,-0.18081908416637912,0.4990716412268954,0.6798907253932746
A041,T4,Source,0.9023358,141.84,0.690669,1.07470588823048,0.7509919586511329,-0.3237139295793472
A042,T1,Source,-0.5589121,1.0,-0.6321535,-0.6231601563153174,-0.6594089688007668,-0.03624881248544942
A042,T2,Source,-1.3708228,28.93,-1.0748817,-1.5665425958954937,-1.1314483118638836,0.4350942840316101
A042,T3,Source,-0.8300745,72.17,-1.1776452,-0.9382315631023146,-1.2410153442572724,-0.30278378115495785
A042,T4,Source,-1.5882493,146.02,-1.1313311,-1.819176711937294,-1.1916349855212363,0.6275417264160577
A043,T1,Source,0.66669923,1.0,0.9314749,0.800912967086683,1.0077405887174415,0.20682762163075852
A043,T2,Source,0.21157885,25.62,1.7443565,0.27209548212552054,1.8744396073299798,1.6023441252044592
A043,T3,Source,-0.3631573,64.94,1.1612022,-0.39570701302809447,1.252677151998623,1.6483841650267175
A043,T4,Source,-0.15410642,149.33,0.20009018,-0.1528047712288637,0.22793401042583547,0.3807387816546992
A044,T1,Source,-0.77502024,1.0,-1.23271,-0.8742624318812563,-1.299725749462773,-0.4254633175815167
A044,T2,Source,-0.4404797,47.66,-0.5426331,-0.48555013782764966,-0.5639618054921105,-0.07841166766446084
A044,T3,Source,-1.4569299,91.63,-1.8462261,-1.6665929167782882,-1.9538601298854468,-0.2872672131071585
A044,T4,Source,-1.2631737,155.27,-1.4590483,-1.4414620044257542,-1.54104894152965,-0.09958693710389577
A045,T1,Source,-0.5580017,1.0,-0.48771042,-0.6221023363198502,-0.5054029294447618,0.1166994068750884
A045,T2,Source,-0.8744425,24.66,-0.75291854,-0.9897840208778966,-0.7881693462661984,0.20161467461169824
A045,T3,Source,-0.7973534,72.23,-0.33701846,-0.900211974071468,-0.34473429843527675,0.5554776756361912
A045,T4,Source,-0.57261163,151.52,-0.71758026,-0.6390780350087524,-0.7504914696905013,-0.11141343468174891
A046,T1,Source,-0.6971506,1.0,0.053599805,-0.7837834531556032,0.07174513341264845,0.8555285865682516
A046,T2,Source,-1.4928403,24.32,-0.29500353,-1.7083182453868406,-0.2999377393815665,1.408380506005274
A046,T3,Source,-1.7452676,73.05,-0.37216565,-2.0016207995847806,-0.38220843375829106,1.6194123658264896
A046,T4,Source,-0.63528097,147.94,-0.63073695,-0.7118953471295059,-0.6578986350758853,0.053996712053620555
A047,T1,Source,-0.35001668,1.0,0.17156133,-0.3804385479700579,0.1975163871247984,0.5779549350948563
A047,T2,Source,-0.16671039,23.46,0.063802354,-0.16744968718698,0.08262314960300919,0.2500728367899892
A047,T3,Source,-1.3709793,76.85,-0.05376612,-1.566724437755435,-0.04272903088129962,1.5239954068741355
A047,T4,Source,-1.6715268,144.22,-0.9707118,-1.9159392390380432,-1.0203817677337594,0.8955574713042838
A048,T1,Source,1.1008136,1.0,0.6145826,1.305322963687801,0.6698682031008031,-0.6354547605869979
A048,T2,Source,0.42243886,23.91,0.6180052,0.5170998042063853,0.6735173988275895,0.1564175946212042
A048,T3,Source,-0.026019838,81.15,-0.16286343,-0.003977280465844705,-0.15904920778070028,-0.15507192731485558
A048,T4,Source,-0.17341782,146.3,-0.32606968,-0.17524324339545622,-0.3330606464778396,-0.1578174030823834
A049,T1,Source,1.1971763,1.0,1.6326123,1.41728956175152,1.755297301149543,0.338007739398023
A049,T2,Source,-1.2098973,27.12,-0.15065402,-1.379558619972206,-0.1460314648955887,1.2335271550766174
A049,T3,Source,0.85623467,111.38,0.37734783,1.0211396567633952,0.41692713229815337,-0.6042125244652419
A049,T4,Source,-0.14212708,168.86,-0.7039141,-0.1388856308680329,-0.7359205316102176,-0.5970349007421847
A050,T1,Source,0.004513393,1.0,0.4451789,0.031500160524950305,0.48924900771080676,0.45774884718585646
A050,T2,Source,-0.64157915,24.73,0.36321643,-0.7192133839694134,0.4018601526646849,1.1210735366340983
A050,T3,Source,-0.91331995,93.39,-2.4990115,-1.0349568503844622,-2.649863662927151,-1.6149068125426886
A050,T4,Source,-0.3250553,148.69,-2.7438962,-0.35143520122307226,-2.9109611329193683,-2.559525931696296
A051,T1,Source,1.209352,1.0,1.0015105,1.4314368584549584,1.0824129466450172,-0.3490239118099412
A051,T2,Source,-0.22324474,17.16,1.0506754,-0.23313857763155665,1.1348328446722127,1.3679714223037693
A051,T3,Source,-0.78436285,65.63,-0.3211199,-0.8851178796710761,-0.3277831626864142,0.5573347169846619
A051,T4,Source,-0.21998222,146.99,-0.10859255,-0.22934776162583198,-0.1011852846272683,0.1281624769985637
A052,T1,Source,0.78120226,1.0,0.7047565,0.9339573373366652,0.7660121318531148,-0.1679452054835504
A052,T2,Source,-0.19870977,31.76,0.102837585,-0.20463068895164835,0.12424273651334608,0.32887342546499443
A052,T3,Source,0.39233577,80.98,-0.0015698769,0.4821221564390858,0.012922902524538902,-0.46919925391454687
A052,T4,Source,-0.8431323,153.27,-0.45169076,-0.9534037972156844,-0.46699856160969544,0.4864052356059889
A053,T1,Source,1.0110499,1.0,0.84855944,1.201023933890875,0.9193356502739989,-0.28168828361687615
A053,T2,Source,0.9028614,32.71,-0.7995727,1.0753165980169668,-0.8379122789223101,-1.913228876939277
A053,T3,Source,-0.8095616,78.28,-0.7742192,-0.9143970334614757,-0.8108802319816572,0.10351680147981857
A053,T4,Source,-0.7212973,148.9,-0.66131234,-0.8118401997335343,-0.6904982910487795,0.1213419086847548
A054,T1,Source,-0.009010122,1.0,1.8154135,0.01578679873233061,1.9502009877887712,1.9344141890564406
A054,T2,Source,1.0112917,16.9,1.1800704,1.2013048882789503,1.2727945349274348,0.07148964664848445
A054,T3,Source,1.1221242,72.83,1.6393541,1.330084363946373,1.7624854469307762,0.43240108298440316
A054,T4,Source,1.0953832,136.83,1.33212,1.299013225437158,1.434910689482328,0.13589746404517
A055,T1,Source,-0.104547046,1.0,0.574144,-0.0952203064001746,0.6267523361232937,0.7219726425234684
A055,T2,Source,0.97470355,23.24,-0.16950391,1.158792062414326,-0.16612932559750926,-1.3249213880118353
A055,T3,Source,-1.0984837,74.48,-0.89608663,-1.2501039474689248,-0.9408159839802659,0.30928796348865895
A055,T4,Source,-1.8678097,149.21,-1.7656777,-2.144005996933797,-1.8679789643739995,0.2760270325597973
A056,T1,Source,0.7685593,1.0,0.45213616,0.9192671177739538,0.49666687817832905,-0.4226002395956247
A056,T2,Source,-0.08752507,33.61,-0.6433356,-0.07544198195469654,-0.6713313878788063,-0.5958894059241098
A056,T3,Source,0.2292436,71.46,-0.5442299,0.29262066420474914,-0.5656643227995763,-0.8582849870043254
A056,T4,Source,-1.4955524,147.84,-0.9695138,-1.7114695125328279,-1.0191044532708686,0.6923650592619592
A057,T1,Source,0.12942022,1.0,0.6876959,0.17663300232082643,0.7478220223993628,0.5711890200785363
A057,T2,Source,-1.3945471,24.78,-0.57829076,-1.594108543740906,-0.6019802068534152,0.9921283368874907
A057,T3,Source,-0.56744486,73.83,-1.252599,-0.6330746160522714,-1.3209315151993635,-0.687856899147092
A057,T4,Source,-1.7203946,145.06,-2.564727,-1.9727201441066868,-2.7199299054865005,-0.7472097613798137
A058,T1,Source,1.3013333,1.0,0.6814561,1.5383125815976095,0.7411691118938987,-0.7971434697037109
A058,T2,Source,-0.7516616,22.96,-1.621224,-0.8471213549272574,-1.7139616019131565,-0.8668402469858991
