UID,n_obs,theta_mean,theta_sd,theta_range,theta_min,theta_max
A044,8,-1.34440959375,0.3598348958802151,1.14586065,-1.8109468,-0.66508615
A045,8,-0.34955142375,0.308678315684895,0.964027594,-0.85659695,0.107430644
A046,8,-1.120436245,0.38540378473823583,1.14182787,-1.7675588,-0.62573093
A047,8,-1.1743645525,0.3490346741176067,1.11886494,-1.6812772,-0.56241226
A048,8,-0.17559247825,0.19419020655259905,0.496199208,-0.49071383,0.005485378
A049,8,-0.182353503,0.4095704166986052,1.4326921000000001,-0.8922324,0.5404597
A050,8,-0.6010798819375001,0.5783065800362489,1.3758463060000001,-1.3177676,0.058078706
A051,8,-0.07269131375,0.3560515350136673,1.04424399,-0.57058275,0.47366124
A052,8,-0.45512258725,0.2982965392289922,0.977537492,-0.9427875,0.034749992
A053,8,-1.498517022625,0.7593126833943957,2.1419227189999996,-2.127089,0.014833719
A054,8,0.18105652187500004,0.3683246069747048,1.0339968000000002,-0.4796437,0.5543531
A055,8,-0.98148247875,0.605985896538181,1.63606627,-1.6561404,-0.02007413
A056,8,-0.93872756125,0.49896074978336846,1.4358906599999999,-1.5301504,-0.09425974
A057,8,-0.8558534838124999,0.5221932569651533,1.6217795895,-1.6090205,0.0127590895
A058,8,-0.428540016625,0.4368665797299136,1.2334506729999999,-1.1715075,0.061943173
A059,8,-0.46509908375,0.22374283326018166,0.70683277,-0.80831677,-0.101484
A060,8,-0.004229775625000015,0.31645970768818527,1.13030315,-0.644866,0.48543715
A061,8,0.43822537400000006,0.35152807615302983,1.09128869,-0.16252935,0.92875934
A062,8,-0.5544047525000001,0.519274039831705,1.5852191900000001,-1.335995,0.24922419
A063,8,-1.4420826375,0.2466269294873176,0.7619847999999999,-1.7509248,-0.98894
A064,8,-0.2836549475,0.3841119532370599,1.0185683399999998,-0.86327004,0.1552983
A065,8,-1.246483045,0.6029507667367627,1.54943756,-1.6791027,-0.12966514
A066,8,-0.85440536,0.32633240604248,0.91770708,-1.321545,-0.40383792
A067,8,-1.2148741525,0.4712832441110729,1.3422591799999999,-1.6110896,-0.26883042
A068,8,0.1091681125,0.4007098291543693,1.09945702,-0.44159007,0.65786695
A069,8,-1.35007753125,0.35498274109339184,1.14261875,-1.6984748,-0.55585605
A070,8,-0.72447124425,0.6358956054595619,1.795205446,-1.7073361,0.087869346
A071,8,-0.5241534455000001,0.4967404307537224,1.47384498,-1.0355132,0.43833178
A072,8,-0.0020836897500000062,0.39195358910366823,1.15683306,-0.7566408,0.40019226
A073,8,-0.7724502737500001,0.1674746569488866,0.49701125,-1.0389396,-0.54192835
A074,8,-0.15392576225000001,0.25184395175510754,0.78035044,-0.51103044,0.26932
A075,8,-0.6913955087499999,0.42797335453464824,1.1364640799999999,-1.3759944,-0.23953032
A076,8,-1.2322890625,0.3812222831381251,1.0921882,-1.6846266,-0.5924384
A077,8,-0.29725011375,0.28370269151702326,1.08651111,-0.8597841,0.22672701
A078,8,-1.1555738625,0.2432133191009743,0.7872462,-1.6080743,-0.8208281
A079,8,-0.438711654125,0.3226485861882058,1.00481355,-0.85501325,0.1498003
A080,8,-0.2774943775,0.4218106666073548,1.20976942,-0.9984222,0.21134722
A081,8,-0.35658431675,0.4030929308290523,1.2641056,-0.9656583,0.2984473
A082,8,-0.5515630155,0.38524223117839157,1.1688262,-1.1045943,0.0642319
A083,8,-0.251528805375,0.41183691923385934,1.21700263,-0.74519026,0.47181237
A084,8,-1.24903095,0.21751233311942914,0.7237117000000001,-1.5269368,-0.8032251
A085,8,0.028610800124999995,0.4167153740296321,1.29936465,-0.8205845,0.47878015
A086,8,-0.35509088687499996,0.5466653592239137,1.3667137,-1.0517981,0.3149156
A087,8,0.08196135324999998,0.3023574906616222,0.92064094,-0.39149654,0.5291444
A088,8,0.06556036424999999,0.2452755694785538,0.71347034,-0.28160274,0.4318676
A089,8,-0.0858759375,0.31114395630025377,1.01758367,-0.7148968,0.30268687
A090,8,-1.6103153625,0.21726560721891153,0.6250367000000001,-1.8383566,-1.2133199
A091,8,-0.49783190725,0.48603316053420575,1.321570277,-1.297504,0.024066277
A092,8,-0.5305789953750001,0.5455160772487363,1.53102698,-1.3647457,0.16628128
A093,8,-1.1045739525,0.8142932191915964,2.13726533,-1.8417343,0.29553103
A094,8,-1.3101859125000002,0.2028654804881515,0.5749484,-1.6303165,-1.0553681
A095,8,-0.5567160775,0.5088712140981445,1.3605456,-1.1310589,0.2294867
A096,8,-0.2753259775,0.2192718228958446,0.69736975,-0.47693783,0.22043192
A097,8,-1.5010921125,0.2795018204869981,0.8376499000000002,-1.8563917,-1.0187418
A098,8,-0.14653474675,0.37454484917957664,1.1333491,-0.7021278,0.4312213
A099,8,0.152444266,0.35741739176341086,1.2317619899999999,-0.43006015,0.80170184
A100,8,-1.03569051,0.3549153302707348,1.0681241300000002,-1.6574647,-0.58934057
A101,8,-1.3062528624999998,0.43321199438760044,1.1136863,-1.8163987,-0.7027124
A102,8,-0.3427715525,0.1419017191235364,0.47267871,-0.4991781,-0.02649939
A103,8,-1.498205425,0.08215579048904209,0.2612335000000001,-1.6121315,-1.350898
A104,8,-0.214566102875,0.6313611068278223,1.5880735700000002,-1.284099,0.30397457
A105,8,0.0822416575,0.3771253851610115,0.93879747,-0.3236314,0.61516607
A106,8,-0.21864331125,0.3238938036497815,0.9818976,-0.6778077,0.3040899
A107,8,-1.673077325,0.2757876949717334,0.8606125999999998,-2.1841025,-1.3234899
A108,8,-0.7791084025,0.18675050477632282,0.65446877,-1.000741,-0.34627223
A109,8,-1.4006125825,0.28485176044947075,0.85108064,-1.8378288,-0.98674816
