UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A011,T4,Destination,-0.84890825,148.85,-0.04556107
A012,T1,Destination,0.33868304,1.0,1.1086988
A012,T2,Destination,-1.1255839,25.6,-0.038475133
A012,T3,Destination,0.09193352,166.33,-0.3311227
A012,T4,Destination,-0.9537699,166.87,0.2555767
A013,T1,Destination,-0.035398606,1.0,0.02446122
A013,T2,Destination,-0.3057711,24.77,0.16264062
A013,T3,Destination,0.9779469,79.66,0.25894642
A013,T4,Destination,-0.066024296,147.13,-0.55041754
A014,T1,Destination,0.7553257,1.0,1.3580784
A014,T2,Destination,-0.4665811,25.66,1.1169219
A014,T3,Destination,0.12054519,70.56,0.43201923
A014,T4,Destination,-0.5400671,148.87,0.2844532
A015,T1,Destination,1.0023323,1.0,1.7676098
A015,T2,Destination,1.4194467,23.69,0.032688364
A015,T3,Destination,0.24626894,70.59,-0.40273485
A015,T4,Destination,-0.43521827,146.54,-0.58203745
A016,T1,Destination,1.7207321,1.0,0.8927406
A016,T2,Destination,1.479976,32.85,0.95510375
A016,T3,Destination,-0.6975632,80.64,0.19462939
A016,T4,Destination,-0.8562173,150.8,0.11810487
A017,T1,Destination,-0.15520337,1.0,1.3435429
A017,T2,Destination,0.41041905,20.61,1.4296864
A017,T3,Destination,0.22881152,61.28,2.2833974
A017,T4,Destination,-0.7611534,140.49,0.122321434
A018,T1,Destination,1.5116286,1.0,0.8142858
A018,T2,Destination,0.4516168,34.03,-0.67492276
A018,T3,Destination,-0.5255531,83.64,-1.7499112
A018,T4,Destination,-0.6034264,150.87,-1.954677
A019,T1,Destination,-1.1137557,1.0,0.09515804
A019,T2,Destination,0.2184492,28.69,-0.04890954
A019,T3,Destination,-0.34441203,83.68,0.18271942
A019,T4,Destination,-0.9084577,154.76,0.019163825
A020,T1,Destination,-0.39048332,1.0,0.19963156
A020,T2,Destination,0.15357906,26.85,0.33070213
A020,T3,Destination,-0.33567235,78.25,-0.24584635
A020,T4,Destination,-1.1523182,145.78,-0.77488387
A021,T1,Destination,0.64160866,1.0,0.6924623
A021,T2,Destination,0.47721207,30.21,0.25375608
A021,T3,Destination,-0.59433186,74.19,0.06773279
A021,T4,Destination,-0.99789435,140.39,-0.47202155
A022,T1,Destination,-0.42679092,1.0,-1.5716472
A022,T2,Destination,-0.60329264,24.15,-2.0526927
A022,T3,Destination,-0.09910751,74.46,-1.2207271
A022,T4,Destination,-0.08970222,141.71,-1.8666716
A023,T1,Destination,0.1930206,1.0,0.74832267
A023,T2,Destination,0.101476,25.63,0.74359155
A023,T3,Destination,-0.27825373,72.2,0.6376191
A023,T4,Destination,0.92574984,145.07,0.5440481
A024,T1,Destination,-0.26954484,1.0,0.049735814
A024,T2,Destination,-0.57454836,29.57,-0.18637812
A024,T3,Destination,0.0074428213,91.47,0.28000638
A024,T4,Destination,-0.940981,145.65,-0.030641675
A025,T1,Destination,0.05380287,1.0,0.38545078
A025,T2,Destination,1.5041252,23.33,0.3494011
A025,T3,Destination,-0.27671874,72.94,-0.031346235
A025,T4,Destination,-0.14176248,137.74,-1.6843072
A026,T1,Destination,1.0732766,1.0,0.8554834
A026,T2,Destination,0.63977706,26.48,0.50777274
A026,T3,Destination,0.61266387,75.46,0.67689455
A026,T4,Destination,-0.2835504,147.65,1.133408
A027,T1,Destination,0.52744526,1.0,1.0038637
A027,T2,Destination,1.2530484,28.26,0.89208364
A027,T3,Destination,-0.48801902,74.58,0.34410724
A027,T4,Destination,0.38854283,145.92,-0.15685867
A028,T1,Destination,1.5729234,1.0,1.2559813
A028,T2,Destination,0.35054204,22.82,0.76746184
A028,T3,Destination,0.36001632,72.26,-0.1562987
A028,T4,Destination,-0.4464555,138.91,-0.045433797
A029,T1,Destination,1.7540342,1.0,2.2294068
A029,T2,Destination,0.9775655,28.43,0.77878493
A029,T3,Destination,0.37505868,93.26,0.2685156
A029,T4,Destination,1.0688435,143.14,0.69974846
A030,T1,Destination,-0.5316837,1.0,-0.0077323057
A030,T2,Destination,1.5800109,32.95,0.5231934
A030,T3,Destination,0.7544972,71.93,-0.023180155
A030,T4,Destination,0.12028915,150.46,-0.12728706
A031,T1,Destination,1.4608339,1.0,1.9325812
A031,T2,Destination,-0.6116699,32.41,0.42165378
A031,T3,Destination,-0.31054813,71.56,-0.65397453
A031,T4,Destination,-0.8304748,143.85,-0.53339005
A032,T1,Destination,-0.66399795,1.0,0.31224978
A032,T2,Destination,-0.2995187,57.18,-1.2805831
A032,T3,Destination,0.80790555,80.16,-0.61835086
A032,T4,Destination,1.2733109,144.51,0.32567814
A033,T1,Destination,-0.8207058,1.0,-0.16518727
A033,T2,Destination,0.05391906,29.16,-0.47338432
A033,T3,Destination,0.01400444,72.6,-0.11000837
A033,T4,Destination,-1.3077472,168.33,-1.2210691
A034,T1,Destination,1.5448427,1.0,1.6428461
A034,T2,Destination,1.3082612,26.08,1.6413245
A034,T3,Destination,-1.1147809,74.28,1.2023969
A034,T4,Destination,-0.6969951,145.38,0.6421228
A035,T1,Destination,0.30524516,1.0,0.76337385
A035,T2,Destination,-0.05189664,44.76,0.4686343
A035,T3,Destination,-0.003024264,79.98,0.32487682
A035,T4,Destination,-1.0853919,152.47,-0.19872285
A036,T1,Destination,1.3103865,1.0,-0.34990805
A036,T2,Destination,-0.8839064,21.63,-1.3774467
A036,T3,Destination,-0.5670363,71.47,-1.0355872
A036,T4,Destination,-0.9257591,143.85,-1.7324836
A037,T1,Destination,-0.37298724,1.0,0.36804277
A037,T2,Destination,0.8601754,23.7,0.39995757
A037,T3,Destination,0.52264977,72.08,0.02613512
A037,T4,Destination,-0.7062983,143.66,-1.3213162
A038,T1,Destination,1.0395416,1.0,0.93066376
A038,T2,Destination,-0.28525016,71.85,0.57185614
A038,T3,Destination,0.56079465,72.86,0.5378632
A038,T4,Destination,-0.17457396,152.89,0.396789
A039,T1,Destination,1.7322454,1.0,1.7810454
A039,T2,Destination,1.3414384,28.65,2.0131736
A039,T3,Destination,0.9721396,98.84,0.94956374
A039,T4,Destination,1.2233254,246.24,0.5343449
A040,T1,Destination,-0.9852747,1.0,-0.31461167
A040,T2,Destination,0.88222194,26.26,-0.61962616
A040,T3,Destination,-0.9794845,71.28,-1.6644305
A040,T4,Destination,-1.104057,143.53,-2.0150275
A041,T1,Destination,0.22410686,1.0,0.7602327
A041,T2,Destination,-0.6096121,31.78,-1.5549716
A041,T3,Destination,1.0298018,75.74,0.08509895
A041,T4,Destination,-0.39342585,141.84,-0.5902207
A042,T1,Destination,-1.0510693,1.0,-0.647247
A042,T2,Destination,-0.29213598,28.93,-1.0236869
A042,T3,Destination,0.27557984,72.17,-0.21056157
