UID,test,congruence,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A018,T2,Common,34.03,-0.07882557,-0.1593717,-0.09895837492344767,0.9801353666813357,1.0790937416047834
A018,T3,Common,83.64,-1.0491173,-0.75480217,-1.2267717904575983,0.0018028349532012394,1.2285746254107996
A018,T4,Common,150.87,0.44031787,-0.9304417,0.5044652327564285,-0.28678479150205827,-0.7912500242584868
A019,T1,Common,1.0,-0.8709922,-2.011773,-1.0197290308296645,-2.0634852488465985,-1.043756218016934
A019,T2,Common,28.69,-0.35722595,-2.686788,-0.42255557125717863,-3.172580545740738,-2.7500249744835594
A019,T3,Common,83.68,-0.8311249,-2.407096,-0.9733894873800624,-2.713027673909867,-1.7396381865298045
A019,T4,Common,154.76,-0.5362667,-2.3311577,-0.6306626317773131,-2.588255911231798,-1.957593279454485
A020,T1,Common,1.0,0.3413008,-0.15611939,0.3893732697311598,0.985479131968095,0.5961058622369352
A020,T2,Common,26.85,0.4715719,-0.3256946,0.5407931877762109,0.7068555934084542,0.16606240563224328
A020,T3,Common,78.25,0.16060348,-0.6582603,0.17934070390988108,0.16042765657992863,-0.018913047329952443
A020,T4,Common,145.78,-1.9810846,-1.5926524,-2.3100390092549183,-1.3748417575294436,0.9351972517254747
A021,T1,Common,1.0,0.80163884,-0.5802737,0.9244447344675399,0.2885649146864366,-0.6358798197811033
A021,T2,Common,30.21,0.10639259,-0.41855347,0.11632896515163552,0.5542821898664525,0.437953224714817
A021,T3,Common,74.19,0.81882334,-0.46029195,0.9444190463574771,0.48570304441411427,-0.4587160019433628
A021,T4,Common,140.39,0.684539,-0.34437293,0.7883343602104055,0.6761658339855722,-0.11216852622483331
A022,T1,Common,1.0,-0.5011533,-1.2542998,-0.5898487586290624,-0.8189055526274729,-0.2290567939984105
A022,T2,Common,24.15,0.2091155,-1.8677373,0.23572839152900676,-1.8268248524778437,-2.0625532440068506
A022,T3,Common,74.46,0.274723,-1.0122173,0.311986919116021,-0.4211476328621709,-0.7331345519781919
A022,T4,Common,141.71,0.382118,-2.1071615,0.4368169243777273,-2.2202150055598375,-2.6570319299375647
A023,T1,Common,1.0,0.56837475,-0.3546272,0.6533114639980849,0.6593173748697264,0.006005910871641484
A023,T2,Common,25.63,-0.05869632,-0.38793874,-0.07556124858223812,0.6045842617592014,0.6801455103414396
A023,T3,Common,72.2,0.17865486,-0.485421,0.200322629142723,0.44441431576302115,0.24409168662029815
A023,T4,Common,145.07,0.5444067,-0.19640866,0.625452328958159,0.9192811365571809,0.29382880759902186
A024,T1,Common,1.0,0.41629925,-0.6836894,0.4765473179468106,0.11864592548617409,-0.3579013924606365
A024,T2,Common,29.57,0.16924852,-0.31257537,0.1893892200296973,0.7284113755642173,0.53902215553452
A024,T3,Common,91.47,0.1597057,-0.43025056,0.17829717411683807,0.5350630799113442,0.35676590579450607
A024,T4,Common,145.65,-0.92016464,-0.9618955,-1.0768843541122282,-0.33846551215189397,0.7384188419603341
A025,T1,Common,1.0,1.3860037,-0.14081731,1.6036781117062968,1.01062148430204,-0.5930566274042568
A025,T2,Common,23.33,1.3983331,-0.6132905,1.6180091240148184,0.2343160793294529,-1.3836930446853655
A025,T3,Common,72.94,-0.60741305,-0.88580674,-0.7133592121102076,-0.2134465335180757,0.4999126785921319
A025,T4,Common,137.74,-0.2785447,-1.417594,-0.33110084011049923,-1.0872089669665481,-0.7561081268560489
A026,T1,Common,1.0,0.46583936,-0.36503953,0.5341300004922317,0.6422092124841353,0.10807921199190362
A026,T2,Common,26.48,-0.6492574,-0.4322403,-0.7619967690790858,0.5317938025233718,1.2937905716024576
A026,T3,Common,75.46,0.53066975,-0.82322145,0.6094852584168882,-0.11061466934653016,-0.7200999277634184
A026,T4,Common,147.65,-0.24492168,-0.48267612,-0.292019302203572,0.44892433924181613,0.740943641445388
A027,T1,Common,1.0,0.16586939,-0.34756047,0.18546150630298758,0.6709284901892685,0.4854669838862809
A027,T2,Common,28.26,0.39497662,-0.4481119,0.45176307272968297,0.5057156903122579,0.05395261758257497
A027,T3,Common,74.58,-0.28117114,-1.080568,-0.3341536686315622,-0.5334524555837727,-0.19929878695221054
A027,T4,Common,145.92,-0.5017699,-1.1325653,-0.5905654603492948,-0.6188875361096776,-0.028322075760382814
A028,T1,Common,1.0,1.5246681,-0.054767232,1.7648539372252814,1.152007582103087,-0.6128463551221943
A028,T2,Common,22.82,-0.05649298,-0.33236355,-0.07300020808879494,0.6958980575311445,0.7688982656199395
A028,T3,Common,72.26,-0.29285774,-0.65912193,-0.3477375257896371,0.15901194021708806,0.5067494660067252
A028,T4,Common,138.91,-0.8199109,-0.63351375,-0.9603549543105081,0.20108791186219005,1.161442866172698
A029,T1,Common,1.0,2.1297944,0.13776043,2.4682192634788023,1.468343551594468,-0.9998757118843342
A029,T2,Common,28.43,0.2633854,-0.30871353,0.29880872024591415,0.734756639864059,0.4359479196181449
A029,T3,Common,93.26,0.59773153,-0.42374143,0.6874341606028315,0.5457580207198781,-0.14167613988295336
A029,T4,Common,143.14,0.7445269,-0.3897824,0.8580609757198678,0.6015550036907558,-0.2565059720291121
A030,T1,Common,1.0,0.26681468,-0.56138754,0.3027947255575569,0.3195961528550554,0.016801427297498506
A030,T2,Common,32.95,0.6206771,-0.32249522,0.7141048214700305,0.7121123911255081,-0.0019924303445224556
A030,T3,Common,71.93,0.26908645,-0.6964402,0.305435305296403,0.09769549873767557,-0.20773980655872742
A030,T4,Common,150.46,0.2812115,-0.47005928,0.3195287924727004,0.4696546606504749,0.1501258681777745
A031,T1,Common,1.0,1.4706349,0.049898673,1.7020487354905003,1.3239807426708798,-0.37806799281962045
A031,T2,Common,32.41,0.32438183,-0.3403696,0.3697075952200312,0.6827435759245146,0.3130359807044834
A031,T3,Common,71.56,0.38665065,-0.6998162,0.44208542592202144,0.09214850241564618,-0.3499369235063753
A031,T4,Common,143.85,-1.0031985,-0.96404403,-1.1733983182697754,-0.3419956922489822,0.8314026260207932
A032,T1,Common,1.0,0.82081884,-0.22113344,0.9467385051358164,0.878656650857245,-0.06808185427857139
A032,T2,Common,57.18,-0.60881156,-0.595588,-0.7149847627471884,0.2634024840660416,0.97838724681323
A032,T3,Common,80.16,0.47702068,-0.7790153,0.5471265481381447,-0.03798097519336778,-0.5851075233315124
A032,T4,Common,144.51,1.7664504,-0.6906261,2.045888303640733,0.10724845825068215,-1.938639845390051
A033,T1,Common,1.0,-0.4666309,-0.3509539,-0.5497218311776285,0.665352855198432,1.2150746863760604
A033,T2,Common,29.16,-0.5709601,-0.501959,-0.6709883201664046,0.41724126328265354,1.088229583449058
A033,T3,Common,72.6,0.934703,-0.16663325,1.0791111509016806,0.9682041489259354,-0.11090700197574521
A033,T4,Common,168.33,-0.24082223,-0.49842402,-0.2872543283680107,0.4230494744966486,0.7103038028646593
A034,T1,Common,1.0,1.3387271,-0.14991783,1.5487264079327916,0.9956687144653829,-0.5530576934674087
A034,T2,Common,26.08,1.1189219,0.09972168,1.2932370064471506,1.405843312748321,0.11260630630117041
A034,T3,Common,74.28,-0.46482885,-0.34408543,-0.5476272279746688,0.6766382159294653,1.224265443904134
A034,T4,Common,145.38,0.049237438,-0.40043807,0.04989497916631383,0.5840470172278536,0.5341520380615398
A035,T1,Common,1.0,-0.80652094,-0.58748883,-0.9447912057444292,0.2767099681304641,1.2215011738748933
A035,T2,Common,44.76,1.1643237,-0.30964813,1.3460095464433417,0.7332210288561892,-0.6127885175871525
A035,T3,Common,79.98,-0.59551436,-0.54351425,-0.6995288332722038,0.34896317711233127,1.048492010384535
A035,T4,Common,152.47,-0.8755717,-0.7079246,-1.0250519882214981,0.07882585283699022,1.1038778410584884
A036,T1,Common,1.0,0.74764776,-1.5120503,0.8616884906900345,-1.2424070560342309,-2.1040955467242655
A036,T2,Common,21.63,-0.5022708,-2.3538072,-0.5911476787918255,-2.625470571538612,-2.0343228927467862
A036,T3,Common,71.47,-0.018576257,-2.1430519,-0.028927907408161205,-2.27918536006107,-2.2502574526529084
A036,T4,Common,143.85,-1.1207412,-2.464137,-1.3100234484851037,-2.8067498946459075,-1.4967264461608039
A037,T1,Common,1.0,1.6113735,0.021304155,1.865635496312933,1.2769980157229532,-0.5886374805899797
A037,T2,Common,23.7,1.1598858,-0.29204315,1.3408511770560247,0.7621472016374096,-0.5787039754186152
A037,T3,Common,72.08,-0.4739782,-0.833713,-0.5582619261323223,-0.12785299554984375,0.43040893058247853
A037,T4,Common,143.66,0.41819012,-0.9017182,0.47874516060288586,-0.2395901384049585,-0.7183352990078443
A038,T1,Common,1.0,1.078226,-0.41689023,1.245934344208407,0.5570150056729253,-0.6889193385354817
A038,T2,Common,71.85,-0.3119291,-0.06612973,-0.3699050193335442,1.1333382294327479,1.5032432487662921
A038,T3,Common,72.86,1.2023473,-0.26191536,1.390206075034701,0.811649198177952,-0.578556876856749
A038,T4,Common,152.89,0.5360858,-0.1494768,0.6157805752379473,0.9963933565826533,0.380612781344706
A039,T1,Common,1.0,2.113206,0.04606813,2.4489378252434717,1.3176869014586836,-1.131250923784788
A039,T2,Common,28.65,0.72722864,0.06751655,0.8379544355008784,1.3529281060953364,0.514973670594458
A039,T3,Common,98.84,0.6532409,-0.3234957,0.7519551806612513,0.7104685348221125,-0.04148664583913886
A039,T4,Common,246.24,-0.19232592,-0.57331944,-0.23088490118356692,0.29999123418952767,0.5308761353730946
A040,T1,Common,1.0,-1.5618265,-0.6803081,-1.8227165936022998,0.12420163006664739,1.946918223668947
A040,T2,Common,26.26,-0.31991416,-0.41427943,-0.3791864112215747,0.5613047266437647,0.9404911378653394
A040,T3,Common,71.28,-1.1753646,-0.7175777,-1.37351466604097,0.06296515668883236,1.4364798227298023
A040,T4,Common,143.53,-0.6841468,-0.8190462,-0.8025502770224517,-0.10375445122047765,0.6987958258019741
A041,T1,Common,1.0,1.2749807,-0.010779982,1.4746311200011855,1.2242816087518382,-0.25034951124934723
A041,T2,Common,31.78,-1.0111216,-0.48086694,-1.1826076912823833,0.45189694433834715,1.6345046356207305
A041,T3,Common,75.74,-0.52210444,-0.5167431,-0.6142012044267134,0.3929499871201792,1.0071511915468927
A041,T4,Common,141.84,0.22386456,-0.07898983,0.2528718827288319,1.1122082153921882,0.8593363326633563
A042,T1,Common,1.0,-0.38919944,-0.9334406,-0.4597197867694009,-0.2917121870204627,0.1680075997489382
A042,T2,Common,28.93,-0.94573104,-1.0527481,-1.1066013227469216,-0.48774247839798407,0.6188588443489376
A042,T3,Common,72.17,-0.60165393,-1.1168188,-0.7066651297050416,-0.5930149716591933,0.11365015804584833
A042,T4,Common,146.02,-0.919106,-1.0435822,-1.0756538495564272,-0.4726822847996164,0.6029715647568108
A043,T1,Common,1.0,1.0159061,0.1643919,1.1734971409409458,1.5121008579156272,0.3386037169746814
A043,T2,Common,25.62,0.23345459,-0.0024266364,0.2640188029333099,1.2380067205171936,0.9739879175838837
A043,T3,Common,64.94,-0.1154044,-0.3027487,-0.14147558281363865,0.7445572589610763,0.886032841774715
A043,T4,Common,149.33,0.06730463,-0.826215,0.07089528339299345,-0.11553327445310922,-0.18642855784610268
A044,T1,Common,1.0,-0.021611089,-1.4819484,-0.03245542819151606,-1.1929475985146534,-1.1604921703231372
A044,T2,Common,47.66,0.33177772,-1.0400189,0.37830416850198106,-0.46682754191031345,-0.8451317104122945
A044,T3,Common,91.63,-1.3885521,-1.4695228,-1.621312019239257,-1.172531497359734,0.4487805218795229
A044,T4,Common,155.27,-0.6907909,-1.9270798,-0.8102730112089529,-1.9243285933664767,-1.1140555821575238
A045,T1,Common,1.0,-0.8811096,-0.9359746,-1.031488936739947,-0.2958757203972466,0.7356132163427003
A045,T2,Common,24.66,0.25599375,-0.6580216,0.2902170753053426,0.16081985682343236,-0.12939721848191021
A045,T3,Common,72.23,0.28792378,-0.42298278,0.3273307753184385,0.5470045339780853,0.21967375865964683
A045,T4,Common,151.52,-0.73880816,-1.1237898,-0.866085617181789,-0.6044687961144263,0.2616168210673627
A046,T1,Common,1.0,-0.8263327,-0.9113336,-0.9678192992780543,-0.25538889090343014,0.7124304083746242
A046,T2,Common,24.32,-1.0503073,-1.1981308,-1.2281549806085497,-0.7266160868656054,0.5015388937429442
A046,T3,Common,73.05,-1.6721164,-2.1658566,-1.950911470433745,-2.3166550244642043,-0.36574355403045944
A046,T4,Common,147.94,-1.5642638,-1.373417,-1.825549576253488,-1.0146231682348277,0.8109264080186602
A047,T1,Common,1.0,0.032663453,-0.56552744,0.030630296129324757,0.3127940171697565,0.28216372104043175
A047,T2,Common,23.46,0.31397206,-0.93490225,0.3576078546001406,-0.2941137768232158,-0.6517216314233565
A047,T3,Common,76.85,-1.4813104,-1.6972852,-1.7291291343476596,-1.5467605243433147,0.1823686100043449
A047,T4,Common,144.22,-1.0614867,-1.9098914,-1.2411492965527064,-1.896086889698951,-0.6549375931462444
A048,T1,Common,1.0,1.0506663,-0.40749374,1.213900473953637,0.5724540742363096,-0.6414463997173274
A048,T2,Common,23.91,-0.6741307,-0.45462096,-0.7909081166266997,0.49502086451845817,1.2859289811451577
A048,T3,Common,81.15,-0.10325131,-0.55575866,-0.1273495034929441,0.3288447833814608,0.4561942868744049
A048,T4,Common,146.3,0.48396504,-0.60425943,0.5551982879336583,0.24915473811914152,-0.3060435498145168
A049,T1,Common,1.0,1.7571232,0.08177118,2.035046882484469,1.3763494272392607,-0.6586974552452083
A049,T2,Common,27.12,-0.60318244,-0.67195165,-0.7084417851484288,0.13793184257115615,0.846373627719585
A049,T3,Common,111.38,0.6597407,-0.58506674,0.7595101885126414,0.2806896258086702,-0.4788205627039712
A049,T4,Common,168.86,0.3402084,-0.56061625,0.38810352441947965,0.32086343448811755,-0.0672400899313621
A050,T1,Common,1.0,-0.32734805,-0.31997022,-0.3878271536007818,0.7162611368936135,1.1040882904943952
A050,T2,Common,24.73,-0.5032114,-0.4005781,-0.5922409801834094,0.5838169384674939,1.1760579186509035
A050,T3,Common,93.39,-0.91217804,-1.0333242,-1.0676011722134142,-0.4558276970415074,0.6117734751719068
A050,T4,Common,148.69,-0.3601759,-1.106875,-0.42598442990070734,-0.5766766357507234,-0.15069220585001603
A051,T1,Common,1.0,0.88582057,-0.1108271,1.0222929191953165,1.0598974275979187,0.03760450840260221
A051,T2,Common,17.16,-0.28985074,-0.18552285,-0.34424235538298925,0.9371672586046661,1.2814096139876554
A051,T3,Common,65.63,-0.6146358,-0.76086634,-0.7217545370369173,-0.008161006482272708,0.7135935305546446
A051,T4,Common,146.99,-0.11835715,-0.6243035,-0.14490769602222844,0.2162209755099893,0.3611286715322177
A052,T1,Common,1.0,0.7985213,-0.22485016,0.9208210784816601,0.8725498285320042,-0.048271249949655815
A052,T2,Common,31.76,-0.44622117,-0.42082825,-0.5259986904048737,0.550544572480959,1.0765432628858327
A052,T3,Common,80.98,-0.017932264,-0.7195091,-0.028179365580529546,0.059791735866448606,0.08797110144697814
A052,T4,Common,153.27,0.04671596,-0.37780705,0.04696415266594345,0.6212313136448475,0.5742671609789041
A053,T1,Common,1.0,1.12028,-0.2885017,1.2948155867362323,0.7679660434989766,-0.5268495432372557
A053,T2,Common,32.71,0.83742,-1.151551,0.9660347748890676,-0.6500823252302794,-1.616117100119347
A053,T3,Common,78.28,-0.50420165,-1.3463821,-0.5933919919875941,-0.970202999139321,-0.3768110071517269
A053,T4,Common,148.9,-0.45412505,-1.4907095,-0.5351857231530267,-1.2073426783360188,-0.6721569551829921
A054,T1,Common,1.0,0.18263195,-0.056274697,0.20494537848511585,1.1495307151568228,0.944585336671707
A054,T2,Common,16.9,0.97050226,-0.26078853,1.1207222297616386,0.813500656076516,-0.3072215736851226
A054,T3,Common,72.83,0.35355416,-0.31726465,0.4036158973513803,0.7207065713838365,0.3170906740324562
A054,T4,Common,136.83,1.2971294,-0.14879209,1.500375543275453,0.9975183814202292,-0.5028571618552239
A055,T1,Common,1.0,-0.84173906,-0.4624914,-0.9857267996259638,0.48208919931325905,1.4678159989392228
A055,T2,Common,23.24,0.4803198,-0.8469799,0.5509612626682346,-0.14965140950266675,-0.7006126721709014
A055,T3,Common,74.48,-1.0578766,-0.9266651,-1.236953116078799,-0.28057958228707724,0.9563735337917217
A055,T4,Common,149.21,-1.1588173,-1.1564229,-1.3542810001713574,-0.658087186421421,0.6961938137499364
A056,T1,Common,1.0,0.57677263,-0.37090066,0.6630726950105825,0.6325789795004458,-0.030493715510136687
A056,T2,Common,33.61,-0.4870755,-0.90483737,-0.5734855029088402,-0.24471514566733524,0.32877035724150494
A056,T3,Common,71.46,0.41734344,-0.6239769,0.4777610266222072,0.2167576013982521,-0.26100342522395514
A056,T4,Common,147.84,-1.3208041,-0.94452196,-1.542565492897527,-0.3099196109431768,1.2326458819543502
A057,T1,Common,1.0,-0.6586051,-0.26362598,-0.7728620183009757,0.8088385338271256,1.5817005521281011
A057,T2,Common,24.78,-0.5845993,-0.54752463,-0.6868417715167047,0.34237385154659083,1.0292156230632954
A057,T3,Common,73.83,-0.740959,-0.8209368,-0.8685856345803372,-0.10686083488351943,0.7617247996968178
A057,T4,Common,145.06,-1.6140344,-1.2538073,-1.8834001676206678,-0.8180963418192385,1.0653038258014291
A058,T1,Common,1.0,1.2305706,-0.3399614,1.423011277208943,0.6834142761314613,-0.7395970010774816
A058,T2,Common,22.96,-1.1810384,-0.84075606,-1.3801095771993468,-0.13942521945856165,1.2406843577407851
A058,T3,Common,66.28,-0.43858027,-0.62917006,-0.5171173310566343,0.2082248882999968,0.725342219356631
A058,T4,Common,143.48,-0.59969,-1.0041165,-0.7043823661477658,-0.40783747059751,0.2965448955502558
A059,T1,Common,1.0,0.9413848,-0.4285835,1.0868777054820398,0.5378021722361671,-0.5490755332458727
A059,T2,Common,30.4,1.2146442,-0.47496137,1.4044993111416209,0.4616001952475553,-0.9428991158940656
A059,T3,Common,79.78,1.4220468,-0.35404447,1.6455726166892866,0.6602748396702999,-0.9852977770189867
A059,T4,Common,151.93,0.37158412,-0.6274229,0.42457292516150513,0.21109559034205738,-0.21347733481944775
A060,T1,Common,1.0,-0.41893917,-0.74563795,-0.494287603263481,0.01686026819794879,0.5111478714614298
A060,T2,Common,24.87,0.87463915,-0.3368844,1.009296255314937,0.6884699952318418,-0.3208262600830951
A060,T3,Common,94.68,-0.51012707,-0.34967044,-0.6002793723104939,0.667461666780029,1.2677410390905228
A060,T4,Common,143.91,0.5292025,-0.20497432,0.6077798082076583,0.9052071778736048,0.2974273696659465
A061,T1,Common,1.0,2.0136983,0.3947461,2.3332755810553785,1.8905883875850595,-0.44268719347031893
A061,T2,Common,35.16,0.953521,0.087225094,1.100984152801348,1.3853105767945522,0.2843264239932042
A061,T3,Common,82.55,-0.3127364,-0.2856871,-0.3708433801813283,0.7725906216530002,1.1434340018343285
A061,T4,Common,146.56,-0.5812956,-0.05185156,-0.6830017334480506,1.1567982283887044,1.8397999618367549
A062,T1,Common,1.0,2.011653,-0.20855646,2.3308982375127387,0.899321479590135,-1.4315767579226037
A062,T2,Common,44.69,-0.35419762,-0.45205197,-0.4190356080388334,0.49924188883164833,0.9182774968704817
A062,T3,Common,92.72,-0.97456145,-1.1101943,-1.1401121959905285,-0.5821304701380788,0.5579817258524497
A062,T4,Common,149.18,-1.426174,-1.3933127,-1.66504163397882,-1.0473131488995784,0.6177284850792417
A063,T1,Common,1.0,1.0972812,-0.95948935,1.2680830542625332,-0.3345120449717249,-1.6025950992342581
A063,T2,Common,21.98,0.82705617,-2.3416061,0.9539884323830717,-2.605423339066837,-3.5594117714499087
A063,T3,Common,69.99,0.27556694,-2.0750527,0.31296786827231843,-2.1674580756117408,-2.4804259438840592
A063,T4,Common,141.09,-0.8945666,-2.173833,-1.0471306088923449,-2.329760789115577,-1.2826301802232323
A064,T1,Common,1.0,1.2642903,-0.2963664,1.46220519059805,0.755043809501979,-0.707161381096071
A064,T2,Common,37.65,0.73144156,-0.6476674,0.8428513005855394,0.17783250768763728,-0.6650187928979021
A064,T3,Common,82.99,0.31989926,-0.99105424,0.3644973038965435,-0.3863752940046809,-0.7508725979012244
A064,T4,Common,156.21,-0.92497724,-0.5029341,-1.0824782540453954,0.4156391080357309,1.4981173620811263
A065,T1,Common,1.0,-1.3171538,-0.4977671,-1.5383225861681,0.424128838484761,1.962451424652861
A065,T2,Common,32.31,0.06738905,-1.3151283,0.07099340852958448,-0.9188508920156718,-0.9898443005452563
A065,T3,Common,106.41,-1.744844,-2.1409612,-2.035446008267641,-2.275750198565078,-0.240304190297437
A065,T4,Common,187.43,-2.1507194,-1.848042,-2.5072131139764466,-1.794464142566332,0.7127489714101147
A066,T1,Common,1.0,0.52085555,-0.77083856,0.598077775408932,-0.024546038372813873,-0.6226238137817459
A066,T2,Common,23.35,-0.2666786,-0.45716655,-0.31730834208511693,0.4908382879878318,0.8081466300729487
A066,T3,Common,73.79,-0.3462124,-0.71318924,-0.4097540301756565,0.07017569326447601,0.4799297234401325
A066,T4,Common,164.93,-0.95671576,-1.6997578,-1.1193693534317615,-1.550823173367559,-0.43145381993579757
A067,T1,Common,1.0,0.43133983,-0.34338585,0.49402965586327885,0.6777876731827134,0.18375801731943453
A067,T2,Common,29.91,-1.2040907,-1.4682014,-1.4069042951126056,-1.1703603477922195,0.23654394732038608
A067,T3,Common,73.19,-1.468142,-1.4417359,-1.7138229148654842,-1.126875741405766,0.5869471734597183
A067,T4,Common,144.19,-1.2924346,-1.6056634,-1.509590355933311,-1.3962197104755112,0.11337064545779985
A068,T1,Common,1.0,1.1973321,0.029441586,1.3843766840724725,1.2903683651980027,-0.09400831887446981
A068,T2,Common,30.49,-0.06428234,0.080111355,-0.08205412912595053,1.3736222225087475,1.455676351634698
A068,T3,Common,82.98,0.9597233,-0.28311488,1.1081933631150003,0.7768169530746383,-0.331376410040362
A068,T4,Common,155.59,-0.6880742,-0.4871188,-0.8071152694584572,0.4416247155392233,1.2487399849976806
A069,T1,Common,1.0,-0.8337596,-0.7077817,-0.9764519168680554,0.07906064720145062,1.055512564069506
A069,T2,Common,24.96,-1.1064484,-1.1501611,-1.2934102886619785,-0.647798625530046,0.6456116631319325
A069,T3,Common,79.75,0.24429336,-1.4126319,0.2766171894143419,-1.0790559010750962,-1.355673090489438
A069,T4,Common,140.22,-0.91262,-0.9163562,-1.0681148820614095,-0.26364136238655345,0.804473519674856
A070,T1,Common,1.0,0.56656337,-0.32718143,0.6512060161194039,0.7044126311627543,0.05320661504335045
A070,T2,Common,24.25,0.67100656,-0.40496716,0.7726050007765052,0.5766054160512718,-0.19599958472523338
A070,T3,Common,81.92,-0.3166986,-1.0397756,-0.37544882221166426,-0.4664277835557076,-0.09097896134404332
A070,T4,Common,149.2,-0.90343934,-1.4467779,-1.0574437908923053,-1.1351600884009294,-0.07771629750862408
A071,T1,Common,1.0,0.70789874,-0.06925742,0.8154864293673689,1.1281992232341553,0.3127127938667864
A071,T2,Common,30.92,0.873699,-0.49979705,1.008203476978452,0.42079349334734883,-0.5874099836311032
A071,T3,Common,79.96,0.14909524,-1.1988554,0.1659641625461958,-0.7278066536709794,-0.8937708162171752
A071,T4,Common,153.27,0.23359789,-1.1189433,0.26418536692375644,-0.5965056688411102,-0.8606910357648667
A072,T1,Common,1.0,0.87721634,-0.083747596,1.0122918383612651,1.1043908840820353,0.09209904572077021
A072,T2,Common,33.76,1.1064863,-0.06379211,1.2787825531352417,1.1371790971881692,-0.14160345594707247
A072,T3,Common,83.54,-0.6392919,-0.38732404,-0.750413423323366,0.6055942554319359,1.356007678755302
A072,T4,Common,154.89,0.11632397,-0.8807154,0.127872651707397,-0.205081117566002,-0.33295376927339904
A073,T1,Common,1.0,0.54635656,-1.177983,0.6277187383260029,-0.6935118888510966,-1.3212306271770995
A073,T2,Common,66.66,0.29271653,-1.0593116,0.332901602710012,-0.49852675279361175,-0.8314283555036237
A073,T3,Common,66.9,0.8597459,-0.5370971,0.9919851656379137,0.359506988560172,-0.6324781770777417
A073,T4,Common,140.12,1.1421618,-0.92751175,1.3202497802195008,-0.2819706854968065,-1.6022204657163073
