composite_ID,UID,test,residual
A042_4,A042,T4,-0.0889033572291606
A043_1,A043,T1,0.0326182151585703
A043_2,A043,T2,0.0809489267710276
A043_3,A043,T3,0.4085562522508459
A043_4,A043,T4,-0.2215765722104528
A044_1,A044,T1,-0.061196621156148
A044_2,A044,T2,0.3830513451214014
A044_3,A044,T3,-0.311033690360801
A044_4,A044,T4,-0.6077583082390674
A045_1,A045,T1,-0.6602780970978401
A045_2,A045,T2,-0.2683899388684371
A045_3,A045,T3,-0.0015394238083992
A045_4,A045,T4,0.1469134924439217
A046_1,A046,T1,-0.4099064440184832
A046_2,A046,T2,-0.4445052708665775
A046_3,A046,T3,-0.3799780553035108
A046_4,A046,T4,0.3488127641147711
A047_1,A047,T1,-0.5407130281560522
A047_2,A047,T2,0.1801709946617715
A047_3,A047,T3,-0.1328202666146427
A047_4,A047,T4,-0.2589314522791284
A048_1,A048,T1,0.1757234570097514
A048_2,A048,T2,-0.4661620280411355
A048_3,A048,T3,0.1665087960028006
A048_4,A048,T4,0.3359253815642732
A049_1,A049,T1,1.0085999233302343
A049_2,A049,T2,-1.089791205452603
A049_3,A049,T3,0.3270670342252835
A049_4,A049,T4,0.1332339943642209
A050_1,A050,T1,-0.4037450906726642
A050_2,A050,T2,-0.2133560805823044
A050_3,A050,T3,0.045332667845658
A050_4,A050,T4,0.0032271820279303
A051_1,A051,T1,0.9481388674905112
A051_2,A051,T2,-0.4860280348633548
A051_3,A051,T3,-0.3812278425588819
A051_4,A051,T4,-0.1527581467670556
A052_1,A052,T1,-0.1327477725566105
A052_2,A052,T2,0.2540547407815948
A052_3,A052,T3,0.322321848909863
A052_4,A052,T4,-0.3914397156833483
A053_1,A053,T1,0.3630436534455785
A053_2,A053,T2,0.5339419186751817
A053_3,A053,T3,-0.5370212783846997
A053_4,A053,T4,-0.0275695083234735
A054_1,A054,T1,-0.9208549828126688
A054_2,A054,T2,0.0722075360354042
A054_3,A054,T3,0.6292544849189371
A054_4,A054,T4,0.90660054820262
A055_1,A055,T1,-0.4349883876712498
A055_2,A055,T2,0.6302976781349601
A055_3,A055,T3,0.05240443731512
A055_4,A055,T4,-0.1928735632503607
A056_1,A056,T1,-0.0696796669915927
A056_2,A056,T2,0.5579614482707326
A056_3,A056,T3,-0.1325755995531332
A056_4,A056,T4,-0.4075656110549741
A057_1,A057,T1,0.2776127569280713
A057_2,A057,T2,-0.4848583011138563
A057_3,A057,T3,-0.0090826891462474
A057_4,A057,T4,-0.1673913441189258
A058_1,A058,T1,0.6052254071219877
A058_2,A058,T2,-0.7768811839668601
A058_3,A058,T3,0.3113024832694716
A058_4,A058,T4,-0.3497524894741824
A059_1,A059,T1,-0.4761569396707812
A059_2,A059,T2,0.3414721310859273
A059_3,A059,T3,0.7804864252965314
A059_4,A059,T4,0.0650867150076274
A060_1,A060,T1,-0.9009371637892688
A060_2,A060,T2,0.9675920192194016
A060_3,A060,T3,-0.3770291981470782
A060_4,A060,T4,0.4778097391468743
A061_1,A061,T1,1.1483746237092187
A061_2,A061,T2,0.1869259788856355
A061_3,A061,T3,-0.1725552458408102
A061_4,A061,T4,-0.5324955293986947
A062_1,A062,T1,0.7639299865592624
A062_2,A062,T2,0.0749031049869586
A062_3,A062,T3,-0.3976385517816493
A062_4,A062,T4,-0.3413786111393803
A063_1,A063,T1,-0.0025307745655414
A063_2,A063,T2,0.322809786729489
A063_3,A063,T3,0.1797861782122246
A063_4,A063,T4,-0.3195438042823519
A064_1,A064,T1,-0.1022949951551364
A064_2,A064,T2,0.2726534074201753
A064_3,A064,T3,0.1746762942661622
A064_4,A064,T4,-0.1036858029476521
A065_1,A065,T1,-1.3360513983043
A065_2,A065,T2,0.5151135526177446
A065_3,A065,T3,-0.2934175246907808
A065_4,A065,T4,-0.244912065468656
A066_1,A066,T1,0.2742124860781523
A066_2,A066,T2,-0.1570294570807511
A066_3,A066,T3,-0.2318169731972524
A066_4,A066,T4,-0.2913567708045533
A067_1,A067,T1,0.6913179159314026
A067_2,A067,T2,-0.7167269589184314
A067_3,A067,T3,-0.5605020384309448
A067_4,A067,T4,-0.0118823671939576
A068_1,A068,T1,0.3314111782905968
A068_2,A068,T2,-0.2359044158538313
A068_3,A068,T3,0.3795163125961749
A068_4,A068,T4,-0.2005574593647798
A069_1,A069,T1,-0.4597145508145461
A069_2,A069,T2,-0.6714330126048136
A069_3,A069,T3,0.531994182355493
A069_4,A069,T4,-0.2587104577879204
A070_1,A070,T1,0.1236644199741834
A070_2,A070,T2,0.0682483815422354
A070_3,A070,T3,0.0200293735620151
A070_4,A070,T4,-0.3725516745296804
A071_1,A071,T1,0.276582218669695
A071_2,A071,T2,0.1549725674748307
A071_3,A071,T3,-0.7665844061425416
A071_4,A071,T4,0.4798023255429579
A072_1,A072,T1,0.225665689132137
A072_2,A072,T2,0.2453745459687031
A072_3,A072,T3,-0.6877035801172119
A072_4,A072,T4,0.2856153707933787
A073_1,A073,T1,-0.0994758574893347
A073_2,A073,T2,-0.6099118883409069
A073_3,A073,T3,-0.1406230882826524
A073_4,A073,T4,1.1263645423484592
A074_1,A074,T1,0.6996162761059372
A074_2,A074,T2,-0.042854323760386
A074_3,A074,T3,-0.4069181910734851
A074_4,A074,T4,-0.4396807668583202
A075_1,A075,T1,0.0399097073005911
