UID,paradigm,Total_Intercept,Total_Slope
A048,ICR,0.28899225609288887,-0.0030982799925586956
A049,ICR,0.38469610303792023,-0.004124569186364447
A050,ICR,-0.41267115532535165,0.004424316134957264
A051,ICR,0.22546859966513158,-0.00241752598006317
A052,ICR,-0.04076589132058028,0.0004370350028815885
A053,ICR,0.27625926157276437,-0.002961915021516943
A054,ICR,0.44551180208575725,-0.0047757932839948775
A055,ICR,-0.16869450376381487,0.0018084874452718924
A056,ICR,-0.03129018611364925,0.0003352887364134393
A057,ICR,-0.5806760396606141,0.006225398517982182
A058,ICR,-0.03050786423191714,0.0003267333182059411
A059,ICR,0.7998898427924038,-0.00857527996028032
A060,ICR,0.10555427076586187,-0.0011313046143854237
A061,ICR,0.6188260381419523,-0.006634853743595945
A062,ICR,-0.00426853160858548,4.534452138064486e-05
A063,ICR,0.2405774073993295,-0.00257950776939602
A064,ICR,0.25623386809136,-0.0027472641488683145
A065,ICR,-1.0537415440703786,0.01129738961334941
A066,ICR,-0.6815577534970344,0.007306868130202602
A067,ICR,-0.8857162299461631,0.009495469531881729
A068,ICR,0.24662454736285858,-0.0026441781638941266
A069,ICR,-0.6642899037022807,0.0071221212624719525
A070,ICR,-0.42966559145767824,0.004606317997450934
A071,ICR,0.053436125393787316,-0.0005727862715369853
A072,ICR,0.3701237919714912,-0.003968197808732702
A073,ICR,0.6871185783683575,-0.0073663091587634275
A074,ICR,-0.015466156786582249,0.0001655123559761233
A075,ICR,-0.1518639532817163,0.0016278344991157725
A076,ICR,-0.8778418706396857,0.009411065774598236
A077,ICR,0.020263114963241246,-0.00021717009654294558
A078,ICR,-0.42631435266909956,0.004570682073860874
A079,ICR,-0.14208481580197452,0.001523130024628987
A080,ICR,-0.04739356999457685,0.0005081266355036468
A081,ICR,0.33900650082555017,-0.003634125313882688
A082,ICR,0.3531015366256189,-0.0037854178967301273
A083,ICR,0.5592950073935847,-0.005996350597003491
A084,ICR,0.07159603614471201,-0.0007676709157588589
A085,ICR,0.08162563114742079,-0.0008749351713767013
A086,ICR,-0.07563938615672255,0.0008107136712087149
A087,ICR,0.46581271946745334,-0.004993698767487716
A088,ICR,1.3764293011218225,-0.014756220225408453
A089,ICR,0.5737273056833677,-0.006150784947263535
A090,ICR,-0.5197024737123175,0.005571687627559034
A091,ICR,-0.3980002635281928,0.004266856220535707
A092,ICR,-0.535045259365869,0.005736257554313842
A093,ICR,0.10731507742862903,-0.0011504241734958244
A094,ICR,-0.7205139147469743,0.007724740095783702
A095,ICR,0.27776897889066343,-0.002978268924126487
A096,ICR,-0.9726799496618185,0.010427879528505522
A097,ICR,-0.06768665340820783,0.0007258718320508301
A098,ICR,0.16623246501692301,-0.0017821860486880762
A099,ICR,0.5257954131594853,-0.0056368202641088475
A100,ICR,0.32079911541836753,-0.003439055021893766
A101,ICR,-0.508345052842539,0.005449904761375306
A102,ICR,-0.06656554318816285,0.0007139933173877124
A103,ICR,-0.19188521946963624,0.0020567076167516407
A104,ICR,0.1704391517582675,-0.0018276859156084405
A105,ICR,0.14668640619068424,-0.0015726922606212233
A106,ICR,0.29608490760447886,-0.0031740870517328445
A107,ICR,-0.7809467795448076,0.008372694279008615
A108,ICR,-0.5406208442473063,0.005796239115315664
A109,ICR,-0.6747026445964264,0.00723355988049548
A010,IFR,0.5811227373584531,-0.062158569075321385
A011,IFR,0.19475722188978925,-0.024965848272153906
A012,IFR,0.14805517947303182,-0.005174380378412834
A013,IFR,-0.4502152709752678,0.0525810771546877
A014,IFR,0.1189227750172082,0.019358006653645832
A015,IFR,0.9170563119912993,-0.005946634804848088
A016,IFR,0.6378026215503294,-0.07251555753034232
A017,IFR,0.1096303408348296,0.07574826183233557
A018,IFR,0.13617646580144546,-0.015728870771740098
A019,IFR,-0.631165247110651,0.02677077413758896
A020,IFR,-0.46532601609167085,-0.03883699012471754
A021,IFR,0.4635202207690166,0.013508351706285147
A022,IFR,0.11528768762230336,0.05961115005145134
A023,IFR,-0.019719394653336938,0.01852706438957769
A024,IFR,-0.05589150834120948,-0.003610321808984753
