UID,Days,LocationType,theta
A056,1.4004166666666666,source,-0.08752507
A056,2.9775,source,0.2292436
A056,6.16,source,-1.4955524
A057,0.0416666666666666,source,0.12942022
A057,1.0325,source,-1.3945471
A057,3.07625,source,-0.56744486
A057,6.0441666666666665,source,-1.7203946
A058,0.0416666666666666,source,1.3013333
A058,0.9566666666666668,source,-0.7516616
A058,2.7616666666666667,source,0.24483971
A058,5.978333333333333,source,-0.613019
A059,0.0416666666666666,source,0.78058815
A059,1.2666666666666666,source,0.78051406
A059,3.3241666666666667,source,1.2624742
A059,6.330416666666667,source,0.8706269
A060,0.0416666666666666,source,-0.73423666
A060,1.03625,source,0.89305395
A060,3.945,source,-0.4122879
A060,5.99625,source,0.5975928
A061,0.0416666666666666,source,1.7025199
A061,1.465,source,0.41044217
A061,3.439583333333333,source,0.69539714
A061,6.1066666666666665,source,-0.7289813
A062,0.0416666666666666,source,0.62293416
A062,1.862083333333333,source,-0.07864903
A062,3.863333333333333,source,-0.71697104
A062,6.215833333333333,source,-0.91934156
A063,0.0416666666666666,source,1.103137
A063,0.9158333333333334,source,1.1051809
A063,2.91625,source,0.2864874
A063,5.87875,source,-0.9610751
A064,0.0416666666666666,source,0.73301834
A064,1.56875,source,1.187793
A064,3.4579166666666663,source,-0.08421605
A064,6.50875,source,-1.2915661
A065,0.0416666666666666,source,-1.3585184
A065,1.3462500000000002,source,-0.18607779
A065,4.43375,source,-1.534947
A065,7.809583333333333,source,-1.4947524
A066,0.0416666666666666,source,-0.03744735
A066,0.9729166666666668,source,-0.48925865
A066,3.074583333333333,source,-0.78109145
A066,6.872083333333333,source,-1.5672717
A067,0.0416666666666666,source,0.33184186
A067,1.24625,source,-1.4980056
A067,3.049583333333333,source,-1.2921559
A067,6.007916666666667,source,-1.626856
A068,0.0416666666666666,source,1.1554995
A068,1.2704166666666663,source,-0.113646984
A068,3.4575,source,1.1442444
A068,6.482916666666667,source,-0.48383042
A069,0.0416666666666666,source,-1.0576996
A069,1.04,source,-0.9050108
A069,3.3229166666666665,source,-0.53834414
A069,5.8425,source,-1.7287896
A070,0.0416666666666666,source,-0.16930422
A070,1.0104166666666667,source,0.23320425
A070,3.4133333333333336,source,-0.75356513
A070,6.216666666666666,source,-1.1904025
A071,0.0416666666666666,source,0.5082413
A071,1.288333333333333,source,0.83159643
A071,3.3316666666666666,source,-0.4841799
A071,6.38625,source,0.43548703
A072,0.0416666666666666,source,1.1708913
A072,1.4066666666666665,source,1.1662811
A072,3.480833333333333,source,-0.9678977
A072,6.453749999999999,source,-0.172895
A073,0.0416666666666666,source,1.1209983
A073,2.7775,source,0.3522422
A073,2.7875,source,1.3783715
A073,5.838333333333334,source,1.4486346
A074,0.0416666666666666,source,1.0531274
A074,1.2220833333333332,source,0.28312021
A074,3.0425,source,-0.56265223
A074,6.13375,source,-0.6709876
A075,0.0416666666666666,source,1.2248234
A075,1.195,source,0.43895453
A075,2.9737500000000003,source,-1.422566
A075,10.18875,source,-0.6957722
A076,0.0416666666666666,source,0.15540236
A076,1.1375,source,-1.0829679
A076,3.12,source,-1.1610296
A076,6.22,source,-1.1055614
A077,0.0416666666666666,source,0.5334684
A077,2.245,source,-0.17786074
A077,3.265,source,-0.0657532
A077,6.239583333333333,source,-0.39172974
A078,0.0416666666666666,source,-0.5279406
A078,1.0904166666666668,source,0.1811822
A078,3.0125,source,-0.7775617
A078,5.836666666666667,source,-1.4361522
A079,0.0416666666666666,source,0.019097133
A079,1.0879166666666666,source,0.19691332
A079,3.083333333333333,source,-0.70234376
A079,8.100833333333332,source,-0.62206274
A080,0.0416666666666666,source,0.10537331
A080,1.2095833333333337,source,0.5328905
A080,3.0362500000000003,source,0.045848988
A080,6.07375,source,-0.66487795
A081,0.0416666666666666,source,0.37206882
A081,1.3079166666666666,source,-0.42201942
A081,3.33875,source,0.83210707
A081,6.43875,source,-0.09271791
A082,0.0416666666666666,source,0.071322605
A082,1.1654166666666663,source,1.181799
A082,3.154583333333333,source,1.0123066
A082,7.09375,source,-0.5707041
A083,0.0416666666666666,source,1.2475034
A083,1.0479166666666666,source,0.6259196
A083,3.095833333333333,source,0.113821276
A083,6.037916666666667,source,0.19219941
A084,0.0416666666666666,source,0.8040474
A084,1.1354166666666667,source,0.14113443
A084,3.832083333333333,source,-0.11596396
A084,6.771249999999999,source,-0.59100777
A085,0.0416666666666666,source,-0.11570579
A085,1.02125,source,1.1474876
A085,2.975,source,-0.103653476
A085,7.110416666666667,source,-0.4273231
A086,0.0416666666666666,source,0.7650894
A086,0.9779166666666668,source,0.30255273
A086,6.05375,source,-1.0298048
A086,7.064583333333334,source,-0.8856172
A087,0.0416666666666666,source,-0.14446898
A087,1.2945833333333334,source,0.79339594
A087,3.033333333333333,source,0.07429415
A087,6.008333333333333,source,0.63730603
A088,0.0416666666666666,source,1.3610681
A088,1.0104166666666667,source,1.6403587
A088,3.12125,source,1.0740212
A088,6.247083333333333,source,1.2408419
A089,0.0416666666666666,source,0.95078164
A089,1.3391666666666666,source,1.0349191
A089,3.3058333333333336,source,0.30402267
A089,6.123333333333334,source,-0.14708613
A090,0.0416666666666666,source,-0.23930658
A090,0.9808333333333332,source,0.0107415775
A090,3.9758333333333336,source,-0.9169951
A090,6.002916666666667,source,-0.89684373
A091,0.0416666666666666,source,0.61024165
A091,0.925,source,-0.23226447
A091,3.0683333333333334,source,-1.0321478
A091,5.942083333333334,source,-1.0876396
A092,0.0416666666666666,source,0.23328507
A092,0.95125,source,-0.8227533
A092,2.97125,source,-0.70078677
A092,6.09,source,-0.77845037
A093,0.0416666666666666,source,0.17902495
A093,0.9204166666666668,source,1.032644
A093,2.9258333333333333,source,-0.19266124
A093,5.872916666666666,source,0.2726866
A094,0.0416666666666666,source,-1.0644217
A094,0.9575,source,0.04552735
A094,3.1754166666666666,source,-0.8497856
A094,6.249583333333334,source,-1.2777404
A095,0.0416666666666666,source,1.0975536
A095,1.2379166666666668,source,0.2966555
A095,3.2816666666666667,source,0.022464879
A095,6.199583333333333,source,-0.32706589
A096,0.0416666666666666,source,-0.277075
A096,1.0204166666666663,source,0.10875838
A096,2.96625,source,-1.7827787
A096,5.985833333333333,source,-1.7271752
A097,0.0416666666666666,source,0.1794386
A097,1.0154166666666666,source,-0.54056513
A097,2.95125,source,0.7713108
A097,6.035416666666666,source,-1.0911156
A098,0.0416666666666666,source,0.7291178
A098,1.07375,source,0.0246297
A098,3.285,source,1.1876998
A098,6.095416666666666,source,-0.93667495
A099,0.0416666666666666,source,0.5694854
A099,1.1979166666666667,source,1.1351792
A099,3.27375,source,0.34919107
A099,5.979583333333333,source,1.2946471
A100,0.0416666666666666,source,-0.06639828
A100,1.2975,source,1.3288726
A100,3.1391666666666667,source,0.2789706
A100,6.116666666666667,source,0.11508391
A101,0.0416666666666666,source,-0.39517584
A101,1.2133333333333334,source,-0.64429396
A101,3.13375,source,-1.402536
A101,6.259166666666666,source,-1.0298448
A102,0.0416666666666666,source,-0.4269469
A102,1.21375,source,1.3623424
A102,3.13625,source,-0.3569574
A102,6.267083333333333,source,-0.13239342
A103,0.0416666666666666,source,1.1801236
A103,1.1358333333333337,source,-0.6768038
A103,3.3433333333333333,source,-0.973742
A103,6.238333333333333,source,-0.9487724
A104,0.0416666666666666,source,1.2842352
A104,0.9416666666666668,source,0.9625718
A104,3.0258333333333334,source,-0.589731
