composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_What_conf,theta_Where_conf
A037_4,A037,4,143.66,-0.13570116,-0.20977189,-0.80795884,-0.9963444
A038_1,A038,1,1.0,1.2025418,1.1532568,-0.45616615,-0.25288638
A038_2,A038,2,71.85,0.007853324,-0.34703606,-0.3251796,-0.5504119
A038_3,A038,3,72.86,0.70266676,0.9468073,-0.57717633,-0.22833556
A038_4,A038,4,152.89,0.056318834,0.0417404,-0.43558908,-0.36377794
A039_1,A039,1,1.0,2.252001,2.261533,0.064273424,0.069364
A039_2,A039,2,28.65,0.92305565,1.4364381,0.10130654,0.047065586
A039_3,A039,3,98.84,0.31220362,0.62716204,-0.23081385,-0.29448196
A039_4,A039,4,246.24,0.6324969,0.81087965,-0.58008456,-0.5829361
A040_1,A040,1,1.0,-0.36999494,-0.43747115,-0.6970588,-0.4017266
A040_2,A040,2,26.26,0.056224108,0.06511351,-0.7691323,-0.48326045
A040_3,A040,3,71.28,-1.5265014,-1.7008954,-0.77506536,-0.91053617
A040_4,A040,4,143.53,-1.7589025,-1.4403187,-1.1014721,-0.80098236
A041_1,A041,1,1.0,1.2257649,1.3058646,-0.14199288,-0.053022992
A041_2,A041,2,31.78,-1.0088389,-1.2771462,-0.319344,-0.57343215
A041_3,A041,3,75.74,0.059980888,0.3539766,-0.23154925,-0.5869637
A041_4,A041,4,141.84,0.045220107,0.21180752,-0.62750417,-0.25168344
A042_1,A042,1,1.0,-0.8475921,-0.90481186,-0.7107582,-0.9887161
A042_2,A042,2,28.93,-0.4416498,-1.2185562,-1.0012134,-1.3712572
A042_3,A042,3,72.17,0.056583792,-0.22750992,-0.912052,-1.0677525
A042_4,A042,4,146.02,-1.0751622,-1.1107395,-1.1347266,-1.3189137
A043_1,A043,1,1.0,0.78068006,1.1258926,0.04892652,0.0764133
A043_2,A043,2,25.62,0.43919662,0.6062357,-0.10843749,0.14288305
A043_3,A043,3,64.94,0.38608864,0.5975626,-0.13326636,-0.35368058
A043_4,A043,4,149.33,-0.026184201,-0.3230173,-0.484459,-0.5119028
A044_1,A044,1,1.0,-0.12027291,-0.071484536,-1.1892142,-1.0788252
A044_2,A044,2,47.66,-0.47558594,-0.3498922,-1.0392059,-1.0115542
A044_3,A044,3,91.63,-0.9757199,-1.3810043,-1.1329389,-1.5923297
A044_4,A044,4,155.27,-1.5148207,-1.775171,-1.6890951,-2.1946876
