composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_when_acc,theta_What_conf,theta_Where_conf,theta_When_conf
A019_4,A019,4,154.76,-1.264995,-1.8336661,1.2304523,-2.2403193,-2.283211,-2.0905952
A020_1,A020,1,1.0,-0.01839159,-0.079359196,-0.24716589,-0.42148626,-0.37285313,0.023764621
A020_2,A020,2,26.85,-0.5171829,-0.15119976,0.23668598,-0.37508157,-0.5112881,-0.4758664
A020_3,A020,3,78.25,-0.46821594,-0.95550704,1.100098,-1.0575523,-0.89992255,-1.1435447
A020_4,A020,4,145.78,-2.2787354,-2.1095285,-0.6003916,-1.3997948,-1.3165435,-1.5056263
A021_1,A021,1,1.0,1.0875474,1.2243092,0.8683164,-0.58914065,-0.41147396,0.04435199
A021_2,A021,2,30.21,0.8355286,0.61569417,-0.32053202,-0.54050285,-0.558847,-0.0008776629
A021_3,A021,3,74.19,0.29306138,0.43332618,-0.5406563,-0.5408941,-0.3880754,-0.9314569
A021_4,A021,4,140.39,0.7857295,0.7931139,0.6593701,-0.15621644,-0.43092597,-0.42469922
A022_1,A022,1,1.0,-0.07678151,-0.02021975,-0.29673445,-0.8681633,-1.1627107,-0.43350235
A022_2,A022,2,24.15,0.13877183,0.49875164,0.13275431,-1.4832864,-1.805651,-1.4277006
A022_3,A022,3,74.46,-0.30076003,0.051550657,-0.38698846,-1.0958583,-0.5665401,-0.47263387
A022_4,A022,4,141.71,0.26840943,0.03178843,1.2099777,-2.051999,-1.8017873,-1.7234702
A023_1,A023,1,1.0,0.59516215,0.8410934,0.1523731,-0.3060042,-0.59082544,-0.27271402
A023_2,A023,2,25.63,-0.49034083,-0.37005034,-0.40719613,-0.5969571,-0.5326225,-0.56245905
A023_3,A023,3,72.2,0.32838494,0.038829546,0.719344,-0.7395715,-0.6464132,-0.41440842
A023_4,A023,4,145.07,-0.06907465,-0.029049361,-0.67562586,-0.39594382,-0.6230106,-0.079045445
A024_1,A024,1,1.0,0.079528205,0.4682902,0.58032763,-0.7741825,-0.49176538,-0.7118494
A024_2,A024,2,29.57,-0.0904471,0.12924328,0.188868,-0.33664376,-0.6222243,-0.2438342
A024_3,A024,3,91.47,0.3260986,0.1628256,-0.40437686,-0.54852176,-0.5914005,-0.7560775
A024_4,A024,4,145.65,-0.4476697,-0.8004861,0.012096136,-0.9095712,-0.91537094,-0.90541756
A025_1,A025,1,1.0,0.9811938,1.0470951,1.8713145,-0.27394688,-0.22930345,-0.31276497
A025_2,A025,2,23.33,1.7059261,1.87031,-0.34693974,-0.5362342,-0.47376117,-0.28823516
A025_3,A025,3,72.94,-0.524388,0.022343142,-0.5656397,-1.1941146,-0.6453535,-0.7726709
A025_4,A025,4,137.74,-1.4041344,-0.8030515,0.9356526,-1.5859368,-1.3320826,-1.4146963
A026_1,A026,1,1.0,0.85312533,1.0557629,0.78948355,-0.6328825,-0.42322144,-0.35576278
A026_2,A026,2,26.48,0.00019577265,0.11092596,-0.23021683,-0.42145854,-0.44688615,-0.6508866
A026_3,A026,3,75.46,0.3868858,0.8867782,-0.40833437,-0.6856185,-0.3506699,-1.1103377
A026_4,A026,4,147.65,-0.0556293,-0.30421466,0.05735785,-0.5625567,-0.41052327,-0.6089159
A027_1,A027,1,1.0,0.8339228,0.8734448,-0.22206005,-0.38182217,-0.2720792,-0.2414508
A027_2,A027,2,28.26,0.33739686,0.3406542,-0.06869045,-0.45206234,-0.37899905,-0.80542314
A027_3,A027,3,74.58,-0.7617411,-0.48679298,-0.5055675,-1.0760665,-0.9105261,-1.2925727
A027_4,A027,4,145.92,-0.9249458,-0.80049735,-0.49662566,-1.4106717,-1.2259247,-1.6147063
A028_1,A028,1,1.0,1.3888893,1.5852748,0.6571814,-0.12767327,0.06443758,0.11271255
A028_2,A028,2,22.82,0.3311532,-0.25359893,0.23109137,-0.37503678,-0.39307082,-0.6151377
A028_3,A028,3,72.26,-0.43044564,-0.15333362,0.13950114,-0.5752383,-0.68142813,-0.6513417
A028_4,A028,4,138.91,-0.40401626,-0.9400507,-0.2413052,-0.7432959,-0.93770975,-1.1176409
A029_1,A029,1,1.0,1.4967275,1.8794568,-0.440256,0.19529736,0.04235333,0.15971495
A029_2,A029,2,28.43,-0.0183022,0.4782135,-0.63901347,-0.28048995,-0.15864953,-0.4085433
A029_3,A029,3,93.26,1.1595125,1.4485718,0.8619237,-0.26848072,-0.47460964,-0.27994117
A029_4,A029,4,143.14,1.0474995,0.75251937,0.69581985,-0.5393232,-0.4180649,-0.51977456
A030_1,A030,1,1.0,0.2812619,0.21859212,-0.59050345,-0.77442324,-0.6236615,-0.5542161
A030_2,A030,2,32.95,0.8832621,1.2273304,-0.44718823,-0.60881066,-0.2575324,-0.55999696
A030_3,A030,3,71.93,-0.18143387,-0.03165805,-0.73775506,-0.6840649,-0.6491758,-1.0542847
A030_4,A030,4,150.46,-0.0007534161,0.53584546,-0.45172146,-0.4550996,-0.5578966,-0.41088024
A031_1,A031,1,1.0,2.098076,2.1835008,0.38252574,0.2638275,-0.0035324944,0.44419822
A031_2,A031,2,32.41,-0.3397794,0.23107058,-0.53448284,-0.4018008,-0.19972831,-0.6096085
A031_3,A031,3,71.56,0.16093041,-0.090858296,1.0439749,-0.7150441,-0.94005686,-0.7037352
A031_4,A031,4,143.85,-0.412024,-0.6049658,-0.3085659,-1.270624,-1.1272513,-1.2458041
A032_1,A032,1,1.0,0.9237079,0.7973815,1.4072789,-0.32446685,-0.3360491,-0.069407284
A032_2,A032,2,57.18,-0.077504,-0.19438347,-0.40239063,-0.7612248,-0.5707413,-0.5397725
A032_3,A032,3,80.16,0.7994235,0.46258765,1.1389438,-0.6971033,-0.49220014,-0.099494
A032_4,A032,4,144.51,1.3869435,1.7630539,-0.058941893,-0.60140634,-0.48205373,0.01084882
A033_1,A033,1,1.0,0.35103184,0.22796804,-0.48073784,-0.5664332,-0.3546501,-0.2103071
A033_2,A033,2,29.16,0.24968037,0.45576963,0.06584682,-0.58645725,-0.6500345,-0.4873249
A033_3,A033,3,72.6,0.9273771,0.8525857,0.16199993,-0.24209799,-0.36226928,0.13898459
A033_4,A033,4,168.33,-0.04748927,-0.5992665,1.4573243,-0.44846633,-0.85558045,-0.38317016
A034_1,A034,1,1.0,1.638878,1.6937131,1.3157963,-0.035272777,-0.035111323,0.32451737
A034_2,A034,2,26.08,0.35502133,0.952347,0.14213738,0.07378795,-0.23034386,0.2160329
A034_3,A034,3,74.28,0.20019667,-0.020196838,1.5336407,-0.32593602,-0.38596812,-0.31449008
A034_4,A034,4,145.38,-0.25343332,-0.0680759,-0.30377996,-0.5804641,-0.90760684,-0.37914577
A035_1,A035,1,1.0,-0.060081527,-0.11286555,0.14575137,-0.71035606,-0.48868048,-0.83557534
A035_2,A035,2,44.76,0.87888414,0.78530264,-0.12394886,-0.21037312,-0.544072,-0.32599938
A035_3,A035,3,79.98,-0.35612592,-0.4592081,-0.20610072,-0.7377237,-0.6989289,-1.0136437
A035_4,A035,4,152.47,-0.88171935,-0.9852635,-0.41800168,-1.0032879,-0.9028312,-1.2362784
A036_1,A036,1,1.0,0.97793245,1.2830837,-0.4841802,-1.4230407,-1.3059089,-1.45985
A036_2,A036,2,21.63,0.026050432,-0.28614074,0.9630702,-2.1549456,-2.2476616,-2.2795773
A036_3,A036,3,71.47,-0.35021576,-0.31800184,0.60024065,-1.8325033,-1.8617111,-2.0002015
A036_4,A036,4,143.85,-0.5848764,-1.1686301,-0.2132329,-2.2474222,-2.2146947,-2.3575363
A037_1,A037,1,1.0,1.2614937,1.2661066,1.9352602,-0.39597678,-0.110464536,-0.31977373
A037_2,A037,2,23.7,1.157818,1.2943444,-0.10257697,-0.5082488,-0.50463635,-0.83515036
A037_3,A037,3,72.08,0.059776444,0.3974338,-0.0670611,-0.68401986,-0.9093372,-0.42701757
A037_4,A037,4,143.66,-0.13570116,-0.20977189,-0.23137146,-0.80795884,-0.9963444,-1.0116173
A038_1,A038,1,1.0,1.2025418,1.1532568,1.352358,-0.45616615,-0.25288638,-0.19903767
A038_2,A038,2,71.85,0.007853324,-0.34703606,-0.13318965,-0.3251796,-0.5504119,0.028623484
A038_3,A038,3,72.86,0.70266676,0.9468073,0.110988885,-0.57717633,-0.22833556,-0.3156245
A038_4,A038,4,152.89,0.056318834,0.0417404,1.5159682,-0.43558908,-0.36377794,-0.15645254
A039_1,A039,1,1.0,2.252001,2.261533,1.9235764,0.064273424,0.069364,-0.13635153
A039_2,A039,2,28.65,0.92305565,1.4364381,-0.16371053,0.10130654,0.047065586,0.1645053
A039_3,A039,3,98.84,0.31220362,0.62716204,0.31556875,-0.23081385,-0.29448196,-0.30948582
A039_4,A039,4,246.24,0.6324969,0.81087965,0.8005496,-0.58008456,-0.5829361,-0.47295642
A040_1,A040,1,1.0,-0.36999494,-0.43747115,-0.525572,-0.6970588,-0.4017266,-0.18659891
A040_2,A040,2,26.26,0.056224108,0.06511351,-0.19992182,-0.7691323,-0.48326045,-0.36371547
A040_3,A040,3,71.28,-1.5265014,-1.7008954,1.4048398,-0.77506536,-0.91053617,-0.43623802
A040_4,A040,4,143.53,-1.7589025,-1.4403187,-0.61783093,-1.1014721,-0.80098236,-0.5220473
A041_1,A041,1,1.0,1.2257649,1.3058646,0.8479543,-0.14199288,-0.053022992,-0.09239064
A041_2,A041,2,31.78,-1.0088389,-1.2771462,-0.11600017,-0.319344,-0.57343215,-0.5080048
A041_3,A041,3,75.74,0.059980888,0.3539766,-0.38540718,-0.23154925,-0.5869637,-0.28127408
A041_4,A041,4,141.84,0.045220107,0.21180752,-0.49592182,-0.62750417,-0.25168344,-0.5415185
A042_1,A042,1,1.0,-0.8475921,-0.90481186,-0.29010308,-0.7107582,-0.9887161,-0.88528746
A042_2,A042,2,28.93,-0.4416498,-1.2185562,-0.42842922,-1.0012134,-1.3712572,-1.3520074
A042_3,A042,3,72.17,0.056583792,-0.22750992,-0.4725921,-0.912052,-1.0677525,-1.5333139
A042_4,A042,4,146.02,-1.0751622,-1.1107395,-0.08419152,-1.1347266,-1.3189137,-0.86586165
A043_1,A043,1,1.0,0.78068006,1.1258926,-0.380481,0.04892652,0.0764133,0.26159275
A043_2,A043,2,25.62,0.43919662,0.6062357,-0.13192014,-0.10843749,0.14288305,-0.036807828
A043_3,A043,3,64.94,0.38608864,0.5975626,-0.11291483,-0.13326636,-0.35368058,-0.13224447
A043_4,A043,4,149.33,-0.026184201,-0.3230173,0.4526212,-0.484459,-0.5119028,-0.2727149
A044_1,A044,1,1.0,-0.12027291,-0.071484536,-0.45429626,-1.1892142,-1.0788252,-1.2621444
A044_2,A044,2,47.66,-0.47558594,-0.3498922,-0.6033976,-1.0392059,-1.0115542,-0.732893
A044_3,A044,3,91.63,-0.9757199,-1.3810043,-0.36890796,-1.1329389,-1.5923297,-1.4863783
A044_4,A044,4,155.27,-1.5148207,-1.775171,1.1890637,-1.6890951,-2.1946876,-1.9410253
A045_1,A045,1,1.0,-0.90017945,-0.8901351,0.053384863,-0.6257483,-0.78722435,-0.23049356
A045_2,A045,2,24.66,-0.808676,-1.1997546,-0.35258865,-0.593401,-0.91305506,-0.5667067
A045_3,A045,3,72.23,-0.65163666,-1.20582,1.2067147,-0.7782343,-0.6200845,-0.30196097
A045_4,A045,4,151.52,-1.5065612,-1.0786914,-0.7161405,-0.9648333,-1.1087615,-0.6121528
A046_1,A046,1,1.0,-0.55372006,-0.7594207,0.5674494,-0.9063086,-0.8697148,-0.3950769
A046_2,A046,2,24.32,-1.0450114,-1.4042654,0.4305871,-1.1701665,-0.91280913,-1.0880048
A046_3,A046,3,73.05,-1.613356,-1.4292107,-0.45689148,-1.9860176,-1.6639705,-1.7858182
A046_4,A046,4,147.94,-1.2604105,-0.8373177,-0.4617398,-1.0147238,-1.2999191,-0.65339905
A047_1,A047,1,1.0,-0.4363785,-0.77400184,-0.14259496,-1.0830257,-0.74380946,-1.0930673
A047_2,A047,2,23.46,-0.48320502,-0.5633802,-0.1003868,-0.6639803,-1.0145134,-0.46923438
A047_3,A047,3,76.85,-1.4562982,-0.9876903,-0.69356734,-1.4815022,-1.471186,-1.6353317
A047_4,A047,4,144.22,-1.3712326,-1.5214664,1.527845,-2.0934942,-2.3868499,-1.9790753
A048_1,A048,1,1.0,1.0746682,1.2967834,0.6236336,-0.6284435,-0.24701324,-0.270393
A048_2,A048,2,23.91,-0.534043,0.15703231,-0.24837433,-0.5796271,-0.44145307,-0.40703955
A048_3,A048,3,81.15,0.23268522,-0.019427864,-0.23359239,-0.760365,-0.50626874,-0.30790168
A048_4,A048,4,146.3,0.47788984,-0.12420391,1.1771114,-0.58579195,-0.6491903,-0.44391742
A049_1,A049,1,1.0,2.0709105,2.1550138,2.0706832,-0.2116448,-0.06294507,0.056422774
A049_2,A049,2,27.12,-0.3073396,-0.65311587,-0.33731827,-0.5638283,-0.69370794,-0.49550664
A049_3,A049,3,111.38,0.13866153,0.5108627,0.4913686,-0.37564683,-0.38595775,-0.5376334
A049_4,A049,4,168.86,-0.27844822,0.17281532,0.097040385,-0.5774049,-0.5832282,-0.36535683
A050_1,A050,1,1.0,-0.5759458,-0.27281812,-0.6450708,-0.42287263,-0.36178616,-0.36584878
A050_2,A050,2,24.73,-0.6173181,-0.5890776,1.2842733,-0.43648311,-0.4725317,-0.30141634
A050_3,A050,3,93.39,-1.037826,-0.81224996,-0.45641744,-1.0299709,-0.75545967,-1.4891255
A050_4,A050,4,148.69,-1.1924096,-1.0636857,-0.57911,-1.0414252,-1.2916528,-1.1910441
A051_1,A051,1,1.0,1.2619079,1.7481024,-0.24766746,-0.14727834,-0.26239568,0.18343249
A051_2,A051,2,17.16,-0.61919725,-0.11357858,-0.24667148,-0.22153668,-0.33902845,0.13343063
A051_3,A051,3,65.63,-0.53872013,-0.5669623,-0.1888611,-0.63959575,-0.7808797,-0.41977927
A051_4,A051,4,146.99,-0.75623167,-0.5802509,-0.50837123,-0.6500405,-0.8386645,-0.45129406
A052_1,A052,1,1.0,0.9840419,0.27368045,1.4184871,-0.47576472,-0.56775326,-0.018610764
A052_2,A052,2,31.76,0.4169858,0.0042204764,0.13763106,-0.6463823,-0.51569283,-1.0683197
A052_3,A052,3,80.98,0.17672805,-0.083795846,-0.38897106,-1.006661,-0.72437257,-0.97867095
A052_4,A052,4,153.27,-0.5472725,-0.75080687,-0.4978921,-0.66724753,-0.96979094,-0.26739392
A053_1,A053,1,1.0,1.1032048,1.3134335,-0.32272992,-0.5527678,-0.32716423,-0.08502038
A053_2,A053,2,32.71,0.5740109,0.9613449,0.22097263,-1.2998157,-1.31081,-1.1574997
A053_3,A053,3,78.28,-0.52216256,-0.3428614,-0.07732225,-1.4460309,-1.3124368,-1.5159471
A053_4,A053,4,148.9,0.31794128,-0.13025364,1.6236721,-1.3424246,-1.5747085,-1.2614434
A054_1,A054,1,1.0,0.5364078,0.44365084,0.8520787,-0.010698893,0.04480597,0.15533759
A054_2,A054,2,16.9,0.78079957,1.1336492,-0.46328735,-0.32851967,-0.3352206,-0.26944205
A054_3,A054,3,72.83,1.0624813,1.302544,-0.41545728,-0.22610237,-0.33057252,-0.43893543
A054_4,A054,4,136.83,1.199456,1.423274,0.3019013,-0.47328517,-0.14014612,-0.20068726
A055_1,A055,1,1.0,0.12596902,0.2548027,0.22504854,-0.5363119,-0.26737776,-0.35800064
A055_2,A055,2,23.24,0.7207104,1.0685252,0.17241217,-0.8289479,-0.8997421,-1.0338244
A055_3,A055,3,74.48,0.026863433,-0.15719408,-0.40401754,-0.95640945,-0.8300395,-1.4997674
A055_4,A055,4,149.21,-0.27365744,-0.6868054,-0.18794729,-0.93987375,-1.2196255,-0.83918184
A056_1,A056,1,1.0,0.25282967,0.53407556,-0.660795,-0.49617058,-0.7111716,-0.32862476
A056_2,A056,2,33.61,0.79354787,0.36599728,0.29106054,-0.98517495,-1.0561782,-1.2040669
A056_3,A056,3,71.46,-0.6342211,-0.27181906,1.1596278,-0.89595854,-0.7928314,-1.051764
A056_4,A056,4,147.84,-0.7479079,-1.0553216,-0.43674785,-1.2052184,-0.98227644,-1.29618
A057_1,A057,1,1.0,0.37111652,0.5566227,-0.29681718,-0.40966684,-0.52722853,-0.21358171
A057_2,A057,2,24.78,-0.33406383,-0.7836676,0.657737,-0.32671973,-0.85633445,-0.37000984
A057_3,A057,3,73.83,-0.36420104,-0.71654075,-0.33759665,-0.6543599,-1.1658437,-0.58418906
A057_4,A057,4,145.06,-0.8997757,-0.99096304,0.41449857,-1.3364934,-1.4252695,-1.476217
A058_1,A058,1,1.0,0.86404234,1.0633141,0.88526887,-0.50493246,-0.2113685,-0.18342066
A058_2,A058,2,22.96,-0.67254853,-0.7664266,0.22694552,-0.6090426,-0.6888368,-0.7613501
A058_3,A058,3,66.28,-0.33693078,0.050771274,0.5878819,-0.5491983,-0.8918688,-0.3906964
A058_4,A058,4,143.48,-0.94237626,-1.0194858,-0.750076,-1.1876487,-1.1060226,-1.3270326
A059_1,A059,1,1.0,1.0408934,0.8121099,0.831746,-0.73470205,-0.55872375,-0.7384075
A059_2,A059,2,30.4,1.4646933,1.1245613,1.439004,-0.4889424,-0.543509,-0.7093997
A059_3,A059,3,79.78,1.2263882,1.553987,-0.53208923,-0.76569885,-0.7414035,-0.5706433
A059_4,A059,4,151.93,0.31380215,0.44093394,0.14022826,-0.7211721,-0.7605379,-0.13338895
A060_1,A060,1,1.0,0.076296605,-0.18527703,-0.49958816,-0.6521186,-0.7345365,-0.35611865
A060_2,A060,2,24.87,1.238489,1.1582936,-0.39960644,-0.32915124,-0.52909,-0.41408816
A060_3,A060,3,94.68,-0.14499544,-0.6168478,0.8208029,-0.52048606,-0.24922341,-0.57479054
A060_4,A060,4,143.91,0.22517887,0.17548531,-0.15908457,-0.10856633,-0.16883858,-0.2654439
A061_1,A061,1,1.0,2.5348673,2.4665449,2.0627139,0.07041081,0.28313136,0.2538349
A061_2,A061,2,35.16,1.0422542,0.91655695,0.17510246,-0.22703744,0.017001087,-0.049571685
A061_3,A061,3,82.55,0.12469013,0.4243972,-0.6113752,-0.27437422,-0.24850823,-0.6341318
A061_4,A061,4,146.56,-0.31471238,-0.2831631,-0.23610613,-0.27913383,-0.35313225,0.111837454
A062_1,A062,1,1.0,1.241772,1.5600666,0.37512586,-0.025706012,-0.430132,-0.164748
A062_2,A062,2,44.69,0.4567172,0.1418573,0.8365811,-0.8947107,-0.64850175,-0.7581154
A062_3,A062,3,92.72,-0.8347038,-0.45045272,-0.19706535,-1.1198639,-0.8085027,-0.8484453
A062_4,A062,4,149.18,-0.5505843,-0.56087077,-0.0023819325,-1.6989232,-1.3478737,-1.3191681
A063_1,A063,1,1.0,0.7833641,0.9488983,-0.040614642,-1.0210048,-1.3478978,-0.65157485
A063_2,A063,2,21.98,0.50485903,0.7603441,0.46021977,-1.7673504,-2.0114355,-1.9174051
A063_3,A063,3,69.99,0.36549178,0.14207737,0.53486025,-2.1477082,-2.317177,-2.1539063
A063_4,A063,4,141.09,-0.6113484,-0.39704204,-0.01998371,-2.477313,-1.8540944,-2.374919
A064_1,A064,1,1.0,1.0437275,0.6850892,1.5389558,-0.4705508,-0.21037821,-0.42353612
A064_2,A064,2,37.65,0.62713385,0.5197236,-0.47561848,-0.43880627,-0.7588211,-0.3590531
A064_3,A064,3,82.99,0.41516995,0.03945113,1.7674643,-0.6070419,-1.0215553,-0.39704904
A064_4,A064,4,156.21,-0.070843264,-0.45727742,-0.50869435,-0.55356926,-0.7785181,-0.46549562
A065_1,A065,1,1.0,-2.1746836,-2.1264358,-0.74250513,-0.7599667,-0.64995366,0.08937529
A065_2,A065,2,32.31,-1.1918952,-0.8308915,0.20341103,-1.4849308,-1.3680072,-1.383815
A065_3,A065,3,106.41,-1.9587346,-2.107138,-0.3783078,-2.2474854,-1.9698241,-2.246682
A065_4,A065,4,187.43,-2.4718368,-2.2702193,-0.60172194,-1.7795594,-2.057982,-1.7254683
A066_1,A066,1,1.0,0.5877305,0.4814991,-0.37220883,-0.81996965,-0.5925036,-0.31498852
A066_2,A066,2,23.35,-0.24346694,-0.52560335,-0.1220482,-0.46592626,-0.80298775,-0.5624048
A066_3,A066,3,73.79,-0.82052904,-0.813506,-0.51593107,-0.8389682,-0.7284924,-1.1266986
A066_4,A066,4,164.93,-1.2888547,-1.2912297,-0.79833627,-1.3690192,-1.3858626,-1.4521872
A067_1,A067,1,1.0,0.88467497,0.5986335,1.0609406,-0.47319022,-0.7475646,-0.20953402
A067_2,A067,2,29.91,-1.1704557,-1.3370378,-0.20979582,-1.5407175,-1.2339615,-2.0746818
A067_3,A067,3,73.19,-1.4594061,-1.4671184,-0.6755898,-1.3362082,-1.2788206,-1.3943987
A067_4,A067,4,144.19,-1.1524973,-1.208704,0.037365414,-1.2376945,-1.7866027,-1.1951592
A068_1,A068,1,1.0,1.5781611,1.186578,1.015199,0.043350097,-0.06365305,0.5519894
A068_2,A068,2,30.49,0.14502825,0.117177755,-0.24830456,-0.38292572,-0.010693989,-0.13739412
A068_3,A068,3,82.98,0.23438412,0.610876,-0.25262892,-0.39800465,-0.3387619,-0.36083764
A068_4,A068,4,155.59,-0.37933305,-0.36081517,-0.53430504,-0.7517871,-0.6417966,-0.35325882
A069_1,A069,1,1.0,-0.41606086,-0.96561235,-0.2596027,-0.9856775,-0.6827684,-0.56914175
A069_2,A069,2,24.96,-1.4017547,-1.4912251,-0.6040248,-1.4256461,-1.4523125,-1.2960443
A069_3,A069,3,79.75,-0.28530526,-0.81586957,1.384305,-1.7863635,-2.1103454,-1.5133365
A069_4,A069,4,140.22,-1.4135531,-1.6760168,-0.42733204,-1.3407162,-1.4253707,-1.1899556
A070_1,A070,1,1.0,0.5219151,0.66849816,0.02069249,-0.29940233,-0.56214064,-0.1907042
A070_2,A070,2,24.25,0.19770284,0.25979045,-0.20295013,-0.38949186,-0.66862917,-0.41843098
A070_3,A070,3,81.92,-0.34628716,-0.5671378,-0.21951933,-0.965894,-1.2401359,-1.0528623
A070_4,A070,4,149.2,-0.6466961,-1.2078129,1.0991817,-1.3122176,-1.4741727,-1.3135697
A071_1,A071,1,1.0,0.8269955,1.1825029,-0.4742308,-0.03096188,-0.20272009,-0.055496324
A071_2,A071,2,30.92,0.52419287,0.37755665,0.43136954,-0.709585,-0.8167532,-0.8283154
A071_3,A071,3,79.96,-1.1711217,-0.6371901,-0.53656256,-1.4961342,-0.9436975,-1.1486038
A071_4,A071,4,153.27,0.10002842,0.19446951,-0.2828639,-0.97358733,-0.9248061,-0.63722336
A072_1,A072,1,1.0,0.81125784,0.9963321,-0.16149792,-0.007103957,-0.06567177,-0.18340689
A072_2,A072,2,33.76,0.4618086,0.3808361,1.4631172,-0.044950858,-0.19989994,-0.5217862
A072_3,A072,3,83.54,-1.1341089,-0.72129774,-0.629684,-0.5401528,-0.6804046,-0.8697994
A072_4,A072,4,154.89,-0.5302154,-0.058391795,-0.4359131,-0.7525621,-0.8203476,-0.78975534
A073_1,A073,1,1.0,0.6544795,0.8587265,-0.5174654,-0.83740723,-0.9430426,-0.4960986
A073_2,A073,2,66.66,-0.7580057,-0.20244986,-0.21012893,-1.1371781,-0.90134287,-0.86024266
A073_3,A073,3,66.9,-0.30615124,0.21029665,0.53100085,-1.0209675,-0.81500846,-0.8511773
A073_4,A073,4,140.12,0.90156066,0.9916159,1.1107814,-1.0217786,-1.2174141,-0.8683183
