UID,test_num,TSVR_hours,TSVR_hours_c,domain,measure,theta
A049,3,111.38,46.426749999999984,what,accuracy,0.13866153
A049,4,168.86,103.90675,what,accuracy,-0.27844822
A050,1,1.0,-63.95325000000001,what,accuracy,-0.5759458
A050,2,24.73,-40.22325000000001,what,accuracy,-0.6173181
A050,3,93.39,28.43674999999999,what,accuracy,-1.037826
A050,4,148.69,83.73674999999999,what,accuracy,-1.1924096
A051,1,1.0,-63.95325000000001,what,accuracy,1.2619079
A051,2,17.16,-47.793250000000015,what,accuracy,-0.61919725
A051,3,65.63,0.6767499999999842,what,accuracy,-0.53872013
A051,4,146.99,82.03675,what,accuracy,-0.75623167
A052,1,1.0,-63.95325000000001,what,accuracy,0.9840419
A052,2,31.76,-33.193250000000006,what,accuracy,0.4169858
A052,3,80.98,16.026749999999993,what,accuracy,0.17672805
A052,4,153.27,88.31675,what,accuracy,-0.5472725
A053,1,1.0,-63.95325000000001,what,accuracy,1.1032048
A053,2,32.71,-32.24325000000001,what,accuracy,0.5740109
A053,3,78.28,13.32674999999999,what,accuracy,-0.52216256
A053,4,148.9,83.94675,what,accuracy,0.31794128
A054,1,1.0,-63.95325000000001,what,accuracy,0.5364078
A054,2,16.9,-48.05325000000001,what,accuracy,0.78079957
A054,3,72.83,7.876749999999987,what,accuracy,1.0624813
A054,4,136.83,71.87675,what,accuracy,1.199456
A055,1,1.0,-63.95325000000001,what,accuracy,0.12596902
A055,2,23.24,-41.713250000000016,what,accuracy,0.7207104
A055,3,74.48,9.526749999999993,what,accuracy,0.026863433
A055,4,149.21,84.25675,what,accuracy,-0.27365744
A056,1,1.0,-63.95325000000001,what,accuracy,0.25282967
A056,2,33.61,-31.343250000000012,what,accuracy,0.79354787
A056,3,71.46,6.5067499999999825,what,accuracy,-0.6342211
A056,4,147.84,82.88674999999999,what,accuracy,-0.7479079
A057,1,1.0,-63.95325000000001,what,accuracy,0.37111652
A057,2,24.78,-40.17325000000001,what,accuracy,-0.33406383
A057,3,73.83,8.876749999999987,what,accuracy,-0.36420104
A057,4,145.06,80.10674999999999,what,accuracy,-0.8997757
A058,1,1.0,-63.95325000000001,what,accuracy,0.86404234
A058,2,22.96,-41.99325000000001,what,accuracy,-0.67254853
A058,3,66.28,1.3267499999999899,what,accuracy,-0.33693078
A058,4,143.48,78.52674999999998,what,accuracy,-0.94237626
A059,1,1.0,-63.95325000000001,what,accuracy,1.0408934
A059,2,30.4,-34.55325000000001,what,accuracy,1.4646933
A059,3,79.78,14.82674999999999,what,accuracy,1.2263882
A059,4,151.93,86.97675,what,accuracy,0.31380215
A060,1,1.0,-63.95325000000001,what,accuracy,0.076296605
A060,2,24.87,-40.08325000000001,what,accuracy,1.238489
A060,3,94.68,29.726749999999996,what,accuracy,-0.14499544
A060,4,143.91,78.95674999999999,what,accuracy,0.22517887
A061,1,1.0,-63.95325000000001,what,accuracy,2.5348673
A061,2,35.16,-29.793250000000015,what,accuracy,1.0422542
A061,3,82.55,17.596749999999986,what,accuracy,0.12469013
A061,4,146.56,81.60674999999999,what,accuracy,-0.31471238
