composite_ID,UID,test,TSVR_hours,domain,theta,Segment,Days_within
A021_2,A021,2,30.21,what,0.8355286,Early,1.25875
A021_3,A021,3,74.19,what,0.29306138,Late,0.5379166666666665
A021_4,A021,4,140.39,what,0.7857295,Late,3.2962499999999992
A022_1,A022,1,1.0,what,-0.07678151,Early,0.041666666666666664
A022_2,A022,2,24.15,what,0.13877183,Early,1.0062499999999999
A022_3,A022,3,74.46,what,-0.30076003,Late,0.5491666666666664
A022_4,A022,4,141.71,what,0.26840943,Late,3.3512500000000003
A023_1,A023,1,1.0,what,0.59516215,Early,0.041666666666666664
A023_2,A023,2,25.63,what,-0.49034083,Early,1.0679166666666666
A023_3,A023,3,72.2,what,0.32838494,Late,0.45500000000000007
A023_4,A023,4,145.07,what,-0.06907465,Late,3.4912499999999995
A024_1,A024,1,1.0,what,0.079528205,Early,0.041666666666666664
A024_2,A024,2,29.57,what,-0.0904471,Early,1.2320833333333334
A024_3,A024,3,91.47,what,0.3260986,Late,1.2579166666666666
A024_4,A024,4,145.65,what,-0.4476697,Late,3.515416666666667
A025_1,A025,1,1.0,what,0.9811938,Early,0.041666666666666664
A025_2,A025,2,23.33,what,1.7059261,Early,0.9720833333333333
A025_3,A025,3,72.94,what,-0.524388,Late,0.4858333333333332
A025_4,A025,4,137.74,what,-1.4041344,Late,3.1858333333333335
A026_1,A026,1,1.0,what,0.85312533,Early,0.041666666666666664
A026_2,A026,2,26.48,what,0.00019577265,Early,1.1033333333333333
A026_3,A026,3,75.46,what,0.3868858,Late,0.590833333333333
A026_4,A026,4,147.65,what,-0.0556293,Late,3.5987500000000003
A027_1,A027,1,1.0,what,0.8339228,Early,0.041666666666666664
A027_2,A027,2,28.26,what,0.33739686,Early,1.1775
A027_3,A027,3,74.58,what,-0.7617411,Late,0.5541666666666666
A027_4,A027,4,145.92,what,-0.9249458,Late,3.526666666666666
A028_1,A028,1,1.0,what,1.3888893,Early,0.041666666666666664
A028_2,A028,2,22.82,what,0.3311532,Early,0.9508333333333333
A028_3,A028,3,72.26,what,-0.43044564,Late,0.4575000000000002
A028_4,A028,4,138.91,what,-0.40401626,Late,3.234583333333333
A029_1,A029,1,1.0,what,1.4967275,Early,0.041666666666666664
A029_2,A029,2,28.43,what,-0.0183022,Early,1.1845833333333333
A029_3,A029,3,93.26,what,1.1595125,Late,1.3325000000000002
A029_4,A029,4,143.14,what,1.0474995,Late,3.4108333333333327
A030_1,A030,1,1.0,what,0.2812619,Early,0.041666666666666664
A030_2,A030,2,32.95,what,0.8832621,Early,1.3729166666666668
A030_3,A030,3,71.93,what,-0.18143387,Late,0.44375000000000026
A030_4,A030,4,150.46,what,-0.0007534161,Late,3.7158333333333338
A031_1,A031,1,1.0,what,2.098076,Early,0.041666666666666664
A031_2,A031,2,32.41,what,-0.3397794,Early,1.3504166666666666
A031_3,A031,3,71.56,what,0.16093041,Late,0.4283333333333334
A031_4,A031,4,143.85,what,-0.412024,Late,3.4404166666666662
A032_1,A032,1,1.0,what,0.9237079,Early,0.041666666666666664
A032_2,A032,2,57.18,what,-0.077504,Early,2.3825
A032_3,A032,3,80.16,what,0.7994235,Late,0.7866666666666665
A032_4,A032,4,144.51,what,1.3869435,Late,3.467916666666666
A033_1,A033,1,1.0,what,0.35103184,Early,0.041666666666666664
A033_2,A033,2,29.16,what,0.24968037,Early,1.215
A033_3,A033,3,72.6,what,0.9273771,Late,0.4716666666666664
A033_4,A033,4,168.33,what,-0.04748927,Late,4.460416666666667
A034_1,A034,1,1.0,what,1.638878,Early,0.041666666666666664
A034_2,A034,2,26.08,what,0.35502133,Early,1.0866666666666667
A034_3,A034,3,74.28,what,0.20019667,Late,0.5416666666666666
A034_4,A034,4,145.38,what,-0.25343332,Late,3.5041666666666664
A035_1,A035,1,1.0,what,-0.060081527,Early,0.041666666666666664
A035_2,A035,2,44.76,what,0.87888414,Early,1.865
A035_3,A035,3,79.98,what,-0.35612592,Late,0.7791666666666668
A035_4,A035,4,152.47,what,-0.88171935,Late,3.799583333333333
A036_1,A036,1,1.0,what,0.97793245,Early,0.041666666666666664
A036_2,A036,2,21.63,what,0.026050432,Early,0.90125
A036_3,A036,3,71.47,what,-0.35021576,Late,0.42458333333333326
A036_4,A036,4,143.85,what,-0.5848764,Late,3.4404166666666662
A037_1,A037,1,1.0,what,1.2614937,Early,0.041666666666666664
A037_2,A037,2,23.7,what,1.157818,Early,0.9874999999999999
A037_3,A037,3,72.08,what,0.059776444,Late,0.4499999999999999
A037_4,A037,4,143.66,what,-0.13570116,Late,3.4324999999999997
A038_1,A038,1,1.0,what,1.2025418,Early,0.041666666666666664
A038_2,A038,2,71.85,what,0.007853324,Early,2.99375
A038_3,A038,3,72.86,what,0.70266676,Late,0.48249999999999993
A038_4,A038,4,152.89,what,0.056318834,Late,3.8170833333333327
A039_1,A039,1,1.0,what,2.252001,Early,0.041666666666666664
A039_2,A039,2,28.65,what,0.92305565,Early,1.1937499999999999
A039_3,A039,3,98.84,what,0.31220362,Late,1.5650000000000002
A039_4,A039,4,246.24,what,0.6324969,Late,7.706666666666667
A040_1,A040,1,1.0,what,-0.36999494,Early,0.041666666666666664
A040_2,A040,2,26.26,what,0.056224108,Early,1.0941666666666667
A040_3,A040,3,71.28,what,-1.5265014,Late,0.4166666666666667
A040_4,A040,4,143.53,what,-1.7589025,Late,3.4270833333333335
A041_1,A041,1,1.0,what,1.2257649,Early,0.041666666666666664
A041_2,A041,2,31.78,what,-1.0088389,Early,1.3241666666666667
A041_3,A041,3,75.74,what,0.059980888,Late,0.6024999999999997
A041_4,A041,4,141.84,what,0.045220107,Late,3.356666666666667
A042_1,A042,1,1.0,what,-0.8475921,Early,0.041666666666666664
A042_2,A042,2,28.93,what,-0.4416498,Early,1.2054166666666666
A042_3,A042,3,72.17,what,0.056583792,Late,0.45375000000000004
A042_4,A042,4,146.02,what,-1.0751622,Late,3.5308333333333337
A043_1,A043,1,1.0,what,0.78068006,Early,0.041666666666666664
A043_2,A043,2,25.62,what,0.43919662,Early,1.0675000000000001
A043_3,A043,3,64.94,what,0.38608864,Late,0.15249999999999986
A043_4,A043,4,149.33,what,-0.026184201,Late,3.6687500000000006
A044_1,A044,1,1.0,what,-0.12027291,Early,0.041666666666666664
A044_2,A044,2,47.66,what,-0.47558594,Early,1.9858333333333331
A044_3,A044,3,91.63,what,-0.9757199,Late,1.2645833333333332
A044_4,A044,4,155.27,what,-1.5148207,Late,3.9162500000000002
A045_1,A045,1,1.0,what,-0.90017945,Early,0.041666666666666664
A045_2,A045,2,24.66,what,-0.808676,Early,1.0275
A045_3,A045,3,72.23,what,-0.65163666,Late,0.4562500000000001
A045_4,A045,4,151.52,what,-1.5065612,Late,3.7600000000000002
A046_1,A046,1,1.0,what,-0.55372006,Early,0.041666666666666664
A046_2,A046,2,24.32,what,-1.0450114,Early,1.0133333333333334
A046_3,A046,3,73.05,what,-1.613356,Late,0.4904166666666665
A046_4,A046,4,147.94,what,-1.2604105,Late,3.6108333333333333
A047_1,A047,1,1.0,what,-0.4363785,Early,0.041666666666666664
A047_2,A047,2,23.46,what,-0.48320502,Early,0.9775
A047_3,A047,3,76.85,what,-1.4562982,Late,0.6487499999999997
A047_4,A047,4,144.22,what,-1.3712326,Late,3.455833333333333
A048_1,A048,1,1.0,what,1.0746682,Early,0.041666666666666664
A048_2,A048,2,23.91,what,-0.534043,Early,0.99625
A048_3,A048,3,81.15,what,0.23268522,Late,0.8279166666666669
A048_4,A048,4,146.3,what,0.47788984,Late,3.5425000000000004
A049_1,A049,1,1.0,what,2.0709105,Early,0.041666666666666664
A049_2,A049,2,27.12,what,-0.3073396,Early,1.1300000000000001
A049_3,A049,3,111.38,what,0.13866153,Late,2.0875
A049_4,A049,4,168.86,what,-0.27844822,Late,4.482500000000001
A050_1,A050,1,1.0,what,-0.5759458,Early,0.041666666666666664
A050_2,A050,2,24.73,what,-0.6173181,Early,1.0304166666666668
A050_3,A050,3,93.39,what,-1.037826,Late,1.3379166666666666
A050_4,A050,4,148.69,what,-1.1924096,Late,3.6420833333333333
A051_1,A051,1,1.0,what,1.2619079,Early,0.041666666666666664
A051_2,A051,2,17.16,what,-0.61919725,Early,0.715
A051_3,A051,3,65.63,what,-0.53872013,Late,0.18124999999999977
A051_4,A051,4,146.99,what,-0.75623167,Late,3.5712500000000005
A052_1,A052,1,1.0,what,0.9840419,Early,0.041666666666666664
A052_2,A052,2,31.76,what,0.4169858,Early,1.3233333333333335
A052_3,A052,3,80.98,what,0.17672805,Late,0.8208333333333334
A052_4,A052,4,153.27,what,-0.5472725,Late,3.832916666666667
A053_1,A053,1,1.0,what,1.1032048,Early,0.041666666666666664
A053_2,A053,2,32.71,what,0.5740109,Early,1.3629166666666668
A053_3,A053,3,78.28,what,-0.52216256,Late,0.7083333333333334
A053_4,A053,4,148.9,what,0.31794128,Late,3.6508333333333334
A054_1,A054,1,1.0,what,0.5364078,Early,0.041666666666666664
A054_2,A054,2,16.9,what,0.78079957,Early,0.7041666666666666
A054_3,A054,3,72.83,what,1.0624813,Late,0.4812499999999999
A054_4,A054,4,136.83,what,1.199456,Late,3.147916666666667
A055_1,A055,1,1.0,what,0.12596902,Early,0.041666666666666664
A055_2,A055,2,23.24,what,0.7207104,Early,0.9683333333333333
A055_3,A055,3,74.48,what,0.026863433,Late,0.5500000000000002
A055_4,A055,4,149.21,what,-0.27365744,Late,3.6637500000000003
A056_1,A056,1,1.0,what,0.25282967,Early,0.041666666666666664
A056_2,A056,2,33.61,what,0.79354787,Early,1.4004166666666666
A056_3,A056,3,71.46,what,-0.6342211,Late,0.42416666666666636
A056_4,A056,4,147.84,what,-0.7479079,Late,3.606666666666667
A057_1,A057,1,1.0,what,0.37111652,Early,0.041666666666666664
A057_2,A057,2,24.78,what,-0.33406383,Early,1.0325
A057_3,A057,3,73.83,what,-0.36420104,Late,0.5229166666666666
A057_4,A057,4,145.06,what,-0.8997757,Late,3.4908333333333332
A058_1,A058,1,1.0,what,0.86404234,Early,0.041666666666666664
A058_2,A058,2,22.96,what,-0.67254853,Early,0.9566666666666667
A058_3,A058,3,66.28,what,-0.33693078,Late,0.20833333333333334
A058_4,A058,4,143.48,what,-0.94237626,Late,3.4249999999999994
A059_1,A059,1,1.0,what,1.0408934,Early,0.041666666666666664
A059_2,A059,2,30.4,what,1.4646933,Early,1.2666666666666666
A059_3,A059,3,79.78,what,1.2263882,Late,0.7708333333333334
A059_4,A059,4,151.93,what,0.31380215,Late,3.7770833333333336
A060_1,A060,1,1.0,what,0.076296605,Early,0.041666666666666664
A060_2,A060,2,24.87,what,1.238489,Early,1.0362500000000001
A060_3,A060,3,94.68,what,-0.14499544,Late,1.3916666666666668
A060_4,A060,4,143.91,what,0.22517887,Late,3.4429166666666666
A061_1,A061,1,1.0,what,2.5348673,Early,0.041666666666666664
A061_2,A061,2,35.16,what,1.0422542,Early,1.4649999999999999
A061_3,A061,3,82.55,what,0.12469013,Late,0.8862499999999999
A061_4,A061,4,146.56,what,-0.31471238,Late,3.5533333333333332
A062_1,A062,1,1.0,what,1.241772,Early,0.041666666666666664
A062_2,A062,2,44.69,what,0.4567172,Early,1.8620833333333333
A062_3,A062,3,92.72,what,-0.8347038,Late,1.3099999999999998
A062_4,A062,4,149.18,what,-0.5505843,Late,3.6625
A063_1,A063,1,1.0,what,0.7833641,Early,0.041666666666666664
A063_2,A063,2,21.98,what,0.50485903,Early,0.9158333333333334
A063_3,A063,3,69.99,what,0.36549178,Late,0.3629166666666664
A063_4,A063,4,141.09,what,-0.6113484,Late,3.325416666666667
A064_1,A064,1,1.0,what,1.0437275,Early,0.041666666666666664
A064_2,A064,2,37.65,what,0.62713385,Early,1.5687499999999999
A064_3,A064,3,82.99,what,0.41516995,Late,0.9045833333333331
A064_4,A064,4,156.21,what,-0.070843264,Late,3.955416666666667
A065_1,A065,1,1.0,what,-2.1746836,Early,0.041666666666666664
A065_2,A065,2,32.31,what,-1.1918952,Early,1.3462500000000002
A065_3,A065,3,106.41,what,-1.9587346,Late,1.8804166666666664
A065_4,A065,4,187.43,what,-2.4718368,Late,5.2562500000000005
A066_1,A066,1,1.0,what,0.5877305,Early,0.041666666666666664
A066_2,A066,2,23.35,what,-0.24346694,Early,0.9729166666666668
A066_3,A066,3,73.79,what,-0.82052904,Late,0.5212500000000002
A066_4,A066,4,164.93,what,-1.2888547,Late,4.3187500000000005
A067_1,A067,1,1.0,what,0.88467497,Early,0.041666666666666664
A067_2,A067,2,29.91,what,-1.1704557,Early,1.24625
A067_3,A067,3,73.19,what,-1.4594061,Late,0.49624999999999986
A067_4,A067,4,144.19,what,-1.1524973,Late,3.4545833333333333
A068_1,A068,1,1.0,what,1.5781611,Early,0.041666666666666664
A068_2,A068,2,30.49,what,0.14502825,Early,1.2704166666666665
A068_3,A068,3,82.98,what,0.23438412,Late,0.9041666666666668
A068_4,A068,4,155.59,what,-0.37933305,Late,3.9295833333333334
A069_1,A069,1,1.0,what,-0.41606086,Early,0.041666666666666664
A069_2,A069,2,24.96,what,-1.4017547,Early,1.04
A069_3,A069,3,79.75,what,-0.28530526,Late,0.7695833333333333
A069_4,A069,4,140.22,what,-1.4135531,Late,3.2891666666666666
A070_1,A070,1,1.0,what,0.5219151,Early,0.041666666666666664
A070_2,A070,2,24.25,what,0.19770284,Early,1.0104166666666667
A070_3,A070,3,81.92,what,-0.34628716,Late,0.86
A070_4,A070,4,149.2,what,-0.6466961,Late,3.6633333333333327
A071_1,A071,1,1.0,what,0.8269955,Early,0.041666666666666664
A071_2,A071,2,30.92,what,0.52419287,Early,1.2883333333333333
A071_3,A071,3,79.96,what,-1.1711217,Late,0.778333333333333
A071_4,A071,4,153.27,what,0.10002842,Late,3.832916666666667
A072_1,A072,1,1.0,what,0.81125784,Early,0.041666666666666664
A072_2,A072,2,33.76,what,0.4618086,Early,1.4066666666666665
A072_3,A072,3,83.54,what,-1.1341089,Late,0.9275000000000002
A072_4,A072,4,154.89,what,-0.5302154,Late,3.900416666666666
A073_1,A073,1,1.0,what,0.6544795,Early,0.041666666666666664
A073_2,A073,2,66.66,what,-0.7580057,Early,2.7775
A073_3,A073,3,66.9,what,-0.30615124,Late,0.23416666666666686
A073_4,A073,4,140.12,what,0.90156066,Late,3.285
A074_1,A074,1,1.0,what,0.9347626,Early,0.041666666666666664
A074_2,A074,2,29.33,what,-0.76089525,Early,1.2220833333333332
A074_3,A074,3,73.02,what,-1.1451392,Late,0.48916666666666647
A074_4,A074,4,147.21,what,-1.2613695,Late,3.580416666666667
A075_1,A075,1,1.0,what,0.25188833,Early,0.041666666666666664
A075_2,A075,2,28.68,what,0.108092144,Early,1.195
A075_3,A075,3,71.37,what,-1.198156,Late,0.4204166666666668
A075_4,A075,4,244.53,what,-0.75654626,Late,7.635416666666667
A076_1,A076,1,1.0,what,-0.48276085,Early,0.041666666666666664
A076_2,A076,2,27.3,what,-0.47757313,Early,1.1375
A076_3,A076,3,74.88,what,-1.4173888,Late,0.5666666666666664
A076_4,A076,4,149.28,what,-2.3509033,Late,3.6666666666666665
A077_1,A077,1,1.0,what,1.3145027,Early,0.041666666666666664
A077_2,A077,2,53.88,what,-0.046640176,Early,2.245
A077_3,A077,3,78.36,what,0.09669988,Late,0.7116666666666666
A077_4,A077,4,149.75,what,0.63073874,Late,3.68625
A078_1,A078,1,1.0,what,0.023597341,Early,0.041666666666666664
A078_2,A078,2,26.17,what,0.099462025,Early,1.0904166666666668
A078_3,A078,3,72.3,what,-0.7596743,Late,0.4591666666666665
A078_4,A078,4,140.08,what,-0.65401506,Late,3.2833333333333337
A079_1,A079,1,1.0,what,0.13202901,Early,0.041666666666666664
A079_2,A079,2,26.11,what,-0.5799095,Early,1.0879166666666666
A079_3,A079,3,74.0,what,-1.0114949,Late,0.5299999999999999
A079_4,A079,4,194.42,what,-0.5881184,Late,5.547499999999999
A080_1,A080,1,1.0,what,0.43105462,Early,0.041666666666666664
A080_2,A080,2,29.03,what,0.4199076,Early,1.2095833333333335
A080_3,A080,3,72.87,what,0.3975454,Late,0.4829166666666668
A080_4,A080,4,145.77,what,-0.8417055,Late,3.520416666666667
A081_1,A081,1,1.0,what,0.41316152,Early,0.041666666666666664
A081_2,A081,2,31.39,what,-0.49664956,Early,1.3079166666666666
A081_3,A081,3,80.13,what,0.96994483,Late,0.7854166666666664
A081_4,A081,4,154.53,what,0.04104539,Late,3.8854166666666665
A082_1,A082,1,1.0,what,0.70349485,Early,0.041666666666666664
A082_2,A082,2,27.97,what,1.0411574,Early,1.1654166666666665
A082_3,A082,3,75.71,what,0.26939318,Late,0.6012499999999997
A082_4,A082,4,170.25,what,0.099159405,Late,4.540416666666666
A083_1,A083,1,1.0,what,1.716006,Early,0.041666666666666664
A083_2,A083,2,25.15,what,0.627722,Early,1.0479166666666666
A083_3,A083,3,74.3,what,-0.03808578,Late,0.5424999999999999
A083_4,A083,4,144.91,what,-0.45677182,Late,3.484583333333333
A084_1,A084,1,1.0,what,0.27613997,Early,0.041666666666666664
A084_2,A084,2,27.25,what,-1.0235722,Early,1.1354166666666667
A084_3,A084,3,91.97,what,-0.04605442,Late,1.2787499999999998
A084_4,A084,4,162.51,what,-0.27272734,Late,4.2179166666666665
A085_1,A085,1,1.0,what,0.11177244,Early,0.041666666666666664
A085_2,A085,2,24.51,what,1.5030562,Early,1.02125
A085_3,A085,3,71.4,what,-0.12060891,Late,0.42166666666666686
A085_4,A085,4,170.65,what,-0.5840122,Late,4.557083333333334
A086_1,A086,1,1.0,what,0.67570555,Early,0.041666666666666664
A086_2,A086,2,23.47,what,-0.8055431,Early,0.9779166666666667
A086_3,A086,3,145.29,what,-1.0776986,Late,3.5004166666666663
A086_4,A086,4,169.55,what,-0.74143744,Late,4.51125
A087_1,A087,1,1.0,what,1.2110579,Early,0.041666666666666664
A087_2,A087,2,31.07,what,0.91695786,Early,1.2945833333333334
A087_3,A087,3,72.8,what,-0.11189697,Late,0.4799999999999998
A087_4,A087,4,144.2,what,0.37117374,Late,3.4549999999999996
A088_1,A088,1,1.0,what,1.4964592,Early,0.041666666666666664
A088_2,A088,2,24.25,what,2.3701851,Early,1.0104166666666667
A088_3,A088,3,74.91,what,0.24273601,Late,0.5679166666666665
A088_4,A088,4,149.93,what,1.3775116,Late,3.69375
A089_1,A089,1,1.0,what,1.3879722,Early,0.041666666666666664
A089_2,A089,2,32.14,what,0.98157203,Early,1.3391666666666666
A089_3,A089,3,79.34,what,0.18005185,Late,0.7525000000000001
A089_4,A089,4,146.96,what,0.12621939,Late,3.5700000000000003
A090_1,A090,1,1.0,what,0.5685513,Early,0.041666666666666664
A090_2,A090,2,23.54,what,-1.004835,Early,0.9808333333333333
A090_3,A090,3,95.42,what,-1.9035667,Late,1.4225
A090_4,A090,4,144.07,what,-1.0069829,Late,3.449583333333333
A091_1,A091,1,1.0,what,0.6446007,Early,0.041666666666666664
A091_2,A091,2,22.2,what,-0.23618999,Early,0.9249999999999999
A091_3,A091,3,73.64,what,-1.0844674,Late,0.515
A091_4,A091,4,142.61,what,-0.22201028,Late,3.3887500000000004
A092_1,A092,1,1.0,what,-0.45725018,Early,0.041666666666666664
A092_2,A092,2,22.83,what,-0.707106,Early,0.9512499999999999
A092_3,A092,3,71.31,what,-0.27878723,Late,0.4179166666666667
A092_4,A092,4,146.16,what,-1.5835248,Late,3.5366666666666666
A093_1,A093,1,1.0,what,0.40196308,Early,0.041666666666666664
A093_2,A093,2,22.09,what,0.31625798,Early,0.9204166666666667
A093_3,A093,3,70.22,what,0.895297,Late,0.3724999999999999
A093_4,A093,4,140.95,what,0.58903307,Late,3.3195833333333327
A094_1,A094,1,1.0,what,-0.4338472,Early,0.041666666666666664
A094_2,A094,2,22.98,what,-0.10413395,Early,0.9575
A094_3,A094,3,76.21,what,-1.5876961,Late,0.622083333333333
A094_4,A094,4,149.99,what,-0.9550737,Late,3.6962500000000005
A095_1,A095,1,1.0,what,1.5629785,Early,0.041666666666666664
A095_2,A095,2,29.71,what,-0.31464836,Early,1.2379166666666668
A095_3,A095,3,78.76,what,-0.52469057,Late,0.7283333333333335
A095_4,A095,4,148.79,what,-0.44003212,Late,3.6462499999999998
A096_1,A096,1,1.0,what,-0.5876299,Early,0.041666666666666664
A096_2,A096,2,24.49,what,-1.6634033,Early,1.0204166666666665
A096_3,A096,3,71.19,what,-2.0487726,Late,0.41291666666666654
A096_4,A096,4,143.66,what,-1.6537123,Late,3.4324999999999997
A097_1,A097,1,1.0,what,0.30110675,Early,0.041666666666666664
A097_2,A097,2,24.37,what,-0.46951467,Early,1.0154166666666666
A097_3,A097,3,70.83,what,0.49897698,Late,0.39791666666666653
A097_4,A097,4,144.85,what,0.21680588,Late,3.482083333333333
A098_1,A098,1,1.0,what,0.63542306,Early,0.041666666666666664
A098_2,A098,2,25.77,what,0.2751316,Early,1.07375
A098_3,A098,3,78.84,what,1.2736149,Late,0.7316666666666668
A098_4,A098,4,146.29,what,-0.28662166,Late,3.542083333333333
A099_1,A099,1,1.0,what,0.8915915,Early,0.041666666666666664
A099_2,A099,2,28.75,what,0.962919,Early,1.1979166666666667
A099_3,A099,3,78.57,what,-0.6954294,Late,0.7204166666666664
A099_4,A099,4,143.51,what,0.024082785,Late,3.4262499999999996
A100_1,A100,1,1.0,what,0.07399175,Early,0.041666666666666664
A100_2,A100,2,31.14,what,0.9113723,Early,1.2975
A100_3,A100,3,75.34,what,0.36577296,Late,0.5858333333333334
A100_4,A100,4,146.8,what,0.07635781,Late,3.563333333333334
A101_1,A101,1,1.0,what,-1.1400971,Early,0.041666666666666664
A101_2,A101,2,29.12,what,-0.97317004,Early,1.2133333333333334
A101_3,A101,3,75.21,what,-1.268504,Late,0.5804166666666664
A101_4,A101,4,150.22,what,-1.4687408,Late,3.705833333333333
A102_1,A102,1,1.0,what,-0.1090957,Early,0.041666666666666664
A102_2,A102,2,29.13,what,0.7893604,Early,1.2137499999999999
A102_3,A102,3,75.27,what,-0.54814076,Late,0.5829166666666664
A102_4,A102,4,150.41,what,-0.016238477,Late,3.7137499999999997
A103_1,A103,1,1.0,what,1.5837513,Early,0.041666666666666664
A103_2,A103,2,27.26,what,-0.8997795,Early,1.1358333333333335
A103_3,A103,3,80.24,what,-1.8014679,Late,0.7899999999999997
A103_4,A103,4,149.72,what,-0.7135607,Late,3.685
A104_1,A104,1,1.0,what,1.9797188,Early,0.041666666666666664
A104_2,A104,2,22.6,what,-0.25339428,Early,0.9416666666666668
A104_3,A104,3,72.62,what,0.30562896,Late,0.47250000000000014
A104_4,A104,4,145.78,what,-1.6902736,Late,3.5208333333333335
A105_1,A105,1,1.0,what,0.6786545,Early,0.041666666666666664
A105_2,A105,2,22.77,what,0.4023,Early,0.94875
A105_3,A105,3,69.46,what,-0.07094553,Late,0.34083333333333304
A105_4,A105,4,146.2,what,0.012376063,Late,3.5383333333333327
A106_1,A106,1,1.0,what,1.5945877,Early,0.041666666666666664
A106_2,A106,2,22.64,what,0.07416145,Early,0.9433333333333334
A106_3,A106,3,66.08,what,0.610385,Late,0.19999999999999987
A106_4,A106,4,147.13,what,0.97847015,Late,3.577083333333333
A107_1,A107,1,1.0,what,-0.6293192,Early,0.041666666666666664
A107_2,A107,2,26.22,what,-1.6425781,Early,1.0925
A107_3,A107,3,71.45,what,-0.8989691,Late,0.42375000000000007
A107_4,A107,4,145.95,what,-1.2341427,Late,3.527916666666666
A108_1,A108,1,1.0,what,-0.6797666,Early,0.041666666666666664
A108_2,A108,2,27.61,what,-1.2300881,Early,1.1504166666666666
A108_3,A108,3,68.96,what,-0.64672476,Late,0.3199999999999997
A108_4,A108,4,152.12,what,-1.2409853,Late,3.785
A109_1,A109,1,1.0,what,-0.29406714,Early,0.041666666666666664
A109_2,A109,2,24.65,what,-0.85136366,Early,1.0270833333333333
A109_3,A109,3,71.17,what,-0.2927042,Late,0.41208333333333336
A109_4,A109,4,149.87,what,-1.3304558,Late,3.69125
A010_1,A010,1,1.0,where,2.4439983,Early,0.041666666666666664
A010_2,A010,2,21.9,where,0.59148264,Early,0.9125
A010_3,A010,3,80.88,where,-0.091231495,Late,0.8166666666666664
A010_4,A010,4,145.31,where,0.47084022,Late,3.50125
A011_1,A011,1,1.0,where,0.9860436,Early,0.041666666666666664
A011_2,A011,2,24.57,where,0.20441371,Early,1.02375
A011_3,A011,3,72.55,where,-0.74633425,Late,0.4695833333333332
A011_4,A011,4,148.85,where,-0.26116142,Late,3.6487499999999997
A012_1,A012,1,1.0,where,1.4285018,Early,0.041666666666666664
A012_2,A012,2,25.6,where,-0.31520778,Early,1.0666666666666667
A012_3,A012,3,166.33,where,1.0647037,Late,4.377083333333334
