UID,Age,RAVLT_T,BVMT_T,NART_T,RPM_T,RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,theta_all
A080,56,57.484203029059294,47.58817319748699,59.455010673198146,40.29170805677566,58.77555092549201,53.648494608380034,0.05354647499999998
A081,55,43.3408272261126,53.5188948430108,45.45293379838562,29.908508117498297,41.53324908630317,53.648494608380034,0.3615143925
A082,58,64.55589093053264,57.47270927336,69.95656832930754,50.67490799605303,54.56076603146807,44.442994051722216,0.4909304
A083,58,56.30558837881374,41.65745155196318,71.12340806887525,55.86650796569172,49.04912424697523,53.648494608380034,0.7502973374999999
A084,59,37.44775397488481,33.74982269126477,45.45293379838562,45.48330802641435,41.53324908630317,39.8347182628551,-0.0109190895
A085,58,43.3408272261126,45.61126598231238,45.45293379838562,50.67490799605303,47.28068303269946,53.648494608380034,0.33935422249999997
A086,58,57.484203029059294,49.56508041266159,59.455010673198146,61.0581079353304,40.71218709396085,44.442994051722216,-0.43033625999999997
A087,59,51.591129777831505,57.47270927336,65.2892093710367,45.48330802641435,45.22802805184364,44.442994051722216,0.5806797050000001
A088,56,44.51944187635816,41.65745155196318,41.95241457968249,45.48330802641435,53.50706980796208,35.22644247398797,1.55795242
A089,56,46.87667117684927,49.56508041266159,43.1192543192502,61.0581079353304,47.28068303269946,53.648494608380034,0.865113
A090,61,51.591129777831505,39.68054433678858,57.121331194062726,35.10010808713698,53.912337586233626,53.648494608380034,-0.752913545
A091,63,50.41251512758595,41.65745155196318,54.78765171492731,50.67490799605303,31.680505178195258,53.648494608380034,-0.373098455
A092,60,36.269139324639255,47.58817319748699,55.95449145449501,29.908508117498297,35.78581513990689,53.648494608380034,-0.7275689125
A093,64,48.05528582709483,51.54198762783619,39.61873510054707,55.86650796569172,42.97010757290224,43.603116449914296,0.48446266
A094,60,43.3408272261126,37.70363712161397,61.78869015233357,35.10010808713698,33.48684156134838,53.648494608380034,-0.93752057
A095,61,45.698056526603715,49.56508041266159,67.62288885017213,50.67490799605303,64.52298487188828,53.648494608380034,-0.013461817500000028
A096,60,43.3408272261126,43.63435876713778,53.620811975359594,40.29170805677566,58.77555092549201,13.466981974517097,-1.325941315
A097,64,22.125763521692555,27.81910104574096,53.620811975359594,45.48330802641435,46.1311962434202,69.44040372658415,0.142418974
A098,60,57.484203029059294,43.63435876713778,68.78972858973984,55.86650796569172,49.743869009726424,53.648494608380034,0.35445072499999997
A099,63,40.98359792562148,43.63435876713778,47.78661327752104,55.86650796569172,54.259709967609226,53.648494608380034,0.7514367825
A100,66,42.162212575867045,17.93456496986795,51.287132496224174,35.10010808713698,41.53324908630317,22.075727393048247,0.2622341625
A101,69,22.125763521692555,45.61126598231238,48.953453017088755,50.67490799605303,58.77555092549201,23.512360132982835,-1.1029622374999999
A102,68,56.30558837881374,59.4496164885346,66.45604911060441,55.86650796569172,45.22802805184364,53.648494608380034,0.01133648850000002
A103,68,68.09173488126932,45.61126598231238,57.121331194062726,35.10010808713698,37.70162645537231,43.603116449914296,-0.4859907875
A104,66,42.162212575867045,47.58817319748699,64.12236963146898,45.48330802641435,51.750909435452115,53.648494608380034,0.05959064250000001
