UID,Age,RAVLT_T,BVMT_T,NART_T,RPM_T,RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,theta_all,Age_c,RAVLT_c,BVMT_c,NART_c,RPM_c,RAVLT_Pct_Ret_c,BVMT_Pct_Ret_c,Age_c_x_RAVLT_c,Age_c_x_BVMT_c,Age_c_x_NART_c,Age_c_x_RPM_c,Age_c_x_RAVLT_Pct_Ret_c,Age_c_x_BVMT_Pct_Ret_c
A068,49,55.12697372856818,55.4958020581854,53.6208119753596,61.0581079353304,50.34598113744414,53.648494608380034,0.373907925,4.43,5.126973728568181,5.495802058185397,3.620811975359601,11.058107935330398,0.3459811374441415,3.648494608380034,22.71249361755704,24.34640311776131,16.04019705084303,48.98741815351366,1.5326964388775468,16.16283111512355
A069,46,50.41251512758595,47.58817319748699,30.28401718400539,35.10010808713698,54.259709967609226,53.648494608380034,-1.1793972825,1.4299999999999997,0.412515127585948,-2.411826802513012,-19.71598281599461,-14.89989191286302,4.259709967609226,3.648494608380034,0.5898966324479055,-3.4489123275936064,-28.19385542687229,-21.306845435394113,6.091385253681191,5.217347289983447
A070,52,59.84143232955041,55.4958020581854,54.78765171492731,50.67490799605303,41.916411349396256,53.648494608380034,-0.2106950642499999,7.43,9.841432329550408,5.495802058185397,4.787651714927307,0.6749079960530295,-8.083588650603744,3.648494608380034,73.12184220855953,40.8338092923175,35.57225224190989,5.014566410674009,-60.061063673985814,27.10831494026365
A071,50,58.66281767930485,53.5188948430108,53.6208119753596,61.0581079353304,40.71218709396085,53.648494608380034,0.1962569325,5.43,8.662817679304851,3.5188948430107985,3.620811975359601,11.058107935330398,-9.28781290603915,3.648494608380034,47.03909999862534,19.107598997548635,19.66100902620263,60.045526088844056,-50.43282407979258,19.811325723503582
A072,50,52.76974442807706,59.4496164885346,53.6208119753596,61.0581079353304,64.04403204302193,53.648494608380034,0.0778722249999999,5.43,2.769744428077061,9.449616488534602,3.620811975359601,11.058107935330398,14.044032043021929,3.648494608380034,15.03971224445844,51.31141753274289,19.66100902620263,60.045526088844056,76.25909399360907,19.811325723503582
A073,51,50.41251512758595,43.63435876713778,38.45189536097936,45.48330802641435,64.04403204302193,43.603116449914296,0.3363469595,6.43,0.412515127585948,-6.365641232862217,-11.548104639020643,-4.516691973585651,14.044032043021929,-6.396883550085704,2.6524722703776455,-40.93107312730405,-74.25431282890273,-29.042329390155736,90.303126036631,-41.13196122705107
A074,53,59.84143232955041,53.5188948430108,31.4508569235731,55.86650796569172,58.77555092549201,53.648494608380034,-0.2549865725,8.43,9.841432329550408,3.5188948430107985,-18.5491430764269,5.866507965691717,8.775550925492013,3.648494608380034,82.96327453810993,29.66428352658103,-156.36927613427878,49.454662150781175,73.97789430189766,30.756809548643684
A075,53,38.62636862513037,47.58817319748699,44.28609405881791,50.67490799605303,39.322697568458445,53.648494608380034,-0.291115765,8.43,-11.373631374869632,-2.411826802513012,-5.713905941182091,0.6749079960530295,-10.677302431541555,3.648494608380034,-95.879712490151,-20.331699945184692,-48.168227084165025,5.689474406727038,-90.00965949789531,30.756809548643684
A076,54,33.911910024148135,31.77291547609017,44.28609405881791,29.908508117498297,23.65234347529252,29.093125776574908,-1.220826245,9.43,-16.088089975851865,-18.22708452390983,-5.713905941182091,-20.091491882501703,-26.34765652470748,-20.906874223425092,-151.7106884722831,-171.8814070604697,-53.882133025347116,-189.46276845199105,-248.45840102799156,-197.1518239268986
A077,52,72.80619348225154,57.47270927336,54.78765171492731,55.86650796569172,46.1311962434202,53.648494608380034,0.4862645825,7.43,22.806193482251544,7.472709273360003,4.787651714927307,5.866507965691717,-3.8688037565798012,3.648494608380034,169.45001757312897,55.52222990106482,35.57225224190989,43.58815418508946,-28.745211911387923,27.10831494026365
A078,50,50.41251512758595,35.726729906439374,38.45189536097936,40.29170805677566,45.22802805184364,53.648494608380034,-0.49878498,5.43,0.412515127585948,-14.273270093560626,-11.548104639020643,-9.708291943224339,-4.771971948156363,3.648494608380034,2.2399571427916976,-77.5038566080342,-62.70620818988209,-52.71602525170815,-25.911807678489048,19.811325723503582
A079,50,59.84143232955041,61.42652370370921,50.12029275665646,55.86650796569172,54.56076603146807,16.815441360672345,-0.4405461125,5.43,9.841432329550408,11.426523703709208,0.12029275665646111,5.866507965691717,4.56076603146807,-33.184558639327655,53.43897754945871,62.046023711141,0.6531896686445838,31.855138253706023,24.76495955087162,-180.19215341154916
A080,56,57.484203029059294,47.58817319748699,59.45501067319815,40.29170805677566,58.77555092549201,53.648494608380034,0.0535464749999999,11.43,7.4842030290592945,-2.411826802513012,9.455010673198153,-9.708291943224339,8.775550925492013,3.648494608380034,85.54444062214773,-27.567180352723728,108.07077199465489,-110.96577691105419,100.3045470783737,41.70229337378379
