composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours
A018_T4,A018,4,-1.4447218,0.07339282,150.87
A019_T1,A019,1,-0.13678566,0.07339282,1.0
A019_T2,A019,2,-0.41609767,0.07339282,28.69
A019_T3,A019,3,-0.15715945,0.07339282,83.68
A019_T4,A019,4,-0.49642876,0.07339282,154.76
A020_T1,A020,1,0.4385481,0.07339282,1.0
A020_T2,A020,2,0.025535457,0.07339282,26.85
A020_T3,A020,3,-0.6426598,0.07339282,78.25
A020_T4,A020,4,-1.0779264,0.07339282,145.78
A021_T1,A021,1,1.2973111,0.07339282,1.0
A021_T2,A021,2,0.85418165,0.07339282,30.21
A021_T3,A021,3,0.71108764,0.07339282,74.19
A021_T4,A021,4,0.59444976,0.07339282,140.39
A022_T1,A022,1,-1.0273978,0.07339282,1.0
A022_T2,A022,2,-1.6089394,0.07339282,24.15
A022_T3,A022,3,-1.41758,0.07339282,74.46
A022_T4,A022,4,-2.2419448,0.07339282,141.71
A023_T1,A023,1,0.8757261,0.07339282,1.0
A023_T2,A023,2,0.7151295,0.07339282,25.63
A023_T3,A023,3,0.6461154,0.07339282,72.2
A023_T4,A023,4,0.7143073,0.07339282,145.07
A024_T1,A024,1,0.5364075,0.07339282,1.0
A024_T2,A024,2,0.20124167,0.07339282,29.57
A024_T3,A024,3,0.3713352,0.07339282,91.47
A024_T4,A024,4,0.009039989,0.07339282,145.65
A025_T1,A025,1,0.7685537,0.07339282,1.0
A025_T2,A025,2,0.37906578,0.07339282,23.33
A025_T3,A025,3,-0.37838924,0.07339282,72.94
A025_T4,A025,4,-2.0631132,0.07339282,137.74
A026_T1,A026,1,0.56117547,0.07339282,1.0
A026_T2,A026,2,0.14260052,0.07339282,26.48
A026_T3,A026,3,0.47051916,0.07339282,75.46
A026_T4,A026,4,0.6031819,0.07339282,147.65
A027_T1,A027,1,1.0715036,0.07339282,1.0
A027_T2,A027,2,0.56911445,0.07339282,28.26
A027_T3,A027,3,-0.28420392,0.07339282,74.58
A027_T4,A027,4,-0.9887715,0.07339282,145.92
A028_T1,A028,1,1.2547947,0.07339282,1.0
A028_T2,A028,2,0.59293026,0.07339282,22.82
A028_T3,A028,3,-0.35394546,0.07339282,72.26
A028_T4,A028,4,-0.23738918,0.07339282,138.91
A029_T1,A029,1,1.6053915,0.07339282,1.0
A029_T2,A029,2,1.1294532,0.07339282,28.43
A029_T3,A029,3,0.56202656,0.07339282,93.26
A029_T4,A029,4,0.8559158,0.07339282,143.14
A030_T1,A030,1,0.23597223,0.07339282,1.0
A030_T2,A030,2,0.64555764,0.07339282,32.95
A030_T3,A030,3,-0.12588719,0.07339282,71.93
A030_T4,A030,4,-0.024427809,0.07339282,150.46
A031_T1,A031,1,2.0878112,0.07339282,1.0
A031_T2,A031,2,0.40126973,0.07339282,32.41
A031_T3,A031,3,-0.27508643,0.07339282,71.56
A031_T4,A031,4,-0.800131,0.07339282,143.85
A032_T1,A032,1,0.3052368,0.07339282,1.0
A032_T2,A032,2,-0.49530542,0.07339282,57.18
A032_T3,A032,3,-0.23620081,0.07339282,80.16
A032_T4,A032,4,0.30469647,0.07339282,144.51
A033_T1,A033,1,0.77137077,0.07339282,1.0
A033_T2,A033,2,0.4549792,0.07339282,29.16
A033_T3,A033,3,0.41117167,0.07339282,72.6
A033_T4,A033,4,-0.64959884,0.07339282,168.33
A034_T1,A034,1,2.0106363,0.07339282,1.0
A034_T2,A034,2,1.7898816,0.07339282,26.08
A034_T3,A034,3,1.2632637,0.07339282,74.28
A034_T4,A034,4,0.6997216,0.07339282,145.38
A035_T1,A035,1,0.8264408,0.07339282,1.0
A035_T2,A035,2,0.7271903,0.07339282,44.76
A035_T3,A035,3,0.063205935,0.07339282,79.98
A035_T4,A035,4,-0.33424705,0.07339282,152.47
A036_T1,A036,1,-0.8724763,0.07339282,1.0
A036_T2,A036,2,-1.4847412,0.07339282,21.63
A036_T3,A036,3,-1.3907819,0.07339282,71.47
A036_T4,A036,4,-1.6291748,0.07339282,143.85
A037_T1,A037,1,0.981827,0.07339282,1.0
A037_T2,A037,2,0.40132684,0.07339282,23.7
A037_T3,A037,3,-0.5773718,0.07339282,72.08
A037_T4,A037,4,-0.9496738,0.07339282,143.66
A038_T1,A038,1,1.2398889,0.07339282,1.0
A038_T2,A038,2,0.9916787,0.07339282,71.85
A038_T3,A038,3,1.0252008,0.07339282,72.86
A038_T4,A038,4,0.66296256,0.07339282,152.89
A039_T1,A039,1,2.2039258,0.07339282,1.0
A039_T2,A039,2,1.7605134,0.07339282,28.65
A039_T3,A039,3,0.9264932,0.07339282,98.84
A039_T4,A039,4,0.4581183,0.07339282,246.24
A040_T1,A040,1,0.10722337,0.07339282,1.0
A040_T2,A040,2,0.08675729,0.07339282,26.26
A040_T3,A040,3,-1.4581342,0.07339282,71.28
A040_T4,A040,4,-2.264335,0.07339282,143.53
A041_T1,A041,1,1.1639924,0.07339282,1.0
A041_T2,A041,2,-0.3599962,0.07339282,31.78
A041_T3,A041,3,0.55802584,0.07339282,75.74
A041_T4,A041,4,0.12782939,0.07339282,141.84
A042_T1,A042,1,-0.26355729,0.07339282,1.0
A042_T2,A042,2,-0.74814,0.07339282,28.93
A042_T3,A042,3,-0.6204812,0.07339282,72.17
A042_T4,A042,4,-1.0438489,0.07339282,146.02
A043_T1,A043,1,2.2976968,0.07339282,1.0
A043_T2,A043,2,1.9961102,0.07339282,25.62
A043_T3,A043,3,1.3940244,0.07339282,64.94
A043_T4,A043,4,0.8008104,0.07339282,149.33
A044_T1,A044,1,-0.48998752,0.07339282,1.0
A044_T2,A044,2,-0.78027636,0.07339282,47.66
A044_T3,A044,3,-1.2760453,0.07339282,91.63
A044_T4,A044,4,-1.6953964,0.07339282,155.27
A045_T1,A045,1,-0.1593461,0.07339282,1.0
A045_T2,A045,2,-0.27718532,0.07339282,24.66
A045_T3,A045,3,-0.045916285,0.07339282,72.23
A045_T4,A045,4,-1.021972,0.07339282,151.52
A046_T1,A046,1,0.676205,0.07339282,1.0
A046_T2,A046,2,-0.12228983,0.07339282,24.32
A046_T3,A046,3,-0.17526035,0.07339282,73.05
A046_T4,A046,4,-0.0935051,0.07339282,147.94
A047_T1,A047,1,0.3895279,0.07339282,1.0
A047_T2,A047,2,0.2769776,0.07339282,23.46
A047_T3,A047,3,-0.20571186,0.07339282,76.85
A047_T4,A047,4,-1.0360394,0.07339282,144.22
A048_T1,A048,1,0.724293,0.07339282,1.0
A048_T2,A048,2,0.52653074,0.07339282,23.91
A048_T3,A048,3,-0.118984975,0.07339282,81.15
A048_T4,A048,4,-0.5066172,0.07339282,146.3
A049_T1,A049,1,1.5637307,0.07339282,1.0
A049_T2,A049,2,-0.2571439,0.07339282,27.12
A049_T3,A049,3,-0.15933253,0.07339282,111.38
A049_T4,A049,4,-0.10835778,0.07339282,168.86
A050_T1,A050,1,0.035831243,0.07339282,1.0
A050_T2,A050,2,-0.56609553,0.07339282,24.73
A050_T3,A050,3,-1.4636116,0.07339282,93.39
A050_T4,A050,4,-1.8676877,0.07339282,148.69
A051_T1,A051,1,1.7638129,0.07339282,1.0
A051_T2,A051,2,1.4229454,0.07339282,17.16
A051_T3,A051,3,0.2748946,0.07339282,65.63
A051_T4,A051,4,0.112219095,0.07339282,146.99
A052_T1,A052,1,1.0086244,0.07339282,1.0
A052_T2,A052,2,0.23544133,0.07339282,31.76
A052_T3,A052,3,-0.10714758,0.07339282,80.98
A052_T4,A052,4,0.06826525,0.07339282,153.27
A053_T1,A053,1,0.7935923,0.07339282,1.0
A053_T2,A053,2,-0.35076645,0.07339282,32.71
A053_T3,A053,3,-0.35888958,0.07339282,78.28
A053_T4,A053,4,-0.38389128,0.07339282,148.9
A054_T1,A054,1,1.6660749,0.07339282,1.0
A054_T2,A054,2,0.7989242,0.07339282,16.9
A054_T3,A054,3,0.90146124,0.07339282,72.83
A054_T4,A054,4,0.721319,0.07339282,136.83
A055_T1,A055,1,0.8933571,0.07339282,1.0
A055_T2,A055,2,-0.30982408,0.07339282,23.24
A055_T3,A055,3,-0.7091042,0.07339282,74.48
A055_T4,A055,4,-0.52702236,0.07339282,149.21
A056_T1,A056,1,0.35512546,0.07339282,1.0
A056_T2,A056,2,-0.11481737,0.07339282,33.61
A056_T3,A056,3,-0.09799757,0.07339282,71.46
A056_T4,A056,4,-0.4329056,0.07339282,147.84
A057_T1,A057,1,0.7148236,0.07339282,1.0
A057_T2,A057,2,0.027630882,0.07339282,24.78
A057_T3,A057,3,-0.79511607,0.07339282,73.83
A057_T4,A057,4,-1.8122908,0.07339282,145.06
A058_T1,A058,1,0.6129219,0.07339282,1.0
A058_T2,A058,2,-1.2515614,0.07339282,22.96
A058_T3,A058,3,-1.0903395,0.07339282,66.28
A058_T4,A058,4,-1.8317188,0.07339282,143.48
A059_T1,A059,1,0.35930577,0.07339282,1.0
A059_T2,A059,2,-0.2759761,0.07339282,30.4
A059_T3,A059,3,-0.64548576,0.07339282,79.78
A059_T4,A059,4,-0.47585383,0.07339282,151.93
A060_T1,A060,1,1.1899056,0.07339282,1.0
A060_T2,A060,2,1.1297755,0.07339282,24.87
A060_T3,A060,3,0.7342384,0.07339282,94.68
A060_T4,A060,4,1.113592,0.07339282,143.91
A061_T1,A061,1,3.035337,0.07339282,1.0
A061_T2,A061,2,2.2201235,0.07339282,35.16
A061_T3,A061,3,0.58240455,0.07339282,82.55
A061_T4,A061,4,1.2262194,0.07339282,146.56
A062_T1,A062,1,0.8056381,0.07339282,1.0
A062_T2,A062,2,-0.1124377,0.07339282,44.69
A062_T3,A062,3,-0.80934817,0.07339282,92.72
A062_T4,A062,4,-1.309975,0.07339282,149.18
A063_T1,A063,1,-0.22373737,0.07339282,1.0
A063_T2,A063,2,-0.5303791,0.07339282,21.98
A063_T3,A063,3,-1.2802118,0.07339282,69.99
A063_T4,A063,4,-1.7153044,0.07339282,141.09
A064_T1,A064,1,0.97024375,0.07339282,1.0
A064_T2,A064,2,0.085474685,0.07339282,37.65
A064_T3,A064,3,0.11236071,0.07339282,82.99
A064_T4,A064,4,-0.03018738,0.07339282,156.21
A065_T1,A065,1,-0.13690929,0.07339282,1.0
A065_T2,A065,2,-1.1207016,0.07339282,32.31
A065_T3,A065,3,-1.3502693,0.07339282,106.41
A065_T4,A065,4,-1.8451918,0.07339282,187.43
A066_T1,A066,1,0.46811906,0.07339282,1.0
A066_T2,A066,2,-0.1757307,0.07339282,23.35
A066_T3,A066,3,-0.5405086,0.07339282,73.79
A066_T4,A066,4,-1.2039877,0.07339282,164.93
A067_T1,A067,1,0.24262358,0.07339282,1.0
A067_T2,A067,2,-1.4350314,0.07339282,29.91
A067_T3,A067,3,-1.9365375,0.07339282,73.19
A067_T4,A067,4,-1.7372146,0.07339282,144.19
A068_T1,A068,1,2.2656133,0.07339282,1.0
A068_T2,A068,2,1.3492081,0.07339282,30.49
A068_T3,A068,3,0.6539339,0.07339282,82.98
A068_T4,A068,4,0.16218548,0.07339282,155.59
A069_T1,A069,1,0.25422466,0.07339282,1.0
A069_T2,A069,2,-1.0452298,0.07339282,24.96
A069_T3,A069,3,-1.6103827,0.07339282,79.75
A069_T4,A069,4,-1.5714215,0.07339282,140.22
A070_T1,A070,1,0.26595566,0.07339282,1.0
A070_T2,A070,2,-0.2891156,0.07339282,24.25
A070_T3,A070,3,-1.5362434,0.07339282,81.92
A070_T4,A070,4,-2.3315032,0.07339282,149.2
A071_T1,A071,1,1.4062483,0.07339282,1.0
A071_T2,A071,2,0.008745952,0.07339282,30.92
A071_T3,A071,3,-0.64396226,0.07339282,79.96
A071_T4,A071,4,-0.40711495,0.07339282,153.27
A072_T1,A072,1,1.1476082,0.07339282,1.0
A072_T2,A072,2,0.8802795,0.07339282,33.76
A072_T3,A072,3,0.34604254,0.07339282,83.54
A072_T4,A072,4,-0.07694118,0.07339282,154.89
A073_T1,A073,1,0.005702734,0.07339282,1.0
A073_T2,A073,2,-0.51583505,0.07339282,66.66
A073_T3,A073,3,0.010290367,0.07339282,66.9
A073_T4,A073,4,-0.37375993,0.07339282,140.12
A074_T1,A074,1,0.4057072,0.07339282,1.0
A074_T2,A074,2,-0.26989007,0.07339282,29.33
A074_T3,A074,3,-1.2212816,0.07339282,73.02
A074_T4,A074,4,-0.7347055,0.07339282,147.21
A075_T1,A075,1,0.21868351,0.07339282,1.0
A075_T2,A075,2,-0.06407137,0.07339282,28.68
A075_T3,A075,3,-1.966908,0.07339282,71.37
A075_T4,A075,4,-0.76381415,0.07339282,244.53
A076_T1,A076,1,-0.25764796,0.07339282,1.0
A076_T2,A076,2,-0.64143974,0.07339282,27.3
A076_T3,A076,3,-0.8713531,0.07339282,74.88
A076_T4,A076,4,-2.0592318,0.07339282,149.28
A077_T1,A077,1,1.0828195,0.07339282,1.0
A077_T2,A077,2,-0.061775867,0.07339282,53.88
A077_T3,A077,3,-0.057523195,0.07339282,78.36
A077_T4,A077,4,0.02102494,0.07339282,149.75
A078_T1,A078,1,-0.9361496,0.07339282,1.0
A078_T2,A078,2,-0.96595,0.07339282,26.17
A078_T3,A078,3,-1.7301757,0.07339282,72.3
A078_T4,A078,4,-1.7319458,0.07339282,140.08
A079_T1,A079,1,0.3822094,0.07339282,1.0
A079_T2,A079,2,0.10216686,0.07339282,26.11
A079_T3,A079,3,-0.4006794,0.07339282,74.0
A079_T4,A079,4,-0.75433517,0.07339282,194.42
A080_T1,A080,1,1.1243324,0.07339282,1.0
A080_T2,A080,2,0.6892572,0.07339282,29.03
A080_T3,A080,3,0.62320197,0.07339282,72.87
A080_T4,A080,4,-0.8472369,0.07339282,145.77
A081_T1,A081,1,1.2758523,0.07339282,1.0
A081_T2,A081,2,0.6858867,0.07339282,31.39
A081_T3,A081,3,0.8307492,0.07339282,80.13
A081_T4,A081,4,0.7054321,0.07339282,154.53
A082_T1,A082,1,0.1739859,0.07339282,1.0
A082_T2,A082,2,-0.04442855,0.07339282,27.97
A082_T3,A082,3,-0.4148056,0.07339282,75.71
A082_T4,A082,4,-0.8596984,0.07339282,170.25
A083_T1,A083,1,1.2734162,0.07339282,1.0
A083_T2,A083,2,0.3070551,0.07339282,25.15
A083_T3,A083,3,0.6661916,0.07339282,74.3
A083_T4,A083,4,0.5780402,0.07339282,144.91
A084_T1,A084,1,-0.42285675,0.07339282,1.0
A084_T2,A084,2,-1.4664562,0.07339282,27.25
A084_T3,A084,3,-1.013821,0.07339282,91.97
A084_T4,A084,4,-1.0321283,0.07339282,162.51
A085_T1,A085,1,0.8677166,0.07339282,1.0
A085_T2,A085,2,1.0242546,0.07339282,24.51
A085_T3,A085,3,0.7863214,0.07339282,71.4
A085_T4,A085,4,-0.55458117,0.07339282,170.65
A086_T1,A086,1,1.277961,0.07339282,1.0
A086_T2,A086,2,1.1118082,0.07339282,23.47
A086_T3,A086,3,-0.3442445,0.07339282,145.29
A086_T4,A086,4,-0.2083888,0.07339282,169.55
A087_T1,A087,1,1.4973053,0.07339282,1.0
A087_T2,A087,2,0.72297037,0.07339282,31.07
A087_T3,A087,3,0.12718847,0.07339282,72.8
A087_T4,A087,4,0.21799015,0.07339282,144.2
A088_T1,A088,1,0.25304648,0.07339282,1.0
A088_T2,A088,2,0.75527453,0.07339282,24.25
A088_T3,A088,3,0.05704416,0.07339282,74.91
A088_T4,A088,4,0.31973332,0.07339282,149.93
A089_T1,A089,1,1.3327537,0.07339282,1.0
A089_T2,A089,2,0.91714174,0.07339282,32.14
A089_T3,A089,3,0.1780254,0.07339282,79.34
A089_T4,A089,4,-0.008746256,0.07339282,146.96
A090_T1,A090,1,-0.65424925,0.07339282,1.0
A090_T2,A090,2,-0.8496225,0.07339282,23.54
A090_T3,A090,3,-1.6408993,0.07339282,95.42
A090_T4,A090,4,-1.4168081,0.07339282,144.07
A091_T1,A091,1,0.9867957,0.07339282,1.0
A091_T2,A091,2,0.32842198,0.07339282,22.2
A091_T3,A091,3,-0.17302956,0.07339282,73.64
A091_T4,A091,4,-0.13599955,0.07339282,142.61
A092_T1,A092,1,0.22590114,0.07339282,1.0
A092_T2,A092,2,0.14786519,0.07339282,22.83
A092_T3,A092,3,-0.3949276,0.07339282,71.31
A092_T4,A092,4,-0.5185454,0.07339282,146.16
A093_T1,A093,1,1.615065,0.07339282,1.0
A093_T2,A093,2,0.5044622,0.07339282,22.09
A093_T3,A093,3,0.049923185,0.07339282,70.22
A093_T4,A093,4,-0.3427646,0.07339282,140.95
A094_T1,A094,1,-0.15748604,0.07339282,1.0
A094_T2,A094,2,-0.38972417,0.07339282,22.98
A094_T3,A094,3,-1.3148012,0.07339282,76.21
A094_T4,A094,4,-1.2071853,0.07339282,149.99
A095_T1,A095,1,1.0626495,0.07339282,1.0
A095_T2,A095,2,-0.13491769,0.07339282,29.71
A095_T3,A095,3,-0.06304094,0.07339282,78.76
A095_T4,A095,4,-0.4148814,0.07339282,148.79
A096_T1,A096,1,1.2504172,0.07339282,1.0
A096_T2,A096,2,0.58374166,0.07339282,24.49
A096_T3,A096,3,0.73835707,0.07339282,71.19
A096_T4,A096,4,0.8100288,0.07339282,143.66
A097_T1,A097,1,-0.40680176,0.07339282,1.0
A097_T2,A097,2,-0.94182014,0.07339282,24.37
A097_T3,A097,3,-0.5738898,0.07339282,70.83
A097_T4,A097,4,-1.1440835,0.07339282,144.85
A098_T1,A098,1,0.7665425,0.07339282,1.0
A098_T2,A098,2,0.114959404,0.07339282,25.77
A098_T3,A098,3,0.95175016,0.07339282,78.84
A098_T4,A098,4,0.45389512,0.07339282,146.29
A099_T1,A099,1,1.5797538,0.07339282,1.0
A099_T2,A099,2,1.2974577,0.07339282,28.75
A099_T3,A099,3,0.8571293,0.07339282,78.57
A099_T4,A099,4,1.3113091,0.07339282,143.51
A100_T1,A100,1,0.9444509,0.07339282,1.0
A100_T2,A100,2,0.846625,0.07339282,31.14
A100_T3,A100,3,0.7006375,0.07339282,75.34
A100_T4,A100,4,0.07112359,0.07339282,146.8
A101_T1,A101,1,-0.32381263,0.07339282,1.0
A101_T2,A101,2,-0.8049391,0.07339282,29.12
A101_T3,A101,3,-2.0506682,0.07339282,75.21
A101_T4,A101,4,-1.7474207,0.07339282,150.22
A102_T1,A102,1,0.7623854,0.07339282,1.0
A102_T2,A102,2,0.3141226,0.07339282,29.13
A102_T3,A102,3,-0.36135077,0.07339282,75.27
A102_T4,A102,4,-0.24279404,0.07339282,150.41
A103_T1,A103,1,-1.8178651,0.07339282,1.0
A103_T2,A103,2,-2.9925668,0.07339282,27.26
A103_T3,A103,3,-2.6570177,0.07339282,80.24
A103_T4,A103,4,-2.9122403,0.07339282,149.72
A104_T1,A104,1,1.6208797,0.07339282,1.0
A104_T2,A104,2,0.573565,0.07339282,22.6
A104_T3,A104,3,-0.157371,0.07339282,72.62
A104_T4,A104,4,-1.8637626,0.07339282,145.78
A105_T1,A105,1,2.0030143,0.07339282,1.0
A105_T2,A105,2,1.3873036,0.07339282,22.77
A105_T3,A105,3,0.4621537,0.07339282,69.46
A105_T4,A105,4,0.38215855,0.07339282,146.2
A106_T1,A106,1,0.900686,0.07339282,1.0
A106_T2,A106,2,0.14128786,0.07339282,22.64
A106_T3,A106,3,0.43720695,0.07339282,66.08
A106_T4,A106,4,-0.07177689,0.07339282,147.13
A107_T1,A107,1,-1.6444446,0.07339282,1.0
A107_T2,A107,2,-0.80871445,0.07339282,26.22
A107_T3,A107,3,-1.256739,0.07339282,71.45
A107_T4,A107,4,-1.820972,0.07339282,145.95
A108_T1,A108,1,-0.31995967,0.07339282,1.0
A108_T2,A108,2,-1.9271332,0.07339282,27.61
A108_T3,A108,3,-0.52692664,0.07339282,68.96
A108_T4,A108,4,-0.62428236,0.07339282,152.12
A109_T1,A109,1,0.48572227,0.07339282,1.0
A109_T2,A109,2,-0.036711782,0.07339282,24.65
A109_T3,A109,3,0.40579683,0.07339282,71.17
A109_T4,A109,4,0.20902646,0.07339282,149.87
