composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Segment,Time_Early,Time_Late
A041_T2,A041,2,-0.3599962,0.07339282,31.78,Early,31.78,0.0
A041_T3,A041,3,0.55802584,0.07339282,75.74,Late,0.0,27.739999999999995
A041_T4,A041,4,0.12782939,0.07339282,141.84,Late,0.0,93.84
A042_T1,A042,1,-0.26355729,0.07339282,1.0,Early,1.0,0.0
A042_T2,A042,2,-0.74814,0.07339282,28.93,Early,28.93,0.0
A042_T3,A042,3,-0.6204812,0.07339282,72.17,Late,0.0,24.17
A042_T4,A042,4,-1.0438489,0.07339282,146.02,Late,0.0,98.02000000000001
A043_T1,A043,1,2.2976968,0.07339282,1.0,Early,1.0,0.0
A043_T2,A043,2,1.9961102,0.07339282,25.62,Early,25.62,0.0
A043_T3,A043,3,1.3940244,0.07339282,64.94,Late,0.0,16.939999999999998
A043_T4,A043,4,0.8008104,0.07339282,149.33,Late,0.0,101.33000000000001
A044_T1,A044,1,-0.48998752,0.07339282,1.0,Early,1.0,0.0
A044_T2,A044,2,-0.78027636,0.07339282,47.66,Early,47.66,0.0
A044_T3,A044,3,-1.2760453,0.07339282,91.63,Late,0.0,43.629999999999995
A044_T4,A044,4,-1.6953964,0.07339282,155.27,Late,0.0,107.27000000000001
A045_T1,A045,1,-0.1593461,0.07339282,1.0,Early,1.0,0.0
A045_T2,A045,2,-0.27718532,0.07339282,24.66,Early,24.66,0.0
A045_T3,A045,3,-0.045916285,0.07339282,72.23,Late,0.0,24.230000000000004
A045_T4,A045,4,-1.021972,0.07339282,151.52,Late,0.0,103.52000000000001
A046_T1,A046,1,0.676205,0.07339282,1.0,Early,1.0,0.0
A046_T2,A046,2,-0.12228983,0.07339282,24.32,Early,24.32,0.0
A046_T3,A046,3,-0.17526035,0.07339282,73.05,Late,0.0,25.049999999999997
A046_T4,A046,4,-0.0935051,0.07339282,147.94,Late,0.0,99.94
A047_T1,A047,1,0.3895279,0.07339282,1.0,Early,1.0,0.0
A047_T2,A047,2,0.2769776,0.07339282,23.46,Early,23.46,0.0
A047_T3,A047,3,-0.20571186,0.07339282,76.85,Late,0.0,28.849999999999994
A047_T4,A047,4,-1.0360394,0.07339282,144.22,Late,0.0,96.22
A048_T1,A048,1,0.724293,0.07339282,1.0,Early,1.0,0.0
A048_T2,A048,2,0.52653074,0.07339282,23.91,Early,23.91,0.0
A048_T3,A048,3,-0.118984975,0.07339282,81.15,Late,0.0,33.150000000000006
A048_T4,A048,4,-0.5066172,0.07339282,146.3,Late,0.0,98.30000000000001
A049_T1,A049,1,1.5637307,0.07339282,1.0,Early,1.0,0.0
A049_T2,A049,2,-0.2571439,0.07339282,27.12,Early,27.12,0.0
A049_T3,A049,3,-0.15933253,0.07339282,111.38,Late,0.0,63.379999999999995
A049_T4,A049,4,-0.10835778,0.07339282,168.86,Late,0.0,120.86000000000001
A050_T1,A050,1,0.035831243,0.07339282,1.0,Early,1.0,0.0
A050_T2,A050,2,-0.56609553,0.07339282,24.73,Early,24.73,0.0
A050_T3,A050,3,-1.4636116,0.07339282,93.39,Late,0.0,45.39
A050_T4,A050,4,-1.8676877,0.07339282,148.69,Late,0.0,100.69
A051_T1,A051,1,1.7638129,0.07339282,1.0,Early,1.0,0.0
A051_T2,A051,2,1.4229454,0.07339282,17.16,Early,17.16,0.0
A051_T3,A051,3,0.2748946,0.07339282,65.63,Late,0.0,17.629999999999995
A051_T4,A051,4,0.112219095,0.07339282,146.99,Late,0.0,98.99000000000001
A052_T1,A052,1,1.0086244,0.07339282,1.0,Early,1.0,0.0
A052_T2,A052,2,0.23544133,0.07339282,31.76,Early,31.76,0.0
A052_T3,A052,3,-0.10714758,0.07339282,80.98,Late,0.0,32.980000000000004
A052_T4,A052,4,0.06826525,0.07339282,153.27,Late,0.0,105.27000000000001
A053_T1,A053,1,0.7935923,0.07339282,1.0,Early,1.0,0.0
A053_T2,A053,2,-0.35076645,0.07339282,32.71,Early,32.71,0.0
A053_T3,A053,3,-0.35888958,0.07339282,78.28,Late,0.0,30.28
A053_T4,A053,4,-0.38389128,0.07339282,148.9,Late,0.0,100.9
A054_T1,A054,1,1.6660749,0.07339282,1.0,Early,1.0,0.0
A054_T2,A054,2,0.7989242,0.07339282,16.9,Early,16.9,0.0
A054_T3,A054,3,0.90146124,0.07339282,72.83,Late,0.0,24.83
A054_T4,A054,4,0.721319,0.07339282,136.83,Late,0.0,88.83000000000001
A055_T1,A055,1,0.8933571,0.07339282,1.0,Early,1.0,0.0
A055_T2,A055,2,-0.30982408,0.07339282,23.24,Early,23.24,0.0
A055_T3,A055,3,-0.7091042,0.07339282,74.48,Late,0.0,26.480000000000004
A055_T4,A055,4,-0.52702236,0.07339282,149.21,Late,0.0,101.21000000000001
A056_T1,A056,1,0.35512546,0.07339282,1.0,Early,1.0,0.0
A056_T2,A056,2,-0.11481737,0.07339282,33.61,Early,33.61,0.0
A056_T3,A056,3,-0.09799757,0.07339282,71.46,Late,0.0,23.459999999999994
A056_T4,A056,4,-0.4329056,0.07339282,147.84,Late,0.0,99.84
A057_T1,A057,1,0.7148236,0.07339282,1.0,Early,1.0,0.0
A057_T2,A057,2,0.027630882,0.07339282,24.78,Early,24.78,0.0
A057_T3,A057,3,-0.79511607,0.07339282,73.83,Late,0.0,25.83
A057_T4,A057,4,-1.8122908,0.07339282,145.06,Late,0.0,97.06
A058_T1,A058,1,0.6129219,0.07339282,1.0,Early,1.0,0.0
A058_T2,A058,2,-1.2515614,0.07339282,22.96,Early,22.96,0.0
A058_T3,A058,3,-1.0903395,0.07339282,66.28,Late,0.0,18.28
A058_T4,A058,4,-1.8317188,0.07339282,143.48,Late,0.0,95.47999999999999
A059_T1,A059,1,0.35930577,0.07339282,1.0,Early,1.0,0.0
A059_T2,A059,2,-0.2759761,0.07339282,30.4,Early,30.4,0.0
A059_T3,A059,3,-0.64548576,0.07339282,79.78,Late,0.0,31.78
A059_T4,A059,4,-0.47585383,0.07339282,151.93,Late,0.0,103.93
A060_T1,A060,1,1.1899056,0.07339282,1.0,Early,1.0,0.0
A060_T2,A060,2,1.1297755,0.07339282,24.87,Early,24.87,0.0
A060_T3,A060,3,0.7342384,0.07339282,94.68,Late,0.0,46.68000000000001
A060_T4,A060,4,1.113592,0.07339282,143.91,Late,0.0,95.91
A061_T1,A061,1,3.035337,0.07339282,1.0,Early,1.0,0.0
A061_T2,A061,2,2.2201235,0.07339282,35.16,Early,35.16,0.0
A061_T3,A061,3,0.58240455,0.07339282,82.55,Late,0.0,34.55
A061_T4,A061,4,1.2262194,0.07339282,146.56,Late,0.0,98.56
A062_T1,A062,1,0.8056381,0.07339282,1.0,Early,1.0,0.0
A062_T2,A062,2,-0.1124377,0.07339282,44.69,Early,44.69,0.0
A062_T3,A062,3,-0.80934817,0.07339282,92.72,Late,0.0,44.72
A062_T4,A062,4,-1.309975,0.07339282,149.18,Late,0.0,101.18
A063_T1,A063,1,-0.22373737,0.07339282,1.0,Early,1.0,0.0
A063_T2,A063,2,-0.5303791,0.07339282,21.98,Early,21.98,0.0
A063_T3,A063,3,-1.2802118,0.07339282,69.99,Late,0.0,21.989999999999995
A063_T4,A063,4,-1.7153044,0.07339282,141.09,Late,0.0,93.09
A064_T1,A064,1,0.97024375,0.07339282,1.0,Early,1.0,0.0
A064_T2,A064,2,0.085474685,0.07339282,37.65,Early,37.65,0.0
A064_T3,A064,3,0.11236071,0.07339282,82.99,Late,0.0,34.989999999999995
A064_T4,A064,4,-0.03018738,0.07339282,156.21,Late,0.0,108.21000000000001
A065_T1,A065,1,-0.13690929,0.07339282,1.0,Early,1.0,0.0
A065_T2,A065,2,-1.1207016,0.07339282,32.31,Early,32.31,0.0
A065_T3,A065,3,-1.3502693,0.07339282,106.41,Late,0.0,58.41
A065_T4,A065,4,-1.8451918,0.07339282,187.43,Late,0.0,139.43
A066_T1,A066,1,0.46811906,0.07339282,1.0,Early,1.0,0.0
A066_T2,A066,2,-0.1757307,0.07339282,23.35,Early,23.35,0.0
A066_T3,A066,3,-0.5405086,0.07339282,73.79,Late,0.0,25.790000000000006
A066_T4,A066,4,-1.2039877,0.07339282,164.93,Late,0.0,116.93
A067_T1,A067,1,0.24262358,0.07339282,1.0,Early,1.0,0.0
A067_T2,A067,2,-1.4350314,0.07339282,29.91,Early,29.91,0.0
A067_T3,A067,3,-1.9365375,0.07339282,73.19,Late,0.0,25.189999999999998
A067_T4,A067,4,-1.7372146,0.07339282,144.19,Late,0.0,96.19
A068_T1,A068,1,2.2656133,0.07339282,1.0,Early,1.0,0.0
A068_T2,A068,2,1.3492081,0.07339282,30.49,Early,30.49,0.0
A068_T3,A068,3,0.6539339,0.07339282,82.98,Late,0.0,34.980000000000004
