composite_ID,theta_What,theta_Where,theta_When,UID,test,Age,TSVR_hours
A035_T4,-1.0032879,-0.9028312,-1.2362784,A035,T4,34.0,152.47
A036_T1,-1.4230407,-1.3059089,-1.45985,A036,T1,30.0,1.0
A036_T2,-2.1549456,-2.2476616,-2.2795773,A036,T2,30.0,21.63
A036_T3,-1.8325033,-1.8617111,-2.0002015,A036,T3,30.0,71.47
A036_T4,-2.2474222,-2.2146947,-2.3575363,A036,T4,30.0,143.85
A037_T1,-0.39597678,-0.110464536,-0.31977373,A037,T1,31.0,1.0
A037_T2,-0.5082488,-0.50463635,-0.83515036,A037,T2,31.0,23.7
A037_T3,-0.68401986,-0.9093372,-0.42701757,A037,T3,31.0,72.08
A037_T4,-0.80795884,-0.9963444,-1.0116173,A037,T4,31.0,143.66
A038_T1,-0.45616615,-0.25288638,-0.19903767,A038,T1,32.0,1.0
A038_T2,-0.3251796,-0.5504119,0.028623484,A038,T2,32.0,71.85
A038_T3,-0.57717633,-0.22833556,-0.3156245,A038,T3,32.0,72.86
A038_T4,-0.43558908,-0.36377794,-0.15645254,A038,T4,32.0,152.89
A039_T1,0.064273424,0.069364,-0.13635153,A039,T1,31.0,1.0
A039_T2,0.10130654,0.047065586,0.1645053,A039,T2,31.0,28.65
A039_T3,-0.23081385,-0.29448196,-0.30948582,A039,T3,31.0,98.84
A039_T4,-0.58008456,-0.5829361,-0.47295642,A039,T4,31.0,246.24
A040_T1,-0.6970588,-0.4017266,-0.18659891,A040,T1,38.0,1.0
A040_T2,-0.7691323,-0.48326045,-0.36371547,A040,T2,38.0,26.26
A040_T3,-0.77506536,-0.91053617,-0.43623802,A040,T3,38.0,71.28
A040_T4,-1.1014721,-0.80098236,-0.5220473,A040,T4,38.0,143.53
A041_T1,-0.14199288,-0.053022992,-0.09239064,A041,T1,35.0,1.0
A041_T2,-0.319344,-0.57343215,-0.5080048,A041,T2,35.0,31.78
A041_T3,-0.23154925,-0.5869637,-0.28127408,A041,T3,35.0,75.74
A041_T4,-0.62750417,-0.25168344,-0.5415185,A041,T4,35.0,141.84
A042_T1,-0.7107582,-0.9887161,-0.88528746,A042,T1,38.0,1.0
A042_T2,-1.0012134,-1.3712572,-1.3520074,A042,T2,38.0,28.93
A042_T3,-0.912052,-1.0677525,-1.5333139,A042,T3,38.0,72.17
A042_T4,-1.1347266,-1.3189137,-0.86586165,A042,T4,38.0,146.02
A043_T1,0.04892652,0.0764133,0.26159275,A043,T1,38.0,1.0
A043_T2,-0.10843749,0.14288305,-0.036807828,A043,T2,38.0,25.62
A043_T3,-0.13326636,-0.35368058,-0.13224447,A043,T3,38.0,64.94
A043_T4,-0.484459,-0.5119028,-0.2727149,A043,T4,38.0,149.33
A044_T1,-1.1892142,-1.0788252,-1.2621444,A044,T1,38.0,1.0
A044_T2,-1.0392059,-1.0115542,-0.732893,A044,T2,38.0,47.66
A044_T3,-1.1329389,-1.5923297,-1.4863783,A044,T3,38.0,91.63
A044_T4,-1.6890951,-2.1946876,-1.9410253,A044,T4,38.0,155.27
A045_T1,-0.6257483,-0.78722435,-0.23049356,A045,T1,37.0,1.0
A045_T2,-0.593401,-0.91305506,-0.5667067,A045,T2,37.0,24.66
A045_T3,-0.7782343,-0.6200845,-0.30196097,A045,T3,37.0,72.23
A045_T4,-0.9648333,-1.1087615,-0.6121528,A045,T4,37.0,151.52
A046_T1,-0.9063086,-0.8697148,-0.3950769,A046,T1,38.0,1.0
A046_T2,-1.1701665,-0.91280913,-1.0880048,A046,T2,38.0,24.32
A046_T3,-1.9860176,-1.6639705,-1.7858182,A046,T3,38.0,73.05
A046_T4,-1.0147238,-1.2999191,-0.65339905,A046,T4,38.0,147.94
A047_T1,-1.0830257,-0.74380946,-1.0930673,A047,T1,36.0,1.0
A047_T2,-0.6639803,-1.0145134,-0.46923438,A047,T2,36.0,23.46
A047_T3,-1.4815022,-1.471186,-1.6353317,A047,T3,36.0,76.85
A047_T4,-2.0934942,-2.3868499,-1.9790753,A047,T4,36.0,144.22
A048_T1,-0.6284435,-0.24701324,-0.270393,A048,T1,38.0,1.0
A048_T2,-0.5796271,-0.44145307,-0.40703955,A048,T2,38.0,23.91
A048_T3,-0.760365,-0.50626874,-0.30790168,A048,T3,38.0,81.15
A048_T4,-0.58579195,-0.6491903,-0.44391742,A048,T4,38.0,146.3
A049_T1,-0.2116448,-0.06294507,0.056422774,A049,T1,35.0,1.0
A049_T2,-0.5638283,-0.69370794,-0.49550664,A049,T2,35.0,27.12
A049_T3,-0.37564683,-0.38595775,-0.5376334,A049,T3,35.0,111.38
A049_T4,-0.5774049,-0.5832282,-0.36535683,A049,T4,35.0,168.86
A050_T1,-0.42287263,-0.36178616,-0.36584878,A050,T1,41.0,1.0
A050_T2,-0.43648311,-0.4725317,-0.30141634,A050,T2,41.0,24.73
A050_T3,-1.0299709,-0.75545967,-1.4891255,A050,T3,41.0,93.39
A050_T4,-1.0414252,-1.2916528,-1.1910441,A050,T4,41.0,148.69
