UID,test,composite_ID,Age,Age_c,TSVR_hours,log_TSVR,Domain,theta_confidence
A049,T1,A049_T1,35.0,-9.57,1.0,0.6931471805599453,What,-0.2116448
A049,T2,A049_T2,35.0,-9.57,27.12,3.336481066942464,What,-0.5638283
A049,T3,A049_T3,35.0,-9.57,111.38,4.721885985684052,What,-0.37564683
A049,T4,A049_T4,35.0,-9.57,168.86,5.134974568351863,What,-0.5774049
A050,T1,A050_T1,41.0,-3.5700000000000003,1.0,0.6931471805599453,What,-0.42287263
A050,T2,A050_T2,41.0,-3.5700000000000003,24.73,3.2476576262936527,What,-0.43648311
A050,T3,A050_T3,41.0,-3.5700000000000003,93.39,4.547435135336853,What,-1.0299709
A050,T4,A050_T4,41.0,-3.5700000000000003,148.69,5.008566488927144,What,-1.0414252
A051,T1,A051_T1,41.0,-3.5700000000000003,1.0,0.6931471805599453,What,-0.14727834
A051,T2,A051_T2,41.0,-3.5700000000000003,17.16,2.8992213731731473,What,-0.22153668
A051,T3,A051_T3,41.0,-3.5700000000000003,65.63,4.199154926574446,What,-0.63959575
A051,T4,A051_T4,41.0,-3.5700000000000003,146.99,4.997144703913756,What,-0.6500405
A052,T1,A052_T1,43.0,-1.5700000000000003,1.0,0.6931471805599453,What,-0.47576472
A052,T2,A052_T2,43.0,-1.5700000000000003,31.76,3.4892082589848687,What,-0.6463823
A052,T3,A052_T3,43.0,-1.5700000000000003,80.98,4.406475315076191,What,-1.006661
A052,T4,A052_T4,43.0,-1.5700000000000003,153.27,5.038704314023848,What,-0.66724753
A053,T1,A053_T1,44.0,-0.5700000000000003,1.0,0.6931471805599453,What,-0.5527678
A053,T2,A053_T2,44.0,-0.5700000000000003,32.71,3.5177945292459696,What,-1.2998157
A053,T3,A053_T3,44.0,-0.5700000000000003,78.28,4.372985890021733,What,-1.4460309
A053,T4,A053_T4,44.0,-0.5700000000000003,148.9,5.009968405108552,What,-1.3424246
A054,T1,A054_T1,43.0,-1.5700000000000003,1.0,0.6931471805599453,What,-0.010698893
A054,T2,A054_T2,43.0,-1.5700000000000003,16.9,2.884800712846709,What,-0.32851967
A054,T3,A054_T3,43.0,-1.5700000000000003,72.83,4.3017651530710745,What,-0.22610237
A054,T4,A054_T4,43.0,-1.5700000000000003,136.83,4.926021041706347,What,-0.47328517
A055,T1,A055_T1,44.0,-0.5700000000000003,1.0,0.6931471805599453,What,-0.5363119
A055,T2,A055_T2,44.0,-0.5700000000000003,23.24,3.1880041612011136,What,-0.8289479
A055,T3,A055_T3,44.0,-0.5700000000000003,74.48,4.32386772050035,What,-0.95640945
A055,T4,A055_T4,44.0,-0.5700000000000003,149.21,5.012034315009963,What,-0.93987375
A056,T1,A056_T1,42.0,-2.5700000000000003,1.0,0.6931471805599453,What,-0.49617058
A056,T2,A056_T2,42.0,-2.5700000000000003,33.61,3.544142657647253,What,-0.98517495
A056,T3,A056_T3,42.0,-2.5700000000000003,71.46,4.283034685466931,What,-0.89595854
A056,T4,A056_T4,42.0,-2.5700000000000003,147.84,5.002871903478422,What,-1.2052184
A057,T1,A057_T1,40.0,-4.57,1.0,0.6931471805599453,What,-0.40966684
A057,T2,A057_T2,40.0,-4.57,24.78,3.2495989975110415,What,-0.32671973
A057,T3,A057_T3,40.0,-4.57,73.83,4.315218874092267,What,-0.6543599
A057,T4,A057_T4,40.0,-4.57,145.06,4.984017496191964,What,-1.3364934
A058,T1,A058_T1,42.0,-2.5700000000000003,1.0,0.6931471805599453,What,-0.50493246
A058,T2,A058_T2,42.0,-2.5700000000000003,22.96,3.1763857732472487,What,-0.6090426
A058,T3,A058_T3,42.0,-2.5700000000000003,66.28,4.208863015664693,What,-0.5491983
A058,T4,A058_T4,42.0,-2.5700000000000003,143.48,4.973141089668675,What,-1.1876487
A059,T1,A059_T1,43.0,-1.5700000000000003,1.0,0.6931471805599453,What,-0.73470205
A059,T2,A059_T2,43.0,-1.5700000000000003,30.4,3.4468078929142076,What,-0.4889424
A059,T3,A059_T3,43.0,-1.5700000000000003,79.78,4.391729410135267,What,-0.76569885
A059,T4,A059_T4,43.0,-1.5700000000000003,151.93,5.029980300360032,What,-0.7211721
A060,T1,A060_T1,48.0,3.4299999999999997,1.0,0.6931471805599453,What,-0.6521186
A060,T2,A060_T2,48.0,3.4299999999999997,24.87,3.2530839961979376,What,-0.32915124
A060,T3,A060_T3,48.0,3.4299999999999997,94.68,4.561009290202322,What,-0.52048606
A060,T4,A060_T4,48.0,3.4299999999999997,143.91,4.976112860057833,What,-0.10856633
A061,T1,A061_T1,47.0,2.4299999999999997,1.0,0.6931471805599453,What,0.07041081
A061,T2,A061_T2,47.0,2.4299999999999997,35.16,3.5879535355239756,What,-0.22703744
A061,T3,A061_T3,47.0,2.4299999999999997,82.55,4.425445255041403,What,-0.27437422
A061,T4,A061_T4,47.0,2.4299999999999997,146.56,4.994234872728475,What,-0.27913383
