UID,location,TSVR_hours,test,theta,se,measure
A041,source,74.0,3,-0.1782166,0.5,accuracy
A041,source,148.0,4,0.9023358,0.5,accuracy
A042,source,1.0,1,-0.5589121,0.5,accuracy
A042,source,26.0,2,-1.3708228,0.5,accuracy
A042,source,74.0,3,-0.8300745,0.5,accuracy
A042,source,148.0,4,-1.5882493,0.5,accuracy
A043,source,1.0,1,0.66669923,0.5,accuracy
A043,source,26.0,2,0.21157885,0.5,accuracy
A043,source,74.0,3,-0.3631573,0.5,accuracy
A043,source,148.0,4,-0.15410642,0.5,accuracy
A044,source,1.0,1,-0.77502024,0.5,accuracy
A044,source,26.0,2,-0.4404797,0.5,accuracy
A044,source,74.0,3,-1.4569299,0.5,accuracy
A044,source,148.0,4,-1.2631737,0.5,accuracy
A045,source,1.0,1,-0.5580017,0.5,accuracy
A045,source,26.0,2,-0.8744425,0.5,accuracy
A045,source,74.0,3,-0.7973534,0.5,accuracy
A045,source,148.0,4,-0.57261163,0.5,accuracy
A046,source,1.0,1,-0.6971506,0.5,accuracy
A046,source,26.0,2,-1.4928403,0.5,accuracy
A046,source,74.0,3,-1.7452676,0.5,accuracy
A046,source,148.0,4,-0.63528097,0.5,accuracy
A047,source,1.0,1,-0.35001668,0.5,accuracy
A047,source,26.0,2,-0.16671039,0.5,accuracy
A047,source,74.0,3,-1.3709793,0.5,accuracy
A047,source,148.0,4,-1.6715268,0.5,accuracy
A048,source,1.0,1,1.1008136,0.5,accuracy
A048,source,26.0,2,0.42243886,0.5,accuracy
A048,source,74.0,3,-0.026019838,0.5,accuracy
A048,source,148.0,4,-0.17341782,0.5,accuracy
A049,source,1.0,1,1.1971763,0.5,accuracy
A049,source,26.0,2,-1.2098973,0.5,accuracy
A049,source,74.0,3,0.85623467,0.5,accuracy
A049,source,148.0,4,-0.14212708,0.5,accuracy
A050,source,1.0,1,0.004513393,0.5,accuracy
A050,source,26.0,2,-0.64157915,0.5,accuracy
A050,source,74.0,3,-0.91331995,0.5,accuracy
A050,source,148.0,4,-0.3250553,0.5,accuracy
A051,source,1.0,1,1.209352,0.5,accuracy
A051,source,26.0,2,-0.22324474,0.5,accuracy
A051,source,74.0,3,-0.78436285,0.5,accuracy
A051,source,148.0,4,-0.21998222,0.5,accuracy
A052,source,1.0,1,0.78120226,0.5,accuracy
A052,source,26.0,2,-0.19870977,0.5,accuracy
A052,source,74.0,3,0.39233577,0.5,accuracy
A052,source,148.0,4,-0.8431323,0.5,accuracy
A053,source,1.0,1,1.0110499,0.5,accuracy
A053,source,26.0,2,0.9028614,0.5,accuracy
A053,source,74.0,3,-0.8095616,0.5,accuracy
A053,source,148.0,4,-0.7212973,0.5,accuracy
A054,source,1.0,1,-0.009010122,0.5,accuracy
A054,source,26.0,2,1.0112917,0.5,accuracy
A054,source,74.0,3,1.1221242,0.5,accuracy
A054,source,148.0,4,1.0953832,0.5,accuracy
A055,source,1.0,1,-0.104547046,0.5,accuracy
A055,source,26.0,2,0.97470355,0.5,accuracy
A055,source,74.0,3,-1.0984837,0.5,accuracy
A055,source,148.0,4,-1.8678097,0.5,accuracy
A056,source,1.0,1,0.7685593,0.5,accuracy
A056,source,26.0,2,-0.08752507,0.5,accuracy
A056,source,74.0,3,0.2292436,0.5,accuracy
A056,source,148.0,4,-1.4955524,0.5,accuracy
A057,source,1.0,1,0.12942022,0.5,accuracy
A057,source,26.0,2,-1.3945471,0.5,accuracy
A057,source,74.0,3,-0.56744486,0.5,accuracy
A057,source,148.0,4,-1.7203946,0.5,accuracy
A058,source,1.0,1,1.3013333,0.5,accuracy
A058,source,26.0,2,-0.7516616,0.5,accuracy
A058,source,74.0,3,0.24483971,0.5,accuracy
A058,source,148.0,4,-0.613019,0.5,accuracy
A059,source,1.0,1,0.78058815,0.5,accuracy
A059,source,26.0,2,0.78051406,0.5,accuracy
A059,source,74.0,3,1.2624742,0.5,accuracy
A059,source,148.0,4,0.8706269,0.5,accuracy
A060,source,1.0,1,-0.73423666,0.5,accuracy
A060,source,26.0,2,0.89305395,0.5,accuracy
A060,source,74.0,3,-0.4122879,0.5,accuracy
A060,source,148.0,4,0.5975928,0.5,accuracy
A061,source,1.0,1,1.7025199,0.5,accuracy
A061,source,26.0,2,0.41044217,0.5,accuracy
A061,source,74.0,3,0.69539714,0.5,accuracy
A061,source,148.0,4,-0.7289813,0.5,accuracy
A062,source,1.0,1,0.62293416,0.5,accuracy
A062,source,26.0,2,-0.07864903,0.5,accuracy
A062,source,74.0,3,-0.71697104,0.5,accuracy
