location,test,accuracy,confidence,cooks_d,outlier_flag
source,3,-0.8095616,-1.1626999,0.0,False
source,4,-0.7212973,-1.3341597,0.0,False
destination,1,0.4994956,-0.8084414,0.0,False
destination,2,-0.12840416,-0.6601922,0.0,False
destination,3,-0.02643241,-0.31172678,0.0,False
destination,4,0.17176248,-0.021030555,0.0,False
source,1,-0.009010122,-0.3794155,0.0,False
source,2,1.0112917,-0.5992221,0.0,False
source,3,1.1221242,-0.2882846,0.0,False
source,4,1.0953832,-0.19460809,0.0,False
destination,1,-0.5361741,0.09445639,0.0,False
destination,2,0.75660616,-1.3968322,0.0,False
destination,3,0.83208466,-1.4395947,0.0,False
destination,4,0.1528813,-1.0727364,0.0,False
source,1,-0.104547046,-0.6066064,0.0,False
source,2,0.97470355,-1.1948578,0.0,False
source,3,-1.0984837,-1.2138786,0.0,False
source,4,-1.8678097,-1.9201403,0.0,False
destination,1,0.7468591,-0.6386856,0.0,False
destination,2,-0.7365116,-1.0387362,0.0,False
destination,3,-0.72254777,-0.675115,0.0,False
destination,4,-0.8596302,-1.784309,0.0,False
source,1,0.7685593,-1.1122253,0.0,False
source,2,-0.08752507,-1.8078574,0.0,False
source,3,0.2292436,-1.2073466,0.0,False
source,4,-1.4955524,-1.0756886,0.0,False
destination,1,-1.0518757,-0.8565319,0.0,False
destination,2,-0.60083723,-0.19754094,0.0,False
destination,3,-0.51274824,-1.119749,0.0,False
destination,4,-0.13473281,-1.9614463,0.0,False
source,1,0.12942022,-0.46345165,0.0,False
source,2,-1.3945471,-0.83921415,0.0,False
source,3,-0.56744486,-0.95738935,0.0,False
source,4,-1.7203946,-0.5802454,0.0,False
destination,1,1.7332748,-0.46394733,0.0,False
destination,2,-0.17271782,0.03126305,0.0,False
destination,3,0.67109835,-0.74860144,0.0,False
destination,4,-0.9756075,-1.229341,0.0,False
source,1,1.3013333,-0.48014903,0.0,False
source,2,-0.7516616,-1.0207134,0.0,False
source,3,0.24483971,-0.67002416,0.0,False
source,4,-0.613019,-1.1178268,0.0,False
destination,1,1.5626048,-0.3176861,0.0,False
destination,2,0.07206453,-1.3763137,0.0,False
destination,3,2.0409064,-0.67064947,0.0,False
destination,4,-0.5772869,-0.9886722,0.0,False
source,1,0.78058815,-1.1183628,0.0,False
source,2,0.78051406,-0.38816276,0.0,False
source,3,1.2624742,-0.81108785,0.0,False
source,4,0.8706269,-0.56879675,0.0,False
destination,1,-0.1530542,-0.7892665,0.0,False
destination,2,0.33590585,-0.60022473,0.0,False
destination,3,0.16965349,-0.5388509,0.0,False
destination,4,-0.7229297,-0.48873442,0.0,False
source,1,-0.73423666,-0.33425963,0.0,False
source,2,0.89305395,-0.5448071,0.0,False
source,3,-0.4122879,-0.33746666,0.0,False
source,4,0.5975928,-0.3002368,0.0,False
destination,1,2.0403898,-0.78704053,0.0,False
destination,2,0.77201295,-0.39183223,0.0,False
destination,3,1.5962133,-0.014018083,0.0,False
destination,4,0.7794881,-0.46906543,0.0,False
source,1,1.7025199,-0.35862386,0.0,False
source,2,0.41044217,-0.4311414,0.0,False
source,3,0.69539714,-0.794281,0.0,False
source,4,-0.7289813,-0.436574,0.0,False
destination,1,0.75087893,-0.4514137,0.0,False
destination,2,1.0081036,-1.0660532,0.0,False
destination,3,-0.41625023,-0.688564,0.0,False
destination,4,-0.7022192,-1.8564457,0.0,False
source,1,0.62293416,-0.5085061,0.0,False
source,2,-0.07864903,-0.76632136,0.0,False
source,3,-0.71697104,-1.4675843,0.0,False
source,4,-0.91934156,-0.6385875,0.0,False
destination,1,0.42942187,-1.1258689,0.0,False
destination,2,0.9230828,-1.9922372,0.0,False
destination,3,-1.0528466,-1.556461,0.0,False
destination,4,-0.95782745,-1.9948773,0.0,False
source,1,1.103137,-1.3614459,0.0,False
source,2,1.1051809,-0.699888,0.0,False
source,3,0.2864874,-1.1030504,0.0,False
source,4,-0.9610751,-0.8702708,0.0,False
destination,1,0.37014112,-0.057907153,0.0,False
destination,2,0.15088972,0.023017814,0.0,False
destination,3,0.4945773,-0.6766484,0.0,False
destination,4,-1.064075,0.4154989,0.0,False
source,1,0.73301834,-0.48876247,0.0,False
source,2,1.187793,-0.8415195,0.0,False
source,3,-0.08421605,-1.3847694,0.0,False
source,4,-1.2915661,-1.2114335,0.0,False
destination,1,-0.9370374,-0.43923837,0.0,False
destination,2,-0.42273253,-1.7641984,0.0,False
destination,3,0.12489203,-1.7751434,0.0,False
destination,4,-1.0915083,-1.7987362,0.0,False
source,1,-1.3585184,-0.8724063,0.0,False
source,2,-0.18607779,-1.0362233,0.0,False
source,3,-1.534947,-0.9165184,0.0,False
source,4,-1.4947524,-1.148846,0.0,False
destination,1,0.03757501,-0.78057635,0.0,False
destination,2,-0.42152458,-0.548325,0.0,False
destination,3,-0.91012734,-1.4353126,0.0,False
destination,4,-1.2444345,-2.3615482,0.0,False
source,1,-0.03744735,-1.2092562,0.0,False
source,2,-0.48925865,-0.81468874,0.0,False
source,3,-0.78109145,-0.33862916,0.0,False
source,4,-1.5672717,-0.49412468,0.0,False
destination,1,-0.3772701,-0.8707844,0.0,False
destination,2,-0.75470644,-2.1159236,0.0,False
destination,3,-0.75410956,-2.1422584,0.0,False
destination,4,-1.4940736,-1.6848738,0.0,False
source,1,0.33184186,-1.0219307,0.0,False
source,2,-1.4980056,-0.31460428,0.0,False
source,3,-1.2921559,-0.70231354,0.0,False
source,4,-1.626856,-0.08812015,0.0,False
destination,1,1.4733075,-0.7983189,0.0,False
destination,2,-0.34633532,-0.6284966,0.0,False
destination,3,-0.3125315,-0.49608186,0.0,False
destination,4,-0.21757181,-0.5548903,0.0,False
source,1,1.1554995,-0.11485765,0.0,False
source,2,-0.113646984,-0.31390622,0.0,False
source,3,1.1442444,-0.7251322,0.0,False
source,4,-0.48383042,-0.6334425,0.0,False
destination,1,-0.18573126,-0.5057384,0.0,False
destination,2,-0.75497293,-1.4711027,0.0,False
destination,3,-0.45664144,-1.8242164,0.0,False
destination,4,-0.621072,-1.3653631,0.0,False
source,1,-1.0576996,-1.2898505,0.0,False
source,2,-0.9050108,-1.1490363,0.0,False
source,3,-0.53834414,-0.69880784,0.0,False
source,4,-1.7287896,-0.89648604,0.0,False
destination,1,-0.025029317,-0.4601987,0.0,False
destination,2,-0.7115501,-0.98332644,0.0,False
destination,3,-0.60091597,-1.5808581,0.0,False
destination,4,-0.9432329,-2.3015401,0.0,False
source,1,-0.16930422,-0.6794456,0.0,False
source,2,0.23320425,-0.5490207,0.0,False
source,3,-0.75356513,-0.50525945,0.0,False
source,4,-1.1904025,-0.5899193,0.0,False
destination,1,-0.09704123,-0.37689722,0.0,False
destination,2,-0.43790084,-1.2409844,0.0,False
destination,3,-0.8310883,-1.8136119,0.0,False
destination,4,-0.20154567,-1.4441723,0.0,False
source,1,0.5082413,-0.49452478,0.0,False
source,2,0.83159643,-0.42710117,0.0,False
source,3,-0.4841799,-0.90704507,0.0,False
source,4,0.43548703,-0.44567153,0.0,False
destination,1,0.6814234,0.36622024,0.0,False
destination,2,1.7074885,0.08794008,0.0,False
destination,3,0.09480323,-0.4184123,0.0,False
destination,4,0.58196443,-0.8041701,0.0,False
source,1,1.1708913,-0.0033950394,0.0,False
source,2,1.1662811,-0.469817,0.0,False
source,3,-0.9678977,-0.8500143,0.0,False
source,4,-0.172895,-0.9747923,0.0,False
destination,1,0.30522674,-0.99301803,0.0,False
destination,2,-0.94399035,-1.0216492,0.0,False
destination,3,-0.27342725,-0.84401137,0.0,False
destination,4,1.1537054,-1.347937,0.0,False
source,1,1.1209983,-1.0817769,0.0,False
source,2,0.3522422,-1.3681653,0.0,False
source,3,1.3783715,-0.7803563,0.0,False
source,4,1.4486346,-0.78982615,0.0,False
destination,1,0.39766553,-0.9179718,0.0,False
destination,2,-0.40341347,-0.38399434,0.0,False
destination,3,1.1376537,-0.4118035,0.0,False
destination,4,0.26247647,-0.482973,0.0,False
source,1,1.0531274,-0.34460968,0.0,False
source,2,0.28312021,-0.8429631,0.0,False
source,3,-0.56265223,-0.84208596,0.0,False
source,4,-0.6709876,-0.7306644,0.0,False
destination,1,0.07384318,-0.77332985,0.0,False
destination,2,0.8610925,-0.5819492,0.0,False
destination,3,-1.4018217,-1.5653446,0.0,False
destination,4,-0.09748435,-0.93688047,0.0,False
source,1,1.2248234,-1.0846347,0.0,False
source,2,0.43895453,-0.6880062,0.0,False
source,3,-1.422566,-1.0039687,0.0,False
source,4,-0.6957722,-1.4206526,0.0,False
destination,1,-0.5232532,-0.70078886,0.0,False
destination,2,-1.1163836,-1.3895069,0.0,False
destination,3,-0.5196874,-1.3967309,0.0,False
destination,4,-1.266146,-1.869762,0.0,False
source,1,0.15540236,-0.87200195,0.0,False
source,2,-1.0829679,-1.4597589,0.0,False
source,3,-1.1610296,-1.7673023,0.0,False
source,4,-1.1055614,-0.4805253,0.0,False
