UID,ItemID,Test,TSVR,Paradigm,Item,Congruence,Accuracy,Confidence,HCE_flag
A012,IRE-N-i6,3,166.33,IRE,i6,Incongruent,1.0,1.0,0
A012,IFR-N-i1,4,166.87,IFR,i1,Common,1.0,1.0,0
A012,IFR-N-i2,4,166.87,IFR,i2,Common,0.0,0.2,0
A012,IFR-N-i3,4,166.87,IFR,i3,Congruent,1.0,1.0,0
A012,IFR-N-i4,4,166.87,IFR,i4,Congruent,0.0,0.2,0
A012,IFR-N-i5,4,166.87,IFR,i5,Incongruent,0.0,0.6,0
A012,IFR-N-i6,4,166.87,IFR,i6,Incongruent,0.0,0.2,0
A012,ICR-N-i1,4,166.87,ICR,i1,Common,1.0,1.0,0
A012,ICR-N-i2,4,166.87,ICR,i2,Common,0.0,0.6,0
A012,ICR-N-i3,4,166.87,ICR,i3,Congruent,1.0,1.0,0
A012,ICR-N-i4,4,166.87,ICR,i4,Congruent,0.0,0.4,0
A012,ICR-N-i5,4,166.87,ICR,i5,Incongruent,0.0,0.8,1
A012,ICR-N-i6,4,166.87,ICR,i6,Incongruent,1.0,0.6,0
A012,IRE-N-i1,4,166.87,IRE,i1,Common,1.0,1.0,0
A012,IRE-N-i2,4,166.87,IRE,i2,Common,0.0,0.8,1
A012,IRE-N-i3,4,166.87,IRE,i3,Congruent,1.0,1.0,0
A012,IRE-N-i4,4,166.87,IRE,i4,Congruent,1.0,1.0,0
A012,IRE-N-i5,4,166.87,IRE,i5,Incongruent,1.0,0.8,0
A012,IRE-N-i6,4,166.87,IRE,i6,Incongruent,1.0,0.8,0
A013,IFR-N-i1,1,1.0,IFR,i1,Common,0.0,0.2,0
A013,IFR-N-i2,1,1.0,IFR,i2,Common,0.0,0.2,0
A013,IFR-N-i3,1,1.0,IFR,i3,Congruent,0.0,0.2,0
A013,IFR-N-i4,1,1.0,IFR,i4,Congruent,1.0,1.0,0
A013,IFR-N-i5,1,1.0,IFR,i5,Incongruent,0.0,0.2,0
A013,IFR-N-i6,1,1.0,IFR,i6,Incongruent,0.0,0.2,0
A013,ICR-N-i1,1,1.0,ICR,i1,Common,1.0,0.8,0
A013,ICR-N-i2,1,1.0,ICR,i2,Common,1.0,1.0,0
A013,ICR-N-i3,1,1.0,ICR,i3,Congruent,1.0,1.0,0
A013,ICR-N-i4,1,1.0,ICR,i4,Congruent,1.0,1.0,0
A013,ICR-N-i5,1,1.0,ICR,i5,Incongruent,1.0,1.0,0
A013,ICR-N-i6,1,1.0,ICR,i6,Incongruent,1.0,0.6,0
A013,IRE-N-i1,1,1.0,IRE,i1,Common,1.0,1.0,0
A013,IRE-N-i2,1,1.0,IRE,i2,Common,1.0,1.0,0
A013,IRE-N-i3,1,1.0,IRE,i3,Congruent,1.0,1.0,0
A013,IRE-N-i4,1,1.0,IRE,i4,Congruent,1.0,1.0,0
A013,IRE-N-i5,1,1.0,IRE,i5,Incongruent,1.0,1.0,0
A013,IRE-N-i6,1,1.0,IRE,i6,Incongruent,1.0,1.0,0
A013,IFR-N-i1,2,24.77,IFR,i1,Common,1.0,0.2,0
A013,IFR-N-i2,2,24.77,IFR,i2,Common,1.0,0.8,0
A013,IFR-N-i3,2,24.77,IFR,i3,Congruent,0.0,0.6,0
A013,IFR-N-i4,2,24.77,IFR,i4,Congruent,1.0,0.8,0
A013,IFR-N-i5,2,24.77,IFR,i5,Incongruent,0.0,0.2,0
A013,IFR-N-i6,2,24.77,IFR,i6,Incongruent,1.0,0.6,0
A013,ICR-N-i1,2,24.77,ICR,i1,Common,1.0,0.2,0
A013,ICR-N-i2,2,24.77,ICR,i2,Common,1.0,1.0,0
A013,ICR-N-i3,2,24.77,ICR,i3,Congruent,0.0,1.0,1
A013,ICR-N-i4,2,24.77,ICR,i4,Congruent,1.0,1.0,0
A013,ICR-N-i5,2,24.77,ICR,i5,Incongruent,1.0,0.8,0
A013,ICR-N-i6,2,24.77,ICR,i6,Incongruent,1.0,1.0,0
A013,IRE-N-i1,2,24.77,IRE,i1,Common,1.0,1.0,0
A013,IRE-N-i2,2,24.77,IRE,i2,Common,1.0,1.0,0
A013,IRE-N-i3,2,24.77,IRE,i3,Congruent,1.0,0.4,0
A013,IRE-N-i4,2,24.77,IRE,i4,Congruent,1.0,0.8,0
A013,IRE-N-i5,2,24.77,IRE,i5,Incongruent,1.0,0.8,0
A013,IRE-N-i6,2,24.77,IRE,i6,Incongruent,1.0,1.0,0
A013,IFR-N-i1,3,79.66,IFR,i1,Common,1.0,0.2,0
A013,IFR-N-i2,3,79.66,IFR,i2,Common,0.0,1.0,1
A013,IFR-N-i3,3,79.66,IFR,i3,Congruent,1.0,0.8,0
A013,IFR-N-i4,3,79.66,IFR,i4,Congruent,1.0,0.6,0
A013,IFR-N-i5,3,79.66,IFR,i5,Incongruent,1.0,0.6,0
A013,IFR-N-i6,3,79.66,IFR,i6,Incongruent,0.0,0.2,0
A013,ICR-N-i1,3,79.66,ICR,i1,Common,1.0,1.0,0
A013,ICR-N-i2,3,79.66,ICR,i2,Common,0.0,0.2,0
A013,ICR-N-i3,3,79.66,ICR,i3,Congruent,1.0,1.0,0
A013,ICR-N-i4,3,79.66,ICR,i4,Congruent,1.0,1.0,0
A013,ICR-N-i5,3,79.66,ICR,i5,Incongruent,1.0,0.8,0
A013,ICR-N-i6,3,79.66,ICR,i6,Incongruent,1.0,1.0,0
A013,IRE-N-i1,3,79.66,IRE,i1,Common,1.0,1.0,0
A013,IRE-N-i2,3,79.66,IRE,i2,Common,0.0,0.8,1
A013,IRE-N-i3,3,79.66,IRE,i3,Congruent,1.0,1.0,0
A013,IRE-N-i4,3,79.66,IRE,i4,Congruent,1.0,1.0,0
A013,IRE-N-i5,3,79.66,IRE,i5,Incongruent,1.0,1.0,0
A013,IRE-N-i6,3,79.66,IRE,i6,Incongruent,1.0,1.0,0
A013,IFR-N-i1,4,147.13,IFR,i1,Common,1.0,0.8,0
A013,IFR-N-i2,4,147.13,IFR,i2,Common,1.0,0.6,0
A013,IFR-N-i3,4,147.13,IFR,i3,Congruent,0.0,0.4,0
A013,IFR-N-i4,4,147.13,IFR,i4,Congruent,1.0,0.8,0
A013,IFR-N-i5,4,147.13,IFR,i5,Incongruent,0.0,0.6,0
A013,IFR-N-i6,4,147.13,IFR,i6,Incongruent,1.0,0.2,0
A013,ICR-N-i1,4,147.13,ICR,i1,Common,1.0,1.0,0
A013,ICR-N-i2,4,147.13,ICR,i2,Common,1.0,1.0,0
A013,ICR-N-i3,4,147.13,ICR,i3,Congruent,1.0,0.6,0
A013,ICR-N-i4,4,147.13,ICR,i4,Congruent,1.0,0.8,0
A013,ICR-N-i5,4,147.13,ICR,i5,Incongruent,0.0,0.2,0
A013,ICR-N-i6,4,147.13,ICR,i6,Incongruent,0.0,0.4,0
A013,IRE-N-i1,4,147.13,IRE,i1,Common,1.0,1.0,0
A013,IRE-N-i2,4,147.13,IRE,i2,Common,1.0,0.6,0
A013,IRE-N-i3,4,147.13,IRE,i3,Congruent,1.0,0.8,0
A013,IRE-N-i4,4,147.13,IRE,i4,Congruent,1.0,1.0,0
A013,IRE-N-i5,4,147.13,IRE,i5,Incongruent,1.0,0.2,0
A013,IRE-N-i6,4,147.13,IRE,i6,Incongruent,1.0,1.0,0
A014,IFR-N-i1,1,1.0,IFR,i1,Common,0.0,0.2,0
A014,IFR-N-i2,1,1.0,IFR,i2,Common,0.0,0.2,0
A014,IFR-N-i3,1,1.0,IFR,i3,Congruent,1.0,1.0,0
A014,IFR-N-i4,1,1.0,IFR,i4,Congruent,1.0,1.0,0
A014,IFR-N-i5,1,1.0,IFR,i5,Incongruent,0.0,0.2,0
A014,IFR-N-i6,1,1.0,IFR,i6,Incongruent,1.0,1.0,0
A014,ICR-N-i1,1,1.0,ICR,i1,Common,1.0,1.0,0
A014,ICR-N-i2,1,1.0,ICR,i2,Common,1.0,0.8,0
A014,ICR-N-i3,1,1.0,ICR,i3,Congruent,1.0,1.0,0
A014,ICR-N-i4,1,1.0,ICR,i4,Congruent,1.0,1.0,0
A014,ICR-N-i5,1,1.0,ICR,i5,Incongruent,1.0,1.0,0
A014,ICR-N-i6,1,1.0,ICR,i6,Incongruent,1.0,1.0,0
A014,IRE-N-i1,1,1.0,IRE,i1,Common,1.0,1.0,0
A014,IRE-N-i2,1,1.0,IRE,i2,Common,1.0,1.0,0
A014,IRE-N-i3,1,1.0,IRE,i3,Congruent,1.0,1.0,0
A014,IRE-N-i4,1,1.0,IRE,i4,Congruent,1.0,1.0,0
A014,IRE-N-i5,1,1.0,IRE,i5,Incongruent,1.0,1.0,0
A014,IRE-N-i6,1,1.0,IRE,i6,Incongruent,1.0,1.0,0
A014,IFR-N-i1,2,25.66,IFR,i1,Common,1.0,1.0,0
A014,IFR-N-i2,2,25.66,IFR,i2,Common,1.0,1.0,0
A014,IFR-N-i3,2,25.66,IFR,i3,Congruent,0.0,0.2,0
A014,IFR-N-i4,2,25.66,IFR,i4,Congruent,1.0,1.0,0
A014,IFR-N-i5,2,25.66,IFR,i5,Incongruent,1.0,1.0,0
A014,IFR-N-i6,2,25.66,IFR,i6,Incongruent,1.0,1.0,0
A014,ICR-N-i1,2,25.66,ICR,i1,Common,1.0,1.0,0
A014,ICR-N-i2,2,25.66,ICR,i2,Common,1.0,1.0,0
A014,ICR-N-i3,2,25.66,ICR,i3,Congruent,0.0,1.0,1
A014,ICR-N-i4,2,25.66,ICR,i4,Congruent,1.0,1.0,0
A014,ICR-N-i5,2,25.66,ICR,i5,Incongruent,1.0,1.0,0
A014,ICR-N-i6,2,25.66,ICR,i6,Incongruent,1.0,1.0,0
A014,IRE-N-i1,2,25.66,IRE,i1,Common,1.0,1.0,0
A014,IRE-N-i2,2,25.66,IRE,i2,Common,1.0,1.0,0
A014,IRE-N-i3,2,25.66,IRE,i3,Congruent,1.0,1.0,0
A014,IRE-N-i4,2,25.66,IRE,i4,Congruent,1.0,1.0,0
A014,IRE-N-i5,2,25.66,IRE,i5,Incongruent,1.0,1.0,0
A014,IRE-N-i6,2,25.66,IRE,i6,Incongruent,1.0,1.0,0
A014,IFR-N-i1,3,70.56,IFR,i1,Common,1.0,0.8,0
A014,IFR-N-i2,3,70.56,IFR,i2,Common,1.0,0.4,0
A014,IFR-N-i3,3,70.56,IFR,i3,Congruent,1.0,1.0,0
A014,IFR-N-i4,3,70.56,IFR,i4,Congruent,0.0,0.2,0
A014,IFR-N-i5,3,70.56,IFR,i5,Incongruent,1.0,0.6,0
A014,IFR-N-i6,3,70.56,IFR,i6,Incongruent,0.0,0.2,0
A014,ICR-N-i1,3,70.56,ICR,i1,Common,1.0,1.0,0
A014,ICR-N-i2,3,70.56,ICR,i2,Common,1.0,1.0,0
A014,ICR-N-i3,3,70.56,ICR,i3,Congruent,1.0,1.0,0
A014,ICR-N-i4,3,70.56,ICR,i4,Congruent,1.0,1.0,0
A014,ICR-N-i5,3,70.56,ICR,i5,Incongruent,1.0,1.0,0
A014,ICR-N-i6,3,70.56,ICR,i6,Incongruent,1.0,1.0,0
A014,IRE-N-i1,3,70.56,IRE,i1,Common,1.0,1.0,0
A014,IRE-N-i2,3,70.56,IRE,i2,Common,1.0,1.0,0
A014,IRE-N-i3,3,70.56,IRE,i3,Congruent,1.0,1.0,0
A014,IRE-N-i4,3,70.56,IRE,i4,Congruent,1.0,1.0,0
