UID,TEST,TSVR,HCE_rate,n_HCE,n_total
A049,4,168.86,0.027777777777777776,2,72
A050,1,1.0,0.09722222222222222,7,72
A050,2,24.73,0.06944444444444445,5,72
A050,3,93.39,0.0,0,72
A050,4,148.69,0.013888888888888888,1,72
A051,1,1.0,0.06944444444444445,5,72
A051,2,17.16,0.125,9,72
A051,3,65.63,0.041666666666666664,3,72
A051,4,146.99,0.013888888888888888,1,72
A052,1,1.0,0.027777777777777776,2,72
A052,2,31.76,0.041666666666666664,3,72
A052,3,80.98,0.027777777777777776,2,72
A052,4,153.27,0.013888888888888888,1,72
A053,1,1.0,0.013888888888888888,1,72
A053,2,32.71,0.0,0,72
A053,3,78.28,0.0,0,72
A053,4,148.9,0.0,0,72
A054,1,1.0,0.125,9,72
A054,2,16.9,0.041666666666666664,3,72
A054,3,72.83,0.05555555555555555,4,72
A054,4,136.83,0.027777777777777776,2,72
A055,1,1.0,0.013888888888888888,1,72
A055,2,23.24,0.013888888888888888,1,72
A055,3,74.48,0.013888888888888888,1,72
A055,4,149.21,0.0,0,72
A056,1,1.0,0.041666666666666664,3,72
A056,2,33.61,0.0,0,72
A056,3,71.46,0.027777777777777776,2,72
A056,4,147.84,0.013888888888888888,1,72
A057,1,1.0,0.027777777777777776,2,72
A057,2,24.78,0.09722222222222222,7,72
A057,3,73.83,0.0,0,72
A057,4,145.06,0.013888888888888888,1,72
A058,1,1.0,0.027777777777777776,2,72
A058,2,22.96,0.041666666666666664,3,72
A058,3,66.28,0.013888888888888888,1,72
A058,4,143.48,0.0,0,72
A059,1,1.0,0.027777777777777776,2,72
A059,2,30.4,0.05555555555555555,4,72
A059,3,79.78,0.0,0,72
A059,4,151.93,0.0,0,72
A060,1,1.0,0.1111111111111111,8,72
A060,2,24.87,0.05555555555555555,4,72
A060,3,94.68,0.1111111111111111,8,72
A060,4,143.91,0.05555555555555555,4,72
A061,1,1.0,0.027777777777777776,2,72
A061,2,35.16,0.1111111111111111,8,72
A061,3,82.55,0.06944444444444445,5,72
A061,4,146.56,0.1527777777777778,11,72
A062,1,1.0,0.05555555555555555,4,72
A062,2,44.69,0.013888888888888888,1,72
A062,3,92.72,0.0,0,72
A062,4,149.18,0.027777777777777776,2,72
A063,1,1.0,0.0,0,72
A063,2,21.98,0.0,0,72
A063,3,69.99,0.0,0,72
A063,4,141.09,0.0,0,72
A064,1,1.0,0.05555555555555555,4,72
A064,2,37.65,0.013888888888888888,1,72
A064,3,82.99,0.05555555555555555,4,72
A064,4,156.21,0.041666666666666664,3,72
A065,1,1.0,0.06944444444444445,5,72
A065,2,32.31,0.0,0,72
A065,3,106.41,0.0,0,72
A065,4,187.43,0.041666666666666664,3,72
A066,1,1.0,0.041666666666666664,3,72
A066,2,23.35,0.013888888888888888,1,72
A066,3,73.79,0.013888888888888888,1,72
A066,4,164.93,0.013888888888888888,1,72
A067,1,1.0,0.027777777777777776,2,72
A067,2,29.91,0.013888888888888888,1,72
A067,3,73.19,0.0,0,72
A067,4,144.19,0.027777777777777776,2,72
A068,1,1.0,0.06944444444444445,5,72
A068,2,30.49,0.09722222222222222,7,72
A068,3,82.98,0.027777777777777776,2,72
A068,4,155.59,0.06944444444444445,5,72
A069,1,1.0,0.1527777777777778,11,72
A069,2,24.96,0.0,0,72
A069,3,79.75,0.0,0,72
A069,4,140.22,0.041666666666666664,3,72
A070,1,1.0,0.027777777777777776,2,72
A070,2,24.25,0.041666666666666664,3,72
A070,3,81.92,0.041666666666666664,3,72
A070,4,149.2,0.0,0,72
A071,1,1.0,0.1111111111111111,8,72
A071,2,30.92,0.05555555555555555,4,72
A071,3,79.96,0.041666666666666664,3,72
A071,4,153.27,0.027777777777777776,2,72
A072,1,1.0,0.06944444444444445,5,72
A072,2,33.76,0.1388888888888889,10,72
A072,3,83.54,0.08333333333333333,6,72
A072,4,154.89,0.06944444444444445,5,72
A073,1,1.0,0.013888888888888888,1,72
A073,2,66.66,0.06944444444444445,5,72
A073,3,66.9,0.013888888888888888,1,72
A073,4,140.12,0.041666666666666664,3,72
A074,1,1.0,0.013888888888888888,1,72
A074,2,29.33,0.05555555555555555,4,72
A074,3,73.02,0.0,0,72
A074,4,147.21,0.09722222222222222,7,72
A075,1,1.0,0.013888888888888888,1,72
A075,2,28.68,0.013888888888888888,1,72
A075,3,71.37,0.013888888888888888,1,72
A075,4,244.53,0.041666666666666664,3,72
A076,1,1.0,0.027777777777777776,2,72
A076,2,27.3,0.013888888888888888,1,72
A076,3,74.88,0.0,0,72
A076,4,149.28,0.0,0,72
A077,1,1.0,0.041666666666666664,3,72
A077,2,53.88,0.027777777777777776,2,72
A077,3,78.36,0.041666666666666664,3,72
A077,4,149.75,0.013888888888888888,1,72
A078,1,1.0,0.013888888888888888,1,72
A078,2,26.17,0.013888888888888888,1,72
A078,3,72.3,0.013888888888888888,1,72
A078,4,140.08,0.027777777777777776,2,72
A079,1,1.0,0.08333333333333333,6,72
A079,2,26.11,0.09722222222222222,7,72
A079,3,74.0,0.09722222222222222,7,72
A079,4,194.42,0.013888888888888888,1,72
A080,1,1.0,0.027777777777777776,2,72
A080,2,29.03,0.08333333333333333,6,72
A080,3,72.87,0.041666666666666664,3,72
A080,4,145.77,0.041666666666666664,3,72
A081,1,1.0,0.1388888888888889,10,72
A081,2,31.39,0.05555555555555555,4,72
A081,3,80.13,0.08333333333333333,6,72
A081,4,154.53,0.05555555555555555,4,72
A082,1,1.0,0.0,0,72
A082,2,27.97,0.0,0,72
A082,3,75.71,0.0,0,72
A082,4,170.25,0.0,0,72
A083,1,1.0,0.027777777777777776,2,72
A083,2,25.15,0.041666666666666664,3,72
A083,3,74.3,0.05555555555555555,4,72
A083,4,144.91,0.027777777777777776,2,72
A084,1,1.0,0.0,0,72
A084,2,27.25,0.0,0,72
A084,3,91.97,0.013888888888888888,1,72
A084,4,162.51,0.013888888888888888,1,72
A085,1,1.0,0.09722222222222222,7,72
A085,2,24.51,0.08333333333333333,6,72
A085,3,71.4,0.05555555555555555,4,72
A085,4,170.65,0.09722222222222222,7,72
A086,1,1.0,0.0,0,72
A086,2,23.47,0.08333333333333333,6,72
A086,3,145.29,0.041666666666666664,3,72
A086,4,169.55,0.013888888888888888,1,72
A087,1,1.0,0.0,0,72
A087,2,31.07,0.013888888888888888,1,72
A087,3,72.8,0.027777777777777776,2,72
A087,4,144.2,0.027777777777777776,2,72
A088,1,1.0,0.027777777777777776,2,72
A088,2,24.25,0.0,0,72
A088,3,74.91,0.027777777777777776,2,72
A088,4,149.93,0.027777777777777776,2,72
A089,1,1.0,0.013888888888888888,1,72
A089,2,32.14,0.027777777777777776,2,72
A089,3,79.34,0.013888888888888888,1,72
A089,4,146.96,0.041666666666666664,3,72
A090,1,1.0,0.0,0,72
A090,2,23.54,0.013888888888888888,1,72
A090,3,95.42,0.0,0,72
A090,4,144.07,0.0,0,72
A091,1,1.0,0.05555555555555555,4,72
A091,2,22.2,0.027777777777777776,2,72
A091,3,73.64,0.027777777777777776,2,72
A091,4,142.61,0.041666666666666664,3,72
A092,1,1.0,0.05555555555555555,4,72
A092,2,22.83,0.08333333333333333,6,72
A092,3,71.31,0.05555555555555555,4,72
A092,4,146.16,0.013888888888888888,1,72
A093,1,1.0,0.18055555555555555,13,72
A093,2,22.09,0.08333333333333333,6,72
A093,3,70.22,0.013888888888888888,1,72
A093,4,140.95,0.0,0,72
A094,1,1.0,0.0,0,72
A094,2,22.98,0.013888888888888888,1,72
A094,3,76.21,0.0,0,72
A094,4,149.99,0.013888888888888888,1,72
A095,1,1.0,0.05555555555555555,4,72
A095,2,29.71,0.013888888888888888,1,72
A095,3,78.76,0.05555555555555555,4,72
A095,4,148.79,0.013888888888888888,1,72
A096,1,1.0,0.20833333333333334,15,72
A096,2,24.49,0.1111111111111111,8,72
A096,3,71.19,0.2777777777777778,20,72
A096,4,143.66,0.2638888888888889,19,72
A097,1,1.0,0.013888888888888888,1,72
A097,2,24.37,0.0,0,72
A097,3,70.83,0.0,0,72
A097,4,144.85,0.0,0,72
A098,1,1.0,0.06944444444444445,5,72
A098,2,25.77,0.06944444444444445,5,72
A098,3,78.84,0.05555555555555555,4,72
A098,4,146.29,0.06944444444444445,5,72
A099,1,1.0,0.041666666666666664,3,72
A099,2,28.75,0.05555555555555555,4,72
A099,3,78.57,0.06944444444444445,5,72
A099,4,143.51,0.09722222222222222,7,72
A100,1,1.0,0.2777777777777778,20,72
A100,2,31.14,0.16666666666666666,12,72
A100,3,75.34,0.19444444444444445,14,72
A100,4,146.8,0.027777777777777776,2,72
A101,1,1.0,0.013888888888888888,1,72
A101,2,29.12,0.027777777777777776,2,72
A101,3,75.21,0.0,0,72
A101,4,150.22,0.0,0,72
A102,1,1.0,0.05555555555555555,4,72
A102,2,29.13,0.0,0,72
A102,3,75.27,0.0,0,72
A102,4,150.41,0.027777777777777776,2,72
A103,1,1.0,0.0,0,72
A103,2,27.26,0.0,0,72
A103,3,80.24,0.0,0,72
A103,4,149.72,0.0,0,72
A104,1,1.0,0.08333333333333333,6,72
A104,2,22.6,0.08333333333333333,6,72
A104,3,72.62,0.05555555555555555,4,72
A104,4,145.78,0.027777777777777776,2,72
A105,1,1.0,0.1388888888888889,10,72
A105,2,22.77,0.1111111111111111,8,72
A105,3,69.46,0.041666666666666664,3,72
A105,4,146.2,0.027777777777777776,2,72
A106,1,1.0,0.013888888888888888,1,72
A106,2,22.64,0.08333333333333333,6,72
A106,3,66.08,0.0,0,72
A106,4,147.13,0.0,0,72
A107,1,1.0,0.0,0,72
A107,2,26.22,0.0,0,72
A107,3,71.45,0.0,0,72
A107,4,145.95,0.013888888888888888,1,72
A108,1,1.0,0.041666666666666664,3,72
A108,2,27.61,0.0,0,72
A108,3,68.96,0.013888888888888888,1,72
A108,4,152.12,0.041666666666666664,3,72
A109,1,1.0,0.05555555555555555,4,72
A109,2,24.65,0.06944444444444445,5,72
A109,3,71.17,0.041666666666666664,3,72
A109,4,149.87,0.09722222222222222,7,72
