composite_ID,UID,test,congruence,CTT_mean,n_items,TEST
A042_4,A042,4,incongruent,0.4230769230769231,13,4
A043_1,A043,1,common,0.7894736842105263,19,1
A043_1,A043,1,congruent,0.75,18,1
A043_1,A043,1,incongruent,0.7115384615384616,13,1
A043_2,A043,2,common,0.6578947368421053,19,2
A043_2,A043,2,congruent,0.7777777777777778,18,2
A043_2,A043,2,incongruent,0.6153846153846154,13,2
A043_3,A043,3,common,0.8157894736842105,19,3
A043_3,A043,3,congruent,0.6805555555555556,18,3
A043_3,A043,3,incongruent,0.6153846153846154,13,3
A043_4,A043,4,common,0.42105263157894735,19,4
A043_4,A043,4,congruent,0.7222222222222222,18,4
A043_4,A043,4,incongruent,0.5192307692307693,13,4
A044_1,A044,1,common,0.5921052631578947,19,1
A044_1,A044,1,congruent,0.6111111111111112,18,1
A044_1,A044,1,incongruent,0.40384615384615385,13,1
A044_2,A044,2,common,0.6578947368421053,19,2
A044_2,A044,2,congruent,0.6111111111111112,18,2
A044_2,A044,2,incongruent,0.3269230769230769,13,2
A044_3,A044,3,common,0.42105263157894735,19,3
A044_3,A044,3,congruent,0.5138888888888888,18,3
A044_3,A044,3,incongruent,0.3076923076923077,13,3
A044_4,A044,4,common,0.5263157894736842,19,4
A044_4,A044,4,congruent,0.5138888888888888,18,4
A044_4,A044,4,incongruent,0.3269230769230769,13,4
A045_1,A045,1,common,0.34210526315789475,19,1
A045_1,A045,1,congruent,0.9166666666666666,18,1
A045_1,A045,1,incongruent,0.3269230769230769,13,1
A045_2,A045,2,common,0.7236842105263158,19,2
A045_2,A045,2,congruent,0.5833333333333334,18,2
A045_2,A045,2,incongruent,0.19230769230769232,13,2
A045_3,A045,3,common,0.631578947368421,19,3
A045_3,A045,3,congruent,0.3055555555555556,18,3
A045_3,A045,3,incongruent,0.4807692307692308,13,3
A045_4,A045,4,common,0.47368421052631576,19,4
A045_4,A045,4,congruent,0.4305555555555556,18,4
A045_4,A045,4,incongruent,0.40384615384615385,13,4
A046_1,A046,1,common,0.35526315789473684,19,1
A046_1,A046,1,congruent,0.6666666666666666,18,1
A046_1,A046,1,incongruent,0.5384615384615384,13,1
A046_2,A046,2,common,0.47368421052631576,19,2
A046_2,A046,2,congruent,0.4444444444444444,18,2
A046_2,A046,2,incongruent,0.25,13,2
A046_3,A046,3,common,0.47368421052631576,19,3
A046_3,A046,3,congruent,0.3055555555555556,18,3
A046_3,A046,3,incongruent,0.3076923076923077,13,3
A046_4,A046,4,common,0.23684210526315788,19,4
A046_4,A046,4,congruent,0.5,18,4
A046_4,A046,4,incongruent,0.46153846153846156,13,4
A047_1,A047,1,common,0.6842105263157895,19,1
A047_1,A047,1,congruent,0.3888888888888889,18,1
A047_1,A047,1,incongruent,0.4423076923076923,13,1
A047_2,A047,2,common,0.6842105263157895,19,2
A047_2,A047,2,congruent,0.5833333333333334,18,2
A047_2,A047,2,incongruent,0.46153846153846156,13,2
A047_3,A047,3,common,0.42105263157894735,19,3
A047_3,A047,3,congruent,0.75,18,3
A047_3,A047,3,incongruent,0.21153846153846154,13,3
A047_4,A047,4,common,0.42105263157894735,19,4
A047_4,A047,4,congruent,0.5,18,4
A047_4,A047,4,incongruent,0.4230769230769231,13,4
A048_1,A048,1,common,0.8552631578947368,19,1
A048_1,A048,1,congruent,0.875,18,1
A048_1,A048,1,incongruent,0.8461538461538461,13,1
A048_2,A048,2,common,0.5,19,2
A048_2,A048,2,congruent,0.8611111111111112,18,2
A048_2,A048,2,incongruent,0.5384615384615384,13,2
A048_3,A048,3,common,0.5789473684210527,19,3
A048_3,A048,3,congruent,0.8055555555555556,18,3
A048_3,A048,3,incongruent,0.5,13,3
A048_4,A048,4,common,0.8421052631578947,19,4
A048_4,A048,4,congruent,0.5694444444444444,18,4
A048_4,A048,4,incongruent,0.5576923076923077,13,4
A049_1,A049,1,common,1.0,19,1
A049_1,A049,1,congruent,1.0,18,1
A049_1,A049,1,incongruent,0.6923076923076923,13,1
A049_2,A049,2,common,0.5526315789473685,19,2
A049_2,A049,2,congruent,0.7638888888888888,18,2
A049_2,A049,2,incongruent,0.46153846153846156,13,2
A049_3,A049,3,common,0.631578947368421,19,3
A049_3,A049,3,congruent,0.7777777777777778,18,3
A049_3,A049,3,incongruent,0.5961538461538461,13,3
A049_4,A049,4,common,0.6973684210526315,19,4
A049_4,A049,4,congruent,0.8611111111111112,18,4
A049_4,A049,4,incongruent,0.5769230769230769,13,4
A050_1,A050,1,common,0.5921052631578947,19,1
A050_1,A050,1,congruent,0.6527777777777778,18,1
A050_1,A050,1,incongruent,0.6538461538461539,13,1
A050_2,A050,2,common,0.6447368421052632,19,2
A050_2,A050,2,congruent,0.6111111111111112,18,2
A050_2,A050,2,incongruent,0.6538461538461539,13,2
A050_3,A050,3,common,0.4473684210526316,19,3
A050_3,A050,3,congruent,0.3333333333333333,18,3
A050_3,A050,3,incongruent,0.5384615384615384,13,3
A050_4,A050,4,common,0.40789473684210525,19,4
A050_4,A050,4,congruent,0.5555555555555556,18,4
A050_4,A050,4,incongruent,0.5769230769230769,13,4
A051_1,A051,1,common,0.6973684210526315,19,1
A051_1,A051,1,congruent,1.0,18,1
A051_1,A051,1,incongruent,0.8076923076923077,13,1
A051_2,A051,2,common,0.631578947368421,19,2
A051_2,A051,2,congruent,0.5833333333333334,18,2
A051_2,A051,2,incongruent,0.6153846153846154,13,2
A051_3,A051,3,common,0.5921052631578947,19,3
A051_3,A051,3,congruent,0.5833333333333334,18,3
A051_3,A051,3,incongruent,0.34615384615384615,13,3
A051_4,A051,4,common,0.631578947368421,19,4
A051_4,A051,4,congruent,0.5555555555555556,18,4
A051_4,A051,4,incongruent,0.5769230769230769,13,4
A052_1,A052,1,common,0.8157894736842105,19,1
A052_1,A052,1,congruent,0.7638888888888888,18,1
A052_1,A052,1,incongruent,0.7692307692307693,13,1
A052_2,A052,2,common,0.5,19,2
A052_2,A052,2,congruent,0.5833333333333334,18,2
A052_2,A052,2,incongruent,0.9615384615384616,13,2
A052_3,A052,3,common,0.5,19,3
A052_3,A052,3,congruent,0.625,18,3
A052_3,A052,3,incongruent,0.7692307692307693,13,3
A052_4,A052,4,common,0.7631578947368421,19,4
A052_4,A052,4,congruent,0.4166666666666667,18,4
A052_4,A052,4,incongruent,0.25,13,4
A053_1,A053,1,common,0.7763157894736842,19,1
A053_1,A053,1,congruent,0.8333333333333334,18,1
A053_1,A053,1,incongruent,0.7884615384615384,13,1
A053_2,A053,2,common,0.7368421052631579,19,2
A053_2,A053,2,congruent,0.8055555555555556,18,2
A053_2,A053,2,incongruent,0.6153846153846154,13,2
A053_3,A053,3,common,0.4605263157894737,19,3
A053_3,A053,3,congruent,0.7916666666666666,18,3
A053_3,A053,3,incongruent,0.34615384615384615,13,3
A053_4,A053,4,common,0.6842105263157895,19,4
A053_4,A053,4,congruent,0.4166666666666667,18,4
A053_4,A053,4,incongruent,0.7692307692307693,13,4
A054_1,A054,1,common,0.5789473684210527,19,1
A054_1,A054,1,congruent,0.7777777777777778,18,1
