composite_ID,UID,TEST,TSVR_hours,theta,congruence,recip_TSVR,log_TSVR
A080_4,A080,4,145.77,0.41689837,common,0.006813381481229133,4.988866735623107
A081_1,A081,1,1.0,0.00010118604,common,0.5,0.6931471805599453
A081_2,A081,2,31.39,-0.7071566,common,0.030873726458783574,3.477849733183238
A081_3,A081,3,80.13,0.545228,common,0.01232589670898558,4.396052806406973
A081_4,A081,4,154.53,-0.08591507,common,0.006429627724554748,5.046838639056468
A082_1,A082,1,1.0,-0.4003049,common,0.5,0.6931471805599453
A082_2,A082,2,27.97,0.8779047,common,0.03451846738004833,3.366260811781259
A082_3,A082,3,75.71,0.6359619,common,0.01303611002476861,4.3400320779712045
A082_4,A082,4,170.25,-0.3586941,common,0.00583941605839416,5.143124477142335
A083_1,A083,1,1.0,1.3698004,common,0.5,0.6931471805599453
A083_2,A083,2,25.15,0.124128915,common,0.03824091778202677,3.263849190510932
A083_3,A083,3,74.3,-0.5477029,common,0.013280212483399735,4.321480134805848
A083_4,A083,4,144.91,-0.37580958,common,0.0068535398533342475,4.982989993275931
A084_1,A084,1,1.0,0.9561993,common,0.5,0.6931471805599453
A084_2,A084,2,27.25,0.013109359,common,0.035398230088495575,3.34109345759245
A084_3,A084,3,91.97,0.44351754,common,0.010756157900397977,4.532276860467767
A084_4,A084,4,162.51,-0.88956237,common,0.006115833893951441,5.096874150546495
A085_1,A085,1,1.0,0.0077195168,common,0.5,0.6931471805599453
A085_2,A085,2,24.51,0.49905202,common,0.03920031360250882,3.23907053215372
A085_3,A085,3,71.4,0.48035803,common,0.013812154696132596,4.282206299391671
A085_4,A085,4,170.65,-0.238934,common,0.005825808330905913,5.145457519903701
A086_1,A086,1,1.0,0.6558563,common,0.5,0.6931471805599453
A086_2,A086,2,23.47,-0.6139667,common,0.040866366979975484,3.19744787745458
A086_3,A086,3,145.29,-0.9025494,common,0.006835737234260716,4.985590952989995
A086_4,A086,4,169.55,0.24756022,common,0.005863383172090296,5.139028508864655
A087_1,A087,1,1.0,0.3166234,common,0.5,0.6931471805599453
A087_2,A087,2,31.07,1.0431534,common,0.031181789834736514,3.4679210137050633
A087_3,A087,3,72.8,0.6456617,common,0.013550135501355014,4.301358731606427
A087_4,A087,4,144.2,0.8111409,common,0.006887052341597796,4.978112102390695
A088_1,A088,1,1.0,1.3131995,common,0.5,0.6931471805599453
A088_2,A088,2,24.25,1.6465031,common,0.039603960396039604,3.228826155721369
A088_3,A088,3,74.91,1.5184398,common,0.013173494928204453,4.3295484280286765
A088_4,A088,4,149.93,2.0324988,common,0.006625588020936858,5.016816153171337
A089_1,A089,1,1.0,1.0534189,common,0.5,0.6931471805599453
A089_2,A089,2,32.14,1.2110171,common,0.030175015087507542,3.500741011998417
A089_3,A089,3,79.34,-0.28256452,common,0.012447099825740602,4.386267628931136
A089_4,A089,4,146.96,-0.5580171,common,0.006758583400919167,4.996941966964253
A090_1,A090,1,1.0,-0.20894425,common,0.5,0.6931471805599453
A090_2,A090,2,23.54,0.027675819,common,0.040749796251018745,3.2003044392827653
A090_3,A090,3,95.42,-1.7316093,common,0.01037129226301597,4.568713648977476
A090_4,A090,4,144.07,-0.28820184,common,0.006893223960846488,4.977216384550811
A091_1,A091,1,1.0,0.3393673,common,0.5,0.6931471805599453
A091_2,A091,2,22.2,0.5239488,common,0.04310344827586207,3.1441522786722644
A091_3,A091,3,73.64,-1.0404031,common,0.01339764201500536,4.312676556539088
A091_4,A091,4,142.61,-0.8533299,common,0.006963303391128751,4.9671012920725275
A092_1,A092,1,1.0,-0.16856669,common,0.5,0.6931471805599453
A092_2,A092,2,22.83,-1.4215541,common,0.04196391103650861,3.170945291110651
A092_3,A092,3,71.31,-1.2575935,common,0.013829345871940256,4.28096243218686
A092_4,A092,4,146.16,-0.93595916,common,0.0067953248165262305,4.991520430236574
A093_1,A093,1,1.0,0.9076474,common,0.5,0.6931471805599453
A093_2,A093,2,22.09,1.034495,common,0.043308791684711995,3.139399623366404
A093_3,A093,3,70.22,-0.40955505,common,0.014040999719180006,4.265773677849632
A093_4,A093,4,140.95,0.45432508,common,0.007044734061289187,4.95547488291898
A094_1,A094,1,1.0,-0.50477767,common,0.5,0.6931471805599453
A094_2,A094,2,22.98,0.18280746,common,0.041701417848206836,3.177220149599368
A094_3,A094,3,76.21,-1.3660945,common,0.012951690195570523,4.3465289823207245
A094_4,A094,4,149.99,-1.0502908,common,0.006622955162593549,5.017213609456379
A095_1,A095,1,1.0,1.4516914,common,0.5,0.6931471805599453
A095_2,A095,2,29.71,0.27010867,common,0.0325626831650928,3.424588334452731
A095_3,A095,3,78.76,0.15615472,common,0.012537612838515545,4.379022125653583
A095_4,A095,4,148.79,-0.3831034,common,0.006676013084985647,5.009234313180627
A096_1,A096,1,1.0,-0.035375316,common,0.5,0.6931471805599453
A096_2,A096,2,24.49,-0.36524564,common,0.03923107100823853,3.238286218388024
A096_3,A096,3,71.19,-1.8691895,common,0.013852334118298934,4.279301532151069
A096_4,A096,4,143.66,-1.9366536,common,0.006912760956726116,4.974386161421135
A097_1,A097,1,1.0,0.16170047,common,0.5,0.6931471805599453
A097_2,A097,2,24.37,-0.33125505,common,0.039416633819471816,3.2335673736111907
A097_3,A097,3,70.83,0.5222428,common,0.013921759710427398,4.27430221608671
A097_4,A097,4,144.85,0.06591846,common,0.006856359273225917,4.98257869631373
A098_1,A098,1,1.0,-0.115731314,common,0.5,0.6931471805599453
A098_2,A098,2,25.77,0.3379284,common,0.03735524841240194,3.2872818575322613
