composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent,CTT_common,CTT_congruent,CTT_incongruent,UID,TEST
A014_2,1.320731,-0.2694951,1.0895128,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.868421052631579,0.5277777777777778,0.7692307692307693,A014,2
A014_3,0.48942116,0.38656035,-0.10083751,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7763157894736842,0.6666666666666666,0.5384615384615384,A014,3
A014_4,-0.78735405,-0.7313914,-0.9997553,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.631578947368421,0.5833333333333334,0.4423076923076923,A014,4
A015_1,1.4246364,1.073113,1.1283869,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.8421052631578947,0.8055555555555556,0.7884615384615384,A015,1
A015_2,1.1372008,1.3152177,1.361513,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.8552631578947368,0.8888888888888888,0.8461538461538461,A015,2
A015_3,1.4038924,1.4822278,1.3649361,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.8421052631578947,0.8333333333333334,0.7692307692307693,A015,3
A015_4,-0.47030097,-0.32867005,0.19643967,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5657894736842105,0.7083333333333334,0.6346153846153846,A015,4
A016_1,1.3420854,1.291089,1.2802452,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.631578947368421,0.9027777777777778,1.0,A016,1
A016_2,0.5615982,1.5499188,1.489516,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6578947368421053,0.9444444444444444,0.8076923076923077,A016,2
A016_3,0.17722866,-1.2432284,0.26608974,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6447368421052632,0.3055555555555556,0.6346153846153846,A016,3
A016_4,-0.875939,-1.4394764,-0.3671518,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5131578947368421,0.4027777777777778,0.5384615384615384,A016,4
