UID,Total_Intercept_Cued_z,Total_Intercept_Free_z,Total_Intercept_Recognition_z,Total_Slope_Cued_z,Total_Slope_Free_z,Total_Slope_Recognition_z
A032,1.0194065566080404,0.5868958386260362,0.5066327461824865,-1.019344536796104,1.4338394658017888,1.1369198659155257
A033,0.27231724478975494,-0.11510641175283183,-0.08405751246628061,-0.2722652925911031,1.210868789692483,1.691091750099725
A034,1.2428118212797918,1.4074508358129527,1.603516546298653,-1.2428594628256728,-0.9170490983628973,-1.3130485005454806
A035,-0.3950189154631855,-0.84710310735364,-0.6547271649141088,0.39507773778342026,1.0406812283409241,1.0429299842487165
A036,-0.2299077620638584,-0.2255475999816426,-0.23809319086204916,0.22984158369078686,-1.192202223412789,-1.0127474257480351
A037,0.5048241835704608,0.8882051775455998,0.8513443833437787,-0.5048552360634412,-0.2446135268805511,-0.18932698781726415
A038,0.7035877101053432,0.8164968634055589,0.8908630985216505,-0.7035878280668477,-0.07048207533925815,-0.44287424636737627
A039,1.9028128465619842,2.001490548089205,2.0571395686488456,-1.9028168250889692,-0.6501889424599644,-1.2504821435828086
A040,-1.5791980919018254,-1.4698217548912125,-1.5203111207987132,1.5791984518874003,0.3037243348672658,0.38535551263607654
A041,0.44325904602837063,0.2709240739691649,-0.007965941218307324,-0.4432713421907039,-0.05094415935049129,0.6027302242914259
A042,-1.4573766840278746,-1.7622161009912516,-1.5718002459515064,1.4574170014499495,1.3270169487422225,0.9459854979081069
A043,0.21756357133551407,0.4193520093493129,0.4687155829447242,-0.2175634828708232,0.08452280825883014,-0.3127414282856405
A044,-1.3987294199006908,-1.5680587571131919,-1.4494954817307093,1.3987398589649886,0.5579267014214011,0.38353463712270924
A045,-1.137001733586257,-1.4195278331424728,-1.4196562027870885,1.1370443788235534,0.7854479394137575,0.8843524635808276
A046,-2.3604479431407372,-2.0195867616249523,-2.0859325222403955,2.360460954437421,0.4342144470441788,0.26747626567689337
A047,-1.2190904113328715,-1.3417016394305459,-1.2984434840457535,1.219089120959752,0.45049403764744045,0.3116639602158907
A048,0.5993465913325754,0.7303978855050481,0.4334012306813714,-0.5993481141024957,-0.24147025422277982,-0.17941940825744998
A049,0.7978286379431345,1.0905887507862944,0.7670979092663702,-0.797879071378348,-0.6429368521353674,-0.3921798796355968
A050,-0.8558466362712129,-0.6923951498386738,-1.028038148923073,0.8558637495799868,-0.04396964221728773,0.24629054059258557
A051,0.46760366000392145,0.1503442125968207,0.15537414224070376,-0.4676593595235567,-0.6752906276344134,-0.5097828344899862
A052,-0.08454516510564171,0.47868327415721373,0.4370414109094107,0.08454242528206865,-0.15450221337471554,-0.4076257617865683
A053,0.5729393894017386,0.537441915900426,0.37448600882414923,-0.572968933260292,-1.152731329030724,-1.1081457260227408
A054,0.9239554844428322,0.3488040730907323,0.776868016458969,-0.9238553987955993,2.148601109966993,1.6108909019702358
