UID,theta_mean,domain,theta_se
A028,0.059572887500000005,Where,0.5377746903292484
A029,1.1396903675,Where,0.3201711965938153
A030,0.4875274825,Where,0.2725684669417205
A031,0.429686821,Where,0.6094249440455797
A032,0.707159895,Where,0.4078038856488475
A033,0.2342642175,Where,0.30634936515289335
A034,0.6394468405,Where,0.422798421891261
A035,-0.19300862749999997,Where,0.3721610080717638
A036,-0.12242224499999999,Where,0.5111305248237702
A037,0.6870282275,Where,0.3642663949712679
A038,0.44869211000000003,Where,0.3586227311659386
A039,1.2840031975,Where,0.36901751445118863
A040,-0.8783929349999999,Where,0.4160215641993048
A041,0.14862563,Where,0.5337124941554927
A042,-0.86540437,Where,0.22236752997634504
A043,0.5016684,Where,0.3013708088984206
A044,-0.894388009,Where,0.40683943431812764
A045,-1.093600275,Where,0.07387058468859999
A046,-1.107553625,Where,0.17928681396737547
A047,-0.961634685,Where,0.20573104682616547
A048,0.327545984,Where,0.32824849574677845
A049,0.5463939874999999,Where,0.5893007927910335
A050,-0.684457845,Where,0.16800030877908376
A051,0.121827655,Where,0.5528359869196801
A052,-0.13917544739999999,Where,0.21759524357993548
A053,0.45041583999999996,Where,0.4054127331426011
A054,1.07577951,Where,0.21891971720282627
A055,0.119832105,Where,0.3703200442031654
A056,-0.10676695500000002,Where,0.36069184248730796
A057,-0.4836371725,Where,0.351636942504443
A058,-0.16795675650000003,Where,0.46967521924690964
A059,0.9828980350000001,Where,0.23613286406900577
A060,0.13291352,Where,0.37821994580337054
A061,0.8810839875,Where,0.5830222078934302
A062,0.17265010250000004,Where,0.4875263011726991
A063,0.36356943249999996,Where,0.3065437116393694
A064,0.1967466275,Where,0.2574363871462939
A065,-1.8336711499999998,Where,0.3362336206743125
A066,-0.5372099874999999,Where,0.37447609317898184
A067,-0.853556675,Where,0.4869289745809468
A068,0.38845414624999997,Where,0.33184692199789234
A069,-1.237180955,Where,0.205825192177308
A070,-0.2116655225,Where,0.4198838112868295
A071,0.27933474,Where,0.3733385593133276
A072,0.14936966625,Where,0.3619563315308796
A073,0.4645472975,Where,0.2802836591877486
A074,-0.05747502999999998,Where,0.461493261346838
A075,-0.15475839250000004,Where,0.5270050631401593
A076,-1.09033346,Where,0.41403621455568024
A077,0.40816474999999997,Where,0.2570562124231456
A078,-0.49052411500000004,Where,0.3549785112375811
A079,-0.39397081,Where,0.34172114790638836
A080,0.166260735,Where,0.27362614418076436
A081,0.4576551375,Where,0.2817943648267849
A082,0.4936310675,Where,0.313811580184365
A083,0.9057616125,Where,0.40631878498533514
A084,0.103906470575,Where,0.16183149324173543
A085,0.340849349,Where,0.38496534877724736
A086,-0.33231747,Where,0.4848730512140313
A087,0.61264055,Where,0.3762888221904563
A088,1.5913601675,Where,0.436434111558463
A089,0.8781519249999999,Where,0.27568275644027374
A090,-0.5851270865,Where,0.30573246507086116
A091,-0.3205841075,Where,0.38842169726346165
A092,-0.617919395,Where,0.21899130352801796
A093,0.4544147425,Where,0.06120510621171194
A094,-0.8695100874999999,Where,0.28117088647785066
A095,-0.05472654499999999,Where,0.530219319502183
A096,-1.1725043075000001,Where,0.3697570485950296
A097,0.14529136,Where,0.28711890081542
A098,0.45504327499999997,Where,0.38398434989976993
A099,0.8399553175,Where,0.3276298579739838
A100,0.252788495,Where,0.23380113141579056
A101,-1.021745085,Where,0.21461110174638895
A102,0.014734241000000037,Where,0.4317986993713759
A103,-0.5087183500000001,Where,0.6975300934361118
A104,0.10852401750000001,Where,0.6996667214842721
A105,0.343425895,Where,0.228878945959272
A106,0.73301778,Where,0.3015451123506064
A107,-1.207592975,Where,0.1603137556377565
A108,-0.64666703,Where,0.20648146179153096
A109,-0.6668261225000001,Where,0.2896880495599346
A010,0.3846467515,When,0.33079251579061103
A011,0.2954700775,When,0.371051725149533
A012,-0.068376345,When,0.2824557373366506
A013,-0.03945061824999999,When,0.16944842766750662
A014,0.15698245,When,0.30866244577474483
A015,0.6342199625,When,0.48605189894403883
A016,-0.12734012000000003,When,0.3139995826422706
A017,0.7115668275,When,0.4336415979732566
A018,0.507410645,When,0.24410827128284773
A019,-0.014744444999999995,When,0.41532092947317173
A020,0.12230662250000002,When,0.36832518169334
A021,0.16662454499999999,When,0.35032572389517164
A022,0.164752275,When,0.3663909449891079
A023,-0.0527762225,When,0.3098132534664832
A024,0.09422872649999998,When,0.2042469969962349
A025,0.473596915,When,0.571576988661946
A026,0.05207255000000001,When,0.26385992864929947
A027,-0.323235915,When,0.10736959531230651
A028,0.19661717750000002,When,0.1844690858135202
A029,0.11961852,When,0.3842749587800806
A030,-0.55679205,When,0.06888208264839304
A031,0.145862975,When,0.3573035969343194
A032,0.52122254425,When,0.4431259682893133
A033,0.3011083025,When,0.41057053067091354
A034,0.671948605,When,0.44626218822153396
A035,-0.1505749725,When,0.11658988079518103
A036,0.2164744375,When,0.33914685307291625
A037,0.3835626675,When,0.518435365668928
A038,0.7115313587500001,When,0.42150348566148904
A039,0.718996055,When,0.4471753285796962
A040,0.015378762499999976,When,0.4717466267041285
A041,-0.0373437175,When,0.30569340132030226
A042,-0.31882898,When,0.08733805234368236
A043,-0.0431736925,When,0.17614590385190396
A044,-0.05938452999999999,When,0.41896034334324883
A045,0.04784260325000003,When,0.41703623182921645
A046,0.019851305,When,0.278055935980303
A047,0.147823975,When,0.4794397008516047
A048,0.32969457,When,0.3483259117524182
A049,0.58044347875,When,0.5247788374902433
A050,-0.09908123500000003,When,0.4627716457412863
A051,-0.29789281749999996,When,0.07149317537407075
A052,0.16731374999999998,When,0.4395326520433206
A053,0.36114814,When,0.43527399484251655
A054,0.0688088425,When,0.31430926899123335
A055,-0.04862603,When,0.14985248162553974
A056,0.08828637249999997,When,0.4108602413134462
A057,0.109455435,When,0.25142543512462145
A058,0.2375050725,When,0.35564375170361096
A059,0.46972225749999996,When,0.4264935362301359
A060,-0.05936906750000002,When,0.3019658083374777
A061,0.3475837575,When,0.5938376160364747
A062,0.253064919375,When,0.22789989758259832
A063,0.233620417,When,0.1531917710426086
A064,0.5805268175,When,0.6211046840791581
A065,-0.37978096,When,0.2083550034408611
A066,-0.4521310925,When,0.14120633425980236
A067,0.053230098499999975,When,0.3669801562868652
A068,-0.005009880000000022,When,0.34658897553118834
A069,0.02333636499999997,When,0.45907281399325595
A070,0.17435118249999998,When,0.3131044475505688
A071,-0.21557193000000002,When,0.2222987611319722
A072,0.05900554499999998,When,0.47778909855227863
A073,0.22854698,When,0.3672858719079624
A074,0.012053330000000025,When,0.46452172427433414
A075,-0.12095585249999996,When,0.4358359050245998
A076,0.09799933250000004,When,0.48133800814452704
A077,0.1292165575,When,0.46625950791186205
A078,-0.19639593987499998,When,0.11017238785471052
A079,-0.16838535999999998,When,0.3184136841205177
A080,0.2317814225,When,0.2753531934476728
A081,-0.01614601974999999,When,0.3075594308250549
A082,0.309660549075,When,0.49183494381916226
A083,-0.226643435,When,0.19346474724285984
A084,0.12129878749999998,When,0.4332967934892447
A085,-0.3276233555,When,0.09768534293928649
A086,0.057011860000000025,When,0.39360820376813954
A087,0.21456976249999998,When,0.4173167493620662
A088,0.10655250250000003,When,0.3903650549989904
A089,0.2660631125,When,0.48152033677706546
A090,-0.2798590075,When,0.36525349251116024
A091,0.6047325649999999,When,0.3928039899688111
A092,-0.3518523775,When,0.09819443104173868
A093,0.27323658,When,0.47666215470268924
A094,0.554979985,When,0.09688073548836842
A095,-0.1433507925,When,0.2641702338811453
A096,-0.4808209625,When,0.07627303764127973
A097,-0.014180437499999976,When,0.4261481273523481
A098,0.286242425,When,0.4135064504081353
A099,-0.380396625,When,0.11439746248176767
A100,0.15616126749999998,When,0.43804130087629867
A101,0.17769049000000003,When,0.3265480421917565
A102,0.05545899500000001,When,0.4902835256142688
A103,-0.0784688575,When,0.23149195638508976
A104,0.4548566175,When,0.5430489415540237
A105,-0.08529756600000002,When,0.16131702530221526
A106,0.44736552,When,0.4685023110737044
A107,0.3095768075,When,0.3303522160571859
A108,-0.02459387875,When,0.11716408676950221
A109,-0.09993845500000001,When,0.3367342854185786
