composite_ID,domain_name,theta
A090_T3,free_recall,-1.0338403
A090_T4,free_recall,-1.1362736
A091_T1,free_recall,0.29881525
A091_T2,free_recall,-0.026762206
A091_T3,free_recall,-1.1911708
A091_T4,free_recall,-0.52157545
A092_T1,free_recall,-0.7876877
A092_T2,free_recall,-0.998191
A092_T3,free_recall,-1.2913482
A092_T4,free_recall,-1.0344619
A093_T1,free_recall,0.33117145
A093_T2,free_recall,1.5857055
A093_T3,free_recall,0.81863654
A093_T4,free_recall,0.30614167
A094_T1,free_recall,-1.102431
A094_T2,free_recall,-0.2742179
A094_T3,free_recall,-1.2004163
A094_T4,free_recall,-0.7926246
A095_T1,free_recall,1.2619102
A095_T2,free_recall,0.13377371
A095_T3,free_recall,-0.5048176
A095_T4,free_recall,-0.28686994
A096_T1,free_recall,-0.57966214
A096_T2,free_recall,-1.0107507
A096_T3,free_recall,-1.5561851
A096_T4,free_recall,-1.5584799
A097_T1,free_recall,0.1336158
A097_T2,free_recall,-0.49990433
A097_T3,free_recall,0.88650763
A097_T4,free_recall,-0.26896644
A098_T1,free_recall,0.39102525
A098_T2,free_recall,0.15630344
A098_T3,free_recall,0.80588186
A098_T4,free_recall,-0.7737082
A099_T1,free_recall,0.48115698
A099_T2,free_recall,1.0915452
A099_T3,free_recall,0.34571633
A099_T4,free_recall,1.2532934
A100_T1,free_recall,0.04662982
A100_T2,free_recall,1.9609387
A100_T3,free_recall,0.32008484
A100_T4,free_recall,0.39922234
A101_T1,free_recall,-0.48946333
A101_T2,free_recall,-0.57344234
A101_T3,free_recall,-1.2957559
A101_T4,free_recall,-0.6860435
A102_T1,free_recall,-0.32937366
A102_T2,free_recall,1.7887923
A102_T3,free_recall,-0.7381275
A102_T4,free_recall,0.4709218
A103_T1,free_recall,1.8769222
A103_T2,free_recall,-0.16258915
A103_T3,free_recall,-1.2053634
A103_T4,free_recall,-0.5554242
A104_T1,free_recall,1.6884377
A104_T2,free_recall,0.34702617
A104_T3,free_recall,-0.46523014
A104_T4,free_recall,-1.7057006
A105_T1,free_recall,0.6331082
A105_T2,free_recall,0.72168386
A105_T3,free_recall,-0.5126543
A105_T4,free_recall,-0.2778684
A106_T1,free_recall,1.2620872
A106_T2,free_recall,-0.2028387
A106_T3,free_recall,0.54037696
A106_T4,free_recall,1.1800795
A107_T1,free_recall,-0.785534
A107_T2,free_recall,-0.5849953
A107_T3,free_recall,-1.3737143
A107_T4,free_recall,-0.5316199
A108_T1,free_recall,-0.39319366
A108_T2,free_recall,-1.3924704
A108_T3,free_recall,-0.1261135
A108_T4,free_recall,-1.9143207
A109_T1,free_recall,0.3380285
A109_T2,free_recall,-1.3751141
A109_T3,free_recall,-0.100075126
A109_T4,free_recall,-1.599399
A010_T1,cued_recall,3.2593474
A010_T2,cued_recall,-0.00092878344
A010_T3,cued_recall,-0.50775576
A010_T4,cued_recall,0.4273065
A011_T1,cued_recall,0.7212127
A011_T2,cued_recall,0.5245321
A011_T3,cued_recall,-0.29063764
A011_T4,cued_recall,-0.9080121
A012_T1,cued_recall,1.1809453
A012_T2,cued_recall,0.17799507
A012_T3,cued_recall,0.27200282
A012_T4,cued_recall,-1.5436157
A013_T1,cued_recall,0.04521829
A013_T2,cued_recall,-0.38209087
A013_T3,cued_recall,0.7524937
A013_T4,cued_recall,-1.0343771
A014_T1,cued_recall,0.5668338
A014_T2,cued_recall,0.8387599
A014_T3,cued_recall,0.10505889
A014_T4,cued_recall,-1.3253976
A015_T1,cued_recall,1.5803216
A015_T2,cued_recall,1.5235697
A015_T3,cued_recall,1.2572238
A015_T4,cued_recall,0.2478172
A016_T1,cued_recall,1.801831
A016_T2,cued_recall,1.1674967
A016_T3,cued_recall,0.16655761
A016_T4,cued_recall,-1.0055714
A017_T1,cued_recall,-0.5570408
A017_T2,cued_recall,0.891374
A017_T3,cued_recall,0.120803334
A017_T4,cued_recall,0.8275901
A018_T1,cued_recall,1.1778531
A018_T2,cued_recall,0.35324687
A018_T3,cued_recall,-0.7266997
A018_T4,cued_recall,0.20432577
A019_T1,cued_recall,-0.32730344
A019_T2,cued_recall,-0.87076724
A019_T3,cued_recall,-0.96995896
A019_T4,cued_recall,-0.75234103
A020_T1,cued_recall,-0.1342698
A020_T2,cued_recall,-0.27011213
A020_T3,cued_recall,-0.740374
A020_T4,cued_recall,-1.4460049
A021_T1,cued_recall,1.2439734
A021_T2,cued_recall,0.6602215
A021_T3,cued_recall,-0.08759228
A021_T4,cued_recall,0.56219023
A022_T1,cued_recall,0.53641325
A022_T2,cued_recall,0.34167272
A022_T3,cued_recall,0.31811133
A022_T4,cued_recall,0.2686864
A023_T1,cued_recall,0.34315267
A023_T2,cued_recall,0.056745518
A023_T3,cued_recall,0.29662755
A023_T4,cued_recall,-0.115858294
A024_T1,cued_recall,0.061851908
A024_T2,cued_recall,0.5142781
A024_T3,cued_recall,-0.2016124
A024_T4,cued_recall,-1.8417065
A025_T1,cued_recall,1.6699384
A025_T2,cued_recall,1.7627046
A025_T3,cued_recall,-0.16754793
A025_T4,cued_recall,-0.6959769
A026_T1,cued_recall,1.1536205
A026_T2,cued_recall,-0.13022904
A026_T3,cued_recall,0.924205
A026_T4,cued_recall,-0.28210714
A027_T1,cued_recall,1.1891088
A027_T2,cued_recall,0.50194716
A027_T3,cued_recall,-1.0349286
A027_T4,cued_recall,0.12674494
A028_T1,cued_recall,1.9601705
A028_T2,cued_recall,-0.12661803
A028_T3,cued_recall,0.38208234
A028_T4,cued_recall,-0.7386906
A029_T1,cued_recall,1.7488883
