UID,TEST,Paradigm,theta_accuracy,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration,accuracy_centered,z_acc_within,z_conf_within,calibration_within
A022,T4,IFR,0.44959623,-1.968053,141.71,0.4359119760206821,-1.9929554547723256,-2.428867430793008,2.428867430793008,0.40420935680316666,0.4532861872167893,-2.039333001924705,-2.4926191891414944
A023,T1,IFR,0.5031585,-0.49672464,1.0,0.4936751983778109,0.4570379613894986,-0.0366372369883122,0.0366372369883122,0.45777162680316663,0.512913403536171,0.44463759802404274,-0.06827580551212825
A023,T2,IFR,-0.1653372,-0.62490255,25.63,-0.2272514121613695,0.2436015564816351,0.4708529686430046,0.4708529686430046,-0.21072407319683334,-0.23127719392126522,0.22824119824087236,0.4595183921621376
A023,T3,IFR,0.068792194,-0.663698,72.2,0.0252410278707987,0.1790010229358565,0.1537599950650577,0.1537599950650577,0.023405320803166665,0.029363066895980845,0.16274476669531185,0.133381699799331
A023,T4,IFR,0.025527501,-0.34702584,145.07,-0.0214169663100287,0.7063100371396905,0.7277270034497193,0.7277270034497193,-0.019859372196833334,-0.018800560383121414,0.6973666476072423,0.7161672079903637
A024,T1,IFR,0.4014854,-0.3857919,1.0,0.3840277565677721,0.6417584425720888,0.2577306860043167,0.2577306860043167,0.35609852680316667,0.3997276866581871,0.631919833739093,0.2321921470809059
A024,T2,IFR,0.27175164,-0.48210856,29.57,0.2441188239159936,0.4813760362500242,0.2372572123340305,0.2372572123340305,0.2263647668031667,0.25530395384315235,0.46931320001305005,0.2140092461698977
A024,T3,IFR,0.0076772394,-0.4839036,91.47,-0.0406672450964527,0.4783870119769197,0.5190542570733725,0.5190542570733725,-0.037709633796833335,-0.038672037260049016,0.46628272312770547,0.5049547603877544
A024,T4,IFR,-0.91121835,-0.9060695,145.65,-1.0316329053176694,-0.2245856919054624,0.807047213412207,0.807047213412207,-0.9566052231968333,-1.061615726616,-0.2464389999150713,0.8151767267009287
A025,T1,IFR,1.2585467,-0.21331964,1.0,1.3083093907402934,0.928951915462498,-0.3793574752777954,0.3793574752777954,1.2131598268031665,1.3538354855634709,0.923096184847228,-0.4307393007162429
A025,T2,IFR,1.9095496,-0.34082785,23.33,2.0103712202302617,0.7166306665153364,-1.2937405537149254,1.2937405537149254,1.8641627268031666,2.0785525437248378,0.7078304063149017,-1.370722137409936
A025,T3,IFR,-0.28530517,-0.79121,72.94,-0.3566286123219181,-0.0333265369581336,0.3233020753637844,0.3233020753637844,-0.3306920431968333,-0.3648293398364234,-0.05252741030579251,0.3123019295306309
A025,T4,IFR,-0.96083295,-1.3909258,137.74,-1.0851388372350437,-1.0319477839299662,0.0531910533050772,0.0531910533050772,-1.0062198231968333,-1.1168482715921482,-1.0649978118990462,0.05185045969310198
A026,T1,IFR,0.5969401,-0.49681032,1.0,0.594812200484094,0.4568952906970796,-0.1379169097870143,0.1379169097870143,0.5515532268031667,0.6173140525373751,0.44449294873514866,-0.17282110380222648
A026,T2,IFR,0.3370544,-0.49528146,26.48,0.3145433568272054,0.4594410833536102,0.1448977265264047,0.1448977265264047,0.29166752680316665,0.3280010556794387,0.44707404714572896,0.11907299146629025
A026,T3,IFR,0.7356694,-0.5871357,75.46,0.7444222040061408,0.306489309049098,-0.4379328949570428,0.4379328949570428,0.6902825268031667,0.771751905543538,0.29200109548955594,-0.47975081005398207
A026,T4,IFR,-0.094755605,-0.35571375,147.65,-0.1511340189607862,0.6918432988650293,0.8429773178258155,0.8429773178258155,-0.14014247819683334,-0.15270352567994552,0.6826992806199025,0.835402806299848
A027,T1,IFR,0.16043636,-0.31150258,1.0,0.1240729544936177,0.7654618590488426,0.6413889045552249,0.6413889045552249,0.11504948680316666,0.13138425663441666,0.757338803281816,0.6259545466473994
A027,T2,IFR,0.46374553,-0.54816264,28.26,0.4511710223997419,0.3713855912139301,-0.0797854311858117,0.0797854311858117,0.4183586568031667,0.4690376363594009,0.3577973771775121,-0.11124025918188879
A027,T3,IFR,-0.9193564,-0.89747775,74.58,-1.0404092322303158,-0.2102790751735533,0.8301301570567625,0.8301301570567625,-0.9647432731968333,-1.0706752617657975,-0.23193397508015975,0.8387412866856377
A027,T4,IFR,-0.42966694,-1.3732976,145.92,-0.5123128471457722,-1.0025940549372183,-0.4902812077914461,0.4902812077914461,-0.4750538131968333,-0.5255374369360951,-1.035236997304256,-0.5096995603681608
A028,T1,IFR,1.7501152,0.23003227,1.0,1.8384321911604444,1.6672026622521334,-0.171229528908311,0.171229528908311,1.7047283268031665,1.901065117266795,1.6715851964171018,-0.22947992084969315
A028,T2,IFR,0.095417134,-0.27348408,22.82,0.0539541934902769,0.8287686484947744,0.7748144550044974,0.7748144550044974,0.050030260803166665,0.05900279383194826,0.8215235487278642,0.7625207548959159
A028,T3,IFR,0.1234633,-0.5850953,72.26,0.0842000535504078,0.3098868963601566,0.2256868428097488,0.2256868428097488,0.07807642680316666,0.09022467458889319,0.2954458014776438,0.20522112688875063
A028,T4,IFR,-0.8479047,-0.89578515,138.91,-0.9633534906627002,-0.2074606296321411,0.7558928610305591,0.7558928610305591,-0.8932915731968333,-0.9911329650653857,-0.22907644255936127,0.7620565225060245
A029,T1,IFR,2.242445,0.2032756,1.0,2.369376001242443,1.6226485932077397,-0.7467274080347033,0.7467274080347033,2.197058126803167,2.449142252255248,1.626413239266401,-0.8227290129888469
A029,T2,IFR,0.29875055,-0.23989162,28.43,0.2732352904460736,0.8847053843520778,0.6114700939060042,0.6114700939060042,0.2533636768031667,0.28535999603399903,0.8782360306513107,0.5928760346173116
A029,T3,IFR,1.3977594,-0.35276702,93.26,1.458440707897618,0.6967500683499909,-0.7616906395476272,0.7616906395476272,1.3523725268031666,1.5088114747682824,0.6876740985361336,-0.8211373762321488
A029,T4,IFR,0.5618795,-0.25487813,143.14,0.5570017560467252,0.8597504852082569,0.3027487291615317,0.3027487291615317,0.5164926268031667,0.5782834815685325,0.8529350500898828,0.2746515685213503
A030,T1,IFR,0.12693016,-0.71084976,1.0,0.0879388234916562,0.1004859173339755,0.0125470938423192,0.0125470938423192,0.08154328680316665,0.09408409300355357,0.08314079197423781,-0.01094330102931576
A030,T2,IFR,0.890774,-0.24096577,32.95,0.9116918417271244,0.882916755450797,-0.0287750862763274,0.0287750862763274,0.8453871268031666,0.9444192614328828,0.8764225965515732,-0.06799666488130962
A030,T3,IFR,0.30001456,-0.59410924,71.93,0.2745984382493993,0.29487726679407,0.0202788285446707,0.0202788285446707,0.25462768680316666,0.2867671320216982,0.2802280142328564,-0.006539117788841753
A030,T4,IFR,0.70453537,-0.37904358,150.46,0.7108462951105037,0.6529954580607003,-0.0578508370498034,0.0578508370498034,0.6591484968031667,0.7370925167292828,0.6433126872548414,-0.09377982947444141
A031,T1,IFR,1.83632,0.21379074,1.0,1.9313981358571837,1.640157957174611,-0.2912401786825724,0.2912401786825724,1.7909331268031665,1.997031032403869,1.644165427917441,-0.352865604486428
A031,T2,IFR,-0.20975925,-0.3242269,32.41,-0.2751575362242497,0.7442738624923592,1.019431398716609,1.019431398716609,-0.25514612319683333,-0.28072922768869873,0.7358569657507704,1.016586193439469
A031,T3,IFR,-0.34666744,-0.76721454,71.56,-0.42280359792929,0.0066296826159757,0.4294332805452658,0.4294332805452658,-0.3920543131968333,-0.4331397633330061,-0.012017066868759807,0.42112269646424627
A031,T4,IFR,-0.9627389,-1.2054753,143.85,-1.0871942731538642,-0.7231434976971376,0.3640507754567266,0.3640507754567266,-1.0081257731968334,-1.1189700355305312,-0.7519109427342356,0.36705909279629556
