UID,TEST,Paradigm,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A021,T3,IFR,74.19,0.2283193,-0.29831088,0.1972800339821388,0.787428116905778,0.4486741933340094
A021,T4,IFR,140.39,1.0181938,-0.20864159,1.0491053277519111,0.9367416053862864,0.20484761196024315
A022,T1,IFR,1.0,0.16907588,-1.2396909,0.1333900822930717,-0.7801178597831281,-0.5603625394843547
A022,T2,IFR,24.15,0.4875518,-1.40694,0.4768444463883787,-1.0586139487588009,-0.882243821839875
A022,T3,IFR,74.46,0.77547616,-0.74001235,0.7873510554009165,0.0519256126184281,-0.2739973589044854
A022,T4,IFR,141.71,0.44959623,-1.968053,0.4359119760206821,-1.9929554547723256,-1.4825380571120754
A023,T1,IFR,1.0,0.5031585,-0.49672464,0.4936751983778109,0.4570379613894986,0.11145349147969805
A023,T2,IFR,25.63,-0.1653372,-0.62490255,-0.2272514121613695,0.2436015564816351,0.26033935367246097
A023,T3,IFR,72.2,0.068792194,-0.663698,0.0252410278707987,0.1790010229358565,0.11620942324201462
A023,T4,IFR,145.07,0.025527501,-0.34702584,-0.0214169663100287,0.7063100371396905,0.4830332491061696
A024,T1,IFR,1.0,0.4014854,-0.3857919,0.3840277565677721,0.6417584425720888,0.2774572931235134
A024,T2,IFR,29.57,0.27175164,-0.48210856,0.2441188239159936,0.4813760362500242,0.2278265551008286
A024,T3,IFR,91.47,0.0076772394,-0.4839036,-0.0406672450964527,0.4783870119769197,0.3403217340047473
A024,T4,IFR,145.65,-0.91121835,-0.9060695,-1.0316329053176694,-0.2245856919054624,0.2746116904494464
A025,T1,IFR,1.0,1.2585467,-0.21331964,1.3083093907402934,0.928951915462498,0.09552008911535825
A025,T2,IFR,23.33,1.9095496,-0.34082785,2.0103712202302617,0.7166306665153364,-0.3268203320337382
A025,T3,IFR,72.94,-0.28530517,-0.79121,-0.3566286123219181,-0.0333265369581336,0.12954513382608807
A025,T4,IFR,137.74,-0.96083295,-1.3909258,-1.0851388372350437,-1.0319477839299662,-0.23681123224621614
A026,T1,IFR,1.0,0.5969401,-0.49681032,0.594812200484094,0.4568952906970796,0.07070785419014372
A026,T2,IFR,26.48,0.3370544,-0.49528146,0.3145433568272054,0.4594410833536102,0.18504082068975516
A026,T3,IFR,75.46,0.7356694,-0.5871357,0.7444222040061408,0.306489309049098,-0.08870811950365717
A026,T4,IFR,147.65,-0.094755605,-0.35571375,-0.1511340189607862,0.6918432988650293,0.5256229976013076
A027,T1,IFR,1.0,0.16043636,-0.31150258,0.1240729544936177,0.7654618590488426,0.46359973219939843
A027,T2,IFR,28.26,0.46374553,-0.54816264,0.4511710223997419,0.3713855912139301,0.07199978297490398
A027,T3,IFR,74.58,-0.9193564,-0.89747775,-1.0404092322303158,-0.2102790751735533,0.28758290060935576
A027,T4,IFR,145.92,-0.42966694,-1.3732976,-0.5123128471457722,-1.0025940549372183,-0.447679471850619
A028,T1,IFR,1.0,1.7501152,0.23003227,1.8384321911604444,1.6672026622521334,0.3697499702219036
