days,difference,se,ci_lower,ci_upper,sig
8.867940,-0.133840,0.034808,-0.202064,-0.065616,1
8.919497,-0.134030,0.035141,-0.202906,-0.065155,1
8.971055,-0.134221,0.035477,-0.203756,-0.064686,1
9.022613,-0.134413,0.035818,-0.204617,-0.064210,1
9.074171,-0.134606,0.036164,-0.205488,-0.063725,1
9.125729,-0.134801,0.036514,-0.206369,-0.063233,1
9.177286,-0.134997,0.036869,-0.207261,-0.062733,1
9.228844,-0.135194,0.037230,-0.208165,-0.062224,1
9.280402,-0.135393,0.037595,-0.209080,-0.061706,1
9.331960,-0.135593,0.037967,-0.210008,-0.061179,1
9.383518,-0.135796,0.038344,-0.210950,-0.060642,1
9.435075,-0.136000,0.038727,-0.211906,-0.060094,1
9.486633,-0.136207,0.039118,-0.212877,-0.059536,1
9.538191,-0.136415,0.039515,-0.213865,-0.058966,1
9.589749,-0.136627,0.039920,-0.214871,-0.058383,1
9.641307,-0.136841,0.040334,-0.215897,-0.057786,1
9.692864,-0.137059,0.040758,-0.216945,-0.057173,1
9.744422,-0.137281,0.041193,-0.218019,-0.056542,1
9.795980,-0.137506,0.041641,-0.219122,-0.055891,1
9.847538,-0.137737,0.042103,-0.220259,-0.055215,1
9.899095,-0.137973,0.042583,-0.221436,-0.054511,1
9.950653,-0.138217,0.043085,-0.222664,-0.053770,1
10.002211,-0.138469,0.043615,-0.223955,-0.052984,1
10.053769,-0.138733,0.044182,-0.225329,-0.052137,1
10.105327,-0.139012,0.044799,-0.226818,-0.051206,1
10.156884,-0.139312,0.045492,-0.228477,-0.050148,1
10.208442,-0.139646,0.046309,-0.230411,-0.048881,1
10.260000,-0.140040,0.047363,-0.232871,-0.047209,1
