composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent
A015_2,1.1535578,1.5349779,1.4707035,0.17970646917502656,0.18092156221455785,0.17793935864979812
A015_3,1.863515,1.3764787,1.1367134,0.17970646917502656,0.18092156221455785,0.17793935864979812
A015_4,-0.4068576,-0.08335363,0.19985157,0.17970646917502656,0.18092156221455785,0.17793935864979812
A016_1,1.1195309,1.4086065,1.3812969,0.17970646917502656,0.18092156221455785,0.17793935864979812
A016_2,0.7103147,1.6028922,1.2771242,0.17970646917502656,0.18092156221455785,0.17793935864979812
A016_3,0.18894035,-1.3223474,0.3008052,0.17970646917502656,0.18092156221455785,0.17793935864979812
A016_4,-1.0033181,-1.3939426,-0.4327156,0.17970646917502656,0.18092156221455785,0.17793935864979812
A017_1,-0.13374232,-0.68039215,-0.39493406,0.17970646917502656,0.18092156221455785,0.17793935864979812
A017_2,0.7191116,0.15544441,1.1878562,0.17970646917502656,0.18092156221455785,0.17793935864979812
A017_3,0.24396148,-0.5347254,0.612697,0.17970646917502656,0.18092156221455785,0.17793935864979812
A017_4,0.48853207,-0.11177615,1.0579345,0.17970646917502656,0.18092156221455785,0.17793935864979812
A018_1,1.0738442,1.2271659,0.5158466,0.17970646917502656,0.18092156221455785,0.17793935864979812
A018_2,-0.13331887,-0.39236903,0.8026204,0.17970646917502656,0.18092156221455785,0.17793935864979812
A018_3,-0.7664782,-0.0023914436,-0.29806563,0.17970646917502656,0.18092156221455785,0.17793935864979812
A018_4,0.41770062,-0.2981501,0.18827628,0.17970646917502656,0.18092156221455785,0.17793935864979812
A019_1,-0.8928511,-0.8052531,-0.3421005,0.17970646917502656,0.18092156221455785,0.17793935864979812
A019_2,-0.4745146,-0.49615088,-1.1779385,0.17970646917502656,0.18092156221455785,0.17793935864979812
A019_3,-0.89561737,-0.7267232,-0.18439901,0.17970646917502656,0.18092156221455785,0.17793935864979812
A019_4,-0.5091379,-1.1434014,-0.42795694,0.17970646917502656,0.18092156221455785,0.17793935864979812
A020_1,0.22544159,0.21631089,-0.07196579,0.17970646917502656,0.18092156221455785,0.17793935864979812
A020_2,0.4831948,-0.5317277,0.014563053,0.17970646917502656,0.18092156221455785,0.17793935864979812
