domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
What,Young,152.89,0.056318834,,,,-0.003669569203372247
What,Young,153.27,,,,,
What,Young,154.53,,,,,
What,Young,154.76,-1.264995,,,,-1.4809850520304266
What,Young,154.89,,,,,
What,Young,155.27,,,,,
What,Young,155.59,,,,,
What,Young,156.21,,,,,
What,Young,162.51,,,,,
What,Young,164.93,,,,,
What,Young,166.33,0.5725235,,,,-0.1365178837831433
What,Young,166.87,-0.5827313,,,,-0.13851409234725762
What,Young,168.33,-0.04748927,,,,-0.25349582550645505
What,Young,168.86,-0.27844822,,,,-0.058289577184792885
What,Young,169.55,,,,,
What,Young,170.25,,,,,
What,Young,170.65,,,,,
What,Young,187.43,,,,,
What,Young,194.42,,,,,
What,Young,244.53,,,,,
What,Young,246.24,0.6324969,,,,0.36757317152284064
What,Middle,1.0,0.45449067517647057,0.14974401265176607,0.16099241037900908,0.7479889399739321,0.4697376708810399
What,Middle,16.9,0.78079957,,,,1.001145069347189
What,Middle,17.16,-0.61919725,,,,0.09075912872977857
What,Middle,20.61,,,,,
What,Middle,21.63,,,,,
What,Middle,21.9,,,,,
What,Middle,21.98,0.50485903,,,,0.33826199657990563
What,Middle,22.09,,,,,
What,Middle,22.2,,,,,
What,Middle,22.6,,,,,
What,Middle,22.64,,,,,
What,Middle,22.77,,,,,
What,Middle,22.82,,,,,
What,Middle,22.83,,,,,
What,Middle,22.96,-0.67254853,,,,-0.14443964781995144
What,Middle,22.98,,,,,
What,Middle,23.24,0.7207104,,,,0.18160018103932654
What,Middle,23.33,,,,,
What,Middle,23.35,-0.24346694,,,,-0.3879375525846021
What,Middle,23.46,,,,,
What,Middle,23.47,,,,,
What,Middle,23.54,,,,,
What,Middle,23.69,,,,,
What,Middle,23.7,,,,,
What,Middle,23.91,-0.534043,,,,0.37183961261026205
What,Middle,24.15,,,,,
What,Middle,24.25,0.19770284,,,,-0.09834974207232032
What,Middle,24.32,-1.0450114,,,,-0.941541182502338
What,Middle,24.37,,,,,
What,Middle,24.49,,,,,
What,Middle,24.51,,,,,
What,Middle,24.57,,,,,
What,Middle,24.65,,,,,
What,Middle,24.66,-0.808676,,,,-0.8632575538931679
What,Middle,24.73,-0.6173181,,,,-0.623777823349068
What,Middle,24.77,,,,,
What,Middle,24.78,-0.33406383,,,,-0.3006364563792574
What,Middle,24.87,1.238489,,,,0.26619444390968056
What,Middle,24.96,-1.4017547,,,,-0.9246286314059199
What,Middle,25.15,,,,,
What,Middle,25.6,,,,,
What,Middle,25.62,0.43919662,,,,0.46185889317696016
What,Middle,25.63,,,,,
What,Middle,25.66,,,,,
What,Middle,25.77,,,,,
What,Middle,26.08,,,,,
What,Middle,26.11,-0.5799095,,,,-0.3665886313288684
What,Middle,26.17,0.099462025,,,,-0.36191230743049757
What,Middle,26.22,,,,,
What,Middle,26.26,0.056224108,,,,-0.7565383914065248
What,Middle,26.48,,,,,
What,Middle,26.85,,,,,
What,Middle,27.12,,,,,
What,Middle,27.25,,,,,
What,Middle,27.26,,,,,
What,Middle,27.3,,,,,
What,Middle,27.61,,,,,
What,Middle,27.97,,,,,
What,Middle,28.26,,,,,
What,Middle,28.43,,,,,
What,Middle,28.65,,,,,
What,Middle,28.68,,,,,
What,Middle,28.69,,,,,
What,Middle,28.75,,,,,
What,Middle,28.93,-0.4416498,,,,-0.6181673309392639
What,Middle,29.03,,,,,
What,Middle,29.12,,,,,
What,Middle,29.13,,,,,
What,Middle,29.16,,,,,
What,Middle,29.33,,,,,
What,Middle,29.57,,,,,
What,Middle,29.71,,,,,
What,Middle,29.91,-1.1704557,,,,-0.7222591246962475
What,Middle,30.21,,,,,
What,Middle,30.4,1.4646933,,,,0.9296893567048339
What,Middle,30.49,0.14502825,,,,0.36154110469863865
What,Middle,30.92,0.52419287,,,,0.15378825943266267
What,Middle,31.07,,,,,
What,Middle,31.14,,,,,
What,Middle,31.39,,,,,
What,Middle,31.76,0.4169858,,,,0.07069088657468575
What,Middle,31.78,,,,,
What,Middle,32.14,,,,,
What,Middle,32.31,-1.1918952,,,,-1.6769489745913275
What,Middle,32.41,,,,,
What,Middle,32.71,0.5740109,,,,0.3744459670669852
What,Middle,32.85,,,,,
What,Middle,32.95,,,,,
What,Middle,33.61,0.79354787,,,,-0.08995319778012376
What,Middle,33.76,0.4618086,,,,0.006940896610798206
What,Middle,34.03,,,,,
What,Middle,35.16,1.0422542,,,,0.7662846099598437
What,Middle,37.65,0.62713385,,,,0.29351421068491473
What,Middle,44.69,0.4567172,,,,0.05700904609516577
What,Middle,44.76,,,,,
What,Middle,47.66,-0.47558594,,,,-0.7895612253172848
What,Middle,53.88,-0.046640176,,,,0.2937177170555137
What,Middle,57.18,,,,,
What,Middle,61.28,,,,,
What,Middle,64.94,0.38608864,,,,0.22115370408935836
What,Middle,65.63,-0.53872013,,,,-0.23709922211015508
What,Middle,66.08,,,,,
What,Middle,66.28,-0.33693078,,,,-0.4113464030674644
What,Middle,66.66,-0.7580057,,,,0.09162779071889185
What,Middle,66.9,-0.30615124,,,,0.09065316687287478
What,Middle,68.96,,,,,
What,Middle,69.46,,,,,
What,Middle,69.99,0.36549178,,,,0.04948441462450584
What,Middle,70.22,,,,,
What,Middle,70.56,,,,,
What,Middle,70.59,,,,,
What,Middle,70.83,,,,,
What,Middle,71.17,,,,,
What,Middle,71.19,,,,,
What,Middle,71.28,-1.5265014,,,,-1.0201151278544094
What,Middle,71.31,,,,,
What,Middle,71.37,,,,,
What,Middle,71.4,,,,,
What,Middle,71.45,,,,,
What,Middle,71.46,-0.6342211,,,,-0.29144159427204386
What,Middle,71.47,,,,,
What,Middle,71.56,,,,,
What,Middle,71.85,,,,,
What,Middle,71.93,,,,,
What,Middle,72.08,,,,,
What,Middle,72.17,0.056583792,,,,-0.8632420288517749
What,Middle,72.2,,,,,
What,Middle,72.23,-0.65163666,,,,-1.1465883708020985
What,Middle,72.26,,,,,
What,Middle,72.3,-0.7596743,,,,-0.6145898790211969
What,Middle,72.55,,,,,
What,Middle,72.6,,,,,
What,Middle,72.62,,,,,
What,Middle,72.8,,,,,
What,Middle,72.83,1.0624813,,,,0.6416026163116333
What,Middle,72.86,,,,,
What,Middle,72.87,,,,,
What,Middle,72.94,,,,,
What,Middle,73.02,,,,,
What,Middle,73.05,-1.613356,,,,-1.2301849680099008
What,Middle,73.19,-1.4594061,,,,-0.950642119372726
What,Middle,73.64,,,,,
What,Middle,73.79,-0.82052904,,,,-0.676040790564018
What,Middle,73.83,-0.36420104,,,,-0.5855820903609238
What,Middle,74.0,-1.0114949,,,,-0.6263101783379532
What,Middle,74.19,,,,,
What,Middle,74.28,,,,,
What,Middle,74.3,,,,,
What,Middle,74.46,,,,,
What,Middle,74.48,0.026863433,,,,-0.1146094688957272
What,Middle,74.58,,,,,
What,Middle,74.88,,,,,
What,Middle,74.91,,,,,
What,Middle,75.21,,,,,
What,Middle,75.27,,,,,
What,Middle,75.34,,,,,
What,Middle,75.46,,,,,
What,Middle,75.71,,,,,
What,Middle,75.74,,,,,
What,Middle,76.21,,,,,
What,Middle,76.85,,,,,
What,Middle,78.25,,,,,
What,Middle,78.28,-0.52216256,,,,0.1415056842308331
What,Middle,78.36,0.09669988,,,,0.19363494029851092
What,Middle,78.57,,,,,
What,Middle,78.76,,,,,
What,Middle,78.84,,,,,
What,Middle,79.34,,,,,
What,Middle,79.66,,,,,
What,Middle,79.75,-0.28530526,,,,-1.2223699652807198
What,Middle,79.78,1.2263882,,,,0.6721062148931012
What,Middle,79.96,-1.1711217,,,,-0.08946328134821765
What,Middle,79.98,,,,,
What,Middle,80.13,,,,,
What,Middle,80.16,,,,,
What,Middle,80.24,,,,,
What,Middle,80.64,,,,,
What,Middle,80.88,,,,,
What,Middle,80.98,0.17672805,,,,-0.1812489339719359
What,Middle,81.15,0.23268522,,,,0.04553575121178327
What,Middle,81.92,-0.34628716,,,,-0.40021133016594135
What,Middle,82.55,0.12469013,,,,0.5390462742862641
What,Middle,82.98,0.23438412,,,,0.10258747950887237
What,Middle,82.99,0.41516995,,,,0.08113783185605944
What,Middle,83.54,-1.1341089,,,,-0.22855440986071007
What,Middle,83.64,,,,,
What,Middle,83.68,,,,,
What,Middle,91.47,,,,,
What,Middle,91.63,-0.9757199,,,,-0.988513492903532
What,Middle,91.97,,,,,
What,Middle,92.72,-0.8347038,,,,-0.14539384460311428
What,Middle,93.26,,,,,
What,Middle,93.39,-1.037826,,,,-0.9836086920515789
What,Middle,94.68,-0.14499544,,,,-0.08115310734492323
What,Middle,95.42,,,,,
What,Middle,98.84,,,,,
What,Middle,106.41,-1.9587346,,,,-2.0044659429976344
What,Middle,111.38,,,,,
What,Middle,136.83,1.199456,,,,0.42516063657620234
What,Middle,137.74,,,,,
What,Middle,138.91,,,,,
What,Middle,140.08,-0.65401506,,,,-0.8219358840242093
What,Middle,140.12,0.90156066,,,,-0.13512791519695838
What,Middle,140.22,-1.4135531,,,,-1.4128572146914733
What,Middle,140.39,,,,,
What,Middle,140.49,,,,,
What,Middle,140.95,,,,,
What,Middle,141.09,-0.6113484,,,,-0.1848820736090667
What,Middle,141.71,,,,,
What,Middle,141.84,,,,,
What,Middle,142.61,,,,,
What,Middle,143.14,,,,,
What,Middle,143.48,-0.94237626,,,,-0.6779683762104054
What,Middle,143.51,,,,,
What,Middle,143.53,-1.7589025,,,,-1.277895619741543
What,Middle,143.66,,,,,
What,Middle,143.85,,,,,
What,Middle,143.91,0.22517887,,,,-0.22384548596710194
What,Middle,144.07,,,,,
What,Middle,144.19,-1.1524973,,,,-1.1710998496524612
What,Middle,144.2,,,,,
What,Middle,144.22,,,,,
What,Middle,144.51,,,,,
What,Middle,144.85,,,,,
What,Middle,144.91,,,,,
What,Middle,145.06,-0.8997757,,,,-0.8307598977191617
What,Middle,145.07,,,,,
What,Middle,145.29,,,,,
What,Middle,145.31,,,,,
What,Middle,145.38,,,,,
What,Middle,145.65,,,,,
What,Middle,145.77,,,,,
What,Middle,145.78,,,,,
What,Middle,145.92,,,,,
What,Middle,145.95,,,,,
What,Middle,146.02,-1.0751622,,,,-1.1247413214037796
What,Middle,146.16,,,,,
What,Middle,146.2,,,,,
What,Middle,146.29,,,,,
What,Middle,146.3,0.47788984,,,,-0.17915939214958118
What,Middle,146.54,,,,,
What,Middle,146.56,-0.31471238,,,,0.3448114589183944
What,Middle,146.8,,,,,
What,Middle,146.96,,,,,
What,Middle,146.99,-0.75623167,,,,-0.520160450202584
What,Middle,147.13,,,,,
What,Middle,147.21,,,,,
What,Middle,147.65,,,,,
What,Middle,147.84,-0.7479079,,,,-0.5481732525886753
What,Middle,147.94,-1.2604105,,,,-1.4936982034509212
What,Middle,148.69,-1.1924096,,,,-1.1603122483370392
What,Middle,148.79,,,,,
What,Middle,148.85,,,,,
What,Middle,148.87,,,,,
What,Middle,148.9,0.31794128,,,,-0.08406077437008214
What,Middle,149.18,-0.5505843,,,,-0.30812634421051327
What,Middle,149.2,-0.6466961,,,,-0.5886465894711992
What,Middle,149.21,-0.27365744,,,,-0.3560801876069021
What,Middle,149.28,,,,,
What,Middle,149.33,-0.026184201,,,,-0.08272915035317108
What,Middle,149.72,,,,,
What,Middle,149.75,0.63073874,,,,-0.008632888425067375
What,Middle,149.87,,,,,
What,Middle,149.93,,,,,
What,Middle,149.99,,,,,
What,Middle,150.22,,,,,
What,Middle,150.41,,,,,
What,Middle,150.46,,,,,
What,Middle,150.8,,,,,
What,Middle,150.87,,,,,
What,Middle,151.52,-1.5065612,,,,-1.4279025999502406
What,Middle,151.93,0.31380215,,,,0.440909162739855
What,Middle,152.12,,,,,
What,Middle,152.47,,,,,
What,Middle,152.89,,,,,
What,Middle,153.27,-0.22362204000000002,0.32365046,-0.8579769416,0.41073286159999994,-0.3561293201372645
What,Middle,154.53,,,,,
What,Middle,154.76,,,,,
What,Middle,154.89,-0.5302154,,,,-0.4310453107791839
What,Middle,155.27,-1.5148207,,,,-1.1990162430760587
What,Middle,155.59,-0.37933305,,,,-0.10679767817027869
What,Middle,156.21,-0.070843264,,,,-0.1362862792220998
What,Middle,162.51,,,,,
What,Middle,164.93,-1.2888547,,,,-0.9499984277054528
What,Middle,166.33,,,,,
What,Middle,166.87,,,,,
What,Middle,168.33,,,,,
What,Middle,168.86,,,,,
What,Middle,169.55,,,,,
What,Middle,170.25,,,,,
What,Middle,170.65,,,,,
What,Middle,187.43,-2.4718368,,,,-2.2186832415193125
What,Middle,194.42,-0.5881184,,,,-0.9527384593148905
What,Middle,244.53,,,,,
What,Middle,246.24,,,,,
What,Older,1.0,0.47613818939393937,0.1401119576648834,0.20151875237076788,0.7507576264171109,0.4961255288426978
What,Older,16.9,,,,,
What,Older,17.16,,,,,
What,Older,20.61,,,,,
What,Older,21.63,,,,,
What,Older,21.9,,,,,
What,Older,21.98,,,,,
What,Older,22.09,0.31625798,,,,0.4422323469186967
What,Older,22.2,-0.23618999,,,,-0.25591728034040917
What,Older,22.6,-0.25339428,,,,0.06725651747951636
What,Older,22.64,0.07416145,,,,0.6773902510152956
What,Older,22.77,0.4023,,,,0.2403612476668172
What,Older,22.82,,,,,
What,Older,22.83,-0.707106,,,,-0.626943619764914
What,Older,22.96,,,,,
What,Older,22.98,-0.10413395,,,,-0.7417907628908934
What,Older,23.24,,,,,
What,Older,23.33,,,,,
What,Older,23.35,,,,,
What,Older,23.46,,,,,
What,Older,23.47,-0.8055431,,,,-0.30145947694026265
What,Older,23.54,-1.004835,,,,-0.638335651021581
What,Older,23.69,,,,,
What,Older,23.7,,,,,
What,Older,23.91,,,,,
What,Older,24.15,,,,,
What,Older,24.25,2.3701851,,,,1.3559663084520943
What,Older,24.32,,,,,
What,Older,24.37,-0.46951467,,,,0.09956837357961107
What,Older,24.49,-1.6634033,,,,-1.2256995275193134
What,Older,24.51,1.5030562,,,,0.2671441533659926
What,Older,24.57,,,,,
What,Older,24.65,-0.85136366,,,,-0.6601058229347839
What,Older,24.66,,,,,
What,Older,24.73,,,,,
What,Older,24.77,,,,,
What,Older,24.78,,,,,
What,Older,24.87,,,,,
What,Older,24.96,,,,,
What,Older,25.15,0.627722,,,,0.613078980679175
What,Older,25.6,,,,,
What,Older,25.62,,,,,
What,Older,25.63,,,,,
What,Older,25.66,,,,,
What,Older,25.77,0.2751316,,,,0.40702198971804215
What,Older,26.08,,,,,
What,Older,26.11,,,,,
What,Older,26.17,,,,,
What,Older,26.22,-1.6425781,,,,-1.112024175363718
What,Older,26.26,,,,,
What,Older,26.48,,,,,
What,Older,26.85,,,,,
What,Older,27.12,,,,,
What,Older,27.25,-1.0235722,,,,-0.07456539137253798
What,Older,27.26,-0.8997795,,,,-0.49123081165524635
What,Older,27.3,-0.47757313,,,,-1.0388527440642557
What,Older,27.61,-1.2300881,,,,-0.7917101468118486
What,Older,27.97,1.0411574,,,,0.45432980839767334
What,Older,28.26,,,,,
What,Older,28.43,,,,,
What,Older,28.65,,,,,
What,Older,28.68,0.108092144,,,,-0.20817481517555608
What,Older,28.69,,,,,
What,Older,28.75,0.962919,,,,0.46899694073508086
What,Older,28.93,,,,,
What,Older,29.03,0.4199076,,,,0.09440000215056403
What,Older,29.12,-0.97317004,,,,-1.086789698102155
What,Older,29.13,0.7893604,,,,-0.04691180216599233
What,Older,29.16,,,,,
What,Older,29.33,-0.76089525,,,,-0.29730409742766567
What,Older,29.57,,,,,
What,Older,29.71,-0.31464836,,,,-0.03514890193335152
What,Older,29.91,,,,,
What,Older,30.21,,,,,
What,Older,30.4,,,,,
What,Older,30.49,,,,,
What,Older,30.92,,,,,
What,Older,31.07,0.91695786,,,,0.49883030652232063
What,Older,31.14,0.9113723,,,,0.20425476572045193
What,Older,31.39,-0.49664956,,,,0.2883773953279819
What,Older,31.76,,,,,
What,Older,31.78,,,,,
What,Older,32.14,0.98157203,,,,0.6649927107904667
What,Older,32.31,,,,,
What,Older,32.41,,,,,
What,Older,32.71,,,,,
What,Older,32.85,,,,,
What,Older,32.95,,,,,
What,Older,33.61,,,,,
What,Older,33.76,,,,,
What,Older,34.03,,,,,
What,Older,35.16,,,,,
What,Older,37.65,,,,,
What,Older,44.69,,,,,
What,Older,44.76,,,,,
What,Older,47.66,,,,,
What,Older,53.88,,,,,
What,Older,57.18,,,,,
What,Older,61.28,,,,,
What,Older,64.94,,,,,
What,Older,65.63,,,,,
What,Older,66.08,0.610385,,,,0.43548137590622943
What,Older,66.28,,,,,
What,Older,66.66,,,,,
What,Older,66.9,,,,,
What,Older,68.96,-0.64672476,,,,-0.996355550088583
What,Older,69.46,-0.07094553,,,,-0.009450456264576856
What,Older,69.99,,,,,
What,Older,70.22,0.895297,,,,0.17813975913699737
What,Older,70.56,,,,,
What,Older,70.59,,,,,
What,Older,70.83,0.49897698,,,,-0.14507257289090225
What,Older,71.17,-0.2927042,,,,-0.8981266110408358
What,Older,71.19,-2.0487726,,,,-1.4757432938426205
What,Older,71.28,,,,,
What,Older,71.31,-0.27878723,,,,-0.8928556819439311
What,Older,71.37,-1.198156,,,,-0.43264775834754604
What,Older,71.4,-0.12060891,,,,0.013891789890641493
What,Older,71.45,-0.8989691,,,,-1.3347603555406542
What,Older,71.46,,,,,
What,Older,71.47,,,,,
What,Older,71.56,,,,,
What,Older,71.85,,,,,
What,Older,71.93,,,,,
What,Older,72.08,,,,,
What,Older,72.17,,,,,
What,Older,72.2,,,,,
