UID,Source_intercept,Source_slope,Destination_intercept,Destination_slope
A034,1.124302921533977,0.0030779305220532,1.1642688176240772,-0.0319034529542356
A035,0.1441263168379566,0.0969410322352209,0.3421169463344778,-0.0063119529177386
A036,-0.9057227089618866,0.0478103141728106,-1.0045615883755188,-0.0465659033572163
A037,0.2163470076519415,-0.5316422513187019,-0.0249935092850862,-0.1872054109364936
A038,0.3552569406799225,0.3787814725892161,0.5482581120516393,0.0817080709931434
A039,0.6773959420036766,0.3165520654523981,1.3106940751582778,0.0397311850630343
A040,-0.55398738983984,-0.4059002309460351,-0.9351285821614722,-0.1980310976363289
A041,0.372394711667608,0.2506218498312288,-0.3255087626712037,0.0469755232143183
A042,-0.9508954388606696,0.1004962599331989,-0.6569022489487288,0.2898675405877794
A043,0.8591617312102886,0.0412989131523095,1.4870140500568092,-0.0623990707069365
A044,-1.0776004596536224,0.0250406903873869,-0.7133071743395223,0.0327018666089015
A045,-0.6534627560633306,0.2506184236365885,0.0216818632996348,-0.0209515391161512
A046,-0.3378779523368985,0.0996727481772687,0.0592714306104204,-0.0137043544896057
A047,-0.141376524378394,-0.071664859606723,0.0190327968934283,-0.0213972219380629
A048,0.1803319087475084,-0.0209851910569805,0.1070602192193751,0.0583906237301892
A049,0.4305182670369694,-0.1272242769261104,-0.005825633467703,-0.0373226964336613
A050,-0.3394658251351315,-1.009378652493939,-0.8359712487227756,-0.2929997445202066
A051,0.3726509070688003,-0.0772414057736079,0.7341266341662867,-0.0878376423477718
A052,0.1019052322515186,0.0021037596030378,0.0765824755135085,0.0464472123086061
A053,-0.2451840748615624,-0.0781623503862583,-0.0855738083889413,0.0985329007086129
A054,1.107029814788407,0.3507982911036585,0.7654984337114018,0.0167859323636361
A055,-0.2423519869790742,-0.4599599636891976,-0.2239006958604263,0.0612375768954374
A056,-0.3139344022310391,-0.1009456039895954,-0.1998770063281989,0.0267135560315825
A057,-0.4064544373227811,-0.7552917843315538,-0.6274415392464829,-0.209098327662789
A058,-0.5916551652530831,-0.2359429120602758,-0.5127885818259252,-0.0957156390002836
A059,-0.2078967166028013,0.3128080078340451,-0.8401803170608718,0.0413219776829442
A060,0.2044920175622134,0.4561840818209249,0.9345609021911994,0.307896805810458
A061,0.4025853507189994,0.3118820693025013,1.5389329449002451,-0.0328720654400065
A062,0.1979377079682432,-0.3220504739716754,-0.2766082037556318,-0.2684383338841687
A063,-0.527919409542969,-0.0449570048603215,-0.3996475410452748,-0.044458340055755
A064,0.1064241844989449,-0.2764227815087536,0.0904547864668288,0.2255301577602834
A065,-0.8635338094026356,0.004317021052651,-0.5519520227203776,0.0397118104531306
A066,-0.4189849592720936,0.1313387510476417,-0.6774895982035855,-0.0937456007451407
A067,-0.9515842907964328,-0.6764954690530759,-1.390980976098296,-0.0693917985639556
A068,1.0142496465734818,0.0031044795073863,1.1195321043202215,-0.1841358182447751
A069,-1.0875202789413612,-0.3112968732688392,-0.7237221290756346,-0.1591363057472066
A070,-0.4018630492785212,-0.58443423582255,-1.0132985885736625,-0.2171231828471861
A071,0.3893880291179079,-0.0468303751428244,-0.0900335698189663,-0.1591530748085897
A072,0.7572836199699908,-0.2376388559526588,0.9909577985647964,0.0216710505398102
A073,-0.0262860933530328,0.3114143336780013,-0.0960400078220852,0.1125788253402743
A074,-0.1608710197020696,-0.3160982968021812,-0.4908492361460049,-0.0109456841080067
A075,-0.7290499018609076,0.1667033645341801,-0.843146584576016,0.2358611875574015
A076,-0.8624015172175534,-0.0991725133578762,-0.808262963693842,-0.0253258980327136
A077,-0.0555964250371769,0.0245656112277045,-0.4020787271412321,0.0757485630434093
A078,-0.7579417754759473,-0.1484958162690721,-1.0760294286058092,0.1948822722799976
A079,-0.2261520344459482,0.1023972367812353,0.0124719817666148,0.0036994004772038
A080,0.2695767410776528,-0.1334510185201175,0.5142055748778602,-0.1292247283385717
A081,0.367404840774678,0.1482008572817258,0.4243494204172569,0.1786924293038806
A082,0.1373409944033376,-0.1349260216698019,-0.7325755374218725,0.0394340952299138
A083,0.2709368436122442,0.0789503243402272,0.3936327075006471,0.1104975714748665
A084,-0.6273074670283251,0.1984485923919169,-0.4206315669376044,0.0879882157116843
A085,0.4946523143405651,-0.0404173044999833,0.2840688220630343,-0.3370496803311674
A086,0.6245995066578801,-0.128185622010807,0.4854704946543164,0.0838221251623258
A087,0.3288522844396145,0.3325230718945724,0.6427670379861165,-0.218716681606719
A088,0.4459982837628691,0.3074162542300176,0.7129538034040037,0.2245123075497677
A089,0.6081569996334426,0.1154940851436142,0.3227279687269686,-0.0278778870541079
A090,-0.8539846286972763,0.064689194697145,-0.6079313498579217,0.0603897998004955
A091,0.0468072270289563,0.1624912167553335,0.3626187403672828,0.1515501889779186
A092,0.220013384343268,-0.093776324059606,-0.3070047117945578,0.0472343055248835
A093,0.1962698549551531,0.0079681163473814,0.6097059932915345,-0.0626031881323764
A094,-0.8987156097973863,-0.1732238281281849,-0.6596257806010333,0.0151481867014187
A095,0.1706887953042342,-0.0941923371599301,0.0621632181990813,-0.1054048103510432
A096,0.2057971228079239,0.2471193161958738,0.7596340403765814,0.0707394095853104
A097,-0.9375147889003734,0.0972132710722811,-0.6712924864448913,0.159702343443898
A098,0.6772333543226636,0.0959287636957745,-0.1774498641910249,0.1540193894981044
