composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A055_T2,A055,T2,23.24,0.008844112179640049,0.02221380666989634
A055_T3,A055,T3,74.48,-0.4538193966960093,0.02306840371609702
A055_T4,A055,T4,149.21,-0.7542562687515089,0.025057140990021407
A056_T1,A056,T1,1.0,0.48885722529960746,0.01811479249217789
A056_T2,A056,T2,33.61,-0.03024092909703386,0.018799276159043917
A056_T3,A056,T3,71.46,-0.25157807916593256,0.01710757982734484
A056_T4,A056,T4,147.84,-0.4676724610678583,0.018177735206660602
A057_T1,A057,T1,1.0,0.5790179404135538,0.03789336587213424
A057_T2,A057,T2,24.78,-0.23115325840383552,0.05860969609889731
A057_T3,A057,T3,73.83,-0.8494292926930018,0.0337768718482626
A057_T4,A057,T4,145.06,-1.293919279770249,0.07130767676575846
A058_T1,A058,T1,1.0,0.09241161115570493,0.05679603527925006
A058_T2,A058,T2,22.96,-0.6427559222183948,0.037916239223757205
A058_T3,A058,T3,66.28,-1.1940619392042402,0.03991690049506597
A058_T4,A058,T4,143.48,-1.6544377543919917,0.033323241312134794
A059_T1,A059,T1,1.0,0.3683423067526624,0.017128165929989708
A059_T2,A059,T2,30.4,-0.17080243689580818,0.02003566179708791
A059_T3,A059,T3,79.78,-0.481434482983915,0.014695917484202415
A059_T4,A059,T4,151.93,-0.6932998426205706,0.02438026094500645
A060_T1,A060,T1,1.0,1.3726523019102965,0.02914749103636437
A060_T2,A060,T2,24.87,1.0660512979743826,0.035923434570994284
A060_T3,A060,T3,94.68,0.813476395817835,0.0234409665331907
A060_T4,A060,T4,143.91,0.7444543219045224,0.03699282004605864
A061_T1,A061,T1,1.0,2.6263737199326367,0.038966227065904004
A061_T2,A061,T2,35.16,1.7545490281896385,0.03994526344132842
A061_T3,A061,T3,82.55,1.3188498274381546,0.02542637421979076
A061_T4,A061,T4,146.56,0.9997865746775815,0.03152351629956251
A062_T1,A062,T1,1.0,0.6717075331116175,0.026723236180406933
A062_T2,A062,T2,44.69,-0.33265468542651366,0.044469894017322625
A062_T3,A062,T3,92.72,-0.725580873738809,0.01609631570472824
A062_T4,A062,T4,149.18,-1.0025484023240272,0.05010198552307115
