composite_ID,UID,test,theta_All,se_All,TSVR_hours,Days,Days_squared,log_Days_plus1
A028_T4,A028,T4,-0.23738918,0.07339282,138.91,5.787916666666667,33.49997934027778,1.9151440707301324
A029_T1,A029,T1,1.6053915,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A029_T2,A029,T2,1.1294532,0.07339282,28.43,1.1845833333333333,1.4032376736111112,0.7814251162364958
A029_T3,A029,T3,0.56202656,0.07339282,93.26,3.8858333333333337,15.099700694444447,1.5863398611881236
A029_T4,A029,T4,0.8559158,0.07339282,143.14,5.964166666666666,35.57128402777777,1.9407779542253445
A030_T1,A030,T1,0.23597223,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A030_T2,A030,T2,0.64555764,0.07339282,32.95,1.3729166666666668,1.8849001736111115,0.8641198595452456
A030_T3,A030,T3,-0.12588719,0.07339282,71.93,2.9970833333333338,8.982508506944447,1.3855649284819107
A030_T4,A030,T4,-0.024427809,0.07339282,150.46,6.269166666666667,39.302450694444445,1.9836416586571268
A031_T1,A031,T1,2.0878112,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A031_T2,A031,T2,0.40126973,0.07339282,32.41,1.3504166666666666,1.8236251736111109,0.8545926174039392
A031_T3,A031,T3,-0.27508643,0.07339282,71.56,2.981666666666667,8.890336111111113,1.3817004921096632
A031_T4,A031,T4,-0.800131,0.07339282,143.85,5.9937499999999995,35.92503906249999,1.9450168930780982
A032_T1,A032,T1,0.3052368,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A032_T2,A032,T2,-0.49530542,0.07339282,57.18,2.3825,5.67630625,1.218615081062806
A032_T3,A032,T3,-0.23620081,0.07339282,80.16,3.34,11.1556,1.4678743481123135
A032_T4,A032,T4,0.30469647,0.07339282,144.51,6.021249999999999,36.25545156249999,1.9489412648645053
A033_T1,A033,T1,0.77137077,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A033_T2,A033,T2,0.4549792,0.07339282,29.16,1.215,1.4762250000000001,0.7952524034970989
A033_T3,A033,T3,0.41117167,0.07339282,72.6,3.025,9.150625,1.3925249108705269
A033_T4,A033,T4,-0.64959884,0.07339282,168.33,7.013750000000001,49.19268906250001,2.08115881631933
A034_T1,A034,T1,2.0106363,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A034_T2,A034,T2,1.7898816,0.07339282,26.08,1.0866666666666667,1.1808444444444444,0.7355678964438975
A034_T3,A034,T3,1.2632637,0.07339282,74.28,3.095,9.579025000000001,1.409766717305033
A034_T4,A034,T4,0.6997216,0.07339282,145.38,6.0575,36.69330625,1.9540908811455073
A035_T1,A035,T1,0.8264408,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A035_T2,A035,T2,0.7271903,0.07339282,44.76,1.865,3.478225,1.052568350166703
A035_T3,A035,T3,0.063205935,0.07339282,79.98,3.3325,11.10555625,1.466144742607624
A035_T4,A035,T4,-0.33424705,0.07339282,152.47,6.352916666666666,40.359550173611105,1.995097059907196
A036_T1,A036,T1,-0.8724763,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A036_T2,A036,T2,-1.4847412,0.07339282,21.63,0.90125,0.8122515625,0.6425115645913656
A036_T3,A036,T3,-1.3907819,0.07339282,71.47,2.9779166666666668,8.867987673611111,1.3807582316619962
A036_T4,A036,T4,-1.6291748,0.07339282,143.85,5.9937499999999995,35.92503906249999,1.9450168930780982
A037_T1,A037,T1,0.981827,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A037_T2,A037,T2,0.40132684,0.07339282,23.7,0.9874999999999999,0.9751562499999998,0.6868775675463499
A037_T3,A037,T3,-0.5773718,0.07339282,72.08,3.0033333333333334,9.020011111111112,1.3871273474237826
A037_T4,A037,T4,-0.9496738,0.07339282,143.66,5.985833333333333,35.830200694444436,1.9438842888617656
A038_T1,A038,T1,1.2398889,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A038_T2,A038,T2,0.9916787,0.07339282,71.85,2.99375,8.9625390625,1.3847306391437078
A038_T3,A038,T3,1.0252008,0.07339282,72.86,3.035833333333333,9.216284027777776,1.3952128066271372
A038_T4,A038,T4,0.66296256,0.07339282,152.89,6.370416666666666,40.58220850694444,1.9974742401074705
A039_T1,A039,T1,2.2039258,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A039_T2,A039,T2,1.7605134,0.07339282,28.65,1.1937499999999999,1.4250390624999998,0.7856124082320387
A039_T3,A039,T3,0.9264932,0.07339282,98.84,4.118333333333333,16.96066944444444,1.632828865224676
A039_T4,A039,T4,0.4581183,0.07339282,246.24,10.26,105.2676,2.421256622711544
A040_T1,A040,T1,0.10722337,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A040_T2,A040,T2,0.08675729,0.07339282,26.26,1.0941666666666667,1.1972006944444447,0.7391557017675006
A040_T3,A040,T3,-1.4581342,0.07339282,71.28,2.97,8.820900000000002,1.3787660946990992
A040_T4,A040,T4,-2.264335,0.07339282,143.53,5.980416666666667,35.765383506944445,1.9431086093574954
A041_T1,A041,T1,1.1639924,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A041_T2,A041,T2,-0.3599962,0.07339282,31.78,1.3241666666666667,1.7534173611111112,0.8433615518513973
A041_T3,A041,T3,0.55802584,0.07339282,75.74,3.1558333333333333,9.959284027777777,1.424512969770031
A041_T4,A041,T4,0.12782939,0.07339282,141.84,5.91,34.9281,1.9329696377795786
A042_T1,A042,T1,-0.26355729,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A042_T2,A042,T2,-0.74814,0.07339282,28.93,1.2054166666666666,1.4530293402777776,0.7909164555219504
A042_T3,A042,T3,-0.6204812,0.07339282,72.17,3.0070833333333336,9.042550173611112,1.388063628376445
A042_T4,A042,T4,-1.0438489,0.07339282,146.02,6.084166666666667,37.017084027777784,1.9578622468412672
A043_T1,A043,T1,2.2976968,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A043_T2,A043,T2,1.9961102,0.07339282,25.62,1.0675000000000001,1.1395562500000003,0.7263401479157092
A043_T3,A043,T3,1.3940244,0.07339282,64.94,2.705833333333333,7.321534027777776,1.3099081547346048
A043_T4,A043,T4,0.8008104,0.07339282,149.33,6.222083333333334,38.71432100694445,1.9771434616052734
A044_T1,A044,T1,-0.48998752,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
