item_name,dimension,a,b1,b2,b3,b4
TC_IFR-D-i4,All,1.2915388,-0.09825678914785385,0.7574209570884705,1.4313828945159912,1.7926799058914185
TC_IFR-D-i5,All,1.2822336,0.3644680082798004,1.079412579536438,1.73965322971344,2.100813627243042
TC_IFR-D-i6,All,1.0931711,0.9282369613647461,1.5019654035568237,1.993406891822815,2.6696109771728516
TC_IFR-N-i1,All,1.2399087,-0.7995085120201111,-0.17579035460948944,0.22762009501457214,0.5903308987617493
TC_IFR-N-i2,All,1.0116521,-0.35014039278030396,0.10897030681371689,0.5811449885368347,0.9758163094520569
TC_IFR-N-i3,All,0.945458,-1.163919448852539,-0.6201015710830688,-0.08229772001504898,0.3580804765224457
TC_IFR-N-i4,All,0.6885649,-1.541657567024231,-0.8064128160476685,-0.1473766714334488,0.5549273490905762
TC_IFR-N-i5,All,0.9326441,-0.30557042360305786,0.30983975529670715,0.8177284598350525,1.4314295053482056
TC_IFR-N-i6,All,1.2064605,-0.1905822455883026,0.23471038043498993,0.5975944995880127,0.962847888469696
TC_IFR-O-i1,All,1.1649097,-0.15596796572208405,0.9781875014305115,1.8023321628570557,2.5016298294067383
TC_IFR-O-i2,All,1.3553367,0.1778266876935959,1.2818474769592285,2.004870653152466,3.110297679901123
TC_IFR-O-i3,All,1.4217122,0.12092624604701996,0.8718144297599792,1.5961558818817139,1.990311861038208
TC_IFR-O-i4,All,1.181133,0.7033883333206177,1.898919939994812,2.7680740356445312,3.6805295944213867
TC_IFR-O-i5,All,1.3186492,0.9682636260986328,1.9601572751998901,2.7649173736572266,3.692783832550049
TC_IFR-O-i6,All,1.154752,1.3850927352905273,2.2038533687591553,2.9880576133728027,3.9307751655578613
TC_IFR-U-i1,All,1.3814654,-1.4965239763259888,-0.6766507029533386,-0.2214973121881485,0.16589762270450592
TC_IFR-U-i2,All,1.264511,-0.8211028575897217,-0.11468788236379623,0.37072280049324036,0.8449667692184448
TC_IFR-U-i3,All,1.3774145,-0.784000039100647,-0.27829650044441223,0.15570712089538574,0.5053622126579285
TC_IFR-U-i4,All,1.317661,-0.2630433440208435,0.4624853730201721,0.9874811768531799,1.3855805397033691
TC_IFR-U-i5,All,1.324294,0.15248842537403107,0.5674296021461487,1.056877613067627,1.3815882205963135
TC_IFR-U-i6,All,1.0835546,0.8324053883552551,1.529442548751831,2.1509742736816406,2.664388656616211
TC_IRE-D-i1,All,1.0679036,-1.3142682313919067,0.1188657358288765,1.073975920677185,1.7265881299972534
TC_IRE-D-i2,All,1.4351313,-0.7817114591598511,0.18855242431163788,1.2180988788604736,1.8684481382369995
TC_IRE-D-i3,All,1.161804,-1.3343340158462524,-0.15117277204990387,0.8560009598731995,1.3109227418899536
TC_IRE-D-i4,All,1.4972687,-1.0105241537094116,0.16323839128017426,0.9233981966972351,1.3371773958206177
TC_IRE-D-i5,All,1.1639432,-0.8883578181266785,0.289992094039917,1.3450088500976562,1.9348888397216797
TC_IRE-D-i6,All,1.2121297,-1.0588929653167725,0.23510220646858215,1.003261923789978,1.57725989818573
TC_IRE-N-i1,All,1.3446667,-3.724231481552124,-2.6095521450042725,-1.798808217048645,-1.2184901237487793
TC_IRE-N-i2,All,1.3575902,-3.850327968597412,-2.7598483562469482,-2.091742753982544,-1.3361865282058716
TC_IRE-N-i3,All,1.2230285,-3.8423678874969482,-2.5855507850646973,-1.4885718822479248,-0.6291208267211914
TC_IRE-N-i4,All,1.3635721,-3.696063280105591,-2.5900461673736572,-1.8656680583953857,-1.1333587169647217
TC_IRE-N-i5,All,1.1073481,-4.13764762878418,-3.037762403488159,-1.994774580001831,-0.9462217688560486
TC_IRE-N-i6,All,1.1957159,-4.079274654388428,-2.9219202995300293,-1.8840529918670654,-0.9476610422134399
TC_IRE-O-i1,All,0.9754776,-0.2918679714202881,1.4342238903045654,3.0809524059295654,3.8777778148651123
TC_IRE-O-i2,All,1.1853443,-0.07016942650079727,1.2831330299377441,2.478177070617676,3.413736343383789
TC_IRE-O-i3,All,1.195535,-0.3845827281475067,0.812268853187561,1.5562591552734375,2.061521530151367
TC_IRE-O-i4,All,1.1192183,-0.34430742263793945,1.0328539609909058,1.9426356554031372,2.373744249343872
TC_IRE-O-i5,All,1.0318087,0.05501395836472511,1.2835991382598877,2.52217960357666,3.2492270469665527
TC_IRE-O-i6,All,1.3593154,0.11717257648706436,1.2911970615386963,2.220454692840576,3.3806238174438477
TC_IRE-U-i1,All,1.4885298,-1.8707116842269897,-0.7758599519729614,0.012808965519070625,0.37571612000465393
TC_IRE-U-i2,All,1.2005327,-2.009567975997925,-0.9549479484558105,-0.2943454086780548,0.14313483238220215
TC_IRE-U-i3,All,1.4307406,-1.894315242767334,-0.9761906266212463,-0.2487204372882843,0.18506361544132233
TC_IRE-U-i4,All,1.2669458,-1.931643009185791,-0.8439911007881165,-0.13358359038829803,0.32816261053085327
TC_IRE-U-i5,All,1.3937404,-1.4579966068267822,-0.555031418800354,0.08257991075515747,0.4941616654396057
TC_IRE-U-i6,All,1.2005615,-1.5872844457626343,-0.6578841209411621,0.048300791531801224,0.5297765731811523
TC_RFR-L-DOOR,All,1.2958771,-1.667378544807434,-0.40256789326667786,0.9368954300880432,1.703810214996338
TC_RFR-L-LAND,All,1.4967061,-1.2623153924942017,0.04234775900840759,0.9224765300750732,1.4937540292739868
TC_RFR-L-OBJ1,All,1.5041739,-2.923454761505127,-2.126096725463867,-1.2022504806518555,-0.5986490845680237
TC_RFR-L-OBJ2,All,1.7241974,-2.7852840423583984,-1.8172355890274048,-1.0235939025878906,-0.4801466166973114
TC_RFR-L-OBJ3,All,1.6694206,-2.370908498764038,-1.6010479927062988,-0.8323922753334045,-0.36684441566467285
TC_RFR-L-OBJ4,All,1.6489861,-1.7457126379013062,-1.3275858163833618,-0.824630618095398,-0.37088924646377563
TC_RFR-L-PORT,All,1.5457456,-1.6121809482574463,-0.3065967261791229,0.6062862873077393,1.0703376531600952
TC_RFR-L-STRA,All,1.3360362,-2.0043444633483887,-1.435015082359314,-0.8995754718780518,-0.3015427887439728
TC_RFR-L-WIND,All,1.5715277,-1.8919806480407715,-0.66402667760849,0.42568454146385193,1.2271913290023804
TC_RFR-N-LAND,All,1.0195224,-2.165163516998291,-0.7089135050773621,0.46838071942329407,1.2264424562454224
TC_RFR-N-OBJ1,All,1.733036,-2.539945363998413,-1.7137922048568726,-0.8195695877075195,-0.2057601511478424
TC_RFR-N-OBJ2,All,1.504467,-2.4894134998321533,-1.585512399673462,-0.643151044845581,0.146577849984169
TC_RFR-N-OBJ3,All,1.2757266,-1.9762866497039795,-1.1746476888656616,-0.3105180859565735,0.5327333807945251
TC_RFR-N-OBJ4,All,1.521039,-2.098371982574463,-1.335767149925232,-0.5484198331832886,0.2268206924200058
TC_RFR-N-PORT,All,1.4753199,-2.126220941543579,-1.0306071043014526,-0.16638273000717163,0.4278480112552643
TC_RFR-N-STRA,All,1.3321424,-1.900567650794983,-1.219033122062683,-0.6658284068107605,-0.17646080255508423
